d,h,m,mem
0,0,0,28
0,0,5,26
0,0,10,25
0,0,15,24
0,0,20,23
0,0,25,22
0,0,30,21
0,0,35,19
0,0,40,18
0,0,45,17
0,0,50,16
0,0,55,15
0,1,0,14
0,1,5,13
0,1,10,12
0,1,15,12
0,1,20,11
0,1,25,10
0,1,30,10
0,1,35,9
0,1,40,8
0,1,45,8
0,1,50,7
0,1,55,6
0,2,0,6
0,2,5,5
0,2,10,5
0,2,15,5
0,2,20,4
0,2,25,4
0,2,30,4
0,2,35,3
0,2,40,3
0,2,45,3
0,2,50,2
0,2,55,2
0,3,0,2
0,3,5,1
0,3,10,1
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,2
0,4,45,2
0,4,50,2
0,4,55,2
0,5,0,3
0,5,5,3
0,5,10,4
0,5,15,5
0,5,20,5
0,5,25,6
0,5,30,7
0,5,35,7
0,5,40,8
0,5,45,9
0,5,50,9
0,5,55,10
0,6,0,11
0,6,5,11
0,6,10,11
0,6,15,12
0,6,20,12
0,6,25,12
0,6,30,13
0,6,35,13
0,6,40,13
0,6,45,14
0,6,50,14
0,6,55,14
0,7,0,15
0,7,5,15
0,7,10,15
0,7,15,15
0,7,20,15
0,7,25,15
0,7,30,16
0,7,35,16
0,7,40,16
0,7,45,16
0,7,50,16
0,7,55,16
0,8,0,17
0,8,5,17
0,8,10,17
0,8,15,17
0,8,20,17
0,8,25,17
0,8,30,17
0,8,35,17
0,8,40,17
0,8,45,17
0,8,50,17
0,8,55,17
0,9,0,18
0,9,5,18
0,9,10,18
0,9,15,18
0,9,20,18
0,9,25,18
0,9,30,18
0,9,35,18
0,9,40,18
0,9,45,18
0,9,50,18
0,9,55,18
0,10,0,19
0,10,5,19
0,10,10,19
0,10,15,19
0,10,20,19
0,10,25,19
0,10,30,20
0,10,35,20
0,10,40,20
0,10,45,20
0,10,50,20
0,10,55,20
0,11,0,21
0,11,5,21
0,11,10,21
0,11,15,21
0,11,20,21
0,11,25,21
0,11,30,22
0,11,35,22
0,11,40,22
0,11,45,22
0,11,50,22
0,11,55,22
0,12,0,23
0,12,5,23
0,12,10,23
0,12,15,24
0,12,20,24
0,12,25,25
0,12,30,25
0,12,35,25
0,12,40,26
0,12,45,26
0,12,50,27
0,12,55,27
0,13,0,28
0,13,5,28
0,13,10,29
0,13,15,29
0,13,20,30
0,13,25,30
0,13,30,31
0,13,35,32
0,13,40,32
0,13,45,33
0,13,50,33
0,13,55,34
0,14,0,35
0,14,5,35
0,14,10,36
0,14,15,36
0,14,20,37
0,14,25,37
0,14,30,38
0,14,35,38
0,14,40,39
0,14,45,39
0,14,50,40
0,14,55,40
0,15,0,41
0,15,5,41
0,15,10,42
0,15,15,43
0,15,20,43
0,15,25,44
0,15,30,45
0,15,35,45
0,15,40,46
0,15,45,47
0,15,50,47
0,15,55,48
0,16,0,49
0,16,5,49
0,16,10,50
0,16,15,50
0,16,20,51
0,16,25,51
0,16,30,52
0,16,35,52
0,16,40,53
0,16,45,53
0,16,50,54
0,16,55,54
0,17,0,55
0,17,5,55
0,17,10,56
0,17,15,57
0,17,20,58
0,17,25,59
0,17,30,60
0,17,35,61
0,17,40,62
0,17,45,63
0,17,50,64
0,17,55,65
0,18,0,66
0,18,5,66
0,18,10,66
0,18,15,67
0,18,20,67
0,18,25,67
0,18,30,68
0,18,35,68
0,18,40,68
0,18,45,69
0,18,50,69
0,18,55,69
0,19,0,70
0,19,5,70
0,19,10,70
0,19,15,70
0,19,20,70
0,19,25,70
0,19,30,70
0,19,35,70
0,19,40,70
0,19,45,70
0,19,50,70
0,19,55,70
0,20,0,71
0,20,5,70
0,20,10,70
0,20,15,70
0,20,20,70
0,20,25,70
0,20,30,70
0,20,35,69
0,20,40,69
0,20,45,69
0,20,50,69
0,20,55,69
0,21,0,69
0,21,5,68
0,21,10,67
0,21,15,67
0,21,20,66
0,21,25,66
0,21,30,65
0,21,35,64
0,21,40,64
0,21,45,63
0,21,50,63
0,21,55,62
0,22,0,62
0,22,5,60
0,22,10,59
0,22,15,58
0,22,20,56
0,22,25,55
0,22,30,54
0,22,35,52
0,22,40,51
0,22,45,50
0,22,50,48
0,22,55,47
0,23,0,46
0,23,5,45
0,23,10,44
0,23,15,43
0,23,20,42
0,23,25,41
0,23,30,41
0,23,35,40
0,23,40,39
0,23,45,38
0,23,50,37
0,23,55,36
1,0,0,36
1,0,5,34
1,0,10,33
1,0,15,31
1,0,20,30
1,0,25,28
1,0,30,27
1,0,35,25
1,0,40,24
1,0,45,22
1,0,50,21
1,0,55,19
1,1,0,18
1,1,5,17
