d,h,m,mem
0,0,0,51
0,0,5,49
0,0,10,47
0,0,15,46
0,0,20,44
0,0,25,43
0,0,30,41
0,0,35,39
0,0,40,38
0,0,45,36
0,0,50,35
0,0,55,33
0,1,0,32
0,1,5,30
0,1,10,29
0,1,15,27
0,1,20,26
0,1,25,24
0,1,30,23
0,1,35,22
0,1,40,20
0,1,45,19
0,1,50,17
0,1,55,16
0,2,0,15
0,2,5,14
0,2,10,13
0,2,15,12
0,2,20,11
0,2,25,10
0,2,30,10
0,2,35,9
0,2,40,8
0,2,45,7
0,2,50,6
0,2,55,5
0,3,0,5
0,3,5,4
0,3,10,4
0,3,15,3
0,3,20,3
0,3,25,2
0,3,30,2
0,3,35,2
0,3,40,1
0,3,45,1
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,1
0,5,10,2
0,5,15,4
0,5,20,5
0,5,25,7
0,5,30,8
0,5,35,9
0,5,40,11
0,5,45,12
0,5,50,14
0,5,55,15
0,6,0,17
0,6,5,18
0,6,10,20
0,6,15,22
0,6,20,24
0,6,25,25
0,6,30,27
0,6,35,29
0,6,40,31
0,6,45,32
0,6,50,34
0,6,55,36
0,7,0,38
0,7,5,39
0,7,10,40
0,7,15,42
0,7,20,43
0,7,25,44
0,7,30,46
0,7,35,47
0,7,40,48
0,7,45,50
0,7,50,51
0,7,55,52
0,8,0,54
0,8,5,54
0,8,10,55
0,8,15,56
0,8,20,57
0,8,25,58
0,8,30,59
0,8,35,59
0,8,40,60
0,8,45,61
0,8,50,62
0,8,55,63
0,9,0,64
0,9,5,64
0,9,10,65
0,9,15,65
0,9,20,66
0,9,25,66
0,9,30,67
0,9,35,67
0,9,40,68
0,9,45,68
0,9,50,69
0,9,55,69
0,10,0,70
0,10,5,70
0,10,10,70
0,10,15,70
0,10,20,70
0,10,25,70
0,10,30,70
0,10,35,70
0,10,40,70
0,10,45,70
0,10,50,70
0,10,55,70
0,11,0,71
0,11,5,71
0,11,10,71
0,11,15,72
0,11,20,72
0,11,25,72
0,11,30,73
0,11,35,73
0,11,40,73
0,11,45,74
0,11,50,74
0,11,55,74
0,12,0,75
0,12,5,75
0,12,10,75
0,12,15,75
0,12,20,75
0,12,25,75
0,12,30,75
0,12,35,75
0,12,40,75
0,12,45,75
0,12,50,75
0,12,55,75
0,13,0,75
0,13,5,75
0,13,10,75
0,13,15,75
0,13,20,75
0,13,25,75
0,13,30,75
0,13,35,75
0,13,40,75
0,13,45,75
0,13,50,75
0,13,55,75
0,14,0,76
0,14,5,76
0,14,10,76
0,14,15,76
0,14,20,76
0,14,25,76
0,14,30,77
0,14,35,77
0,14,40,77
0,14,45,77
0,14,50,77
0,14,55,77
0,15,0,78
0,15,5,78
0,15,10,78
0,15,15,78
0,15,20,78
0,15,25,78
