d,h,m,mem
0,0,0,17
0,0,5,16
0,0,10,16
0,0,15,15
0,0,20,15
0,0,25,14
0,0,30,14
0,0,35,13
0,0,40,13
0,0,45,12
0,0,50,12
0,0,55,11
0,1,0,11
0,1,5,10
0,1,10,10
0,1,15,9
0,1,20,9
0,1,25,8
0,1,30,8
0,1,35,7
0,1,40,7
0,1,45,6
0,1,50,6
0,1,55,5
0,2,0,5
0,2,5,4
0,2,10,4
0,2,15,4
0,2,20,4
0,2,25,3
0,2,30,3
0,2,35,3
0,2,40,3
0,2,45,2
0,2,50,2
0,2,55,2
0,3,0,2
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,3
0,3,25,3
0,3,30,3
0,3,35,3
0,3,40,4
0,3,45,4
0,3,50,4
0,3,55,4
0,4,0,5
0,4,5,5
0,4,10,6
0,4,15,7
0,4,20,8
0,4,25,8
0,4,30,9
0,4,35,10
0,4,40,11
0,4,45,11
0,4,50,12
0,4,55,13
0,5,0,14
0,5,5,15
0,5,10,16
0,5,15,17
0,5,20,19
0,5,25,20
0,5,30,21
0,5,35,22
0,5,40,24
0,5,45,25
0,5,50,26
0,5,55,27
0,6,0,29
0,6,5,30
0,6,10,32
0,6,15,34
0,6,20,36
0,6,25,38
0,6,30,40
0,6,35,41
0,6,40,43
0,6,45,45
0,6,50,47
0,6,55,49
0,7,0,51
0,7,5,52
0,7,10,54
0,7,15,56
0,7,20,58
0,7,25,59
0,7,30,61
0,7,35,63
0,7,40,65
0,7,45,66
0,7,50,68
0,7,55,70
0,8,0,72
0,8,5,73
0,8,10,74
0,8,15,75
0,8,20,77
0,8,25,78
0,8,30,79
0,8,35,80
0,8,40,82
0,8,45,83
0,8,50,84
0,8,55,85
0,9,0,87
0,9,5,87
0,9,10,88
0,9,15,89
0,9,20,89
0,9,25,90
0,9,30,91
0,9,35,91
0,9,40,92
0,9,45,93
0,9,50,93
0,9,55,94
0,10,0,95
0,10,5,95
0,10,10,95
0,10,15,95
0,10,20,95
0,10,25,95
0,10,30,95
0,10,35,95
0,10,40,95
0,10,45,95
0,10,50,95
0,10,55,95
0,11,0,96
0,11,5,95
0,11,10,95
0,11,15,95
0,11,20,95
0,11,25,94
0,11,30,94
0,11,35,94
0,11,40,94
0,11,45,93
0,11,50,93
0,11,55,93
0,12,0,93
0,12,5,92
0,12,10,92
0,12,15,92
0,12,20,92
0,12,25,92
0,12,30,92
0,12,35,92
0,12,40,92
0,12,45,92
0,12,50,92
0,12,55,92
0,13,0,92
0,13,5,91
0,13,10,91
0,13,15,91
0,13,20,91
0,13,25,91
0,13,30,91
0,13,35,91
0,13,40,91
0,13,45,91
0,13,50,91
0,13,55,91
0,14,0,91
0,14,5,90
0,14,10,89
0,14,15,88
0,14,20,87
0,14,25,86
0,14,30,85
0,14,35,84
0,14,40,83
0,14,45,82
0,14,50,81
0,14,55,80
0,15,0,80
0,15,5,78
0,15,10,76
0,15,15,74
0,15,20,72
0,15,25,70
0,15,30,69
0,15,35,67
0,15,40,65
0,15,45,63
0,15,50,61
0,15,55,59
0,16,0,58
0,16,5,56
0,16,10,55
0,16,15,54
0,16,20,53
0,16,25,52
0,16,30,51
0,16,35,50
0,16,40,49
0,16,45,48
0,16,50,47
0,16,55,46
0,17,0,45
0,17,5,44
0,17,10,43
0,17,15,42
0,17,20,41
0,17,25,40
0,17,30,40
0,17,35,39
0,17,40,38
0,17,45,37
0,17,50,36
0,17,55,35
0,18,0,35
0,18,5,35
0,18,10,35
0,18,15,35
0,18,20,35
0,18,25,35
0,18,30,35
0,18,35,35
0,18,40,35
0,18,45,35
0,18,50,35
0,18,55,35
0,19,0,36
0,19,5,36
0,19,10,36
0,19,15,36
0,19,20,36
0,19,25,36
0,19,30,36
0,19,35,36
0,19,40,36
0,19,45,36
0,19,50,36
0,19,55,36
0,20,0,37
0,20,5,37
0,20,10,37
0,20,15,37
0,20,20,37
0,20,25,37
0,20,30,37
0,20,35,37
0,20,40,37
0,20,45,37
0,20,50,37
0,20,55,37
0,21,0,37
0,21,5,36
0,21,10,36
0,21,15,36
0,21,20,36
0,21,25,35
0,21,30,35
0,21,35,35
0,21,40,35
0,21,45,34
0,21,50,34
0,21,55,34
0,22,0,34
0,22,5,33
0,22,10,32
0,22,15,32
0,22,20,31
0,22,25,31
0,22,30,30
0,22,35,29
0,22,40,29
0,22,45,28
0,22,50,28
0,22,55,27
0,23,0,27
0,23,5,29
0,23,10,31
0,23,15,34
0,23,20,36
0,23,25,38
0,23,30,41
0,23,35,43
0,23,40,45
0,23,45,48
0,23,50,50
0,23,55,52
1,0,0,55
1,0,5,53
1,0,10,51
1,0,15,49
1,0,20,47
1,0,25,45
1,0,30,44
1,0,35,42
1,0,40,40
1,0,45,38
1,0,50,36
1,0,55,34
1,1,0,33
1,1,5,31
1,1,10,30
1,1,15,28
1,1,20,27
1,1,25,25
1,1,30,24
1,1,35,23
1,1,40,21
1,1,45,20
1,1,50,18
1,1,55,17
1,2,0,16
1,2,5,15
1,2,10,14
1,2,15,14
1,2,20,13
1,2,25,12
1,2,30,12
1,2,35,11
1,2,40,10
1,2,45,10
1,2,50,9
1,2,55,8
1,3,0,8
1,3,5,7
1,3,10,6
1,3,15,6
1,3,20,5
1,3,25,4
1,3,30,4
1,3,35,3
1,3,40,2
1,3,45,2
1,3,50,1
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,1
1,5,10,2
1,5,15,3
1,5,20,5
1,5,25,6
1,5,30,7
1,5,35,8
1,5,40,10
1,5,45,11
1,5,50,12
1,5,55,13
1,6,0,15
1,6,5,16
1,6,10,18
1,6,15,20
1,6,20,22
1,6,25,24
1,6,30,26
1,6,35,27
1,6,40,29
1,6,45,31
1,6,50,33
1,6,55,35
1,7,0,37
1,7,5,38
1,7,10,40
1,7,15,41
1,7,20,43
1,7,25,44
1,7,30,46
1,7,35,48
1,7,40,49
1,7,45,51
1,7,50,52
1,7,55,54
1,8,0,56
1,8,5,57
1,8,10,59
1,8,15,60
1,8,20,62
1,8,25,63
1,8,30,65
1,8,35,67
1,8,40,68
1,8,45,70
1,8,50,71
1,8,55,73
1,9,0,75
1,9,5,75
1,9,10,75
1,9,15,76
1,9,20,76
1,9,25,76
1,9,30,77
1,9,35,77
1,9,40,77
1,9,45,78
1,9,50,78
1,9,55,78
1,10,0,79
1,10,5,79
1,10,10,79
1,10,15,79
1,10,20,80
1,10,25,80
1,10,30,80
1,10,35,80
1,10,40,81
1,10,45,81
1,10,50,81
1,10,55,81
1,11,0,82
1,11,5,81
1,11,10,81
1,11,15,81
1,11,20,81
1,11,25,81
1,11,30,81
1,11,35,81
1,11,40,81
1,11,45,81
1,11,50,81
1,11,55,81
1,12,0,81
1,12,5,81
1,12,10,81
1,12,15,81
1,12,20,81
1,12,25,81
1,12,30,82
1,12,35,82
1,12,40,82
1,12,45,82
1,12,50,82
1,12,55,82
1,13,0,83
1,13,5,83
1,13,10,84
1,13,15,85
1,13,20,85
1,13,25,86
1,13,30,87
1,13,35,87
1,13,40,88
1,13,45,89
1,13,50,89
1,13,55,90
1,14,0,91
1,14,5,91
1,14,10,91
1,14,15,91
1,14,20,91
1,14,25,91
1,14,30,91
1,14,35,91
1,14,40,91
1,14,45,91
1,14,50,91
1,14,55,91
1,15,0,91
1,15,5,90
1,15,10,90
1,15,15,90
1,15,20,90
1,15,25,89
1,15,30,89
1,15,35,89
1,15,40,89
1,15,45,88
1,15,50,88
1,15,55,88
1,16,0,88
1,16,5,88
1,16,10,88
1,16,15,88
1,16,20,88
1,16,25,88
1,16,30,88
1,16,35,88
1,16,40,88
1,16,45,88
1,16,50,88
1,16,55,88
1,17,0,89
1,17,5,89
1,17,10,90
1,17,15,91
1,17,20,91
1,17,25,92
1,17,30,93
1,17,35,93
1,17,40,94
1,17,45,95
1,17,50,95
1,17,55,96
1,18,0,97
1,18,5,97
1,18,10,97
1,18,15,97
1,18,20,98
