d,h,m,mem
0,0,0,11
0,0,5,10
0,0,10,10
0,0,15,9
0,0,20,9
0,0,25,8
0,0,30,8
0,0,35,7
0,0,40,7
0,0,45,6
0,0,50,6
0,0,55,5
0,1,0,5
0,1,5,4
0,1,10,4
0,1,15,4
0,1,20,3
0,1,25,3
0,1,30,3
0,1,35,2
0,1,40,2
0,1,45,2
0,1,50,1
0,1,55,1
0,2,0,1
0,2,5,0
0,2,10,0
0,2,15,0
0,2,20,0
0,2,25,0
0,2,30,0
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,2
0,3,35,2
0,3,40,2
0,3,45,3
0,3,50,3
0,3,55,3
0,4,0,4
0,4,5,4
0,4,10,5
0,4,15,6
0,4,20,7
0,4,25,8
0,4,30,9
0,4,35,9
0,4,40,10
0,4,45,11
0,4,50,12
0,4,55,13
0,5,0,14
0,5,5,15
0,5,10,16
0,5,15,18
0,5,20,19
0,5,25,20
0,5,30,22
0,5,35,23
0,5,40,24
0,5,45,26
0,5,50,27
0,5,55,28
0,6,0,30
0,6,5,31
0,6,10,33
0,6,15,35
0,6,20,37
0,6,25,39
0,6,30,41
0,6,35,42
0,6,40,44
0,6,45,46
0,6,50,48
0,6,55,50
0,7,0,52
0,7,5,53
0,7,10,55
0,7,15,57
0,7,20,59
0,7,25,61
0,7,30,63
0,7,35,64
0,7,40,66
0,7,45,68
0,7,50,70
0,7,55,72
0,8,0,74
0,8,5,75
0,8,10,76
0,8,15,77
0,8,20,79
0,8,25,80
0,8,30,81
0,8,35,82
0,8,40,84
0,8,45,85
0,8,50,86
0,8,55,87
0,9,0,89
0,9,5,89
0,9,10,90
0,9,15,91
0,9,20,91
0,9,25,92
0,9,30,93
0,9,35,93
0,9,40,94
0,9,45,95
0,9,50,95
0,9,55,96
0,10,0,97
0,10,5,97
0,10,10,97
0,10,15,97
0,10,20,98
0,10,25,98
0,10,30,98
0,10,35,98
0,10,40,99
0,10,45,99
0,10,50,99
0,10,55,99
0,11,0,100
0,11,5,99
0,11,10,99
0,11,15,99
0,11,20,98
0,11,25,98
0,11,30,98
0,11,35,97
0,11,40,97
0,11,45,97
0,11,50,96
0,11,55,96
0,12,0,96
0,12,5,95
0,12,10,95
0,12,15,95
0,12,20,95
0,12,25,95
0,12,30,95
0,12,35,95
0,12,40,95
0,12,45,95
0,12,50,95
0,12,55,95
0,13,0,95
0,13,5,95
0,13,10,95
0,13,15,95
0,13,20,95
0,13,25,95
0,13,30,95
0,13,35,95
0,13,40,95
0,13,45,95
0,13,50,95
0,13,55,95
0,14,0,95
0,14,5,92
0,14,10,90
0,14,15,88
0,14,20,86
0,14,25,84
0,14,30,82
0,14,35,80
0,14,40,78
0,14,45,76
0,14,50,74
0,14,55,72
0,15,0,70
0,15,5,68
0,15,10,67
0,15,15,66
0,15,20,64
0,15,25,63
0,15,30,62
0,15,35,60
0,15,40,59
0,15,45,58
0,15,50,56
0,15,55,55
0,16,0,54
0,16,5,53
0,16,10,52
0,16,15,51
0,16,20,51
0,16,25,50
0,16,30,49
0,16,35,48
0,16,40,48
0,16,45,47
0,16,50,46
0,16,55,45
0,17,0,45
0,17,5,44
0,17,10,44
0,17,15,44
0,17,20,43
0,17,25,43
0,17,30,43
0,17,35,42
0,17,40,42
0,17,45,42
0,17,50,41
0,17,55,41
0,18,0,41
0,18,5,40
0,18,10,40
0,18,15,40
0,18,20,40
0,18,25,40
0,18,30,40
0,18,35,39
0,18,40,39
0,18,45,39
0,18,50,39
0,18,55,39
0,19,0,39
0,19,5,38
0,19,10,38
0,19,15,38
0,19,20,38
0,19,25,38
0,19,30,38
0,19,35,37
0,19,40,37
0,19,45,37
0,19,50,37
0,19,55,37
0,20,0,37
0,20,5,36
0,20,10,36
0,20,15,36
0,20,20,36
0,20,25,35
0,20,30,35
0,20,35,35
0,20,40,35
0,20,45,34
0,20,50,34
0,20,55,34
0,21,0,34
0,21,5,33
0,21,10,33
0,21,15,32
0,21,20,32
0,21,25,31
0,21,30,31
0,21,35,31
0,21,40,30
0,21,45,30
0,21,50,29
0,21,55,29
0,22,0,29
0,22,5,28
0,22,10,27
0,22,15,27
0,22,20,26
0,22,25,26
0,22,30,25
0,22,35,24
0,22,40,24
0,22,45,23
0,22,50,23
0,22,55,22
0,23,0,22
0,23,5,24
0,23,10,27
0,23,15,29
0,23,20,32
0,23,25,34
0,23,30,37
0,23,35,40
0,23,40,42
0,23,45,45
0,23,50,47
0,23,55,50
1,0,0,53
1,0,5,50
1,0,10,47
1,0,15,44
1,0,20,41
1,0,25,38
1,0,30,36
1,0,35,33
1,0,40,30
1,0,45,27
1,0,50,24
1,0,55,21
1,1,0,19
1,1,5,18
1,1,10,17
1,1,15,16
1,1,20,16
1,1,25,15
1,1,30,14
1,1,35,13
1,1,40,13
1,1,45,12
1,1,50,11
1,1,55,10
1,2,0,10
1,2,5,9
1,2,10,9
1,2,15,9
1,2,20,9
1,2,25,8
1,2,30,8
1,2,35,8
1,2,40,8
1,2,45,7
1,2,50,7
1,2,55,7
1,3,0,7
1,3,5,6
1,3,10,6
1,3,15,5
1,3,20,5
1,3,25,4
1,3,30,4
1,3,35,4
1,3,40,3
1,3,45,3
1,3,50,2
1,3,55,2
1,4,0,2
1,4,5,1
1,4,10,1
1,4,15,1
1,4,20,1
1,4,25,1
1,4,30,1
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,0
1,5,15,0
1,5,20,0
1,5,25,0
1,5,30,1
1,5,35,1
1,5,40,1
1,5,45,1
1,5,50,1
1,5,55,1
1,6,0,2
1,6,5,3
1,6,10,4
1,6,15,5
1,6,20,6
1,6,25,7
1,6,30,9
1,6,35,10
1,6,40,11
1,6,45,12
1,6,50,13
1,6,55,14
1,7,0,16
1,7,5,17
1,7,10,19
1,7,15,20
1,7,20,22
1,7,25,23
1,7,30,25
1,7,35,26
1,7,40,28
1,7,45,29
1,7,50,31
1,7,55,32
1,8,0,34
1,8,5,35
1,8,10,36
1,8,15,38
1,8,20,39
1,8,25,41
1,8,30,42
1,8,35,43
1,8,40,45
1,8,45,46
1,8,50,48
1,8,55,49
1,9,0,51
1,9,5,51
1,9,10,52
1,9,15,52
1,9,20,53
1,9,25,53
1,9,30,54
1,9,35,54
1,9,40,55
1,9,45,55
1,9,50,56
1,9,55,56
1,10,0,57
1,10,5,57
1,10,10,57
1,10,15,58
1,10,20,58
1,10,25,58
1,10,30,59
1,10,35,59
1,10,40,59
1,10,45,60
1,10,50,60
1,10,55,60
1,11,0,61
1,11,5,60
1,11,10,60
1,11,15,59
1,11,20,59
1,11,25,58
1,11,30,58
1,11,35,57
1,11,40,57
1,11,45,56
1,11,50,56
1,11,55,55
1,12,0,55
1,12,5,55
1,12,10,55
1,12,15,56
1,12,20,56
1,12,25,56
1,12,30,57
1,12,35,57
1,12,40,57
1,12,45,58
1,12,50,58
1,12,55,58
1,13,0,59
1,13,5,59
1,13,10,59
1,13,15,60
1,13,20,60
1,13,25,60
1,13,30,61
1,13,35,61
1,13,40,61
1,13,45,62
1,13,50,62
1,13,55,62
1,14,0,63
1,14,5,63
1,14,10,63
1,14,15,63
1,14,20,63
1,14,25,63
1,14,30,63
1,14,35,63
1,14,40,63
1,14,45,63
1,14,50,63
1,14,55,63
1,15,0,64
1,15,5,64
1,15,10,64
1,15,15,64
1,15,20,65
1,15,25,65
1,15,30,65
1,15,35,65
1,15,40,66
1,15,45,66
1,15,50,66
1,15,55,66
1,16,0,67
1,16,5,68
1,16,10,70
1,16,15,72
1,16,20,74
1,16,25,76
1,16,30,78
1,16,35,79
1,16,40,81
1,16,45,83
1,16,50,85
1,16,55,87
1,17,0,89
1,17,5,88
1,17,10,87
1,17,15,86
1,17,20,85
1,17,25,84
1,17,30,84
1,17,35,83
1,17,40,82
1,17,45,81
1,17,50,80
1,17,55,79
1,18,0,79
1,18,5,79
1,18,10,79
1,18,15,79
1,18,20,80
1,18,25,80
1,18,30,80
1,18,35,80
1,18,40,81
1,18,45,81
1,18,50,81
1,18,55,81
1,19,0,82
1,19,5,82
1,19,10,82
1,19,15,82
1,19,20,82
1,19,25,82
1,19,30,83
1,19,35,83
1,19,40,83
1,19,45,83
1,19,50,83
1,19,55,83
1,20,0,84
1,20,5,83
1,20,10,83
1,20,15,83
1,20,20,82
1,20,25,82
1,20,30,82
1,20,35,81
1,20,40,81
1,20,45,81
1,20,50,80
1,20,55,80
1,21,0,80
