d,h,m,mem
0,0,0,69
0,0,5,67
0,0,10,65
0,0,15,63
0,0,20,61
0,0,25,59
0,0,30,57
0,0,35,55
0,0,40,53
0,0,45,51
0,0,50,49
0,0,55,47
0,1,0,45
0,1,5,43
0,1,10,41
0,1,15,39
0,1,20,37
0,1,25,35
0,1,30,33
0,1,35,31
0,1,40,29
0,1,45,27
0,1,50,25
0,1,55,23
0,2,0,21
0,2,5,19
0,2,10,18
0,2,15,17
0,2,20,16
0,2,25,15
0,2,30,14
0,2,35,12
0,2,40,11
0,2,45,10
0,2,50,9
0,2,55,8
0,3,0,7
0,3,5,6
0,3,10,5
0,3,15,5
0,3,20,4
0,3,25,4
0,3,30,3
0,3,35,2
0,3,40,2
0,3,45,1
0,3,50,1
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,1
0,4,15,2
0,4,20,3
0,4,25,4
0,4,30,5
0,4,35,5
0,4,40,6
0,4,45,7
0,4,50,8
0,4,55,9
0,5,0,10
0,5,5,11
0,5,10,13
0,5,15,14
0,5,20,16
0,5,25,17
0,5,30,19
0,5,35,21
0,5,40,22
0,5,45,24
0,5,50,25
0,5,55,27
0,6,0,29
0,6,5,30
0,6,10,32
0,6,15,33
0,6,20,35
0,6,25,36
0,6,30,38
0,6,35,39
0,6,40,41
0,6,45,42
0,6,50,44
0,6,55,45
0,7,0,47
0,7,5,49
0,7,10,51
0,7,15,53
0,7,20,56
0,7,25,58
0,7,30,60
0,7,35,62
0,7,40,65
0,7,45,67
0,7,50,69
0,7,55,71
0,8,0,74
0,8,5,74
0,8,10,74
0,8,15,75
0,8,20,75
0,8,25,75
0,8,30,76
0,8,35,76
0,8,40,76
0,8,45,77
0,8,50,77
0,8,55,77
0,9,0,78
0,9,5,78
0,9,10,78
0,9,15,78
0,9,20,78
0,9,25,78
0,9,30,79
0,9,35,79
0,9,40,79
0,9,45,79
0,9,50,79
0,9,55,79
0,10,0,80
0,10,5,80
0,10,10,80
0,10,15,81
0,10,20,81
0,10,25,81
0,10,30,82
0,10,35,82
0,10,40,82
0,10,45,83
0,10,50,83
0,10,55,83
0,11,0,84
0,11,5,85
0,11,10,86
0,11,15,87
0,11,20,88
0,11,25,89
0,11,30,90
0,11,35,91
0,11,40,92
0,11,45,93
0,11,50,94
0,11,55,95
0,12,0,97
0,12,5,97
0,12,10,97
0,12,15,97
0,12,20,97
0,12,25,97
0,12,30,98
0,12,35,98
0,12,40,98
0,12,45,98
0,12,50,98
0,12,55,98
0,13,0,99
0,13,5,98
0,13,10,98
0,13,15,98
0,13,20,97
0,13,25,97
0,13,30,97
0,13,35,96
0,13,40,96
0,13,45,96
0,13,50,95
0,13,55,95
0,14,0,95
0,14,5,94
0,14,10,93
0,14,15,92
0,14,20,91
0,14,25,90
0,14,30,89
0,14,35,88
0,14,40,87
0,14,45,86
0,14,50,85
0,14,55,84
0,15,0,84
0,15,5,83
0,15,10,82
0,15,15,81
0,15,20,81
0,15,25,80
0,15,30,79
0,15,35,78
0,15,40,78
0,15,45,77
0,15,50,76
0,15,55,75
0,16,0,75
0,16,5,74
0,16,10,73
0,16,15,73
0,16,20,72
0,16,25,71
0,16,30,71
0,16,35,70
0,16,40,69
0,16,45,69
0,16,50,68
0,16,55,67
0,17,0,67
0,17,5,67
0,17,10,67
0,17,15,67
0,17,20,67
0,17,25,67
0,17,30,68
0,17,35,68
0,17,40,68
0,17,45,68
0,17,50,68
0,17,55,68
0,18,0,69
0,18,5,69
0,18,10,69
0,18,15,69
0,18,20,70
0,18,25,70
0,18,30,70
0,18,35,70
0,18,40,71
0,18,45,71
0,18,50,71
0,18,55,71
0,19,0,72
0,19,5,72
0,19,10,72
0,19,15,72
0,19,20,72
0,19,25,72
0,19,30,73
0,19,35,73
0,19,40,73
0,19,45,73
0,19,50,73
0,19,55,73
0,20,0,74
0,20,5,73
0,20,10,73
0,20,15,73
0,20,20,73
0,20,25,73
0,20,30,73
0,20,35,72
0,20,40,72
0,20,45,72
0,20,50,72
0,20,55,72
0,21,0,72
0,21,5,71
0,21,10,70
0,21,15,70
0,21,20,69
0,21,25,69
0,21,30,68
0,21,35,67
0,21,40,67
0,21,45,66
0,21,50,66
0,21,55,65
0,22,0,65
0,22,5,64
0,22,10,63
0,22,15,62
0,22,20,61
0,22,25,60
0,22,30,59
0,22,35,58
0,22,40,57
0,22,45,56
0,22,50,55
0,22,55,54
0,23,0,54
0,23,5,52
0,23,10,51
0,23,15,49
0,23,20,48
0,23,25,46
0,23,30,45
0,23,35,44
0,23,40,42
0,23,45,41
0,23,50,39
0,23,55,38
1,0,0,37
1,0,5,35
1,0,10,34
1,0,15,33
1,0,20,31
1,0,25,30
1,0,30,29
1,0,35,27
1,0,40,26
1,0,45,25
1,0,50,23
1,0,55,22
1,1,0,21
1,1,5,20
1,1,10,19
1,1,15,18
1,1,20,17
1,1,25,16
1,1,30,15
1,1,35,14
1,1,40,13
1,1,45,12
1,1,50,11
1,1,55,10
1,2,0,9
1,2,5,8
1,2,10,7
1,2,15,7
1,2,20,6
1,2,25,6
1,2,30,5
1,2,35,4
1,2,40,4
1,2,45,3
1,2,50,3
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,1
1,3,50,1
1,3,55,1
1,4,0,1
1,4,5,1
1,4,10,1
1,4,15,2
1,4,20,2
1,4,25,3
1,4,30,3
1,4,35,3
1,4,40,4
1,4,45,4
1,4,50,5
1,4,55,5
1,5,0,6
1,5,5,7
1,5,10,8
1,5,15,9
1,5,20,10
1,5,25,11
1,5,30,12
1,5,35,13
1,5,40,14
1,5,45,15
1,5,50,16
1,5,55,17
1,6,0,18
1,6,5,19
1,6,10,21
1,6,15,22
1,6,20,24
1,6,25,25
1,6,30,27
1,6,35,28
1,6,40,30
1,6,45,31
1,6,50,33
1,6,55,34
1,7,0,36
1,7,5,37
1,7,10,39
1,7,15,40
1,7,20,42
1,7,25,43
1,7,30,45
1,7,35,47
1,7,40,48
1,7,45,50
1,7,50,51
1,7,55,53
1,8,0,55
1,8,5,56
1,8,10,57
1,8,15,58
1,8,20,59
1,8,25,60
1,8,30,62
1,8,35,63
1,8,40,64
1,8,45,65
1,8,50,66
1,8,55,67
1,9,0,69
1,9,5,69
1,9,10,70
1,9,15,71
1,9,20,72
1,9,25,73
1,9,30,74
1,9,35,75
1,9,40,76
1,9,45,77
1,9,50,78
1,9,55,79
1,10,0,80
1,10,5,80
1,10,10,81
1,10,15,81
1,10,20,82
1,10,25,82
1,10,30,83
1,10,35,83
1,10,40,84
1,10,45,84
1,10,50,85
1,10,55,85
1,11,0,86
1,11,5,86
1,11,10,86
1,11,15,86
1,11,20,86
1,11,25,86
1,11,30,86
1,11,35,86
1,11,40,86
1,11,45,86
1,11,50,86
1,11,55,86
1,12,0,87
1,12,5,86
1,12,10,86
1,12,15,85
1,12,20,85
1,12,25,84
1,12,30,84
1,12,35,83
1,12,40,83
1,12,45,82
1,12,50,82
1,12,55,81
1,13,0,81
1,13,5,81
1,13,10,81
1,13,15,81
1,13,20,81
1,13,25,81
1,13,30,81
1,13,35,81
1,13,40,81
1,13,45,81
1,13,50,81
1,13,55,81
1,14,0,82
1,14,5,81
1,14,10,80
1,14,15,80
1,14,20,79
1,14,25,79
1,14,30,78
1,14,35,77
1,14,40,77
1,14,45,76
1,14,50,76
1,14,55,75
1,15,0,75
1,15,5,73
1,15,10,71
1,15,15,70
1,15,20,68
1,15,25,67
1,15,30,65
1,15,35,63
1,15,40,62
1,15,45,60
1,15,50,59
1,15,55,57
1,16,0,56
1,16,5,54
1,16,10,53
1,16,15,52
1,16,20,51
1,16,25,50
1,16,30,49
1,16,35,48
1,16,40,47
1,16,45,46
1,16,50,45
1,16,55,44
1,17,0,43
1,17,5,42
1,17,10,42
1,17,15,41
1,17,20,41
1,17,25,40
1,17,30,40
1,17,35,39
1,17,40,39
1,17,45,38
1,17,50,38
1,17,55,37
1,18,0,37
1,18,5,36
1,18,10,36
1,18,15,36
1,18,20,36
1,18,25,36
1,18,30,36
1,18,35,36
1,18,40,36
1,18,45,36
1,18,50,36
1,18,55,36
1,19,0,36
1,19,5,36
1,19,10,36
1,19,15,36
1,19,20,36
1,19,25,36
1,19,30,36
1,19,35,36
1,19,40,36
1,19,45,36
1,19,50,36
1,19,55,36
1,20,0,36
1,20,5,36
1,20,10,36
1,20,15,36
1,20,20,36
1,20,25,36
1,20,30,36
1,20,35,36
1,20,40,36
1,20,45,36
1,20,50,36
1,20,55,36
1,21,0,37
1,21,5,36
1,21,10,36
1,21,15,36
1,21,20,36
1,21,25,35
1,21,30,35
1,21,35,35
1,21,40,35
1,21,45,34
1,21,50,34
1,21,55,34
1,22,0,34
1,22,5,33
1,22,10,33
1,22,15,32
1,22,20,32
1,22,25,31
1,22,30,31
1,22,35,31
1,22,40,30
1,22,45,30
1,22,50,29
1,22,55,29
1,23,0,29
