d,h,m,mem
0,0,0,11
0,0,5,10
0,0,10,10
0,0,15,9
0,0,20,9
0,0,25,8
0,0,30,8
0,0,35,7
0,0,40,7
0,0,45,6
0,0,50,6
0,0,55,5
0,1,0,5
0,1,5,4
0,1,10,4
0,1,15,4
0,1,20,4
0,1,25,4
0,1,30,4
0,1,35,3
0,1,40,3
0,1,45,3
0,1,50,3
0,1,55,3
0,2,0,3
0,2,5,2
0,2,10,2
0,2,15,2
0,2,20,2
0,2,25,2
0,2,30,2
0,2,35,2
0,2,40,2
0,2,45,2
0,2,50,2
0,2,55,2
0,3,0,2
0,3,5,1
0,3,10,1
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,1
0,4,30,2
0,4,35,2
0,4,40,2
0,4,45,3
0,4,50,3
0,4,55,3
0,5,0,4
0,5,5,5
0,5,10,6
0,5,15,7
0,5,20,9
0,5,25,10
0,5,30,11
0,5,35,12
0,5,40,14
0,5,45,15
0,5,50,16
0,5,55,17
0,6,0,19
0,6,5,21
0,6,10,24
0,6,15,27
0,6,20,30
0,6,25,33
0,6,30,36
0,6,35,39
0,6,40,42
0,6,45,45
0,6,50,48
0,6,55,51
0,7,0,54
0,7,5,55
0,7,10,56
0,7,15,58
0,7,20,59
0,7,25,60
0,7,30,62
0,7,35,63
0,7,40,64
0,7,45,66
0,7,50,67
0,7,55,68
0,8,0,70
0,8,5,70
0,8,10,71
0,8,15,72
0,8,20,73
0,8,25,73
0,8,30,74
0,8,35,75
0,8,40,76
0,8,45,76
0,8,50,77
0,8,55,78
0,9,0,79
0,9,5,78
0,9,10,78
0,9,15,78
0,9,20,77
0,9,25,77
0,9,30,77
0,9,35,76
0,9,40,76
0,9,45,76
0,9,50,75
0,9,55,75
0,10,0,75
0,10,5,74
0,10,10,74
0,10,15,74
0,10,20,74
0,10,25,74
0,10,30,74
0,10,35,74
0,10,40,74
0,10,45,74
0,10,50,74
0,10,55,74
0,11,0,74
0,11,5,74
0,11,10,74
0,11,15,75
0,11,20,75
0,11,25,76
0,11,30,76
0,11,35,76
0,11,40,77
0,11,45,77
0,11,50,78
0,11,55,78
0,12,0,79
0,12,5,79
0,12,10,79
0,12,15,79
0,12,20,79
0,12,25,79
0,12,30,79
0,12,35,79
0,12,40,79
0,12,45,79
0,12,50,79
0,12,55,79
0,13,0,80
0,13,5,79
0,13,10,78
0,13,15,78
0,13,20,77
0,13,25,77
0,13,30,76
0,13,35,75
0,13,40,75
0,13,45,74
0,13,50,74
0,13,55,73
0,14,0,73
0,14,5,71
0,14,10,70
0,14,15,69
0,14,20,68
0,14,25,67
0,14,30,66
0,14,35,65
0,14,40,64
0,14,45,63
0,14,50,62
0,14,55,61
0,15,0,60
0,15,5,59
0,15,10,58
0,15,15,57
0,15,20,57
0,15,25,56
0,15,30,55
0,15,35,54
0,15,40,54
0,15,45,53
0,15,50,52
0,15,55,51
0,16,0,51
0,16,5,50
0,16,10,49
0,16,15,49
0,16,20,48
0,16,25,48
0,16,30,47
0,16,35,46
0,16,40,46
0,16,45,45
0,16,50,45
0,16,55,44
0,17,0,44
0,17,5,44
0,17,10,44
0,17,15,44
0,17,20,44
0,17,25,44
0,17,30,44
0,17,35,44
0,17,40,44
0,17,45,44
0,17,50,44
0,17,55,44
0,18,0,45
0,18,5,45
0,18,10,45
0,18,15,45
0,18,20,45
0,18,25,45
0,18,30,45
0,18,35,45
0,18,40,45
0,18,45,45
0,18,50,45
0,18,55,45
0,19,0,45
0,19,5,45
0,19,10,45
0,19,15,45
0,19,20,45
0,19,25,45
0,19,30,45
0,19,35,45
0,19,40,45
0,19,45,45
0,19,50,45
0,19,55,45
0,20,0,46
0,20,5,45
0,20,10,45
0,20,15,44
0,20,20,44
0,20,25,43
0,20,30,43
0,20,35,42
0,20,40,42
0,20,45,41
0,20,50,41
0,20,55,40
0,21,0,40
0,21,5,39
0,21,10,39
0,21,15,38
0,21,20,38
0,21,25,37
0,21,30,37
0,21,35,37
0,21,40,36
0,21,45,36
0,21,50,35
0,21,55,35
0,22,0,35
0,22,5,34
0,22,10,33
0,22,15,32
0,22,20,31
0,22,25,30
0,22,30,29
0,22,35,28
0,22,40,27
0,22,45,26
0,22,50,25
0,22,55,24
0,23,0,24
0,23,5,23
0,23,10,22
0,23,15,22
0,23,20,21
0,23,25,20
0,23,30,20
0,23,35,19
0,23,40,18
0,23,45,18
0,23,50,17
0,23,55,16
1,0,0,16
1,0,5,15
1,0,10,14
1,0,15,13
1,0,20,12
1,0,25,11
1,0,30,11
1,0,35,10
1,0,40,9
1,0,45,8
1,0,50,7
1,0,55,6
1,1,0,6
1,1,5,5
1,1,10,5
1,1,15,5
1,1,20,5
1,1,25,4
1,1,30,4
1,1,35,4
1,1,40,4
1,1,45,3
1,1,50,3
1,1,55,3
1,2,0,3
1,2,5,2
1,2,10,2
1,2,15,2
1,2,20,2
1,2,25,1
1,2,30,1
1,2,35,1
1,2,40,1
1,2,45,0
1,2,50,0
1,2,55,0
1,3,0,0
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,0
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,1
1,4,5,1
1,4,10,2
1,4,15,3
1,4,20,3
1,4,25,4
1,4,30,5
1,4,35,5
1,4,40,6
1,4,45,7
1,4,50,7
1,4,55,8
1,5,0,9
1,5,5,10
1,5,10,11
1,5,15,12
1,5,20,13
1,5,25,14
1,5,30,15
1,5,35,16
1,5,40,17
1,5,45,18
1,5,50,19
1,5,55,20
1,6,0,22
1,6,5,23
1,6,10,25
1,6,15,26
1,6,20,28
1,6,25,29
1,6,30,31
1,6,35,33
1,6,40,34
1,6,45,36
1,6,50,37
1,6,55,39
1,7,0,41
1,7,5,42
1,7,10,44
1,7,15,45
1,7,20,47
1,7,25,48
1,7,30,50
1,7,35,52
1,7,40,53
1,7,45,55
1,7,50,56
1,7,55,58
1,8,0,60
1,8,5,61
1,8,10,62
1,8,15,63
1,8,20,64
1,8,25,65
1,8,30,66
1,8,35,67
1,8,40,68
1,8,45,69
1,8,50,70
1,8,55,71
1,9,0,73
1,9,5,73
1,9,10,74
1,9,15,75
1,9,20,75
1,9,25,76
1,9,30,77
1,9,35,77
1,9,40,78
1,9,45,79
1,9,50,79
1,9,55,80
1,10,0,81
1,10,5,81
1,10,10,81
1,10,15,81
1,10,20,81
1,10,25,81
1,10,30,81
1,10,35,81
1,10,40,81
1,10,45,81
1,10,50,81
1,10,55,81
1,11,0,82
1,11,5,81
1,11,10,81
1,11,15,81
1,11,20,81
1,11,25,81
1,11,30,81
1,11,35,80
1,11,40,80
1,11,45,80
1,11,50,80
1,11,55,80
1,12,0,80
1,12,5,80
1,12,10,80
1,12,15,80
1,12,20,80
1,12,25,80
1,12,30,80
1,12,35,80
1,12,40,80
1,12,45,80
1,12,50,80
1,12,55,80
1,13,0,80
1,13,5,80
1,13,10,80
1,13,15,80
1,13,20,80
1,13,25,80
1,13,30,80
1,13,35,80
1,13,40,80
1,13,45,80
1,13,50,80
1,13,55,80
1,14,0,80
1,14,5,79
1,14,10,78
1,14,15,77
1,14,20,76
1,14,25,75
1,14,30,74
1,14,35,73
1,14,40,72
1,14,45,71
1,14,50,70
1,14,55,69
1,15,0,68
1,15,5,66
1,15,10,65
1,15,15,64
1,15,20,62
1,15,25,61
1,15,30,60
1,15,35,58
1,15,40,57
1,15,45,56
1,15,50,54
1,15,55,53
1,16,0,52
1,16,5,50
1,16,10,49
1,16,15,48
1,16,20,47
1,16,25,46
1,16,30,45
1,16,35,44
1,16,40,43
1,16,45,42
1,16,50,41
1,16,55,40
1,17,0,39
1,17,5,38
1,17,10,38
1,17,15,38
1,17,20,38
1,17,25,38
1,17,30,38
1,17,35,37
1,17,40,37
1,17,45,37
1,17,50,37
1,17,55,37
1,18,0,37
1,18,5,37
1,18,10,37
1,18,15,37
1,18,20,37
1,18,25,37
1,18,30,38
1,18,35,38
1,18,40,38
1,18,45,38
1,18,50,38
1,18,55,38
1,19,0,39
1,19,5,39
1,19,10,39
1,19,15,39
1,19,20,39
1,19,25,39
1,19,30,39
1,19,35,39
1,19,40,39
1,19,45,39
1,19,50,39
1,19,55,39
1,20,0,39
1,20,5,39
1,20,10,39
1,20,15,39
1,20,20,39
1,20,25,39
1,20,30,40
1,20,35,40
1,20,40,40
1,20,45,40
1,20,50,40
1,20,55,40
1,21,0,41
