d,h,m,mem
0,0,0,23
0,0,5,22
0,0,10,21
0,0,15,20
0,0,20,19
0,0,25,18
0,0,30,17
0,0,35,16
0,0,40,15
0,0,45,14
0,0,50,13
0,0,55,12
0,1,0,11
0,1,5,10
0,1,10,10
0,1,15,9
0,1,20,9
0,1,25,8
0,1,30,8
0,1,35,8
0,1,40,7
0,1,45,7
0,1,50,6
0,1,55,6
0,2,0,6
0,2,5,5
0,2,10,5
0,2,15,4
0,2,20,4
0,2,25,3
0,2,30,3
0,2,35,3
0,2,40,2
0,2,45,2
0,2,50,1
0,2,55,1
0,3,0,1
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,1
0,4,30,2
0,4,35,2
0,4,40,2
0,4,45,3
0,4,50,3
0,4,55,3
0,5,0,4
0,5,5,5
0,5,10,6
0,5,15,7
0,5,20,9
0,5,25,10
0,5,30,11
0,5,35,12
0,5,40,14
0,5,45,15
0,5,50,16
0,5,55,17
0,6,0,19
0,6,5,20
0,6,10,21
0,6,15,23
0,6,20,24
0,6,25,26
0,6,30,27
0,6,35,28
0,6,40,30
0,6,45,31
0,6,50,33
0,6,55,34
0,7,0,36
0,7,5,37
0,7,10,39
0,7,15,41
0,7,20,43
0,7,25,44
0,7,30,46
0,7,35,48
0,7,40,50
0,7,45,51
0,7,50,53
0,7,55,55
0,8,0,57
0,8,5,57
0,8,10,58
0,8,15,59
0,8,20,60
0,8,25,61
0,8,30,62
0,8,35,62
0,8,40,63
0,8,45,64
0,8,50,65
0,8,55,66
0,9,0,67
0,9,5,67
0,9,10,67
0,9,15,67
0,9,20,68
0,9,25,68
0,9,30,68
0,9,35,68
0,9,40,69
0,9,45,69
0,9,50,69
0,9,55,69
0,10,0,70
0,10,5,70
0,10,10,70
0,10,15,70
0,10,20,71
0,10,25,71
0,10,30,71
0,10,35,71
0,10,40,72
0,10,45,72
0,10,50,72
0,10,55,72
0,11,0,73
0,11,5,73
0,11,10,73
0,11,15,73
0,11,20,73
0,11,25,73
0,11,30,73
0,11,35,73
0,11,40,73
0,11,45,73
0,11,50,73
0,11,55,73
0,12,0,73
0,12,5,73
0,12,10,73
0,12,15,73
0,12,20,73
0,12,25,73
0,12,30,73
0,12,35,73
0,12,40,73
0,12,45,73
0,12,50,73
0,12,55,73
0,13,0,73
0,13,5,72
0,13,10,72
0,13,15,72
0,13,20,72
0,13,25,71
0,13,30,71
0,13,35,71
0,13,40,71
0,13,45,70
0,13,50,70
0,13,55,70
0,14,0,70
0,14,5,70
0,14,10,70
0,14,15,70
0,14,20,71
0,14,25,71
0,14,30,71
0,14,35,71
0,14,40,72
0,14,45,72
0,14,50,72
0,14,55,72
0,15,0,73
0,15,5,73
0,15,10,73
0,15,15,73
0,15,20,73
0,15,25,73
0,15,30,73
0,15,35,73
0,15,40,73
0,15,45,73
0,15,50,73
0,15,55,73
0,16,0,73
0,16,5,73
0,16,10,74
0,16,15,75
0,16,20,75
0,16,25,76
0,16,30,77
0,16,35,77
0,16,40,78
0,16,45,79
0,16,50,79
0,16,55,80
0,17,0,81
0,17,5,81
0,17,10,82
0,17,15,83
0,17,20,84
0,17,25,85
0,17,30,86
0,17,35,87
0,17,40,88
0,17,45,89
0,17,50,90
0,17,55,91
0,18,0,92
0,18,5,92
0,18,10,93
0,18,15,93
0,18,20,94
0,18,25,94
0,18,30,95
0,18,35,95
0,18,40,96
0,18,45,96
0,18,50,97
0,18,55,97
0,19,0,98
0,19,5,98
0,19,10,98
0,19,15,98
0,19,20,98
0,19,25,98
0,19,30,98
0,19,35,98
0,19,40,98
0,19,45,98
0,19,50,98
0,19,55,98
0,20,0,98
0,20,5,97
0,20,10,96
0,20,15,95
0,20,20,94
0,20,25,93
0,20,30,92
0,20,35,91
0,20,40,90
0,20,45,89
0,20,50,88
0,20,55,87
0,21,0,87
0,21,5,85
0,21,10,83
0,21,15,81
0,21,20,79
0,21,25,77
0,21,30,76
0,21,35,74
0,21,40,72
0,21,45,70
0,21,50,68
0,21,55,66
0,22,0,65
0,22,5,63
0,22,10,61
0,22,15,59
0,22,20,57
0,22,25,55
0,22,30,53
0,22,35,51
0,22,40,49
0,22,45,47
0,22,50,45
0,22,55,43
0,23,0,42
0,23,5,39
0,23,10,37
0,23,15,34
0,23,20,32
0,23,25,29
0,23,30,27
0,23,35,24
0,23,40,22
0,23,45,19
0,23,50,17
0,23,55,14
1,0,0,12
1,0,5,11
1,0,10,10
1,0,15,10
1,0,20,9
1,0,25,9
1,0,30,8
1,0,35,7
1,0,40,7
1,0,45,6
1,0,50,6
1,0,55,5
1,1,0,5
1,1,5,4
1,1,10,4
1,1,15,4
1,1,20,4
1,1,25,4
1,1,30,4
1,1,35,4
1,1,40,4
1,1,45,4
1,1,50,4
1,1,55,4
1,2,0,4
1,2,5,3
1,2,10,3
1,2,15,3
1,2,20,3
1,2,25,2
1,2,30,2
1,2,35,2
1,2,40,2
1,2,45,1
1,2,50,1
1,2,55,1
1,3,0,1
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,0
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,1
1,4,15,2
1,4,20,2
1,4,25,3
1,4,30,4
1,4,35,4
1,4,40,5
1,4,45,6
1,4,50,6
1,4,55,7
1,5,0,8
1,5,5,9
1,5,10,11
1,5,15,12
1,5,20,14
1,5,25,15
1,5,30,17
1,5,35,18
1,5,40,20
1,5,45,21
1,5,50,23
1,5,55,24
1,6,0,26
1,6,5,28
1,6,10,30
1,6,15,32
1,6,20,35
1,6,25,37
1,6,30,39
1,6,35,41
1,6,40,44
1,6,45,46
1,6,50,48
1,6,55,50
1,7,0,53
1,7,5,54
1,7,10,56
1,7,15,58
1,7,20,59
1,7,25,61
1,7,30,63
1,7,35,64
1,7,40,66
1,7,45,68
1,7,50,69
1,7,55,71
1,8,0,73
1,8,5,73
1,8,10,74
1,8,15,75
1,8,20,76
1,8,25,77
1,8,30,78
1,8,35,79
1,8,40,80
1,8,45,81
1,8,50,82
1,8,55,83
1,9,0,84
1,9,5,84
1,9,10,85
1,9,15,85
1,9,20,86
1,9,25,86
1,9,30,87
1,9,35,87
1,9,40,88
1,9,45,88
1,9,50,89
1,9,55,89
1,10,0,90
1,10,5,90
1,10,10,90
1,10,15,91
1,10,20,91
1,10,25,92
1,10,30,92
1,10,35,92
1,10,40,93
1,10,45,93
1,10,50,94
1,10,55,94
1,11,0,95
1,11,5,94
1,11,10,94
1,11,15,94
