d,h,m,mem
0,0,0,33
0,0,5,31
0,0,10,30
0,0,15,29
0,0,20,28
0,0,25,26
0,0,30,25
0,0,35,24
0,0,40,23
0,0,45,21
0,0,50,20
0,0,55,19
0,1,0,18
0,1,5,17
0,1,10,16
0,1,15,15
0,1,20,14
0,1,25,13
0,1,30,13
0,1,35,12
0,1,40,11
0,1,45,10
0,1,50,9
0,1,55,8
0,2,0,8
0,2,5,7
0,2,10,7
0,2,15,6
0,2,20,6
0,2,25,5
0,2,30,5
0,2,35,5
0,2,40,4
0,2,45,4
0,2,50,3
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,2
0,4,45,2
0,4,50,2
0,4,55,2
0,5,0,3
0,5,5,3
0,5,10,4
0,5,15,5
0,5,20,6
0,5,25,6
0,5,30,7
0,5,35,8
0,5,40,9
0,5,45,9
0,5,50,10
0,5,55,11
0,6,0,12
0,6,5,13
0,6,10,14
0,6,15,15
0,6,20,16
0,6,25,17
0,6,30,18
0,6,35,19
0,6,40,20
0,6,45,21
0,6,50,22
0,6,55,23
0,7,0,24
0,7,5,24
0,7,10,25
0,7,15,25
0,7,20,26
0,7,25,26
0,7,30,27
0,7,35,28
0,7,40,28
0,7,45,29
0,7,50,29
0,7,55,30
0,8,0,31
0,8,5,31
0,8,10,31
0,8,15,32
0,8,20,32
0,8,25,32
0,8,30,33
0,8,35,33
0,8,40,33
0,8,45,34
0,8,50,34
0,8,55,34
0,9,0,35
0,9,5,35
0,9,10,35
0,9,15,36
0,9,20,36
0,9,25,37
0,9,30,37
0,9,35,37
0,9,40,38
0,9,45,38
0,9,50,39
0,9,55,39
0,10,0,40
0,10,5,39
0,10,10,39
0,10,15,39
0,10,20,39
0,10,25,39
0,10,30,39
0,10,35,39
0,10,40,39
0,10,45,39
0,10,50,39
0,10,55,39
0,11,0,39
0,11,5,39
0,11,10,39
0,11,15,39
0,11,20,39
0,11,25,39
0,11,30,39
0,11,35,39
0,11,40,39
0,11,45,39
0,11,50,39
0,11,55,39
0,12,0,39
0,12,5,39
0,12,10,39
0,12,15,39
0,12,20,39
0,12,25,39
0,12,30,39
0,12,35,39
0,12,40,39
0,12,45,39
0,12,50,39
0,12,55,39
0,13,0,39
0,13,5,39
0,13,10,39
0,13,15,39
0,13,20,39
0,13,25,39
0,13,30,39
0,13,35,39
0,13,40,39
0,13,45,39
0,13,50,39
0,13,55,39
0,14,0,39
0,14,5,39
0,14,10,39
0,14,15,40
0,14,20,40
0,14,25,40
0,14,30,41
0,14,35,41
0,14,40,41
0,14,45,42
0,14,50,42
0,14,55,42
0,15,0,43
0,15,5,43
0,15,10,44
0,15,15,44
0,15,20,45
0,15,25,45
0,15,30,46
0,15,35,46
0,15,40,47
0,15,45,47
0,15,50,48
0,15,55,48
0,16,0,49
0,16,5,49
0,16,10,50
0,16,15,50
0,16,20,51
0,16,25,51
0,16,30,52
0,16,35,52
0,16,40,53
0,16,45,53
0,16,50,54
0,16,55,54
0,17,0,55
0,17,5,55
0,17,10,56
0,17,15,56
0,17,20,57
0,17,25,57
0,17,30,58
0,17,35,59
0,17,40,59
0,17,45,60
0,17,50,60
0,17,55,61
0,18,0,62
0,18,5,62
0,18,10,63
0,18,15,64
0,18,20,64
0,18,25,65
0,18,30,66
0,18,35,66
0,18,40,67
0,18,45,68
0,18,50,68
0,18,55,69
0,19,0,70
0,19,5,70
0,19,10,70
0,19,15,70
0,19,20,71
0,19,25,71
0,19,30,71
0,19,35,71
0,19,40,72
0,19,45,72
0,19,50,72
0,19,55,72
0,20,0,73
0,20,5,72
0,20,10,72
0,20,15,72
0,20,20,72
0,20,25,72
0,20,30,72
0,20,35,71
0,20,40,71
0,20,45,71
0,20,50,71
0,20,55,71
0,21,0,71
0,21,5,70
0,21,10,69
0,21,15,68
0,21,20,68
0,21,25,67
0,21,30,66
0,21,35,65
0,21,40,65
0,21,45,64
0,21,50,63
0,21,55,62
0,22,0,62
0,22,5,60
0,22,10,59
0,22,15,58
0,22,20,57
0,22,25,56
0,22,30,55
0,22,35,53
0,22,40,52
0,22,45,51
0,22,50,50
0,22,55,49
0,23,0,48
0,23,5,46
0,23,10,45
0,23,15,44
0,23,20,43
0,23,25,41
0,23,30,40
0,23,35,39
0,23,40,38
0,23,45,36
0,23,50,35
0,23,55,34
1,0,0,33
1,0,5,31
1,0,10,30
1,0,15,29
1,0,20,28
1,0,25,27
1,0,30,26
1,0,35,25
1,0,40,24
1,0,45,23
1,0,50,22
1,0,55,21
1,1,0,20
1,1,5,19
1,1,10,18
1,1,15,17
1,1,20,16
1,1,25,15
1,1,30,15
1,1,35,14
1,1,40,13
1,1,45,12
1,1,50,11
1,1,55,10
1,2,0,10
1,2,5,9
1,2,10,8
1,2,15,8
1,2,20,7
1,2,25,7
1,2,30,6
1,2,35,5
1,2,40,5
1,2,45,4
1,2,50,4
1,2,55,3
1,3,0,3
1,3,5,2
1,3,10,2
1,3,15,2
1,3,20,2
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,1
1,4,20,1
1,4,25,1
1,4,30,2
1,4,35,2
1,4,40,2
1,4,45,3
1,4,50,3
1,4,55,3
1,5,0,4
1,5,5,4
1,5,10,5
1,5,15,6
1,5,20,7
1,5,25,8
1,5,30,9
1,5,35,9
1,5,40,10
1,5,45,11
1,5,50,12
1,5,55,13
1,6,0,14
1,6,5,15
1,6,10,16
1,6,15,17
1,6,20,18
1,6,25,19
1,6,30,20
1,6,35,21
1,6,40,22
1,6,45,23
1,6,50,24
1,6,55,25
1,7,0,26
1,7,5,26
1,7,10,27
1,7,15,28
1,7,20,29
1,7,25,30
1,7,30,31
1,7,35,31
1,7,40,32
1,7,45,33
1,7,50,34
1,7,55,35
1,8,0,36
1,8,5,36
1,8,10,36
1,8,15,37
1,8,20,37
1,8,25,37
1,8,30,38
1,8,35,38
1,8,40,38
1,8,45,39
1,8,50,39
1,8,55,39
1,9,0,40
1,9,5,40
1,9,10,40
1,9,15,40
1,9,20,41
1,9,25,41
1,9,30,41
1,9,35,41
1,9,40,42
1,9,45,42
1,9,50,42
1,9,55,42
1,10,0,43
1,10,5,43
1,10,10,43
1,10,15,43
1,10,20,43
1,10,25,43
1,10,30,43
1,10,35,43
