d,h,m,mem
0,0,0,45
0,0,5,43
0,0,10,41
0,0,15,39
0,0,20,38
0,0,25,36
0,0,30,34
0,0,35,32
0,0,40,31
0,0,45,29
0,0,50,27
0,0,55,25
0,1,0,24
0,1,5,22
0,1,10,21
0,1,15,20
0,1,20,19
0,1,25,18
0,1,30,17
0,1,35,16
0,1,40,15
0,1,45,14
0,1,50,13
0,1,55,12
0,2,0,11
0,2,5,10
0,2,10,9
0,2,15,9
0,2,20,8
0,2,25,7
0,2,30,7
0,2,35,6
0,2,40,5
0,2,45,5
0,2,50,4
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,4
0,5,20,4
0,5,25,5
0,5,30,6
0,5,35,6
0,5,40,7
0,5,45,8
0,5,50,8
0,5,55,9
0,6,0,10
0,6,5,10
0,6,10,11
0,6,15,12
0,6,20,13
0,6,25,14
0,6,30,15
0,6,35,15
0,6,40,16
0,6,45,17
0,6,50,18
0,6,55,19
0,7,0,20
0,7,5,21
0,7,10,22
0,7,15,23
0,7,20,24
0,7,25,25
0,7,30,26
0,7,35,27
0,7,40,28
0,7,45,29
0,7,50,30
0,7,55,31
0,8,0,32
0,8,5,32
0,8,10,33
0,8,15,34
0,8,20,34
0,8,25,35
0,8,30,36
0,8,35,36
0,8,40,37
0,8,45,38
0,8,50,38
0,8,55,39
0,9,0,40
0,9,5,40
0,9,10,41
0,9,15,41
0,9,20,42
0,9,25,42
0,9,30,43
0,9,35,43
0,9,40,44
0,9,45,44
0,9,50,45
0,9,55,45
0,10,0,46
0,10,5,46
0,10,10,46
0,10,15,46
0,10,20,47
0,10,25,47
0,10,30,47
0,10,35,47
0,10,40,48
0,10,45,48
0,10,50,48
0,10,55,48
0,11,0,49
0,11,5,50
0,11,10,51
0,11,15,52
0,11,20,53
0,11,25,54
0,11,30,55
0,11,35,56
0,11,40,57
0,11,45,58
0,11,50,59
0,11,55,60
0,12,0,61
0,12,5,61
0,12,10,61
0,12,15,61
0,12,20,61
0,12,25,61
0,12,30,61
0,12,35,61
0,12,40,61
0,12,45,61
0,12,50,61
0,12,55,61
0,13,0,61
0,13,5,61
0,13,10,61
0,13,15,61
0,13,20,61
0,13,25,61
0,13,30,62
0,13,35,62
0,13,40,62
0,13,45,62
0,13,50,62
0,13,55,62
0,14,0,63
0,14,5,63
0,14,10,63
0,14,15,64
0,14,20,64
0,14,25,64
0,14,30,65
0,14,35,65
0,14,40,65
0,14,45,66
0,14,50,66
0,14,55,66
0,15,0,67
0,15,5,67
0,15,10,67
0,15,15,68
0,15,20,68
0,15,25,68
0,15,30,69
0,15,35,69
0,15,40,69
0,15,45,70
0,15,50,70
0,15,55,70
0,16,0,71
0,16,5,71
0,16,10,71
0,16,15,71
0,16,20,71
0,16,25,71
0,16,30,72
0,16,35,72
0,16,40,72
0,16,45,72
0,16,50,72
0,16,55,72
0,17,0,73
