d,h,m,mem
0,0,0,39
0,0,5,37
0,0,10,35
0,0,15,34
0,0,20,32
0,0,25,31
0,0,30,29
0,0,35,27
0,0,40,26
0,0,45,24
0,0,50,23
0,0,55,21
0,1,0,20
0,1,5,19
0,1,10,18
0,1,15,17
0,1,20,16
0,1,25,15
0,1,30,14
0,1,35,13
0,1,40,12
0,1,45,11
0,1,50,10
0,1,55,9
0,2,0,9
0,2,5,8
0,2,10,8
0,2,15,7
0,2,20,7
0,2,25,6
0,2,30,6
0,2,35,5
0,2,40,5
0,2,45,4
0,2,50,4
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,1
0,5,5,1
0,5,10,2
0,5,15,2
0,5,20,3
0,5,25,3
0,5,30,4
0,5,35,5
0,5,40,5
0,5,45,6
0,5,50,6
0,5,55,7
0,6,0,8
0,6,5,8
0,6,10,9
0,6,15,10
0,6,20,11
0,6,25,11
0,6,30,12
0,6,35,13
0,6,40,14
0,6,45,14
0,6,50,15
0,6,55,16
0,7,0,17
0,7,5,17
0,7,10,18
0,7,15,19
0,7,20,20
0,7,25,21
0,7,30,22
0,7,35,22
0,7,40,23
0,7,45,24
0,7,50,25
0,7,55,26
0,8,0,27
0,8,5,27
0,8,10,28
0,8,15,28
0,8,20,29
0,8,25,29
0,8,30,30
0,8,35,31
0,8,40,31
0,8,45,32
0,8,50,32
0,8,55,33
0,9,0,34
0,9,5,34
0,9,10,34
0,9,15,35
0,9,20,35
0,9,25,36
0,9,30,36
0,9,35,36
0,9,40,37
0,9,45,37
0,9,50,38
0,9,55,38
0,10,0,39
0,10,5,39
0,10,10,39
0,10,15,39
0,10,20,40
0,10,25,40
0,10,30,40
0,10,35,40
0,10,40,41
0,10,45,41
0,10,50,41
0,10,55,41
0,11,0,42
0,11,5,42
0,11,10,43
0,11,15,44
0,11,20,45
0,11,25,46
0,11,30,47
0,11,35,47
0,11,40,48
0,11,45,49
0,11,50,50
0,11,55,51
0,12,0,52
0,12,5,52
0,12,10,52
0,12,15,52
0,12,20,52
0,12,25,52
0,12,30,52
0,12,35,52
0,12,40,52
0,12,45,52
0,12,50,52
0,12,55,52
0,13,0,52
0,13,5,52
0,13,10,52
0,13,15,52
0,13,20,52
0,13,25,52
0,13,30,52
0,13,35,52
0,13,40,52
0,13,45,52
0,13,50,52
0,13,55,52
0,14,0,53
0,14,5,53
0,14,10,53
0,14,15,54
0,14,20,54
0,14,25,54
0,14,30,55
0,14,35,55
0,14,40,55
0,14,45,56
0,14,50,56
0,14,55,56
0,15,0,57
0,15,5,57
0,15,10,57
0,15,15,58
0,15,20,58
0,15,25,58
0,15,30,59
0,15,35,59
0,15,40,59
0,15,45,60
0,15,50,60
0,15,55,60
0,16,0,61
0,16,5,61
0,16,10,61
0,16,15,61
0,16,20,61
0,16,25,61
0,16,30,61
0,16,35,61
0,16,40,61
0,16,45,61
0,16,50,61
0,16,55,61
0,17,0,62
0,17,5,62
0,17,10,62
0,17,15,62
0,17,20,62
0,17,25,62
0,17,30,62
0,17,35,62
0,17,40,62
0,17,45,62
0,17,50,62
0,17,55,62
0,18,0,62
0,18,5,62
0,18,10,62
0,18,15,63
0,18,20,63
0,18,25,64
0,18,30,64
0,18,35,64
0,18,40,65
0,18,45,65
0,18,50,66
0,18,55,66
0,19,0,67
0,19,5,67
0,19,10,67
0,19,15,68
0,19,20,68
0,19,25,68
0,19,30,69
0,19,35,69
0,19,40,69
0,19,45,70
0,19,50,70
0,19,55,70
0,20,0,71
0,20,5,71
0,20,10,71
0,20,15,71
0,20,20,72
0,20,25,72
0,20,30,72
0,20,35,72
0,20,40,73
0,20,45,73
0,20,50,73
0,20,55,73
0,21,0,74
0,21,5,73
0,21,10,73
0,21,15,73
0,21,20,73
0,21,25,73
0,21,30,73
0,21,35,72
0,21,40,72
0,21,45,72
0,21,50,72
0,21,55,72
0,22,0,72
0,22,5,70
0,22,10,69
0,22,15,68
0,22,20,67
0,22,25,66
0,22,30,65
0,22,35,64
0,22,40,63
0,22,45,62
0,22,50,61
0,22,55,60
0,23,0,59
0,23,5,57
0,23,10,56
0,23,15,55
0,23,20,54
0,23,25,52
0,23,30,51
0,23,35,50
0,23,40,49
0,23,45,47
0,23,50,46
0,23,55,45
1,0,0,44
1,0,5,42
1,0,10,40
1,0,15,39
1,0,20,37
1,0,25,35
1,0,30,34
1,0,35,32
1,0,40,30
1,0,45,29
1,0,50,27
1,0,55,25
1,1,0,24
1,1,5,23
1,1,10,22
1,1,15,21
1,1,20,20
1,1,25,19
1,1,30,18
1,1,35,17
1,1,40,16
1,1,45,15
1,1,50,14
1,1,55,13
1,2,0,12
1,2,5,11
1,2,10,10
1,2,15,10
1,2,20,9
1,2,25,8
1,2,30,8
1,2,35,7
1,2,40,6
1,2,45,6
1,2,50,5
1,2,55,4
1,3,0,4
1,3,5,3
1,3,10,3
1,3,15,3
1,3,20,2
1,3,25,2
1,3,30,2
1,3,35,1
1,3,40,1
1,3,45,1
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,1
1,5,15,2
1,5,20,3
1,5,25,3
1,5,30,4
1,5,35,5
1,5,40,6
1,5,45,6
1,5,50,7
1,5,55,8
1,6,0,9
1,6,5,10
1,6,10,11
1,6,15,12
1,6,20,13
1,6,25,14
1,6,30,15
1,6,35,16
1,6,40,17
1,6,45,18
1,6,50,19
1,6,55,20
1,7,0,22
1,7,5,23
1,7,10,24
1,7,15,25
1,7,20,26
1,7,25,27
1,7,30,28
1,7,35,29
1,7,40,30
1,7,45,31
1,7,50,32
1,7,55,33
1,8,0,35
1,8,5,35
1,8,10,36
1,8,15,36
1,8,20,37
1,8,25,37
1,8,30,38
1,8,35,39
1,8,40,39
1,8,45,40
1,8,50,40
1,8,55,41
1,9,0,42
1,9,5,42
1,9,10,42
1,9,15,42
1,9,20,43
1,9,25,43
1,9,30,43
1,9,35,43
1,9,40,44
1,9,45,44
1,9,50,44
1,9,55,44
1,10,0,45
1,10,5,45
1,10,10,45
1,10,15,45
1,10,20,45
1,10,25,45
1,10,30,46
1,10,35,46
1,10,40,46
1,10,45,46
1,10,50,46
1,10,55,46
1,11,0,47
1,11,5,47
1,11,10,47
1,11,15,47
1,11,20,47
1,11,25,47
1,11,30,48
1,11,35,48
1,11,40,48
1,11,45,48
