d,h,m,mem
0,0,0,44
0,0,5,41
0,0,10,38
0,0,15,35
0,0,20,33
0,0,25,30
0,0,30,27
0,0,35,24
0,0,40,22
0,0,45,19
0,0,50,16
0,0,55,13
0,1,0,11
0,1,5,10
0,1,10,10
0,1,15,10
0,1,20,9
0,1,25,9
0,1,30,9
0,1,35,8
0,1,40,8
0,1,45,8
0,1,50,7
0,1,55,7
0,2,0,7
0,2,5,6
0,2,10,6
0,2,15,6
0,2,20,5
0,2,25,5
0,2,30,5
0,2,35,4
0,2,40,4
0,2,45,4
0,2,50,3
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,1
0,4,15,2
0,4,20,3
0,4,25,4
0,4,30,5
0,4,35,5
0,4,40,6
0,4,45,7
0,4,50,8
0,4,55,9
0,5,0,10
0,5,5,11
0,5,10,12
0,5,15,14
0,5,20,15
0,5,25,17
0,5,30,18
0,5,35,19
0,5,40,21
0,5,45,22
0,5,50,24
0,5,55,25
0,6,0,27
0,6,5,28
0,6,10,30
0,6,15,31
0,6,20,33
0,6,25,34
0,6,30,36
0,6,35,37
0,6,40,39
0,6,45,40
0,6,50,42
0,6,55,43
0,7,0,45
0,7,5,46
0,7,10,47
0,7,15,48
0,7,20,49
0,7,25,50
0,7,30,51
0,7,35,52
0,7,40,53
0,7,45,54
0,7,50,55
0,7,55,56
0,8,0,57
0,8,5,57
0,8,10,58
0,8,15,58
0,8,20,59
0,8,25,59
0,8,30,60
0,8,35,60
0,8,40,61
0,8,45,61
0,8,50,62
0,8,55,62
0,9,0,63
0,9,5,63
0,9,10,63
0,9,15,63
0,9,20,64
0,9,25,64
0,9,30,64
0,9,35,64
0,9,40,65
0,9,45,65
0,9,50,65
0,9,55,65
0,10,0,66
0,10,5,66
0,10,10,66
0,10,15,67
0,10,20,67
0,10,25,67
0,10,30,68
0,10,35,68
0,10,40,68
0,10,45,69
0,10,50,69
0,10,55,69
0,11,0,70
0,11,5,69
0,11,10,69
0,11,15,69
0,11,20,69
0,11,25,69
0,11,30,69
0,11,35,69
0,11,40,69
0,11,45,69
0,11,50,69
0,11,55,69
0,12,0,69
0,12,5,68
0,12,10,68
0,12,15,68
0,12,20,68
0,12,25,68
0,12,30,68
0,12,35,67
0,12,40,67
0,12,45,67
0,12,50,67
0,12,55,67
0,13,0,67
0,13,5,66
0,13,10,66
0,13,15,66
0,13,20,66
0,13,25,66
0,13,30,66
0,13,35,66
0,13,40,66
0,13,45,66
0,13,50,66
0,13,55,66
0,14,0,66
0,14,5,66
0,14,10,66
0,14,15,66
0,14,20,66
0,14,25,66
0,14,30,66
0,14,35,66
0,14,40,66
0,14,45,66
0,14,50,66
0,14,55,66
0,15,0,66
0,15,5,66
0,15,10,66
0,15,15,67
0,15,20,67
0,15,25,67
0,15,30,68
0,15,35,68
0,15,40,68
0,15,45,69
0,15,50,69
0,15,55,69
0,16,0,70
0,16,5,71
