d,h,m,mem
0,0,0,39
0,0,5,37
0,0,10,36
0,0,15,34
0,0,20,33
0,0,25,31
0,0,30,30
0,0,35,28
0,0,40,27
0,0,45,25
0,0,50,24
0,0,55,22
0,1,0,21
0,1,5,20
0,1,10,19
0,1,15,18
0,1,20,17
0,1,25,16
0,1,30,15
0,1,35,14
0,1,40,13
0,1,45,12
0,1,50,11
0,1,55,10
0,2,0,10
0,2,5,9
0,2,10,8
0,2,15,8
0,2,20,7
0,2,25,7
0,2,30,6
0,2,35,5
0,2,40,5
0,2,45,4
0,2,50,4
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,2
0,5,20,2
0,5,25,3
0,5,30,4
0,5,35,4
0,5,40,5
0,5,45,6
0,5,50,6
0,5,55,7
0,6,0,8
0,6,5,8
0,6,10,9
0,6,15,10
0,6,20,11
0,6,25,12
0,6,30,13
0,6,35,14
0,6,40,15
0,6,45,16
0,6,50,17
0,6,55,18
0,7,0,19
0,7,5,19
0,7,10,20
0,7,15,21
0,7,20,22
0,7,25,23
0,7,30,24
0,7,35,25
0,7,40,26
0,7,45,27
0,7,50,28
0,7,55,29
0,8,0,30
0,8,5,30
0,8,10,31
0,8,15,31
0,8,20,32
0,8,25,32
0,8,30,33
0,8,35,33
0,8,40,34
0,8,45,34
0,8,50,35
0,8,55,35
0,9,0,36
0,9,5,36
0,9,10,36
0,9,15,37
0,9,20,37
0,9,25,37
0,9,30,38
0,9,35,38
0,9,40,38
0,9,45,39
0,9,50,39
0,9,55,39
0,10,0,40
0,10,5,40
0,10,10,40
0,10,15,40
0,10,20,40
0,10,25,40
0,10,30,41
0,10,35,41
0,10,40,41
0,10,45,41
0,10,50,41
0,10,55,41
0,11,0,42
0,11,5,42
0,11,10,42
0,11,15,42
0,11,20,42
0,11,25,42
0,11,30,42
0,11,35,42
0,11,40,42
0,11,45,42
0,11,50,42
0,11,55,42
0,12,0,43
0,12,5,43
0,12,10,43
0,12,15,43
0,12,20,43
0,12,25,43
0,12,30,43
0,12,35,43
0,12,40,43
0,12,45,43
0,12,50,43
0,12,55,43
0,13,0,44
0,13,5,44
0,13,10,44
0,13,15,44
0,13,20,44
0,13,25,44
0,13,30,44
0,13,35,44
0,13,40,44
0,13,45,44
0,13,50,44
0,13,55,44
0,14,0,44
0,14,5,44
0,14,10,44
0,14,15,44
0,14,20,44
0,14,25,44
0,14,30,44
0,14,35,44
0,14,40,44
0,14,45,44
0,14,50,44
0,14,55,44
0,15,0,45
0,15,5,45
0,15,10,45
0,15,15,45
0,15,20,45
0,15,25,45
0,15,30,45
0,15,35,45
0,15,40,45
0,15,45,45
0,15,50,45
0,15,55,45
0,16,0,45
0,16,5,45
0,16,10,45
0,16,15,46
0,16,20,46
0,16,25,46
0,16,30,47
0,16,35,47
0,16,40,47
0,16,45,48
0,16,50,48
0,16,55,48
0,17,0,49
0,17,5,49
0,17,10,49
0,17,15,50
0,17,20,50
0,17,25,50
0,17,30,51
0,17,35,51
0,17,40,51
0,17,45,52
0,17,50,52
0,17,55,52
0,18,0,53
0,18,5,53
0,18,10,54
0,18,15,54
0,18,20,55
0,18,25,55
0,18,30,56
0,18,35,57
0,18,40,57
0,18,45,58
0,18,50,58
0,18,55,59
0,19,0,60
0,19,5,60
0,19,10,61
0,19,15,62
0,19,20,63
0,19,25,63
0,19,30,64
0,19,35,65
0,19,40,66
0,19,45,66
0,19,50,67
0,19,55,68
0,20,0,69
0,20,5,69
0,20,10,69
0,20,15,69
0,20,20,70
0,20,25,70
0,20,30,70
0,20,35,70
0,20,40,71
0,20,45,71
0,20,50,71
0,20,55,71
0,21,0,72
0,21,5,71
0,21,10,71
0,21,15,71
0,21,20,70
0,21,25,70
0,21,30,70
0,21,35,69
0,21,40,69
0,21,45,69
0,21,50,68
0,21,55,68
0,22,0,68
0,22,5,67
0,22,10,66
0,22,15,65
0,22,20,64
0,22,25,63
0,22,30,63
0,22,35,62
0,22,40,61
0,22,45,60
0,22,50,59
0,22,55,58
0,23,0,58
0,23,5,56
0,23,10,55
0,23,15,53
0,23,20,52
0,23,25,50
0,23,30,49
0,23,35,47
0,23,40,46
0,23,45,44
0,23,50,43
0,23,55,41
1,0,0,40
1,0,5,38
1,0,10,37
1,0,15,35
1,0,20,34
1,0,25,32
1,0,30,31
1,0,35,29
1,0,40,28
1,0,45,26
1,0,50,25
1,0,55,23
1,1,0,22
1,1,5,20
1,1,10,19
1,1,15,18
1,1,20,17
1,1,25,16
1,1,30,15
1,1,35,14
1,1,40,13
1,1,45,12
1,1,50,11
1,1,55,10
1,2,0,9
1,2,5,8
1,2,10,7
1,2,15,7
1,2,20,6
1,2,25,6
1,2,30,5
1,2,35,4
1,2,40,4
1,2,45,3
1,2,50,3
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,1
1,4,25,1
1,4,30,1
1,4,35,1
1,4,40,2
1,4,45,2
1,4,50,2
1,4,55,2
1,5,0,3
1,5,5,3
1,5,10,4
1,5,15,5
1,5,20,5
1,5,25,6
1,5,30,7
1,5,35,7
1,5,40,8
1,5,45,9
1,5,50,9
1,5,55,10
1,6,0,11
1,6,5,11
1,6,10,12
1,6,15,12
1,6,20,13
1,6,25,13
1,6,30,14
1,6,35,15
1,6,40,15
1,6,45,16
1,6,50,16
1,6,55,17
1,7,0,18
1,7,5,18
1,7,10,18
1,7,15,18
1,7,20,19
1,7,25,19
1,7,30,19
1,7,35,19
1,7,40,20
1,7,45,20
1,7,50,20
1,7,55,20
1,8,0,21
1,8,5,21
1,8,10,21
1,8,15,21
1,8,20,21
1,8,25,21
1,8,30,21
1,8,35,21
1,8,40,21
1,8,45,21
1,8,50,21
1,8,55,21
1,9,0,21
1,9,5,21
1,9,10,21
1,9,15,21
1,9,20,21
1,9,25,21
1,9,30,21
1,9,35,21
1,9,40,21
1,9,45,21
1,9,50,21
1,9,55,21
1,10,0,22
1,10,5,22
1,10,10,22
1,10,15,22
1,10,20,22
1,10,25,22
1,10,30,23
1,10,35,23
1,10,40,23
1,10,45,23
1,10,50,23
1,10,55,23
1,11,0,24
1,11,5,24
1,11,10,24
1,11,15,24
1,11,20,24
1,11,25,24
1,11,30,25
1,11,35,25
1,11,40,25
1,11,45,25
