d,h,m,mem
0,0,0,41
0,0,5,39
0,0,10,37
0,0,15,35
0,0,20,34
0,0,25,32
0,0,30,30
0,0,35,28
0,0,40,27
0,0,45,25
0,0,50,23
0,0,55,21
0,1,0,20
0,1,5,19
0,1,10,18
0,1,15,17
0,1,20,16
0,1,25,15
0,1,30,14
0,1,35,13
0,1,40,12
0,1,45,11
0,1,50,10
0,1,55,9
0,2,0,9
0,2,5,8
0,2,10,7
0,2,15,7
0,2,20,6
0,2,25,6
0,2,30,5
0,2,35,4
0,2,40,4
0,2,45,3
0,2,50,3
0,2,55,2
0,3,0,2
0,3,5,1
0,3,10,1
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,2
0,4,30,2
0,4,35,2
0,4,40,3
0,4,45,3
0,4,50,4
0,4,55,4
0,5,0,5
0,5,5,6
0,5,10,7
0,5,15,8
0,5,20,9
0,5,25,10
0,5,30,12
0,5,35,13
0,5,40,14
0,5,45,15
0,5,50,16
0,5,55,17
0,6,0,19
0,6,5,21
0,6,10,23
0,6,15,25
0,6,20,27
0,6,25,29
0,6,30,32
0,6,35,34
0,6,40,36
0,6,45,38
0,6,50,40
0,6,55,42
0,7,0,45
0,7,5,47
0,7,10,49
0,7,15,51
0,7,20,53
0,7,25,55
0,7,30,57
0,7,35,59
0,7,40,61
0,7,45,63
0,7,50,65
0,7,55,67
0,8,0,69
0,8,5,70
0,8,10,71
0,8,15,72
0,8,20,73
0,8,25,74
0,8,30,76
0,8,35,77
0,8,40,78
0,8,45,79
0,8,50,80
0,8,55,81
0,9,0,83
0,9,5,83
0,9,10,84
0,9,15,84
0,9,20,85
0,9,25,85
0,9,30,86
0,9,35,87
0,9,40,87
0,9,45,88
0,9,50,88
0,9,55,89
0,10,0,90
0,10,5,90
0,10,10,90
0,10,15,90
0,10,20,90
0,10,25,90
0,10,30,91
0,10,35,91
0,10,40,91
0,10,45,91
0,10,50,91
0,10,55,91
0,11,0,92
0,11,5,92
0,11,10,92
0,11,15,92
0,11,20,92
0,11,25,92
0,11,30,92
0,11,35,92
0,11,40,92
0,11,45,92
0,11,50,92
0,11,55,92
0,12,0,92
0,12,5,91
0,12,10,90
0,12,15,90
0,12,20,89
0,12,25,88
0,12,30,88
0,12,35,87
0,12,40,86
0,12,45,86
0,12,50,85
0,12,55,84
0,13,0,84
0,13,5,83
0,13,10,82
0,13,15,82
0,13,20,81
0,13,25,80
0,13,30,80
0,13,35,79
0,13,40,78
0,13,45,78
0,13,50,77
0,13,55,76
0,14,0,76
0,14,5,75
0,14,10,75
0,14,15,74
0,14,20,74
0,14,25,73
0,14,30,73
0,14,35,72
0,14,40,72
0,14,45,71
0,14,50,71
0,14,55,70
0,15,0,70
0,15,5,70
0,15,10,70
