d,h,m,mem
0,0,0,16
0,0,5,15
0,0,10,14
0,0,15,13
0,0,20,13
0,0,25,12
0,0,30,11
0,0,35,10
0,0,40,10
0,0,45,9
0,0,50,8
0,0,55,7
0,1,0,7
0,1,5,6
0,1,10,6
0,1,15,5
0,1,20,5
0,1,25,4
0,1,30,4
0,1,35,4
0,1,40,3
0,1,45,3
0,1,50,2
0,1,55,2
0,2,0,2
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,3
0,5,20,4
0,5,25,4
0,5,30,5
0,5,35,6
0,5,40,6
0,5,45,7
0,5,50,7
0,5,55,8
0,6,0,9
0,6,5,9
0,6,10,9
0,6,15,10
0,6,20,10
0,6,25,11
0,6,30,11
0,6,35,11
0,6,40,12
0,6,45,12
0,6,50,13
0,6,55,13
0,7,0,14
0,7,5,14
0,7,10,14
0,7,15,14
0,7,20,14
0,7,25,14
0,7,30,15
0,7,35,15
0,7,40,15
0,7,45,15
0,7,50,15
0,7,55,15
0,8,0,16
0,8,5,16
0,8,10,16
0,8,15,16
0,8,20,16
0,8,25,16
0,8,30,16
0,8,35,16
0,8,40,16
0,8,45,16
0,8,50,16
0,8,55,16
0,9,0,17
0,9,5,16
0,9,10,16
0,9,15,16
0,9,20,16
0,9,25,16
0,9,30,16
0,9,35,16
0,9,40,16
0,9,45,16
0,9,50,16
0,9,55,16
0,10,0,16
0,10,5,16
0,10,10,16
0,10,15,16
0,10,20,16
0,10,25,16
0,10,30,16
0,10,35,16
0,10,40,16
0,10,45,16
0,10,50,16
0,10,55,16
0,11,0,17
0,11,5,17
0,11,10,17
0,11,15,18
0,11,20,18
0,11,25,19
0,11,30,19
0,11,35,19
0,11,40,20
0,11,45,20
0,11,50,21
0,11,55,21
0,12,0,22
0,12,5,22
0,12,10,22
0,12,15,22
0,12,20,22
0,12,25,22
0,12,30,23
0,12,35,23
0,12,40,23
0,12,45,23
0,12,50,23
0,12,55,23
0,13,0,24
0,13,5,24
0,13,10,24
0,13,15,25
0,13,20,25
0,13,25,26
0,13,30,26
0,13,35,26
0,13,40,27
0,13,45,27
0,13,50,28
0,13,55,28
0,14,0,29
0,14,5,29
0,14,10,29
0,14,15,30
0,14,20,30
0,14,25,31
0,14,30,31
0,14,35,31
0,14,40,32
0,14,45,32
0,14,50,33
0,14,55,33
0,15,0,34
0,15,5,34
0,15,10,34
0,15,15,35
0,15,20,35
0,15,25,36
0,15,30,36
0,15,35,36
0,15,40,37
0,15,45,37
0,15,50,38
0,15,55,38
0,16,0,39
0,16,5,39
0,16,10,39
0,16,15,40
0,16,20,40
0,16,25,40
0,16,30,41
0,16,35,41
0,16,40,41
0,16,45,42
0,16,50,42
0,16,55,42
0,17,0,43
0,17,5,43
0,17,10,43
0,17,15,44
0,17,20,44
0,17,25,45
0,17,30,45
0,17,35,45
0,17,40,46
0,17,45,46
0,17,50,47
0,17,55,47
0,18,0,48
0,18,5,48
0,18,10,49
0,18,15,50
0,18,20,51
0,18,25,51
0,18,30,52
0,18,35,53
0,18,40,54
0,18,45,54
0,18,50,55
0,18,55,56
0,19,0,57
0,19,5,57
0,19,10,57
0,19,15,57
0,19,20,58
0,19,25,58
0,19,30,58
0,19,35,58
0,19,40,59
0,19,45,59
0,19,50,59
0,19,55,59
0,20,0,60
0,20,5,59
0,20,10,59
0,20,15,59
0,20,20,59
0,20,25,59
0,20,30,59
0,20,35,58
0,20,40,58
0,20,45,58
0,20,50,58
0,20,55,58
0,21,0,58
0,21,5,57
0,21,10,56
0,21,15,56
0,21,20,55
0,21,25,54
0,21,30,54
0,21,35,53
0,21,40,52
0,21,45,52
0,21,50,51
0,21,55,50
0,22,0,50
0,22,5,48
0,22,10,46
0,22,15,45
0,22,20,43
0,22,25,42
0,22,30,40
0,22,35,38
0,22,40,37
0,22,45,35
0,22,50,34
0,22,55,32
0,23,0,31
0,23,5,31
0,23,10,32
0,23,15,33
0,23,20,34
0,23,25,35
0,23,30,36
0,23,35,37
0,23,40,38
0,23,45,39
0,23,50,40
0,23,55,41
1,0,0,42
1,0,5,40
1,0,10,39
1,0,15,37
1,0,20,36
1,0,25,34
1,0,30,33
1,0,35,31
1,0,40,30
1,0,45,28
1,0,50,27
1,0,55,25
1,1,0,24
1,1,5,23
1,1,10,22
1,1,15,21
1,1,20,20
1,1,25,19
1,1,30,18
1,1,35,17
1,1,40,16
1,1,45,15
1,1,50,14
1,1,55,13
1,2,0,13
1,2,5,12
1,2,10,11
1,2,15,10
1,2,20,10
1,2,25,9
1,2,30,8
1,2,35,7
1,2,40,7
1,2,45,6
1,2,50,5
1,2,55,4
1,3,0,4
1,3,5,3
1,3,10,3
1,3,15,3
1,3,20,2
1,3,25,2
1,3,30,2
1,3,35,1
1,3,40,1
1,3,45,1
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,0
1,5,15,1
1,5,20,1
1,5,25,1
1,5,30,2
1,5,35,2
1,5,40,2
1,5,45,3
1,5,50,3
1,5,55,3
1,6,0,4
1,6,5,4
1,6,10,5
1,6,15,6
1,6,20,7
1,6,25,7
1,6,30,8
1,6,35,9
1,6,40,10
1,6,45,10
1,6,50,11
1,6,55,12
1,7,0,13
1,7,5,14
1,7,10,15
1,7,15,16
1,7,20,17
1,7,25,18
1,7,30,19
1,7,35,20
1,7,40,21
1,7,45,22
1,7,50,23
1,7,55,24
1,8,0,25
1,8,5,25
1,8,10,26
1,8,15,27
1,8,20,28
1,8,25,28
1,8,30,29
1,8,35,30
1,8,40,31
1,8,45,31
1,8,50,32
1,8,55,33
1,9,0,34
1,9,5,34
1,9,10,34
1,9,15,34
1,9,20,35
1,9,25,35
1,9,30,35
1,9,35,35
1,9,40,36
1,9,45,36
1,9,50,36
1,9,55,36
1,10,0,37
1,10,5,37
1,10,10,38
1,10,15,39
1,10,20,40
1,10,25,41
1,10,30,42
1,10,35,42
1,10,40,43
1,10,45,44
1,10,50,45
1,10,55,46
1,11,0,47
1,11,5,47
1,11,10,47
1,11,15,47
1,11,20,48
1,11,25,48
1,11,30,48
1,11,35,48
1,11,40,49
1,11,45,49
1,11,50,49
1,11,55,49
1,12,0,50
1,12,5,50
1,12,10,50
1,12,15,50
1,12,20,51
1,12,25,51
1,12,30,51
1,12,35,51
1,12,40,52
1,12,45,52
1,12,50,52
1,12,55,52
1,13,0,53
1,13,5,53
1,13,10,53
1,13,15,53
1,13,20,53
1,13,25,53
1,13,30,53
1,13,35,53
1,13,40,53
1,13,45,53
1,13,50,53
1,13,55,53
1,14,0,53
1,14,5,52
1,14,10,52
1,14,15,52
1,14,20,52
1,14,25,51
1,14,30,51
1,14,35,51
1,14,40,51
1,14,45,50
1,14,50,50
1,14,55,50
1,15,0,50
1,15,5,50
1,15,10,50
1,15,15,50
1,15,20,50
1,15,25,50
1,15,30,50
1,15,35,50
1,15,40,50
1,15,45,50
1,15,50,50
1,15,55,50
1,16,0,50
1,16,5,50
1,16,10,51
1,16,15,51
1,16,20,52
1,16,25,52
1,16,30,53
1,16,35,53
1,16,40,54
1,16,45,54
1,16,50,55
1,16,55,55
1,17,0,56
1,17,5,56
1,17,10,57
1,17,15,57
1,17,20,58
1,17,25,58
1,17,30,59
1,17,35,60
1,17,40,60
1,17,45,61
1,17,50,61
1,17,55,62
1,18,0,63
1,18,5,63
1,18,10,63
1,18,15,63
1,18,20,63
1,18,25,63
1,18,30,63
1,18,35,63
1,18,40,63
1,18,45,63
1,18,50,63
1,18,55,63
1,19,0,64
1,19,5,63
1,19,10,63
1,19,15,63
1,19,20,63
1,19,25,63
1,19,30,63
1,19,35,62
1,19,40,62
1,19,45,62
1,19,50,62
1,19,55,62
1,20,0,62
1,20,5,62
1,20,10,62
1,20,15,62
1,20,20,62
1,20,25,62
1,20,30,62
1,20,35,62
1,20,40,62
1,20,45,62
1,20,50,62
1,20,55,62
1,21,0,62
1,21,5,61
1,21,10,61
1,21,15,61
1,21,20,61
1,21,25,60
1,21,30,60
1,21,35,60
1,21,40,60
1,21,45,59
1,21,50,59
1,21,55,59
1,22,0,59
1,22,5,58
1,22,10,57
1,22,15,56
1,22,20,55
1,22,25,54
1,22,30,53
1,22,35,52
1,22,40,51
1,22,45,50
1,22,50,49
1,22,55,48
1,23,0,48
1,23,5,46
