d,h,m,mem
0,0,0,50
0,0,5,48
0,0,10,46
0,0,15,45
0,0,20,43
0,0,25,42
0,0,30,40
0,0,35,38
0,0,40,37
0,0,45,35
0,0,50,34
0,0,55,32
0,1,0,31
0,1,5,29
0,1,10,28
0,1,15,27
0,1,20,26
0,1,25,25
0,1,30,24
0,1,35,23
0,1,40,22
0,1,45,21
0,1,50,20
0,1,55,19
0,2,0,18
0,2,5,17
0,2,10,16
0,2,15,15
0,2,20,15
0,2,25,14
0,2,30,13
0,2,35,12
0,2,40,12
0,2,45,11
0,2,50,10
0,2,55,9
0,3,0,9
0,3,5,8
0,3,10,8
0,3,15,7
0,3,20,7
0,3,25,6
0,3,30,6
0,3,35,5
0,3,40,5
0,3,45,4
0,3,50,4
0,3,55,3
0,4,0,3
0,4,5,2
0,4,10,2
0,4,15,2
0,4,20,2
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,1
0,5,10,2
0,5,15,3
0,5,20,5
0,5,25,6
0,5,30,7
0,5,35,8
0,5,40,10
0,5,45,11
0,5,50,12
0,5,55,13
0,6,0,15
0,6,5,16
0,6,10,17
0,6,15,19
0,6,20,20
0,6,25,22
0,6,30,23
0,6,35,24
0,6,40,26
0,6,45,27
0,6,50,29
0,6,55,30
0,7,0,32
0,7,5,33
0,7,10,35
0,7,15,36
0,7,20,38
0,7,25,39
0,7,30,41
0,7,35,43
0,7,40,44
0,7,45,46
0,7,50,47
0,7,55,49
0,8,0,51
0,8,5,52
0,8,10,53
0,8,15,54
0,8,20,55
0,8,25,56
0,8,30,57
0,8,35,58
0,8,40,59
0,8,45,60
0,8,50,61
0,8,55,62
0,9,0,64
0,9,5,64
0,9,10,65
0,9,15,66
0,9,20,67
0,9,25,68
0,9,30,69
0,9,35,69
0,9,40,70
0,9,45,71
0,9,50,72
0,9,55,73
0,10,0,74
0,10,5,74
0,10,10,74
0,10,15,74
0,10,20,74
0,10,25,74
0,10,30,74
0,10,35,74
0,10,40,74
0,10,45,74
0,10,50,74
0,10,55,74
0,11,0,74
0,11,5,73
0,11,10,73
0,11,15,73
0,11,20,73
0,11,25,73
0,11,30,73
0,11,35,73
0,11,40,73
0,11,45,73
0,11,50,73
0,11,55,73
0,12,0,73
0,12,5,72
0,12,10,72
0,12,15,72
0,12,20,72
0,12,25,72
0,12,30,72
0,12,35,72
0,12,40,72
0,12,45,72
0,12,50,72
0,12,55,72
0,13,0,72
0,13,5,72
0,13,10,72
0,13,15,72
0,13,20,73
0,13,25,73
0,13,30,73
0,13,35,73
0,13,40,74
0,13,45,74
0,13,50,74
0,13,55,74
0,14,0,75
0,14,5,74
0,14,10,74
0,14,15,74
0,14,20,74
0,14,25,74
0,14,30,74
0,14,35,73
0,14,40,73
0,14,45,73
0,14,50,73
0,14,55,73
0,15,0,73
0,15,5,73
0,15,10,73
0,15,15,73
0,15,20,73
0,15,25,73
0,15,30,73
0,15,35,73
0,15,40,73
0,15,45,73
0,15,50,73
0,15,55,73
0,16,0,73
0,16,5,73
0,16,10,73
0,16,15,73
0,16,20,74
0,16,25,74
0,16,30,74
0,16,35,74
0,16,40,75
0,16,45,75
0,16,50,75
0,16,55,75
0,17,0,76
0,17,5,76
0,17,10,77
0,17,15,77
0,17,20,78
0,17,25,78
0,17,30,79
0,17,35,79
0,17,40,80
0,17,45,80
0,17,50,81
0,17,55,81
0,18,0,82
0,18,5,82
0,18,10,83
0,18,15,83
0,18,20,84
0,18,25,84
0,18,30,85
0,18,35,86
0,18,40,86
0,18,45,87
0,18,50,87
0,18,55,88
0,19,0,89
0,19,5,89
0,19,10,89
0,19,15,89
0,19,20,89
0,19,25,89
0,19,30,89
0,19,35,89
0,19,40,89
0,19,45,89
0,19,50,89
0,19,55,89
0,20,0,89
0,20,5,88
0,20,10,88
0,20,15,88
0,20,20,88
0,20,25,88
0,20,30,88
0,20,35,88
0,20,40,88
0,20,45,88
0,20,50,88
0,20,55,88
0,21,0,88
0,21,5,87
0,21,10,87
0,21,15,87
0,21,20,87
0,21,25,87
0,21,30,87
0,21,35,86
0,21,40,86
0,21,45,86
0,21,50,86
0,21,55,86
0,22,0,86
0,22,5,83
0,22,10,81
0,22,15,79
0,22,20,77
0,22,25,75
0,22,30,73
0,22,35,70
0,22,40,68
0,22,45,66
0,22,50,64
0,22,55,62
0,23,0,60
0,23,5,58
0,23,10,56
0,23,15,54
0,23,20,53
0,23,25,51
0,23,30,49
0,23,35,47
0,23,40,46
0,23,45,44
0,23,50,42
0,23,55,40
1,0,0,39
1,0,5,37
1,0,10,36
1,0,15,35
1,0,20,34
1,0,25,32
1,0,30,31
1,0,35,30
1,0,40,29
1,0,45,27
1,0,50,26
1,0,55,25
1,1,0,24
1,1,5,23
1,1,10,22
1,1,15,21
1,1,20,20
1,1,25,19
1,1,30,18
1,1,35,17
1,1,40,16
1,1,45,15
1,1,50,14
1,1,55,13
1,2,0,12
1,2,5,11
1,2,10,10
1,2,15,9
1,2,20,9
1,2,25,8
1,2,30,7
1,2,35,6
1,2,40,6
1,2,45,5
1,2,50,4
1,2,55,3
1,3,0,3
1,3,5,2
1,3,10,2
1,3,15,2
1,3,20,2
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,1
1,5,5,1
1,5,10,2
1,5,15,3
1,5,20,4
1,5,25,5
1,5,30,6
1,5,35,6
1,5,40,7
1,5,45,8
1,5,50,9
1,5,55,10
1,6,0,11
1,6,5,12
1,6,10,13
1,6,15,14
1,6,20,15
1,6,25,16
1,6,30,17
1,6,35,18
1,6,40,19
1,6,45,20
1,6,50,21
1,6,55,22
1,7,0,23
1,7,5,24
1,7,10,25
1,7,15,27
1,7,20,28
1,7,25,29
1,7,30,31
1,7,35,32
1,7,40,33
1,7,45,35
1,7,50,36
1,7,55,37
1,8,0,39
1,8,5,40
1,8,10,41
1,8,15,43
1,8,20,44
1,8,25,45
1,8,30,47
1,8,35,48
1,8,40,49
1,8,45,51
1,8,50,52
1,8,55,53
1,9,0,55
1,9,5,55
1,9,10,56
1,9,15,56
1,9,20,57
1,9,25,57
1,9,30,58
1,9,35,59
1,9,40,59
1,9,45,60
1,9,50,60
1,9,55,61
1,10,0,62
1,10,5,62
1,10,10,62
1,10,15,62
1,10,20,62
1,10,25,62
1,10,30,63
1,10,35,63
1,10,40,63
1,10,45,63
1,10,50,63
1,10,55,63
1,11,0,64
1,11,5,64
1,11,10,64
1,11,15,64
1,11,20,64
1,11,25,64
1,11,30,64
1,11,35,64
1,11,40,64
1,11,45,64
1,11,50,64
1,11,55,64
1,12,0,65
1,12,5,65
1,12,10,65
1,12,15,65
1,12,20,65
1,12,25,65
1,12,30,65
1,12,35,65
1,12,40,65
1,12,45,65
1,12,50,65
1,12,55,65
1,13,0,65
1,13,5,64
1,13,10,64
1,13,15,63
1,13,20,63
1,13,25,62
1,13,30,62
1,13,35,62
1,13,40,61
1,13,45,61
1,13,50,60
1,13,55,60
1,14,0,60
1,14,5,60
1,14,10,60
1,14,15,60
1,14,20,60
1,14,25,60
1,14,30,60
1,14,35,60
1,14,40,60
1,14,45,60
1,14,50,60
1,14,55,60
1,15,0,60
1,15,5,60
1,15,10,60
1,15,15,60
