d,h,m,mem
0,0,0,23
0,0,5,21
0,0,10,20
0,0,15,19
0,0,20,18
0,0,25,17
0,0,30,16
0,0,35,14
0,0,40,13
0,0,45,12
0,0,50,11
0,0,55,10
0,1,0,9
0,1,5,8
0,1,10,8
0,1,15,8
0,1,20,7
0,1,25,7
0,1,30,7
0,1,35,6
0,1,40,6
0,1,45,6
0,1,50,5
0,1,55,5
0,2,0,5
0,2,5,4
0,2,10,4
0,2,15,4
0,2,20,4
0,2,25,3
0,2,30,3
0,2,35,3
0,2,40,3
0,2,45,2
0,2,50,2
0,2,55,2
0,3,0,2
0,3,5,1
0,3,10,1
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,0
0,5,15,0
0,5,20,1
0,5,25,1
0,5,30,1
0,5,35,1
0,5,40,2
0,5,45,2
0,5,50,2
0,5,55,2
0,6,0,3
0,6,5,3
0,6,10,4
0,6,15,5
0,6,20,6
0,6,25,7
0,6,30,8
0,6,35,8
0,6,40,9
0,6,45,10
0,6,50,11
0,6,55,12
0,7,0,13
0,7,5,14
0,7,10,15
0,7,15,17
0,7,20,18
0,7,25,19
0,7,30,21
0,7,35,22
0,7,40,23
0,7,45,25
0,7,50,26
0,7,55,27
0,8,0,29
0,8,5,30
0,8,10,31
0,8,15,33
0,8,20,34
0,8,25,36
0,8,30,37
0,8,35,38
0,8,40,40
0,8,45,41
0,8,50,43
0,8,55,44
0,9,0,46
0,9,5,46
0,9,10,47
0,9,15,48
0,9,20,49
0,9,25,50
0,9,30,51
0,9,35,51
0,9,40,52
0,9,45,53
0,9,50,54
0,9,55,55
0,10,0,56
0,10,5,56
0,10,10,56
0,10,15,56
0,10,20,57
0,10,25,57
0,10,30,57
0,10,35,57
0,10,40,58
0,10,45,58
0,10,50,58
0,10,55,58
0,11,0,59
0,11,5,59
0,11,10,59
0,11,15,59
0,11,20,59
0,11,25,59
0,11,30,60
0,11,35,60
0,11,40,60
0,11,45,60
0,11,50,60
0,11,55,60
0,12,0,61
0,12,5,61
0,12,10,61
0,12,15,61
0,12,20,61
0,12,25,61
0,12,30,61
0,12,35,61
0,12,40,61
0,12,45,61
0,12,50,61
0,12,55,61
0,13,0,61
0,13,5,60
0,13,10,60
0,13,15,60
0,13,20,60
0,13,25,60
0,13,30,60
0,13,35,60
0,13,40,60
0,13,45,60
0,13,50,60
0,13,55,60
0,14,0,60
0,14,5,59
0,14,10,59
0,14,15,59
0,14,20,59
0,14,25,59
0,14,30,59
0,14,35,59
0,14,40,59
0,14,45,59
0,14,50,59
0,14,55,59
0,15,0,59
0,15,5,59
0,15,10,59
0,15,15,59
0,15,20,60
0,15,25,60
0,15,30,60
0,15,35,60
0,15,40,61
0,15,45,61
0,15,50,61
0,15,55,61
0,16,0,62
0,16,5,62
0,16,10,63
0,16,15,63
0,16,20,64
0,16,25,64
0,16,30,65
0,16,35,65
0,16,40,66
0,16,45,66
0,16,50,67
0,16,55,67
0,17,0,68
0,17,5,68
0,17,10,69
0,17,15,70
0,17,20,71
0,17,25,72
0,17,30,73
0,17,35,73
0,17,40,74
0,17,45,75
0,17,50,76
0,17,55,77
0,18,0,78
0,18,5,79
0,18,10,80
0,18,15,81
0,18,20,82
0,18,25,83
0,18,30,84
0,18,35,85
0,18,40,86
0,18,45,87
0,18,50,88
0,18,55,89
0,19,0,91
0,19,5,91
0,19,10,91
0,19,15,91
0,19,20,91
0,19,25,91
0,19,30,92
0,19,35,92
0,19,40,92
0,19,45,92
0,19,50,92
0,19,55,92
0,20,0,93
0,20,5,92
0,20,10,91
0,20,15,91
0,20,20,90
0,20,25,90
0,20,30,89
0,20,35,88
0,20,40,88
0,20,45,87
0,20,50,87
0,20,55,86
0,21,0,86
0,21,5,84
0,21,10,82
0,21,15,80
0,21,20,78
0,21,25,76
0,21,30,74
0,21,35,72
0,21,40,70
0,21,45,68
0,21,50,66
0,21,55,64
0,22,0,62
0,22,5,59
0,22,10,57
0,22,15,55
0,22,20,53
0,22,25,51
0,22,30,49
0,22,35,46
0,22,40,44
0,22,45,42
0,22,50,40
0,22,55,38
0,23,0,36
0,23,5,37
0,23,10,38
0,23,15,39
0,23,20,40
0,23,25,41
0,23,30,42
0,23,35,43
0,23,40,44
0,23,45,45
0,23,50,46
0,23,55,47
1,0,0,49
1,0,5,46
1,0,10,44
1,0,15,42
1,0,20,40
1,0,25,38
1,0,30,36
1,0,35,33
1,0,40,31
1,0,45,29
1,0,50,27
1,0,55,25
1,1,0,23
1,1,5,21
1,1,10,20
1,1,15,19
1,1,20,18
1,1,25,17
1,1,30,16
1,1,35,15
1,1,40,14
1,1,45,13
1,1,50,12
1,1,55,11
1,2,0,10
1,2,5,9
1,2,10,8
1,2,15,8
1,2,20,7
1,2,25,6
1,2,30,6
1,2,35,5
1,2,40,4
1,2,45,4
1,2,50,3
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,1
1,4,15,2
1,4,20,3
1,4,25,3
1,4,30,4
1,4,35,5
1,4,40,6
1,4,45,6
1,4,50,7
1,4,55,8
1,5,0,9
1,5,5,10
1,5,10,12
