d,h,m,mem
0,0,0,29
0,0,5,27
0,0,10,26
0,0,15,25
0,0,20,24
0,0,25,22
0,0,30,21
0,0,35,20
0,0,40,19
0,0,45,17
0,0,50,16
0,0,55,15
0,1,0,14
0,1,5,13
0,1,10,12
0,1,15,11
0,1,20,11
0,1,25,10
0,1,30,9
0,1,35,8
0,1,40,8
0,1,45,7
0,1,50,6
0,1,55,5
0,2,0,5
0,2,5,4
0,2,10,4
0,2,15,4
0,2,20,3
0,2,25,3
0,2,30,3
0,2,35,2
0,2,40,2
0,2,45,2
0,2,50,1
0,2,55,1
0,3,0,1
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,3
0,5,20,4
0,5,25,4
0,5,30,5
0,5,35,6
0,5,40,6
0,5,45,7
0,5,50,7
0,5,55,8
0,6,0,9
0,6,5,9
0,6,10,9
0,6,15,9
0,6,20,10
0,6,25,10
0,6,30,10
0,6,35,10
0,6,40,11
0,6,45,11
0,6,50,11
0,6,55,11
0,7,0,12
0,7,5,12
0,7,10,12
0,7,15,13
0,7,20,13
0,7,25,13
0,7,30,14
0,7,35,14
0,7,40,14
0,7,45,15
0,7,50,15
0,7,55,15
0,8,0,16
0,8,5,16
0,8,10,16
0,8,15,16
0,8,20,16
0,8,25,16
0,8,30,16
0,8,35,16
0,8,40,16
0,8,45,16
0,8,50,16
0,8,55,16
0,9,0,17
0,9,5,16
0,9,10,16
0,9,15,16
0,9,20,16
0,9,25,16
0,9,30,16
0,9,35,16
0,9,40,16
0,9,45,16
0,9,50,16
0,9,55,16
0,10,0,16
0,10,5,16
0,10,10,16
0,10,15,16
0,10,20,16
0,10,25,16
0,10,30,16
0,10,35,16
0,10,40,16
0,10,45,16
0,10,50,16
0,10,55,16
0,11,0,17
0,11,5,17
0,11,10,17
0,11,15,17
0,11,20,18
0,11,25,18
0,11,30,18
0,11,35,18
0,11,40,19
0,11,45,19
0,11,50,19
0,11,55,19
0,12,0,20
0,12,5,20
0,12,10,20
0,12,15,20
0,12,20,20
0,12,25,20
0,12,30,20
0,12,35,20
0,12,40,20
0,12,45,20
0,12,50,20
0,12,55,20
0,13,0,21
0,13,5,21
0,13,10,21
0,13,15,21
0,13,20,21
0,13,25,21
0,13,30,22
0,13,35,22
0,13,40,22
0,13,45,22
0,13,50,22
0,13,55,22
0,14,0,23
0,14,5,23
0,14,10,23
0,14,15,24
0,14,20,24
0,14,25,25
0,14,30,25
0,14,35,25
0,14,40,26
0,14,45,26
0,14,50,27
0,14,55,27
0,15,0,28
0,15,5,28
0,15,10,29
0,15,15,29
0,15,20,30
0,15,25,30
0,15,30,31
0,15,35,31
0,15,40,32
0,15,45,32
0,15,50,33
0,15,55,33
0,16,0,34
0,16,5,36
0,16,10,38
0,16,15,40
0,16,20,42
0,16,25,44
0,16,30,47
0,16,35,49
0,16,40,51
0,16,45,53
0,16,50,55
0,16,55,57
0,17,0,60
0,17,5,62
0,17,10,64
0,17,15,67
0,17,20,69
0,17,25,71
0,17,30,74
0,17,35,76
0,17,40,78
0,17,45,81
0,17,50,83
0,17,55,85
0,18,0,88
0,18,5,85
0,18,10,83
0,18,15,81
0,18,20,79
0,18,25,77
0,18,30,75
0,18,35,72
0,18,40,70
0,18,45,68
0,18,50,66
0,18,55,64
0,19,0,62
0,19,5,62
0,19,10,62
0,19,15,62
0,19,20,62
0,19,25,62
0,19,30,63
0,19,35,63
0,19,40,63
0,19,45,63
0,19,50,63
0,19,55,63
0,20,0,64
0,20,5,63
0,20,10,63
0,20,15,63
0,20,20,62
0,20,25,62
0,20,30,62
0,20,35,61
0,20,40,61
0,20,45,61
0,20,50,60
0,20,55,60
0,21,0,60
0,21,5,59
0,21,10,59
0,21,15,59
0,21,20,59
0,21,25,59
0,21,30,59
0,21,35,58
0,21,40,58
0,21,45,58
0,21,50,58
0,21,55,58
0,22,0,58
0,22,5,56
0,22,10,55
0,22,15,54
0,22,20,53
0,22,25,52
0,22,30,51
0,22,35,50
0,22,40,49
0,22,45,48
0,22,50,47
0,22,55,46
0,23,0,45
0,23,5,43
0,23,10,42
0,23,15,41
0,23,20,40
0,23,25,39
0,23,30,38
0,23,35,37
0,23,40,36
0,23,45,35
0,23,50,34
0,23,55,33
1,0,0,32
1,0,5,30
1,0,10,29
1,0,15,28
1,0,20,27
1,0,25,26
1,0,30,25
1,0,35,23
1,0,40,22
1,0,45,21
1,0,50,20
1,0,55,19
1,1,0,18
1,1,5,17
1,1,10,16
1,1,15,15
1,1,20,14
1,1,25,13
1,1,30,12
1,1,35,11
1,1,40,10
1,1,45,9
1,1,50,8
1,1,55,7
1,2,0,7
1,2,5,6
1,2,10,6
1,2,15,5
1,2,20,5
1,2,25,4
1,2,30,4
1,2,35,4
1,2,40,3
1,2,45,3
1,2,50,2
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,1
1,5,15,1
1,5,20,2
1,5,25,2
1,5,30,3
1,5,35,4
1,5,40,4
1,5,45,5
1,5,50,5
1,5,55,6
1,6,0,7
1,6,5,7
1,6,10,7
1,6,15,8
1,6,20,8
1,6,25,8
1,6,30,9
1,6,35,9
1,6,40,9
1,6,45,10
1,6,50,10
1,6,55,10
1,7,0,11
1,7,5,11
1,7,10,11
1,7,15,11
1,7,20,11
1,7,25,11
1,7,30,12
1,7,35,12
1,7,40,12
1,7,45,12
1,7,50,12
1,7,55,12
1,8,0,13
1,8,5,13
1,8,10,13
1,8,15,13
1,8,20,13
1,8,25,13
1,8,30,13
1,8,35,13
1,8,40,13
1,8,45,13
1,8,50,13
1,8,55,13
1,9,0,14
1,9,5,14
1,9,10,14
1,9,15,14
1,9,20,15
1,9,25,15
1,9,30,15
1,9,35,15
1,9,40,16
1,9,45,16
1,9,50,16
1,9,55,16
1,10,0,17
1,10,5,17
1,10,10,17
1,10,15,17
1,10,20,17
1,10,25,17
1,10,30,17
1,10,35,17
1,10,40,17
1,10,45,17
1,10,50,17
1,10,55,17
1,11,0,17
1,11,5,17
1,11,10,17
1,11,15,17
1,11,20,17
1,11,25,17
1,11,30,18
1,11,35,18
1,11,40,18
1,11,45,18
1,11,50,18
1,11,55,18
1,12,0,19
1,12,5,19
1,12,10,19
1,12,15,19
1,12,20,19
1,12,25,19
1,12,30,20
1,12,35,20
1,12,40,20
1,12,45,20
1,12,50,20
1,12,55,20
1,13,0,21
1,13,5,21
1,13,10,22
1,13,15,22
1,13,20,23
1,13,25,23
1,13,30,24
1,13,35,25
1,13,40,25
1,13,45,26
1,13,50,26
1,13,55,27
1,14,0,28
1,14,5,28
1,14,10,29
1,14,15,29
1,14,20,30
1,14,25,30
1,14,30,31
1,14,35,31
1,14,40,32
1,14,45,32
1,14,50,33
1,14,55,33
1,15,0,34
1,15,5,34
1,15,10,35
1,15,15,36
1,15,20,37
1,15,25,37
1,15,30,38
1,15,35,39
1,15,40,40
1,15,45,40
1,15,50,41
1,15,55,42
1,16,0,43
1,16,5,43
1,16,10,43
1,16,15,43
1,16,20,43
1,16,25,43
1,16,30,43
1,16,35,43
1,16,40,43
1,16,45,43
1,16,50,43
1,16,55,43
1,17,0,43
1,17,5,43
1,17,10,44
1,17,15,44
1,17,20,45
1,17,25,45
1,17,30,46
1,17,35,47
1,17,40,47
1,17,45,48
1,17,50,48
1,17,55,49
1,18,0,50
1,18,5,51
1,18,10,52
1,18,15,53
1,18,20,54
1,18,25,55
1,18,30,56
1,18,35,57
1,18,40,58
1,18,45,59
1,18,50,60
1,18,55,61
1,19,0,62
1,19,5,62
1,19,10,62
1,19,15,62
1,19,20,63
1,19,25,63
1,19,30,63
1,19,35,63
1,19,40,64
1,19,45,64
1,19,50,64
1,19,55,64
1,20,0,65
1,20,5,65
1,20,10,65
1,20,15,66
1,20,20,66
1,20,25,66
1,20,30,67
1,20,35,67
1,20,40,67
1,20,45,68
1,20,50,68
1,20,55,68
1,21,0,69
1,21,5,68
1,21,10,68
1,21,15,68
1,21,20,68
1,21,25,68
1,21,30,68
1,21,35,68
1,21,40,68
1,21,45,68
1,21,50,68
1,21,55,68
1,22,0,68
1,22,5,67
1,22,10,66
1,22,15,65
1,22,20,64
1,22,25,63
1,22,30,62
1,22,35,61
1,22,40,60
1,22,45,59
1,22,50,58
1,22,55,57
1,23,0,56
1,23,5,55
1,23,10,54
1,23,15,53
1,23,20,53
1,23,25,52
1,23,30,51
1,23,35,50
1,23,40,50
1,23,45,49
1,23,50,48
1,23,55,47
2,0,0,47
2,0,5,45
2,0,10,44
2,0,15,42
2,0,20,41
2,0,25,39
2,0,30,38
2,0,35,36
2,0,40,35
2,0,45,33
2,0,50,32
2,0,55,30
2,1,0,29
2,1,5,27
2,1,10,26
2,1,15,25
2,1,20,24
2,1,25,23
2,1,30,22
2,1,35,20
2,1,40,19
2,1,45,18
2,1,50,17
2,1,55,16
2,2,0,15
2,2,5,14
2,2,10,13
2,2,15,13
2,2,20,12
2,2,25,11
2,2,30,11
2,2,35,10
2,2,40,9
2,2,45,9
2,2,50,8
2,2,55,7
2,3,0,7
2,3,5,6
2,3,10,6
2,3,15,5
2,3,20,5
2,3,25,4
2,3,30,4
2,3,35,3
2,3,40,3
2,3,45,2
2,3,50,2
2,3,55,1
2,4,0,1
2,4,5,0
2,4,10,0
2,4,15,0
2,4,20,0
2,4,25,0
2,4,30,0
2,4,35,0
2,4,40,0
2,4,45,0
2,4,50,0
2,4,55,0
2,5,0,0
2,5,5,0
2,5,10,1
2,5,15,2
2,5,20,2
2,5,25,3
2,5,30,4
2,5,35,4
2,5,40,5
2,5,45,6
2,5,50,6
2,5,55,7
2,6,0,8
2,6,5,9
2,6,10,10
2,6,15,11
2,6,20,12
2,6,25,13
2,6,30,15
2,6,35,16
2,6,40,17
2,6,45,18
2,6,50,19
2,6,55,20
2,7,0,22
2,7,5,23
2,7,10,24
2,7,15,26
2,7,20,27
2,7,25,29
2,7,30,30
2,7,35,31
2,7,40,33
2,7,45,34
2,7,50,36
2,7,55,37
2,8,0,39
2,8,5,39
2,8,10,40
2,8,15,41
2,8,20,42
2,8,25,43
2,8,30,44
2,8,35,45
2,8,40,46
2,8,45,47
2,8,50,48
2,8,55,49
2,9,0,50
2,9,5,50
2,9,10,51
2,9,15,52
2,9,20,53
2,9,25,54
2,9,30,55
2,9,35,55
2,9,40,56
2,9,45,57
2,9,50,58
2,9,55,59
2,10,0,60
2,10,5,60
2,10,10,60
2,10,15,60
2,10,20,60
2,10,25,60
2,10,30,61
2,10,35,61
2,10,40,61
2,10,45,61
2,10,50,61
2,10,55,61
2,11,0,62
2,11,5,62
2,11,10,62
2,11,15,62
2,11,20,62
2,11,25,62
2,11,30,62
2,11,35,62
2,11,40,62
2,11,45,62
2,11,50,62
2,11,55,62
2,12,0,63
2,12,5,63
2,12,10,63
2,12,15,63
2,12,20,63
2,12,25,63
2,12,30,64
2,12,35,64
2,12,40,64
2,12,45,64
2,12,50,64
2,12,55,64
2,13,0,65
2,13,5,65
2,13,10,65
2,13,15,65
2,13,20,65
2,13,25,65
2,13,30,65
2,13,35,65
2,13,40,65
2,13,45,65
2,13,50,65
2,13,55,65
2,14,0,65
2,14,5,64
2,14,10,64
2,14,15,64
2,14,20,63
2,14,25,63
2,14,30,63
2,14,35,62
2,14,40,62
2,14,45,62
2,14,50,61
2,14,55,61
2,15,0,61
2,15,5,61
2,15,10,61
2,15,15,61
2,15,20,61
2,15,25,61
2,15,30,62
2,15,35,62
2,15,40,62
2,15,45,62
2,15,50,62
2,15,55,62
2,16,0,63
2,16,5,63
2,16,10,63
2,16,15,63
2,16,20,63
2,16,25,63
2,16,30,63
2,16,35,63
2,16,40,63
2,16,45,63
2,16,50,63
2,16,55,63
2,17,0,64
2,17,5,64
2,17,10,65
2,17,15,66
2,17,20,66
2,17,25,67
2,17,30,68
2,17,35,68
2,17,40,69
2,17,45,70
2,17,50,70
2,17,55,71
2,18,0,72
2,18,5,72
2,18,10,73
2,18,15,74
2,18,20,75
2,18,25,76
2,18,30,77
2,18,35,78
2,18,40,79
2,18,45,80
2,18,50,81
2,18,55,82
2,19,0,83
2,19,5,83
2,19,10,83
2,19,15,84
2,19,20,84
2,19,25,85
2,19,30,85
2,19,35,85
2,19,40,86
2,19,45,86
2,19,50,87
2,19,55,87
2,20,0,88
2,20,5,88
2,20,10,88
2,20,15,88
2,20,20,88
2,20,25,88
2,20,30,88
2,20,35,88
2,20,40,88
2,20,45,88
2,20,50,88
2,20,55,88
2,21,0,89
2,21,5,88
2,21,10,88
2,21,15,87
2,21,20,87
2,21,25,86
2,21,30,86
2,21,35,85
2,21,40,85
2,21,45,84
2,21,50,84
2,21,55,83
2,22,0,83
2,22,5,81
2,22,10,79
2,22,15,78
2,22,20,76
2,22,25,75
2,22,30,73
2,22,35,71
2,22,40,70
2,22,45,68
2,22,50,67
2,22,55,65
2,23,0,64
2,23,5,62
2,23,10,61
2,23,15,60
2,23,20,58
2,23,25,57
2,23,30,56
2,23,35,54
2,23,40,53
2,23,45,52
2,23,50,50
2,23,55,49
3,0,0,48
3,0,5,45
3,0,10,43
3,0,15,41
3,0,20,39
3,0,25,36
3,0,30,34
3,0,35,32
3,0,40,30
3,0,45,27
3,0,50,25
3,0,55,23
3,1,0,21
3,1,5,19
3,1,10,18
3,1,15,17
3,1,20,16
3,1,25,15
3,1,30,14
3,1,35,13
3,1,40,12
3,1,45,11
3,1,50,10
3,1,55,9
3,2,0,8
3,2,5,7
3,2,10,6
3,2,15,6
3,2,20,5
3,2,25,5
3,2,30,4
3,2,35,3
3,2,40,3
3,2,45,2
3,2,50,2
3,2,55,1
3,3,0,1
3,3,5,0
3,3,10,0
3,3,15,0
3,3,20,0
3,3,25,0
3,3,30,0
3,3,35,0
3,3,40,0
3,3,45,0
3,3,50,0
3,3,55,0
3,4,0,0
3,4,5,0
3,4,10,0
3,4,15,1
3,4,20,1
3,4,25,2
3,4,30,2
3,4,35,2
3,4,40,3
3,4,45,3
3,4,50,4
3,4,55,4
3,5,0,5
3,5,5,6
3,5,10,7
3,5,15,8
3,5,20,9
3,5,25,10
3,5,30,11
3,5,35,12
3,5,40,13
3,5,45,14
3,5,50,15
3,5,55,16
3,6,0,17
3,6,5,17
3,6,10,18
3,6,15,18
3,6,20,19
3,6,25,19
3,6,30,20
3,6,35,21
3,6,40,21
3,6,45,22
3,6,50,22
3,6,55,23
3,7,0,24
3,7,5,24
3,7,10,24
3,7,15,24
3,7,20,25
3,7,25,25
3,7,30,25
3,7,35,25
3,7,40,26
3,7,45,26
3,7,50,26
3,7,55,26
3,8,0,27
3,8,5,27
3,8,10,27
3,8,15,28
3,8,20,28
3,8,25,28
3,8,30,29
3,8,35,29
3,8,40,29
3,8,45,30
3,8,50,30
3,8,55,30
3,9,0,31
3,9,5,31
3,9,10,31
3,9,15,31
3,9,20,31
3,9,25,31
3,9,30,31
3,9,35,31
3,9,40,31
3,9,45,31
3,9,50,31
3,9,55,31
3,10,0,31
3,10,5,31
3,10,10,31
3,10,15,31
3,10,20,32
3,10,25,32
3,10,30,32
3,10,35,32
3,10,40,33
3,10,45,33
3,10,50,33
3,10,55,33
3,11,0,34
3,11,5,34
3,11,10,34
3,11,15,34
3,11,20,34
3,11,25,34
3,11,30,34
3,11,35,34
3,11,40,34
3,11,45,34
3,11,50,34
3,11,55,34
3,12,0,35
3,12,5,35
3,12,10,35
3,12,15,36
3,12,20,36
3,12,25,37
3,12,30,37
3,12,35,37
3,12,40,38
3,12,45,38
3,12,50,39
3,12,55,39
3,13,0,40
3,13,5,41
3,13,10,42
3,13,15,43
3,13,20,44
3,13,25,45
3,13,30,46
3,13,35,47
3,13,40,48
3,13,45,49
3,13,50,50
3,13,55,51
3,14,0,52
3,14,5,52
3,14,10,53
3,14,15,53
3,14,20,54
3,14,25,54
3,14,30,55
3,14,35,56
3,14,40,56
3,14,45,57
3,14,50,57
3,14,55,58
3,15,0,59
3,15,5,59
3,15,10,60
3,15,15,60
3,15,20,61
3,15,25,61
3,15,30,62
3,15,35,63
3,15,40,63
3,15,45,64
3,15,50,64
3,15,55,65
3,16,0,66
3,16,5,66
3,16,10,67
3,16,15,68
3,16,20,69
3,16,25,70
3,16,30,71
3,16,35,71
3,16,40,72
3,16,45,73
3,16,50,74
3,16,55,75
3,17,0,76
3,17,5,76
3,17,10,76
3,17,15,76
3,17,20,77
3,17,25,77
3,17,30,77
3,17,35,77
3,17,40,78
3,17,45,78
3,17,50,78
3,17,55,78
3,18,0,79
3,18,5,79
3,18,10,80
3,18,15,81
3,18,20,81
3,18,25,82
3,18,30,83
3,18,35,83
3,18,40,84
3,18,45,85
3,18,50,85
3,18,55,86
3,19,0,87
3,19,5,87
3,19,10,87
3,19,15,87
3,19,20,88
3,19,25,88
3,19,30,88
3,19,35,88
3,19,40,89
3,19,45,89
3,19,50,89
3,19,55,89
3,20,0,90
3,20,5,89
3,20,10,89
3,20,15,89
3,20,20,89
3,20,25,89
3,20,30,89
3,20,35,88
3,20,40,88
3,20,45,88
3,20,50,88
3,20,55,88
3,21,0,88
3,21,5,87
3,21,10,86
3,21,15,85
3,21,20,85
3,21,25,84
3,21,30,83
3,21,35,82
3,21,40,82
3,21,45,81
3,21,50,80
3,21,55,79
3,22,0,79
3,22,5,77
3,22,10,76
3,22,15,75
3,22,20,74
3,22,25,73
3,22,30,72
3,22,35,70
3,22,40,69
3,22,45,68
3,22,50,67
3,22,55,66
3,23,0,65
3,23,5,63
3,23,10,61
3,23,15,60
3,23,20,58
3,23,25,56
3,23,30,55
3,23,35,53
3,23,40,51
3,23,45,50
3,23,50,48
3,23,55,46
4,0,0,45
4,0,5,43
4,0,10,41
4,0,15,40
4,0,20,38
4,0,25,36
4,0,30,35
4,0,35,33
4,0,40,31
4,0,45,30
4,0,50,28
4,0,55,26
4,1,0,25
4,1,5,23
4,1,10,22
4,1,15,21
4,1,20,20
4,1,25,18
4,1,30,17
4,1,35,16
4,1,40,15
4,1,45,13
4,1,50,12
4,1,55,11
4,2,0,10
4,2,5,9
4,2,10,8
4,2,15,8
4,2,20,7
4,2,25,6
4,2,30,6
4,2,35,5
4,2,40,4
4,2,45,4
4,2,50,3
4,2,55,2
4,3,0,2
4,3,5,1
4,3,10,1
4,3,15,1
4,3,20,1
4,3,25,1
4,3,30,1
4,3,35,0
4,3,40,0
4,3,45,0
4,3,50,0
4,3,55,0
4,4,0,0
4,4,5,0
4,4,10,0
4,4,15,0
4,4,20,1
4,4,25,1
4,4,30,1
4,4,35,1
4,4,40,2
4,4,45,2
4,4,50,2
4,4,55,2
4,5,0,3
4,5,5,3
4,5,10,4
4,5,15,5
