d,h,m,mem
0,0,0,26
0,0,5,25
0,0,10,24
0,0,15,23
0,0,20,22
0,0,25,21
0,0,30,20
0,0,35,19
0,0,40,18
0,0,45,17
0,0,50,16
0,0,55,15
0,1,0,14
0,1,5,13
0,1,10,12
0,1,15,11
0,1,20,11
0,1,25,10
0,1,30,9
0,1,35,8
0,1,40,8
0,1,45,7
0,1,50,6
0,1,55,5
0,2,0,5
0,2,5,4
0,2,10,4
0,2,15,4
0,2,20,3
0,2,25,3
0,2,30,3
0,2,35,2
0,2,40,2
0,2,45,2
0,2,50,1
0,2,55,1
0,3,0,1
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,1
0,4,30,2
0,4,35,2
0,4,40,2
0,4,45,3
0,4,50,3
0,4,55,3
0,5,0,4
0,5,5,5
0,5,10,6
0,5,15,7
0,5,20,8
0,5,25,9
0,5,30,10
0,5,35,11
0,5,40,12
0,5,45,13
0,5,50,14
0,5,55,15
0,6,0,16
0,6,5,16
0,6,10,17
0,6,15,18
0,6,20,19
0,6,25,20
0,6,30,21
0,6,35,21
0,6,40,22
0,6,45,23
0,6,50,24
0,6,55,25
0,7,0,26
0,7,5,26
0,7,10,26
0,7,15,26
0,7,20,27
0,7,25,27
0,7,30,27
0,7,35,27
0,7,40,28
0,7,45,28
0,7,50,28
0,7,55,28
0,8,0,29
0,8,5,29
0,8,10,29
0,8,15,29
0,8,20,29
0,8,25,29
0,8,30,29
0,8,35,29
0,8,40,29
0,8,45,29
0,8,50,29
0,8,55,29
0,9,0,30
0,9,5,30
0,9,10,30
0,9,15,30
0,9,20,30
0,9,25,30
0,9,30,31
0,9,35,31
0,9,40,31
0,9,45,31
0,9,50,31
0,9,55,31
0,10,0,32
0,10,5,32
0,10,10,32
0,10,15,32
0,10,20,32
0,10,25,32
0,10,30,32
0,10,35,32
0,10,40,32
0,10,45,32
0,10,50,32
0,10,55,32
0,11,0,33
0,11,5,33
0,11,10,33
0,11,15,33
0,11,20,33
0,11,25,33
0,11,30,33
0,11,35,33
0,11,40,33
0,11,45,33
0,11,50,33
0,11,55,33
0,12,0,34
0,12,5,34
0,12,10,34
0,12,15,34
0,12,20,34
0,12,25,34
0,12,30,35
0,12,35,35
0,12,40,35
0,12,45,35
0,12,50,35
0,12,55,35
0,13,0,36
0,13,5,36
0,13,10,36
0,13,15,36
0,13,20,36
0,13,25,36
0,13,30,36
0,13,35,36
0,13,40,36
0,13,45,36
0,13,50,36
0,13,55,36
0,14,0,37
0,14,5,37
0,14,10,37
0,14,15,37
0,14,20,37
0,14,25,37
0,14,30,38
0,14,35,38
0,14,40,38
0,14,45,38
0,14,50,38
0,14,55,38
0,15,0,39
0,15,5,39
0,15,10,39
0,15,15,39
0,15,20,39
0,15,25,39
0,15,30,39
0,15,35,39
0,15,40,39
0,15,45,39
0,15,50,39
0,15,55,39
0,16,0,39
0,16,5,39
0,16,10,39
0,16,15,39
0,16,20,39
0,16,25,39
0,16,30,39
0,16,35,39
0,16,40,39
0,16,45,39
0,16,50,39
0,16,55,39
0,17,0,39
0,17,5,38
0,17,10,38
0,17,15,38
0,17,20,38
0,17,25,38
0,17,30,38
0,17,35,38
0,17,40,38
0,17,45,38
0,17,50,38
0,17,55,38
0,18,0,38
0,18,5,38
0,18,10,38
0,18,15,38
0,18,20,38
0,18,25,38
0,18,30,38
0,18,35,38
0,18,40,38
0,18,45,38
0,18,50,38
0,18,55,38
0,19,0,38
0,19,5,38
0,19,10,38
0,19,15,38
0,19,20,38
0,19,25,38
0,19,30,38
0,19,35,38
0,19,40,38
0,19,45,38
0,19,50,38
0,19,55,38
0,20,0,38
0,20,5,37
0,20,10,37
0,20,15,37
0,20,20,37
0,20,25,37
0,20,30,37
