d,h,m,mem
0,0,0,44
0,0,5,42
0,0,10,41
0,0,15,40
0,0,20,39
0,0,25,38
0,0,30,37
0,0,35,35
0,0,40,34
0,0,45,33
0,0,50,32
0,0,55,31
0,1,0,30
0,1,5,28
0,1,10,27
0,1,15,26
0,1,20,25
0,1,25,24
0,1,30,23
0,1,35,21
0,1,40,20
0,1,45,19
0,1,50,18
0,1,55,17
0,2,0,16
0,2,5,15
0,2,10,14
0,2,15,13
0,2,20,12
0,2,25,11
0,2,30,11
0,2,35,10
0,2,40,9
0,2,45,8
0,2,50,7
0,2,55,6
0,3,0,6
0,3,5,5
0,3,10,5
0,3,15,4
0,3,20,4
0,3,25,3
0,3,30,3
0,3,35,3
0,3,40,2
0,3,45,2
0,3,50,1
0,3,55,1
0,4,0,1
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,1
0,5,20,2
0,5,25,2
0,5,30,3
0,5,35,3
0,5,40,4
0,5,45,4
0,5,50,5
0,5,55,5
0,6,0,6
0,6,5,6
0,6,10,7
0,6,15,8
0,6,20,9
0,6,25,9
0,6,30,10
0,6,35,11
0,6,40,12
0,6,45,12
0,6,50,13
0,6,55,14
0,7,0,15
0,7,5,15
0,7,10,16
0,7,15,17
0,7,20,18
0,7,25,19
0,7,30,20
0,7,35,21
0,7,40,22
0,7,45,23
0,7,50,24
0,7,55,25
0,8,0,26
0,8,5,26
0,8,10,27
0,8,15,28
0,8,20,29
0,8,25,30
0,8,30,31
0,8,35,32
0,8,40,33
0,8,45,34
0,8,50,35
0,8,55,36
0,9,0,37
0,9,5,37
0,9,10,38
0,9,15,38
0,9,20,39
0,9,25,39
0,9,30,40
0,9,35,40
0,9,40,41
0,9,45,41
0,9,50,42
0,9,55,42
0,10,0,43
0,10,5,43
0,10,10,43
0,10,15,43
0,10,20,43
0,10,25,43
0,10,30,44
0,10,35,44
0,10,40,44
0,10,45,44
0,10,50,44
0,10,55,44
0,11,0,45
0,11,5,45
0,11,10,45
0,11,15,45
0,11,20,46
0,11,25,46
0,11,30,46
0,11,35,46
0,11,40,47
0,11,45,47
0,11,50,47
0,11,55,47
0,12,0,48
0,12,5,48
0,12,10,48
0,12,15,49
0,12,20,49
0,12,25,50
0,12,30,50
0,12,35,50
0,12,40,51
0,12,45,51
0,12,50,52
0,12,55,52
0,13,0,53
0,13,5,52
0,13,10,52
0,13,15,52
0,13,20,52
0,13,25,52
0,13,30,52
0,13,35,51
0,13,40,51
0,13,45,51
0,13,50,51
0,13,55,51
0,14,0,51
0,14,5,50
0,14,10,50
0,14,15,50
0,14,20,50
0,14,25,49
0,14,30,49
0,14,35,49
0,14,40,49
0,14,45,48
0,14,50,48
0,14,55,48
0,15,0,48
0,15,5,48
0,15,10,48
0,15,15,48
0,15,20,48
0,15,25,48
0,15,30,48
0,15,35,48
0,15,40,48
0,15,45,48
0,15,50,48
0,15,55,48
0,16,0,49
0,16,5,49
0,16,10,50
0,16,15,50
0,16,20,51
0,16,25,51
0,16,30,52
0,16,35,52
0,16,40,53
0,16,45,53
0,16,50,54
0,16,55,54
0,17,0,55
0,17,5,55
0,17,10,56
0,17,15,57
0,17,20,57
0,17,25,58
0,17,30,59
0,17,35,59
0,17,40,60
0,17,45,61
0,17,50,61
0,17,55,62
0,18,0,63
0,18,5,63
0,18,10,63
0,18,15,64
0,18,20,64
0,18,25,65
0,18,30,65
0,18,35,65
0,18,40,66
0,18,45,66
0,18,50,67
0,18,55,67
0,19,0,68
0,19,5,68
0,19,10,68
0,19,15,69
0,19,20,69
0,19,25,69
0,19,30,70
0,19,35,70
0,19,40,70
0,19,45,71
0,19,50,71
0,19,55,71
0,20,0,72
0,20,5,72
0,20,10,72
0,20,15,72
0,20,20,72
0,20,25,72
0,20,30,72
0,20,35,72
0,20,40,72
0,20,45,72
0,20,50,72
0,20,55,72
0,21,0,72
0,21,5,71
0,21,10,71
0,21,15,71
0,21,20,71
0,21,25,71
0,21,30,71
0,21,35,70
0,21,40,70
0,21,45,70
0,21,50,70
0,21,55,70
0,22,0,70
0,22,5,68
0,22,10,67
0,22,15,66
0,22,20,65
0,22,25,63
0,22,30,62
0,22,35,61
0,22,40,60
0,22,45,58
0,22,50,57
0,22,55,56
0,23,0,55
0,23,5,52
0,23,10,50
0,23,15,48
0,23,20,45
0,23,25,43
0,23,30,41
0,23,35,38
0,23,40,36
0,23,45,34
0,23,50,31
0,23,55,29
1,0,0,27
1,0,5,25
1,0,10,24
1,0,15,23
1,0,20,22
1,0,25,21
1,0,30,20
1,0,35,18
1,0,40,17
1,0,45,16
1,0,50,15
1,0,55,14
1,1,0,13
1,1,5,12
1,1,10,11
1,1,15,11
1,1,20,10
1,1,25,9
1,1,30,9
1,1,35,8
1,1,40,7
1,1,45,7
1,1,50,6
1,1,55,5
1,2,0,5
1,2,5,4
1,2,10,4
1,2,15,4
1,2,20,3
1,2,25,3
1,2,30,3
1,2,35,2
1,2,40,2
1,2,45,2
1,2,50,1
1,2,55,1
1,3,0,1
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,0
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,1
1,4,25,1
1,4,30,1
1,4,35,1
1,4,40,2
1,4,45,2
1,4,50,2
1,4,55,2
1,5,0,3
1,5,5,3
1,5,10,4
1,5,15,5
1,5,20,6
1,5,25,6
1,5,30,7
1,5,35,8
1,5,40,9
1,5,45,9
1,5,50,10
1,5,55,11
1,6,0,12
1,6,5,12
1,6,10,12
1,6,15,13
1,6,20,13
1,6,25,13
1,6,30,14
1,6,35,14
1,6,40,14
1,6,45,15
1,6,50,15
1,6,55,15
1,7,0,16
1,7,5,16
1,7,10,16
1,7,15,16
1,7,20,16
1,7,25,16
1,7,30,17
1,7,35,17
1,7,40,17
1,7,45,17
1,7,50,17
1,7,55,17
1,8,0,18
1,8,5,18
1,8,10,18
1,8,15,18
1,8,20,18
1,8,25,18
1,8,30,19
1,8,35,19
1,8,40,19
1,8,45,19
1,8,50,19
1,8,55,19
1,9,0,20
1,9,5,20
1,9,10,20
1,9,15,20
1,9,20,20
1,9,25,20
1,9,30,20
1,9,35,20
1,9,40,20
1,9,45,20
1,9,50,20
1,9,55,20
1,10,0,20
1,10,5,20
1,10,10,20
1,10,15,20
1,10,20,20
1,10,25,20
1,10,30,21
1,10,35,21
1,10,40,21
1,10,45,21
1,10,50,21
1,10,55,21
1,11,0,22
1,11,5,22
1,11,10,22
1,11,15,23
1,11,20,23
1,11,25,23
1,11,30,24
1,11,35,24
1,11,40,24
1,11,45,25
1,11,50,25
1,11,55,25
1,12,0,26
1,12,5,26
1,12,10,27
1,12,15,27
1,12,20,28
1,12,25,28
1,12,30,29
1,12,35,29
1,12,40,30
1,12,45,30
1,12,50,31
1,12,55,31
1,13,0,32
1,13,5,32
1,13,10,33
1,13,15,33
1,13,20,34
1,13,25,34
1,13,30,35
1,13,35,36
1,13,40,36
1,13,45,37
1,13,50,37
1,13,55,38
1,14,0,39
1,14,5,39
1,14,10,40
1,14,15,40
1,14,20,41
1,14,25,41
1,14,30,42
1,14,35,42
1,14,40,43
1,14,45,43
1,14,50,44
1,14,55,44
1,15,0,45
1,15,5,45
1,15,10,45
1,15,15,46
1,15,20,46
1,15,25,46
1,15,30,47
1,15,35,47
1,15,40,47
1,15,45,48
1,15,50,48
1,15,55,48
1,16,0,49
1,16,5,49
1,16,10,50
1,16,15,50
1,16,20,51
1,16,25,51
1,16,30,52
1,16,35,52
1,16,40,53
1,16,45,53
1,16,50,54
1,16,55,54
1,17,0,55
1,17,5,55
1,17,10,56
1,17,15,56
1,17,20,57
1,17,25,57
1,17,30,58
1,17,35,58
1,17,40,59
1,17,45,59
1,17,50,60
1,17,55,60
1,18,0,61
1,18,5,61
1,18,10,62
1,18,15,62
1,18,20,63
1,18,25,63
1,18,30,64
1,18,35,65
1,18,40,65
1,18,45,66
1,18,50,66
1,18,55,67
1,19,0,68
1,19,5,68
1,19,10,68
1,19,15,69
1,19,20,69
1,19,25,70
1,19,30,70
1,19,35,70
1,19,40,71
1,19,45,71
1,19,50,72
1,19,55,72
1,20,0,73
1,20,5,72
1,20,10,72
1,20,15,72
1,20,20,72
1,20,25,72
1,20,30,72
1,20,35,72
1,20,40,72
1,20,45,72
1,20,50,72
1,20,55,72
1,21,0,72
1,21,5,71
1,21,10,71
1,21,15,70
1,21,20,70
1,21,25,69
1,21,30,69
1,21,35,69
1,21,40,68
1,21,45,68
1,21,50,67
1,21,55,67
1,22,0,67
1,22,5,66
1,22,10,65
1,22,15,64
1,22,20,63
1,22,25,62
1,22,30,61
1,22,35,60
1,22,40,59
1,22,45,58
1,22,50,57
1,22,55,56
1,23,0,56
1,23,5,54
1,23,10,53
1,23,15,52
1,23,20,50
1,23,25,49
1,23,30,48
1,23,35,46
1,23,40,45
1,23,45,44
1,23,50,42
1,23,55,41
2,0,0,40
2,0,5,38
2,0,10,37
2,0,15,35
2,0,20,34
2,0,25,32
2,0,30,31
2,0,35,30
2,0,40,28
2,0,45,27
2,0,50,25
2,0,55,24
2,1,0,23
2,1,5,22
2,1,10,21
2,1,15,20
2,1,20,19
2,1,25,18
2,1,30,17
2,1,35,16
2,1,40,15
2,1,45,14
2,1,50,13
2,1,55,12
2,2,0,11
2,2,5,10
2,2,10,9
2,2,15,9
2,2,20,8
2,2,25,7
2,2,30,7
2,2,35,6
2,2,40,5
2,2,45,5
2,2,50,4
2,2,55,3
2,3,0,3
2,3,5,2
2,3,10,2
2,3,15,2
2,3,20,2
2,3,25,1
2,3,30,1
2,3,35,1
2,3,40,1
2,3,45,0
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,0
2,4,15,0
2,4,20,0
2,4,25,0
2,4,30,0
2,4,35,0
2,4,40,0
2,4,45,0
2,4,50,0
2,4,55,0
2,5,0,0
2,5,5,0
2,5,10,1
2,5,15,1
2,5,20,2
2,5,25,2
2,5,30,3
2,5,35,3
2,5,40,4
2,5,45,4
2,5,50,5
2,5,55,5
2,6,0,6
2,6,5,6
2,6,10,7
2,6,15,8
2,6,20,9
2,6,25,10
2,6,30,11
2,6,35,11
2,6,40,12
2,6,45,13
2,6,50,14
2,6,55,15
2,7,0,16
2,7,5,16
2,7,10,17
2,7,15,18
2,7,20,19
2,7,25,20
2,7,30,21
2,7,35,22
2,7,40,23
2,7,45,24
2,7,50,25
2,7,55,26
2,8,0,27
2,8,5,27
2,8,10,28
2,8,15,28
2,8,20,29
2,8,25,29
2,8,30,30
2,8,35,30
2,8,40,31
2,8,45,31
2,8,50,32
2,8,55,32
2,9,0,33
2,9,5,33
2,9,10,33
2,9,15,34
2,9,20,34
2,9,25,34
2,9,30,35
2,9,35,35
2,9,40,35
2,9,45,36
2,9,50,36
2,9,55,36
2,10,0,37
2,10,5,37
2,10,10,37
2,10,15,37
2,10,20,37
2,10,25,37
2,10,30,38
2,10,35,38
2,10,40,38
2,10,45,38
2,10,50,38
2,10,55,38
2,11,0,39
2,11,5,39
2,11,10,39
2,11,15,39
2,11,20,39
2,11,25,39
2,11,30,39
2,11,35,39
