d,h,m,mem
0,0,0,10
0,0,5,9
0,0,10,9
0,0,15,8
0,0,20,8
0,0,25,7
0,0,30,7
0,0,35,7
0,0,40,6
0,0,45,6
0,0,50,5
0,0,55,5
0,1,0,5
0,1,5,4
0,1,10,4
0,1,15,4
0,1,20,4
0,1,25,3
0,1,30,3
0,1,35,3
0,1,40,3
0,1,45,2
0,1,50,2
0,1,55,2
0,2,0,2
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,0
0,5,15,0
0,5,20,0
0,5,25,0
0,5,30,1
0,5,35,1
0,5,40,1
0,5,45,1
0,5,50,1
0,5,55,1
0,6,0,2
0,6,5,2
0,6,10,2
0,6,15,2
0,6,20,3
0,6,25,3
0,6,30,3
0,6,35,3
0,6,40,4
0,6,45,4
0,6,50,4
0,6,55,4
0,7,0,5
0,7,5,5
0,7,10,5
0,7,15,5
0,7,20,6
0,7,25,6
0,7,30,6
0,7,35,6
0,7,40,7
0,7,45,7
0,7,50,7
0,7,55,7
0,8,0,8
0,8,5,8
0,8,10,8
0,8,15,8
0,8,20,8
0,8,25,8
0,8,30,9
0,8,35,9
0,8,40,9
0,8,45,9
0,8,50,9
0,8,55,9
0,9,0,10
0,9,5,10
0,9,10,10
0,9,15,10
0,9,20,10
0,9,25,10
0,9,30,10
0,9,35,10
0,9,40,10
0,9,45,10
0,9,50,10
0,9,55,10
0,10,0,11
0,10,5,11
0,10,10,11
0,10,15,12
0,10,20,12
0,10,25,12
0,10,30,13
0,10,35,13
0,10,40,13
0,10,45,14
0,10,50,14
0,10,55,14
0,11,0,15
0,11,5,15
0,11,10,15
0,11,15,15
0,11,20,15
0,11,25,15
0,11,30,15
0,11,35,15
0,11,40,15
0,11,45,15
0,11,50,15
0,11,55,15
0,12,0,15
0,12,5,14
0,12,10,14
0,12,15,14
0,12,20,14
0,12,25,14
0,12,30,14
0,12,35,13
0,12,40,13
0,12,45,13
0,12,50,13
0,12,55,13
0,13,0,13
0,13,5,13
0,13,10,13
0,13,15,13
0,13,20,13
0,13,25,13
0,13,30,13
0,13,35,13
0,13,40,13
0,13,45,13
0,13,50,13
0,13,55,13
0,14,0,14
0,14,5,14
0,14,10,14
0,14,15,14
0,14,20,14
0,14,25,14
0,14,30,14
0,14,35,14
0,14,40,14
0,14,45,14
0,14,50,14
