d,h,m,mem
0,0,0,8
0,0,5,7
0,0,10,7
0,0,15,6
0,0,20,6
0,0,25,5
0,0,30,5
0,0,35,5
0,0,40,4
0,0,45,4
0,0,50,3
0,0,55,3
0,1,0,3
0,1,5,3
0,1,10,3
0,1,15,3
0,1,20,3
0,1,25,3
0,1,30,3
0,1,35,3
0,1,40,3
0,1,45,3
0,1,50,3
0,1,55,3
0,2,0,4
0,2,5,3
0,2,10,3
0,2,15,3
0,2,20,3
0,2,25,3
0,2,30,3
0,2,35,2
0,2,40,2
0,2,45,2
0,2,50,2
0,2,55,2
0,3,0,2
0,3,5,1
0,3,10,1
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,2
0,4,45,2
0,4,50,2
0,4,55,2
0,5,0,3
0,5,5,3
0,5,10,4
0,5,15,5
0,5,20,5
0,5,25,6
0,5,30,7
0,5,35,7
0,5,40,8
0,5,45,9
0,5,50,9
0,5,55,10
0,6,0,11
0,6,5,12
0,6,10,13
0,6,15,14
0,6,20,15
0,6,25,16
0,6,30,18
0,6,35,19
0,6,40,20
0,6,45,21
0,6,50,22
0,6,55,23
0,7,0,25
0,7,5,25
0,7,10,26
0,7,15,26
0,7,20,27
0,7,25,27
0,7,30,28
0,7,35,29
0,7,40,29
0,7,45,30
0,7,50,30
0,7,55,31
0,8,0,32
0,8,5,32
0,8,10,33
0,8,15,33
0,8,20,34
0,8,25,34
0,8,30,35
0,8,35,36
0,8,40,36
0,8,45,37
0,8,50,37
0,8,55,38
0,9,0,39
0,9,5,39
0,9,10,39
0,9,15,39
0,9,20,39
0,9,25,39
0,9,30,39
0,9,35,39
0,9,40,39
0,9,45,39
0,9,50,39
0,9,55,39
0,10,0,39
0,10,5,39
0,10,10,39
0,10,15,39
0,10,20,39
0,10,25,39
0,10,30,39
0,10,35,39
0,10,40,39
0,10,45,39
0,10,50,39
0,10,55,39
0,11,0,40
0,11,5,39
0,11,10,39
0,11,15,39
0,11,20,39
0,11,25,39
0,11,30,39
0,11,35,39
0,11,40,39
0,11,45,39
0,11,50,39
0,11,55,39
0,12,0,39
0,12,5,39
0,12,10,39
0,12,15,39
