d,h,m,mem
0,0,0,14
0,0,5,13
0,0,10,12
0,0,15,11
0,0,20,11
0,0,25,10
0,0,30,9
0,0,35,8
0,0,40,8
0,0,45,7
0,0,50,6
0,0,55,5
0,1,0,5
0,1,5,4
0,1,10,4
0,1,15,4
0,1,20,3
0,1,25,3
0,1,30,3
0,1,35,2
0,1,40,2
0,1,45,2
0,1,50,1
0,1,55,1
0,2,0,1
0,2,5,0
0,2,10,0
0,2,15,0
0,2,20,0
0,2,25,0
0,2,30,0
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,2
0,4,30,2
0,4,35,2
0,4,40,3
0,4,45,3
0,4,50,4
0,4,55,4
0,5,0,5
0,5,5,6
0,5,10,7
0,5,15,8
0,5,20,9
0,5,25,10
0,5,30,12
0,5,35,13
0,5,40,14
0,5,45,15
0,5,50,16
0,5,55,17
0,6,0,19
0,6,5,20
0,6,10,22
0,6,15,24
0,6,20,26
0,6,25,28
0,6,30,30
0,6,35,31
0,6,40,33
0,6,45,35
0,6,50,37
0,6,55,39
0,7,0,41
0,7,5,42
0,7,10,44
0,7,15,45
0,7,20,47
0,7,25,48
0,7,30,50
0,7,35,51
0,7,40,53
0,7,45,54
0,7,50,56
0,7,55,57
0,8,0,59
0,8,5,59
0,8,10,60
0,8,15,61
0,8,20,62
0,8,25,63
0,8,30,64
0,8,35,64
0,8,40,65
0,8,45,66
0,8,50,67
0,8,55,68
0,9,0,69
0,9,5,69
0,9,10,69
0,9,15,69
0,9,20,70
0,9,25,70
0,9,30,70
0,9,35,70
0,9,40,71
0,9,45,71
0,9,50,71
0,9,55,71
0,10,0,72
0,10,5,72
0,10,10,72
0,10,15,72
0,10,20,72
0,10,25,72
0,10,30,73
0,10,35,73
0,10,40,73
0,10,45,73
0,10,50,73
0,10,55,73
0,11,0,74
0,11,5,74
0,11,10,74
0,11,15,74
0,11,20,74
0,11,25,74
0,11,30,75
0,11,35,75
0,11,40,75
0,11,45,75
0,11,50,75
0,11,55,75
0,12,0,76
0,12,5,76
0,12,10,76
0,12,15,76
0,12,20,76
0,12,25,76
0,12,30,77
0,12,35,77
0,12,40,77
0,12,45,77
0,12,50,77
0,12,55,77
0,13,0,78
0,13,5,78
0,13,10,78
0,13,15,78
0,13,20,78
0,13,25,78
0,13,30,78
0,13,35,78
0,13,40,78
0,13,45,78
0,13,50,78
0,13,55,78
0,14,0,78
0,14,5,78
0,14,10,78
0,14,15,78
0,14,20,78
0,14,25,78
0,14,30,78
0,14,35,78
0,14,40,78
0,14,45,78
0,14,50,78
0,14,55,78
0,15,0,79
0,15,5,78
0,15,10,78
0,15,15,77
0,15,20,77
0,15,25,76
0,15,30,76
0,15,35,76
0,15,40,75
0,15,45,75
0,15,50,74
0,15,55,74
0,16,0,74
0,16,5,73
0,16,10,72
0,16,15,72
0,16,20,71
0,16,25,71
0,16,30,70
0,16,35,69
0,16,40,69
0,16,45,68
0,16,50,68
0,16,55,67
0,17,0,67
0,17,5,67
0,17,10,67
0,17,15,67
0,17,20,67
0,17,25,67
0,17,30,68
0,17,35,68
0,17,40,68
0,17,45,68
0,17,50,68
0,17,55,68
0,18,0,69
0,18,5,69
0,18,10,70
0,18,15,71
0,18,20,72
0,18,25,72
0,18,30,73
0,18,35,74
0,18,40,75
0,18,45,75
0,18,50,76
0,18,55,77
0,19,0,78
0,19,5,78
0,19,10,78
0,19,15,78
0,19,20,78
0,19,25,78
0,19,30,79
0,19,35,79
0,19,40,79
0,19,45,79
0,19,50,79
0,19,55,79
0,20,0,80
0,20,5,79
0,20,10,78
0,20,15,78
0,20,20,77
0,20,25,77
0,20,30,76
0,20,35,75
0,20,40,75
0,20,45,74
0,20,50,74
0,20,55,73
0,21,0,73
0,21,5,71
0,21,10,69
0,21,15,68
0,21,20,66
0,21,25,65
0,21,30,63
0,21,35,61
0,21,40,60
0,21,45,58
0,21,50,57
0,21,55,55
0,22,0,54
0,22,5,52
0,22,10,50
0,22,15,48
0,22,20,46
0,22,25,44
0,22,30,43
0,22,35,41
0,22,40,39
0,22,45,37
0,22,50,35
0,22,55,33
0,23,0,32
0,23,5,30
0,23,10,29
0,23,15,28
0,23,20,27
0,23,25,26
0,23,30,25
0,23,35,23
0,23,40,22
0,23,45,21
0,23,50,20
0,23,55,19
1,0,0,18
1,0,5,16
1,0,10,15
1,0,15,14
1,0,20,13
1,0,25,12
1,0,30,11
1,0,35,10
1,0,40,9
1,0,45,8
1,0,50,7
1,0,55,6
1,1,0,5
1,1,5,4
1,1,10,4
1,1,15,4
1,1,20,4
1,1,25,3
1,1,30,3
1,1,35,3
1,1,40,3
1,1,45,2
1,1,50,2
1,1,55,2
1,2,0,2
1,2,5,1
1,2,10,1
1,2,15,1
1,2,20,1
1,2,25,1
1,2,30,1
1,2,35,0
1,2,40,0
1,2,45,0
1,2,50,0
1,2,55,0
1,3,0,0
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,0
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,1
1,4,15,1
1,4,20,2
1,4,25,2
1,4,30,3
1,4,35,3
1,4,40,4
1,4,45,4
1,4,50,5
1,4,55,5
1,5,0,6
1,5,5,7
1,5,10,8
1,5,15,9
1,5,20,10
1,5,25,11
1,5,30,12
1,5,35,13
1,5,40,14
1,5,45,15
1,5,50,16
1,5,55,17
1,6,0,19
1,6,5,21
1,6,10,23
1,6,15,25
1,6,20,27
1,6,25,29
1,6,30,31
1,6,35,33
1,6,40,35
1,6,45,37
1,6,50,39
1,6,55,41
1,7,0,43
1,7,5,44
1,7,10,46
1,7,15,48
1,7,20,50
1,7,25,52
1,7,30,54
1,7,35,56
1,7,40,58
1,7,45,60
1,7,50,62
1,7,55,64
1,8,0,66
1,8,5,66
1,8,10,67
1,8,15,68
1,8,20,69
1,8,25,70
1,8,30,71
1,8,35,72
1,8,40,73
1,8,45,74
1,8,50,75
1,8,55,76
1,9,0,77
1,9,5,77
1,9,10,78
1,9,15,78
1,9,20,79
1,9,25,79
1,9,30,80
1,9,35,80
1,9,40,81
1,9,45,81
1,9,50,82
1,9,55,82
1,10,0,83
1,10,5,83
1,10,10,83
1,10,15,83
1,10,20,83
1,10,25,83
1,10,30,83
1,10,35,83
1,10,40,83
1,10,45,83
1,10,50,83
1,10,55,83
1,11,0,83
1,11,5,83
1,11,10,83
1,11,15,84
1,11,20,84
1,11,25,84
1,11,30,85
1,11,35,85
1,11,40,85
1,11,45,86
1,11,50,86
1,11,55,86
1,12,0,87
1,12,5,86
1,12,10,86
1,12,15,86
1,12,20,86
1,12,25,86
1,12,30,86
1,12,35,85
1,12,40,85
1,12,45,85
1,12,50,85
1,12,55,85
1,13,0,85
1,13,5,84
1,13,10,84
1,13,15,84
1,13,20,83
1,13,25,83
1,13,30,83
1,13,35,82
1,13,40,82
1,13,45,82
1,13,50,81
1,13,55,81
1,14,0,81
1,14,5,80
1,14,10,80
1,14,15,80
1,14,20,80
1,14,25,80
1,14,30,80
1,14,35,79
1,14,40,79
1,14,45,79
1,14,50,79
1,14,55,79
1,15,0,79
1,15,5,78
1,15,10,78
1,15,15,78
1,15,20,77
1,15,25,77
1,15,30,77
1,15,35,76
1,15,40,76
1,15,45,76
1,15,50,75
1,15,55,75
1,16,0,75
1,16,5,74
1,16,10,74
1,16,15,74
1,16,20,74
1,16,25,73
1,16,30,73
1,16,35,73
1,16,40,73
1,16,45,72
1,16,50,72
1,16,55,72
1,17,0,72
1,17,5,72
1,17,10,72
1,17,15,72
1,17,20,72
1,17,25,72
1,17,30,72
1,17,35,72
1,17,40,72
1,17,45,72
1,17,50,72
1,17,55,72
1,18,0,73
1,18,5,74
1,18,10,75
1,18,15,76
1,18,20,77
1,18,25,78
1,18,30,79
1,18,35,80
1,18,40,81
1,18,45,82
1,18,50,83
1,18,55,84
1,19,0,85
1,19,5,85
1,19,10,86
1,19,15,87
1,19,20,87
1,19,25,88
1,19,30,89
1,19,35,89
1,19,40,90
1,19,45,91
1,19,50,91
1,19,55,92
1,20,0,93
1,20,5,92
1,20,10,92
1,20,15,92
1,20,20,92
1,20,25,91
1,20,30,91
1,20,35,91
1,20,40,91
1,20,45,90
1,20,50,90
1,20,55,90
1,21,0,90
1,21,5,89
1,21,10,88
1,21,15,87
1,21,20,86
1,21,25,85
1,21,30,84
1,21,35,83
1,21,40,82
1,21,45,81
1,21,50,80
1,21,55,79
1,22,0,79
1,22,5,77
1,22,10,75
1,22,15,73
1,22,20,72
1,22,25,70
1,22,30,68
1,22,35,66
1,22,40,65
1,22,45,63
1,22,50,61
1,22,55,59
1,23,0,58
1,23,5,56
1,23,10,54
1,23,15,52
1,23,20,50
1,23,25,48
1,23,30,46
1,23,35,44
1,23,40,42
1,23,45,40
1,23,50,38
1,23,55,36
2,0,0,35
2,0,5,33
2,0,10,32
2,0,15,30
2,0,20,29
2,0,25,27
2,0,30,26
2,0,35,25
2,0,40,23
2,0,45,22
2,0,50,20
2,0,55,19
2,1,0,18
2,1,5,17
2,1,10,16
2,1,15,15
2,1,20,14
2,1,25,13
2,1,30,12
2,1,35,11
2,1,40,10
2,1,45,9
2,1,50,8
2,1,55,7
2,2,0,6
2,2,5,5
2,2,10,5
2,2,15,4
2,2,20,4
2,2,25,3
2,2,30,3
2,2,35,2
2,2,40,2
2,2,45,1
2,2,50,1
2,2,55,0
2,3,0,0
2,3,5,0
2,3,10,0
2,3,15,0
2,3,20,0
2,3,25,0
2,3,30,0
2,3,35,0
2,3,40,0
2,3,45,0
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,1
2,4,15,1
2,4,20,2
2,4,25,2
2,4,30,3
2,4,35,3
2,4,40,4
2,4,45,4
2,4,50,5
2,4,55,5
2,5,0,6
2,5,5,7
2,5,10,8
2,5,15,9
2,5,20,10
2,5,25,11
2,5,30,13
2,5,35,14
2,5,40,15
2,5,45,16
2,5,50,17
2,5,55,18
2,6,0,20
2,6,5,21
2,6,10,23
2,6,15,25
2,6,20,27
2,6,25,29
2,6,30,31
2,6,35,33
2,6,40,35
2,6,45,37
2,6,50,39
2,6,55,41
2,7,0,43
2,7,5,44
2,7,10,46
2,7,15,47
2,7,20,49
2,7,25,50
2,7,30,52
2,7,35,53
2,7,40,55
2,7,45,56
2,7,50,58
2,7,55,59
2,8,0,61
2,8,5,61
2,8,10,62
2,8,15,63
2,8,20,64
2,8,25,65
2,8,30,66
2,8,35,67
2,8,40,68
2,8,45,69
2,8,50,70
2,8,55,71
2,9,0,72
2,9,5,72
2,9,10,72
2,9,15,72
2,9,20,72
2,9,25,72
2,9,30,73
2,9,35,73
2,9,40,73
2,9,45,73
2,9,50,73
2,9,55,73
2,10,0,74
2,10,5,74
2,10,10,74
2,10,15,74
2,10,20,75
2,10,25,75
2,10,30,75
2,10,35,75
2,10,40,76
2,10,45,76
2,10,50,76
2,10,55,76
2,11,0,77
2,11,5,77
2,11,10,77
2,11,15,77
2,11,20,77
2,11,25,77
2,11,30,77
2,11,35,77
2,11,40,77
2,11,45,77
2,11,50,77
2,11,55,77
2,12,0,78
2,12,5,78
2,12,10,78
2,12,15,78
2,12,20,79
2,12,25,79
2,12,30,79
2,12,35,79
2,12,40,80
2,12,45,80
2,12,50,80
2,12,55,80
2,13,0,81
2,13,5,80
2,13,10,80
2,13,15,80
2,13,20,80
2,13,25,80
2,13,30,80
2,13,35,80
2,13,40,80
2,13,45,80
2,13,50,80
2,13,55,80
2,14,0,80
2,14,5,80
2,14,10,80
2,14,15,80
2,14,20,80
2,14,25,80
2,14,30,81
2,14,35,81
2,14,40,81
2,14,45,81
2,14,50,81
2,14,55,81
2,15,0,82
2,15,5,81
2,15,10,81
2,15,15,80
2,15,20,80
2,15,25,79
2,15,30,79
