d,h,m,mem
0,0,0,16
0,0,5,15
0,0,10,14
0,0,15,13
0,0,20,13
0,0,25,12
0,0,30,11
0,0,35,10
0,0,40,10
0,0,45,9
0,0,50,8
0,0,55,7
0,1,0,7
0,1,5,6
0,1,10,6
0,1,15,5
0,1,20,5
0,1,25,4
0,1,30,4
0,1,35,3
0,1,40,3
0,1,45,2
0,1,50,2
0,1,55,1
0,2,0,1
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,1
0,2,50,1
0,2,55,1
0,3,0,1
0,3,5,1
0,3,10,1
0,3,15,2
0,3,20,2
0,3,25,2
0,3,30,3
0,3,35,3
0,3,40,3
0,3,45,4
0,3,50,4
0,3,55,4
0,4,0,5
0,4,5,5
0,4,10,6
0,4,15,7
0,4,20,7
0,4,25,8
0,4,30,9
0,4,35,9
0,4,40,10
0,4,45,11
0,4,50,11
0,4,55,12
0,5,0,13
0,5,5,14
0,5,10,15
0,5,15,16
0,5,20,17
0,5,25,18
0,5,30,19
0,5,35,20
0,5,40,21
0,5,45,22
0,5,50,23
0,5,55,24
0,6,0,26
0,6,5,27
0,6,10,28
0,6,15,30
0,6,20,31
0,6,25,33
0,6,30,34
0,6,35,35
0,6,40,37
0,6,45,38
0,6,50,40
0,6,55,41
0,7,0,43
0,7,5,44
0,7,10,45
0,7,15,47
0,7,20,48
0,7,25,50
0,7,30,51
0,7,35,52
0,7,40,54
0,7,45,55
0,7,50,57
0,7,55,58
0,8,0,60
0,8,5,61
0,8,10,62
0,8,15,63
0,8,20,64
0,8,25,65
0,8,30,66
0,8,35,67
0,8,40,68
0,8,45,69
0,8,50,70
0,8,55,71
0,9,0,73
0,9,5,73
0,9,10,74
0,9,15,75
0,9,20,75
0,9,25,76
0,9,30,77
0,9,35,77
0,9,40,78
0,9,45,79
0,9,50,79
0,9,55,80
0,10,0,81
0,10,5,81
0,10,10,81
0,10,15,82
0,10,20,82
0,10,25,82
0,10,30,83
0,10,35,83
0,10,40,83
0,10,45,84
0,10,50,84
0,10,55,84
0,11,0,85
0,11,5,85
0,11,10,85
0,11,15,85
0,11,20,85
0,11,25,85
0,11,30,85
0,11,35,85
0,11,40,85
0,11,45,85
0,11,50,85
0,11,55,85
0,12,0,86
0,12,5,86
0,12,10,86
0,12,15,86
0,12,20,86
0,12,25,86
0,12,30,86
0,12,35,86
0,12,40,86
0,12,45,86
0,12,50,86
0,12,55,86
0,13,0,86
0,13,5,86
0,13,10,86
0,13,15,86
0,13,20,86
0,13,25,86
0,13,30,86
0,13,35,86
0,13,40,86
0,13,45,86
0,13,50,86
0,13,55,86
0,14,0,86
0,14,5,85
0,14,10,85
0,14,15,84
0,14,20,84
0,14,25,83
0,14,30,83
0,14,35,82
0,14,40,82
0,14,45,81
0,14,50,81
0,14,55,80
0,15,0,80
0,15,5,78
0,15,10,77
0,15,15,76
0,15,20,75
0,15,25,74
0,15,30,73
0,15,35,71
0,15,40,70
0,15,45,69
0,15,50,68
0,15,55,67
0,16,0,66
0,16,5,65
0,16,10,64
0,16,15,63
0,16,20,62
0,16,25,61
0,16,30,60
0,16,35,59
0,16,40,58
0,16,45,57
0,16,50,56
0,16,55,55
0,17,0,54
0,17,5,53
0,17,10,53
0,17,15,53
0,17,20,53
0,17,25,53
0,17,30,53
0,17,35,53
0,17,40,53
0,17,45,53
0,17,50,53
0,17,55,53
0,18,0,53
0,18,5,53
0,18,10,53
0,18,15,53
0,18,20,53
0,18,25,53
0,18,30,53
0,18,35,53
0,18,40,53
0,18,45,53
0,18,50,53
0,18,55,53
0,19,0,53
0,19,5,52
0,19,10,52
0,19,15,52
0,19,20,51
0,19,25,51
0,19,30,51
0,19,35,50
0,19,40,50
0,19,45,50
0,19,50,49
0,19,55,49
0,20,0,49
0,20,5,48
0,20,10,48
0,20,15,48
0,20,20,48
0,20,25,48
0,20,30,48
0,20,35,47
0,20,40,47
0,20,45,47
0,20,50,47
0,20,55,47
0,21,0,47
0,21,5,46
0,21,10,45
0,21,15,45
0,21,20,44
0,21,25,43
0,21,30,43
0,21,35,42
0,21,40,41
0,21,45,41
0,21,50,40
0,21,55,39
0,22,0,39
0,22,5,38
0,22,10,37
0,22,15,36
0,22,20,35
0,22,25,34
0,22,30,34
0,22,35,33
0,22,40,32
0,22,45,31
0,22,50,30
0,22,55,29
0,23,0,29
0,23,5,27
0,23,10,25
0,23,15,23
0,23,20,22
0,23,25,20
0,23,30,18
0,23,35,16
0,23,40,15
0,23,45,13
0,23,50,11
0,23,55,9
1,0,0,8
1,0,5,7
1,0,10,7
1,0,15,7
1,0,20,6
1,0,25,6
1,0,30,6
1,0,35,5
1,0,40,5
1,0,45,5
1,0,50,4
1,0,55,4
1,1,0,4
1,1,5,3
1,1,10,3
1,1,15,3
1,1,20,3
1,1,25,3
1,1,30,3
1,1,35,2
1,1,40,2
1,1,45,2
1,1,50,2
1,1,55,2
1,2,0,2
1,2,5,1
1,2,10,1
1,2,15,1
1,2,20,1
1,2,25,1
1,2,30,1
1,2,35,0
1,2,40,0
1,2,45,0
1,2,50,0
1,2,55,0
1,3,0,0
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,1
1,3,50,1
1,3,55,1
1,4,0,2
1,4,5,2
1,4,10,3
1,4,15,3
1,4,20,4
1,4,25,4
1,4,30,5
1,4,35,5
1,4,40,6
1,4,45,6
1,4,50,7
1,4,55,7
1,5,0,8
1,5,5,8
1,5,10,9
1,5,15,10
1,5,20,11
1,5,25,12
1,5,30,13
1,5,35,13
1,5,40,14
1,5,45,15
1,5,50,16
1,5,55,17
1,6,0,18
1,6,5,19
1,6,10,20
1,6,15,21
1,6,20,22
1,6,25,23
1,6,30,25
1,6,35,26
1,6,40,27
1,6,45,28
1,6,50,29
1,6,55,30
1,7,0,32
1,7,5,33
1,7,10,34
1,7,15,35
1,7,20,36
1,7,25,37
1,7,30,39
1,7,35,40
1,7,40,41
1,7,45,42
1,7,50,43
1,7,55,44
1,8,0,46
1,8,5,46
1,8,10,47
1,8,15,48
1,8,20,49
1,8,25,50
1,8,30,51
1,8,35,51
1,8,40,52
1,8,45,53
1,8,50,54
1,8,55,55
1,9,0,56
1,9,5,56
1,9,10,57
1,9,15,57
1,9,20,58
1,9,25,58
1,9,30,59
1,9,35,59
1,9,40,60
1,9,45,60
1,9,50,61
1,9,55,61
1,10,0,62
1,10,5,62
1,10,10,62
1,10,15,62
1,10,20,62
1,10,25,62
1,10,30,63
1,10,35,63
1,10,40,63
1,10,45,63
1,10,50,63
1,10,55,63
1,11,0,64
1,11,5,64
1,11,10,64
1,11,15,64
1,11,20,64
1,11,25,64
1,11,30,64
1,11,35,64
1,11,40,64
1,11,45,64
1,11,50,64
1,11,55,64
1,12,0,64
1,12,5,64
1,12,10,64
1,12,15,64
1,12,20,64
1,12,25,64
1,12,30,64
1,12,35,64
1,12,40,64
1,12,45,64
1,12,50,64
1,12,55,64
1,13,0,65
1,13,5,64
1,13,10,64
1,13,15,64
1,13,20,64
1,13,25,64
1,13,30,64
1,13,35,64
1,13,40,64
1,13,45,64
1,13,50,64
1,13,55,64
1,14,0,64
1,14,5,62
1,14,10,61
1,14,15,60
1,14,20,59
1,14,25,58
1,14,30,57
1,14,35,55
1,14,40,54
1,14,45,53
1,14,50,52
1,14,55,51
1,15,0,50
1,15,5,49
1,15,10,48
1,15,15,47
1,15,20,46
1,15,25,45
1,15,30,44
1,15,35,43
1,15,40,42
1,15,45,41
1,15,50,40
1,15,55,39
1,16,0,38
1,16,5,37
1,16,10,36
1,16,15,35
1,16,20,35
1,16,25,34
1,16,30,33
1,16,35,32
1,16,40,32
1,16,45,31
1,16,50,30
1,16,55,29
1,17,0,29
1,17,5,28
1,17,10,28
1,17,15,28
1,17,20,28
1,17,25,27
1,17,30,27
1,17,35,27
1,17,40,27
1,17,45,26
1,17,50,26
1,17,55,26
1,18,0,26
1,18,5,25
1,18,10,25
1,18,15,25
1,18,20,25
1,18,25,25
1,18,30,25
1,18,35,25
1,18,40,25
1,18,45,25
1,18,50,25
1,18,55,25
1,19,0,25
1,19,5,25
1,19,10,25
1,19,15,25
1,19,20,25
1,19,25,25
1,19,30,25
1,19,35,25
1,19,40,25
1,19,45,25
1,19,50,25
1,19,55,25
1,20,0,25
1,20,5,24
1,20,10,24
1,20,15,24
1,20,20,24
1,20,25,23
1,20,30,23
1,20,35,23
1,20,40,23
1,20,45,22
1,20,50,22
1,20,55,22
1,21,0,22
1,21,5,21
1,21,10,21
1,21,15,21
1,21,20,21
1,21,25,21
1,21,30,21
1,21,35,21
1,21,40,21
1,21,45,21
1,21,50,21
1,21,55,21
1,22,0,21
1,22,5,20
1,22,10,20
1,22,15,19
1,22,20,19
1,22,25,18
1,22,30,18
1,22,35,17
1,22,40,17
1,22,45,16
1,22,50,16
1,22,55,15
1,23,0,15
1,23,5,17
