d,h,m,mem
0,0,0,39
0,0,5,37
0,0,10,35
0,0,15,33
0,0,20,32
0,0,25,30
0,0,30,28
0,0,35,26
0,0,40,25
0,0,45,23
0,0,50,21
0,0,55,19
0,1,0,18
0,1,5,17
0,1,10,16
0,1,15,15
0,1,20,14
0,1,25,13
0,1,30,13
0,1,35,12
0,1,40,11
0,1,45,10
0,1,50,9
0,1,55,8
0,2,0,8
0,2,5,7
0,2,10,7
0,2,15,6
0,2,20,6
0,2,25,5
0,2,30,5
0,2,35,5
0,2,40,4
0,2,45,4
0,2,50,3
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,2
0,4,45,2
0,4,50,2
0,4,55,2
0,5,0,3
0,5,5,4
0,5,10,5
0,5,15,6
0,5,20,7
0,5,25,8
0,5,30,9
0,5,35,10
0,5,40,11
0,5,45,12
0,5,50,13
0,5,55,14
0,6,0,15
0,6,5,15
0,6,10,16
0,6,15,16
0,6,20,17
0,6,25,17
0,6,30,18
0,6,35,18
0,6,40,19
0,6,45,19
0,6,50,20
0,6,55,20
0,7,0,21
0,7,5,21
0,7,10,21
0,7,15,21
0,7,20,22
0,7,25,22
0,7,30,22
0,7,35,22
0,7,40,23
0,7,45,23
0,7,50,23
0,7,55,23
0,8,0,24
0,8,5,24
0,8,10,24
0,8,15,24
0,8,20,24
0,8,25,24
0,8,30,25
0,8,35,25
0,8,40,25
0,8,45,25
0,8,50,25
0,8,55,25
0,9,0,26
0,9,5,26
0,9,10,26
0,9,15,26
0,9,20,26
0,9,25,26
0,9,30,26
0,9,35,26
0,9,40,26
0,9,45,26
0,9,50,26
0,9,55,26
0,10,0,27
0,10,5,27
0,10,10,27
0,10,15,27
0,10,20,27
0,10,25,27
0,10,30,27
0,10,35,27
0,10,40,27
0,10,45,27
0,10,50,27
0,10,55,27
0,11,0,28
0,11,5,28
0,11,10,28
0,11,15,28
0,11,20,29
0,11,25,29
0,11,30,29
0,11,35,29
0,11,40,30
0,11,45,30
0,11,50,30
0,11,55,30
0,12,0,31
0,12,5,31
0,12,10,32
0,12,15,32
0,12,20,33
0,12,25,33
0,12,30,34
0,12,35,35
0,12,40,35
0,12,45,36
0,12,50,36
0,12,55,37
0,13,0,38
0,13,5,38
0,13,10,39
0,13,15,40
0,13,20,41
0,13,25,41
0,13,30,42
0,13,35,43
0,13,40,44
0,13,45,44
0,13,50,45
0,13,55,46
0,14,0,47
0,14,5,47
0,14,10,48
0,14,15,48
0,14,20,49
0,14,25,49
0,14,30,50
0,14,35,50
0,14,40,51
0,14,45,51
0,14,50,52
0,14,55,52
0,15,0,53
0,15,5,53
0,15,10,53
0,15,15,54
0,15,20,54
0,15,25,55
0,15,30,55
0,15,35,55
0,15,40,56
0,15,45,56
0,15,50,57
0,15,55,57
0,16,0,58
0,16,5,58
0,16,10,58
0,16,15,59
0,16,20,59
0,16,25,59
0,16,30,60
0,16,35,60
0,16,40,60
0,16,45,61
0,16,50,61
0,16,55,61
0,17,0,62
0,17,5,62
0,17,10,63
0,17,15,63
0,17,20,64
0,17,25,64
0,17,30,65
0,17,35,65
0,17,40,66
0,17,45,66
0,17,50,67
0,17,55,67
0,18,0,68
0,18,5,69
0,18,10,70
0,18,15,71
0,18,20,72
0,18,25,73
0,18,30,74
0,18,35,75
0,18,40,76
0,18,45,77
0,18,50,78
0,18,55,79
0,19,0,80
0,19,5,81
0,19,10,82
0,19,15,83
0,19,20,84
0,19,25,85
0,19,30,86
0,19,35,87
0,19,40,88
0,19,45,89
0,19,50,90
0,19,55,91
0,20,0,92
0,20,5,92
0,20,10,92
0,20,15,92
0,20,20,92
0,20,25,92
0,20,30,93
0,20,35,93
0,20,40,93
0,20,45,93
0,20,50,93
0,20,55,93
0,21,0,94
0,21,5,93
0,21,10,93
0,21,15,92
0,21,20,92
0,21,25,91
0,21,30,91
0,21,35,91
0,21,40,90
0,21,45,90
0,21,50,89
0,21,55,89
0,22,0,89
0,22,5,87
0,22,10,86
0,22,15,85
0,22,20,83
0,22,25,82
0,22,30,81
0,22,35,79
0,22,40,78
0,22,45,77
0,22,50,75
0,22,55,74
0,23,0,73
0,23,5,71
0,23,10,70
0,23,15,69
0,23,20,68
0,23,25,66
0,23,30,65
0,23,35,64
0,23,40,63
0,23,45,61
0,23,50,60
0,23,55,59
1,0,0,58
1,0,5,56
1,0,10,54
1,0,15,52
1,0,20,50
1,0,25,48
1,0,30,46
1,0,35,44
1,0,40,42
1,0,45,40
1,0,50,38
1,0,55,36
1,1,0,35
1,1,5,33
1,1,10,32
1,1,15,30
1,1,20,29
1,1,25,27
1,1,30,26
1,1,35,25
1,1,40,23
1,1,45,22
1,1,50,20
1,1,55,19
1,2,0,18
1,2,5,17
1,2,10,16
1,2,15,15
1,2,20,14
1,2,25,13
1,2,30,12
1,2,35,11
1,2,40,10
1,2,45,9
1,2,50,8
1,2,55,7
1,3,0,6
1,3,5,5
1,3,10,5
1,3,15,4
1,3,20,4
1,3,25,3
1,3,30,3
1,3,35,3
1,3,40,2
1,3,45,2
1,3,50,1
1,3,55,1
1,4,0,1
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,0
1,5,15,0
1,5,20,0
1,5,25,0
1,5,30,1
1,5,35,1
1,5,40,1
1,5,45,1
1,5,50,1
1,5,55,1
1,6,0,2
1,6,5,3
1,6,10,4
1,6,15,5
1,6,20,6
1,6,25,7
1,6,30,9
1,6,35,10
1,6,40,11
1,6,45,12
1,6,50,13
1,6,55,14
1,7,0,16
1,7,5,17
1,7,10,19
1,7,15,20
1,7,20,22
1,7,25,23
1,7,30,25
1,7,35,27
1,7,40,28
1,7,45,30
1,7,50,31
1,7,55,33
1,8,0,35
1,8,5,36
1,8,10,37
1,8,15,38
1,8,20,39
1,8,25,40
1,8,30,41
1,8,35,42
1,8,40,43
1,8,45,44
1,8,50,45
1,8,55,46
1,9,0,47
1,9,5,48
1,9,10,49
1,9,15,50
1,9,20,51
1,9,25,52
1,9,30,53
1,9,35,54
1,9,40,55
1,9,45,56
1,9,50,57
1,9,55,58
1,10,0,60
1,10,5,60
1,10,10,60
1,10,15,61
1,10,20,61
1,10,25,61
1,10,30,62
1,10,35,62
1,10,40,62
1,10,45,63
1,10,50,63
1,10,55,63
1,11,0,64
1,11,5,64
1,11,10,64
1,11,15,64
1,11,20,64
1,11,25,64
1,11,30,64
1,11,35,64
1,11,40,64
1,11,45,64
