d,h,m,mem
0,0,0,23
0,0,5,22
0,0,10,21
0,0,15,20
0,0,20,19
0,0,25,18
0,0,30,17
0,0,35,16
0,0,40,15
0,0,45,14
0,0,50,13
0,0,55,12
0,1,0,11
0,1,5,10
0,1,10,10
0,1,15,10
0,1,20,9
0,1,25,9
0,1,30,9
0,1,35,8
0,1,40,8
0,1,45,8
0,1,50,7
0,1,55,7
0,2,0,7
0,2,5,6
0,2,10,6
0,2,15,5
0,2,20,5
0,2,25,4
0,2,30,4
0,2,35,3
0,2,40,3
0,2,45,2
0,2,50,2
0,2,55,1
0,3,0,1
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,1
0,4,30,2
0,4,35,2
0,4,40,2
0,4,45,3
0,4,50,3
0,4,55,3
0,5,0,4
0,5,5,5
0,5,10,6
0,5,15,7
0,5,20,9
0,5,25,10
0,5,30,11
0,5,35,12
0,5,40,14
0,5,45,15
0,5,50,16
0,5,55,17
0,6,0,19
0,6,5,20
0,6,10,21
0,6,15,23
0,6,20,24
0,6,25,26
0,6,30,27
0,6,35,28
0,6,40,30
0,6,45,31
0,6,50,33
0,6,55,34
0,7,0,36
0,7,5,37
0,7,10,39
0,7,15,41
0,7,20,43
0,7,25,45
0,7,30,47
0,7,35,48
0,7,40,50
0,7,45,52
0,7,50,54
0,7,55,56
0,8,0,58
0,8,5,58
0,8,10,59
0,8,15,60
0,8,20,61
0,8,25,62
0,8,30,63
0,8,35,63
0,8,40,64
0,8,45,65
0,8,50,66
0,8,55,67
0,9,0,68
0,9,5,68
0,9,10,68
0,9,15,68
0,9,20,69
0,9,25,69
0,9,30,69
0,9,35,69
0,9,40,70
0,9,45,70
0,9,50,70
0,9,55,70
0,10,0,71
0,10,5,71
0,10,10,71
0,10,15,71
0,10,20,71
0,10,25,71
0,10,30,72
0,10,35,72
0,10,40,72
0,10,45,72
0,10,50,72
0,10,55,72
0,11,0,73
0,11,5,73
0,11,10,73
0,11,15,73
0,11,20,73
0,11,25,73
0,11,30,73
0,11,35,73
0,11,40,73
0,11,45,73
0,11,50,73
0,11,55,73
0,12,0,74
0,12,5,73
0,12,10,73
0,12,15,73
0,12,20,73
0,12,25,73
0,12,30,73
0,12,35,73
0,12,40,73
0,12,45,73
0,12,50,73
0,12,55,73
0,13,0,73
0,13,5,72
0,13,10,72
0,13,15,72
0,13,20,72
0,13,25,72
0,13,30,72
0,13,35,71
0,13,40,71
0,13,45,71
0,13,50,71
0,13,55,71
0,14,0,71
0,14,5,71
0,14,10,71
0,14,15,71
0,14,20,72
0,14,25,72
0,14,30,72
0,14,35,72
0,14,40,73
0,14,45,73
0,14,50,73
0,14,55,73
0,15,0,74
0,15,5,73
0,15,10,73
0,15,15,73
0,15,20,73
0,15,25,73
0,15,30,73
0,15,35,73
0,15,40,73
0,15,45,73
0,15,50,73
0,15,55,73
0,16,0,73
0,16,5,73
0,16,10,74
0,16,15,75
0,16,20,76
0,16,25,76
0,16,30,77
0,16,35,78
0,16,40,79
0,16,45,79
0,16,50,80
0,16,55,81
0,17,0,82
0,17,5,82
0,17,10,83
0,17,15,84
0,17,20,85
0,17,25,86
0,17,30,87
0,17,35,87
0,17,40,88
0,17,45,89
0,17,50,90
0,17,55,91
0,18,0,92
0,18,5,92
0,18,10,93
0,18,15,94
0,18,20,94
0,18,25,95
0,18,30,96
0,18,35,96
0,18,40,97
0,18,45,98
0,18,50,98
0,18,55,99
0,19,0,100
0,19,5,99
0,19,10,99
0,19,15,99
0,19,20,99
0,19,25,99
0,19,30,99
0,19,35,99
0,19,40,99
0,19,45,99
0,19,50,99
0,19,55,99
0,20,0,99
0,20,5,98
0,20,10,98
0,20,15,97
0,20,20,97
0,20,25,96
0,20,30,96
0,20,35,96
0,20,40,95
0,20,45,95
0,20,50,94
0,20,55,94
0,21,0,94
0,21,5,93
0,21,10,92
0,21,15,91
0,21,20,90
0,21,25,89
0,21,30,88
0,21,35,87
0,21,40,86
0,21,45,85
0,21,50,84
0,21,55,83
0,22,0,83
0,22,5,81
0,22,10,80
0,22,15,79
0,22,20,77
0,22,25,76
0,22,30,75
0,22,35,73
0,22,40,72
0,22,45,71
0,22,50,69
0,22,55,68
0,23,0,67
0,23,5,65
0,23,10,63
0,23,15,61
0,23,20,60
0,23,25,58
0,23,30,56
0,23,35,54
0,23,40,53
0,23,45,51
0,23,50,49
0,23,55,47
1,0,0,46
1,0,5,44
1,0,10,42
1,0,15,40
1,0,20,39
1,0,25,37
1,0,30,35
1,0,35,33
1,0,40,32
1,0,45,30
1,0,50,28
1,0,55,26
1,1,0,25
1,1,5,23
1,1,10,22
1,1,15,21
1,1,20,20
1,1,25,19
1,1,30,18
1,1,35,16
1,1,40,15
1,1,45,14
1,1,50,13
1,1,55,12
1,2,0,11
1,2,5,10
1,2,10,9
1,2,15,8
1,2,20,8
1,2,25,7
1,2,30,6
1,2,35,5
1,2,40,5
1,2,45,4
1,2,50,3
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,1
1,4,25,1
1,4,30,1
1,4,35,1
1,4,40,2
1,4,45,2
1,4,50,2
1,4,55,2
1,5,0,3
1,5,5,4
1,5,10,5
1,5,15,6
1,5,20,7
1,5,25,8
1,5,30,9
1,5,35,10
1,5,40,11
1,5,45,12
1,5,50,13
1,5,55,14
1,6,0,15
1,6,5,16
1,6,10,17
1,6,15,19
1,6,20,20
1,6,25,22
1,6,30,23
1,6,35,24
1,6,40,26
1,6,45,27
1,6,50,29
1,6,55,30
1,7,0,32
1,7,5,33
1,7,10,35
1,7,15,36
1,7,20,38
1,7,25,39
1,7,30,41
1,7,35,43
1,7,40,44
1,7,45,46
1,7,50,47
1,7,55,49
1,8,0,51
1,8,5,51
1,8,10,52
1,8,15,53
1,8,20,54
1,8,25,55
1,8,30,56
1,8,35,57
1,8,40,58
1,8,45,59
1,8,50,60
1,8,55,61
1,9,0,62
1,9,5,62
1,9,10,62
1,9,15,63
1,9,20,63
1,9,25,63
1,9,30,64
1,9,35,64
1,9,40,64
1,9,45,65
1,9,50,65
1,9,55,65
1,10,0,66
1,10,5,66
1,10,10,66
1,10,15,66
1,10,20,66
1,10,25,66
1,10,30,66
1,10,35,66
1,10,40,66
1,10,45,66
1,10,50,66
1,10,55,66
1,11,0,67
1,11,5,66
1,11,10,66
1,11,15,66
