d,h,m,mem
0,0,0,34
0,0,5,32
0,0,10,30
0,0,15,29
0,0,20,27
0,0,25,25
0,0,30,24
0,0,35,22
0,0,40,20
0,0,45,19
0,0,50,17
0,0,55,15
0,1,0,14
0,1,5,13
0,1,10,12
0,1,15,11
0,1,20,10
0,1,25,9
0,1,30,9
0,1,35,8
0,1,40,7
0,1,45,6
0,1,50,5
0,1,55,4
0,2,0,4
0,2,5,3
0,2,10,3
0,2,15,3
0,2,20,2
0,2,25,2
0,2,30,2
0,2,35,1
0,2,40,1
0,2,45,1
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,1
0,3,50,1
0,3,55,1
0,4,0,2
0,4,5,2
0,4,10,3
0,4,15,3
0,4,20,4
0,4,25,4
0,4,30,5
0,4,35,5
0,4,40,6
0,4,45,6
0,4,50,7
0,4,55,7
0,5,0,8
0,5,5,8
0,5,10,9
0,5,15,10
0,5,20,11
0,5,25,12
0,5,30,13
0,5,35,14
0,5,40,15
0,5,45,16
0,5,50,17
0,5,55,18
0,6,0,19
0,6,5,20
0,6,10,21
0,6,15,22
0,6,20,24
0,6,25,25
0,6,30,26
0,6,35,27
0,6,40,29
0,6,45,30
0,6,50,31
0,6,55,32
0,7,0,34
0,7,5,35
0,7,10,36
0,7,15,38
0,7,20,39
0,7,25,41
0,7,30,42
0,7,35,43
0,7,40,45
0,7,45,46
0,7,50,48
0,7,55,49
0,8,0,51
0,8,5,52
0,8,10,53
0,8,15,54
0,8,20,56
0,8,25,57
0,8,30,58
0,8,35,59
0,8,40,61
0,8,45,62
0,8,50,63
0,8,55,64
0,9,0,66
0,9,5,67
0,9,10,68
0,9,15,69
0,9,20,70
0,9,25,71
0,9,30,72
0,9,35,73
0,9,40,74
0,9,45,75
0,9,50,76
0,9,55,77
0,10,0,79
0,10,5,80
0,10,10,81
0,10,15,82
0,10,20,83
0,10,25,84
0,10,30,85
0,10,35,86
0,10,40,87
0,10,45,88
0,10,50,89
0,10,55,90
0,11,0,91
0,11,5,91
0,11,10,92
0,11,15,93
0,11,20,93
0,11,25,94
0,11,30,95
0,11,35,95
0,11,40,96
0,11,45,97
0,11,50,97
0,11,55,98
0,12,0,99
0,12,5,99
0,12,10,99
0,12,15,99
0,12,20,99
0,12,25,99
0,12,30,99
0,12,35,99
0,12,40,99
0,12,45,99
0,12,50,99
0,12,55,99
0,13,0,99
0,13,5,98
0,13,10,98
0,13,15,98
0,13,20,98
0,13,25,97
0,13,30,97
0,13,35,97
0,13,40,97
0,13,45,96
0,13,50,96
0,13,55,96
0,14,0,96
0,14,5,95
0,14,10,95
0,14,15,95
0,14,20,95
0,14,25,95
0,14,30,95
0,14,35,94
0,14,40,94
0,14,45,94
0,14,50,94
0,14,55,94
0,15,0,94
0,15,5,92
0,15,10,91
0,15,15,90
0,15,20,89
0,15,25,88
0,15,30,87
0,15,35,86
0,15,40,85
0,15,45,84
0,15,50,83
0,15,55,82
0,16,0,81
0,16,5,80
0,16,10,79
0,16,15,79
0,16,20,78
0,16,25,77
0,16,30,77
0,16,35,76
0,16,40,75
0,16,45,75
0,16,50,74
0,16,55,73
0,17,0,73
0,17,5,73
0,17,10,74
0,17,15,74
0,17,20,75
0,17,25,75
0,17,30,76
0,17,35,76
0,17,40,77
0,17,45,77
0,17,50,78
0,17,55,78
0,18,0,79
0,18,5,79
0,18,10,80
0,18,15,81
0,18,20,81
0,18,25,82
0,18,30,83
0,18,35,83
0,18,40,84
0,18,45,85
0,18,50,85
0,18,55,86
0,19,0,87
0,19,5,87
0,19,10,88
0,19,15,88
0,19,20,89
0,19,25,89
0,19,30,90
0,19,35,90
0,19,40,91
0,19,45,91
0,19,50,92
0,19,55,92
0,20,0,93
0,20,5,92
0,20,10,92
0,20,15,92
0,20,20,92
0,20,25,91
0,20,30,91
0,20,35,91
0,20,40,91
0,20,45,90
0,20,50,90
0,20,55,90
0,21,0,90
0,21,5,89
0,21,10,88
0,21,15,87
0,21,20,86
0,21,25,85
0,21,30,84
0,21,35,83
0,21,40,82
0,21,45,81
0,21,50,80
0,21,55,79
0,22,0,78
0,22,5,76
0,22,10,74
0,22,15,72
0,22,20,70
0,22,25,68
0,22,30,67
0,22,35,65
0,22,40,63
0,22,45,61
0,22,50,59
0,22,55,57
0,23,0,56
0,23,5,55
0,23,10,54
0,23,15,53
0,23,20,52
0,23,25,51
0,23,30,51
0,23,35,50
0,23,40,49
0,23,45,48
0,23,50,47
0,23,55,46
1,0,0,46
1,0,5,43
1,0,10,41
1,0,15,39
1,0,20,37
1,0,25,35
1,0,30,33
1,0,35,31
1,0,40,29
1,0,45,27
1,0,50,25
1,0,55,23
1,1,0,21
1,1,5,20
1,1,10,19
1,1,15,18
1,1,20,17
1,1,25,16
1,1,30,15
1,1,35,14
1,1,40,13
1,1,45,12
1,1,50,11
1,1,55,10
1,2,0,9
1,2,5,8
1,2,10,7
1,2,15,6
1,2,20,6
1,2,25,5
1,2,30,4
1,2,35,3
1,2,40,3
1,2,45,2
1,2,50,1
1,2,55,0
1,3,0,0
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,0
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,1
1,5,10,2
1,5,15,3
1,5,20,5
1,5,25,6
1,5,30,7
1,5,35,8
1,5,40,10
1,5,45,11
1,5,50,12
1,5,55,13
1,6,0,15
1,6,5,16
1,6,10,18
1,6,15,19
1,6,20,21
1,6,25,22
1,6,30,24
1,6,35,25
1,6,40,27
1,6,45,28
1,6,50,30
1,6,55,31
1,7,0,33
1,7,5,34
1,7,10,36
1,7,15,38
1,7,20,40
1,7,25,42
1,7,30,44
1,7,35,45
1,7,40,47
1,7,45,49
1,7,50,51
1,7,55,53
1,8,0,55
1,8,5,56
1,8,10,58
1,8,15,59
1,8,20,61
1,8,25,62
1,8,30,64
1,8,35,65
1,8,40,67
1,8,45,68
1,8,50,70
1,8,55,71
1,9,0,73
1,9,5,73
1,9,10,74
1,9,15,75
1,9,20,75
1,9,25,76
1,9,30,77
1,9,35,77
1,9,40,78
1,9,45,79
1,9,50,79
1,9,55,80
1,10,0,81
1,10,5,81
1,10,10,81
1,10,15,81
1,10,20,81
1,10,25,81
1,10,30,81
1,10,35,81
1,10,40,81
1,10,45,81
1,10,50,81
1,10,55,81
1,11,0,81
1,11,5,80
1,11,10,80
1,11,15,79
1,11,20,79
1,11,25,78
1,11,30,78
1,11,35,78
1,11,40,77
1,11,45,77
1,11,50,76
1,11,55,76
1,12,0,76
1,12,5,76
1,12,10,76
1,12,15,76
1,12,20,77
1,12,25,77
1,12,30,77
1,12,35,77
1,12,40,78
1,12,45,78
1,12,50,78
1,12,55,78
1,13,0,79
1,13,5,78
1,13,10,78
1,13,15,78
1,13,20,77
1,13,25,77
1,13,30,77
1,13,35,76
1,13,40,76
1,13,45,76
1,13,50,75
1,13,55,75
1,14,0,75
1,14,5,74
1,14,10,73
1,14,15,73
1,14,20,72
1,14,25,71
1,14,30,71
1,14,35,70
1,14,40,69
1,14,45,69
1,14,50,68
1,14,55,67
1,15,0,67
1,15,5,67
1,15,10,67
1,15,15,67
1,15,20,68
1,15,25,68
1,15,30,68
1,15,35,68
1,15,40,69
1,15,45,69
1,15,50,69
1,15,55,69
1,16,0,70
1,16,5,70
1,16,10,71
1,16,15,71
1,16,20,72
1,16,25,72
1,16,30,73
1,16,35,74
1,16,40,74
1,16,45,75
1,16,50,75
1,16,55,76
1,17,0,77
1,17,5,77
1,17,10,78
1,17,15,78
1,17,20,79
1,17,25,79
1,17,30,80
1,17,35,80
1,17,40,81
1,17,45,81
1,17,50,82
1,17,55,82
1,18,0,83
1,18,5,83
1,18,10,84
1,18,15,84
1,18,20,85
1,18,25,85
1,18,30,86
1,18,35,87
1,18,40,87
1,18,45,88
1,18,50,88
1,18,55,89
1,19,0,90
1,19,5,90
1,19,10,91
1,19,15,92
1,19,20,92
1,19,25,93
1,19,30,94
1,19,35,94
1,19,40,95
1,19,45,96
1,19,50,96
1,19,55,97
1,20,0,98
1,20,5,98
1,20,10,98
1,20,15,98
1,20,20,98
1,20,25,98
1,20,30,98
1,20,35,98
1,20,40,98
1,20,45,98
1,20,50,98
1,20,55,98
1,21,0,99
1,21,5,98
1,21,10,97
1,21,15,96
1,21,20,95
1,21,25,94
1,21,30,93
1,21,35,92
1,21,40,91
1,21,45,90
1,21,50,89
1,21,55,88
1,22,0,87
1,22,5,85
1,22,10,83
1,22,15,81
1,22,20,80
1,22,25,78
1,22,30,76
1,22,35,74
1,22,40,73
1,22,45,71
1,22,50,69
1,22,55,67
1,23,0,66
1,23,5,63
1,23,10,60
1,23,15,58
1,23,20,55
1,23,25,53
1,23,30,50
1,23,35,47
1,23,40,45
1,23,45,42
1,23,50,40
1,23,55,37
2,0,0,35
2,0,5,33
2,0,10,32
2,0,15,30
2,0,20,29
2,0,25,27
2,0,30,26
2,0,35,24
2,0,40,23
2,0,45,21
2,0,50,20
2,0,55,18
2,1,0,17
2,1,5,16
2,1,10,15
2,1,15,14
2,1,20,13
2,1,25,12
2,1,30,12
2,1,35,11
2,1,40,10
2,1,45,9
2,1,50,8
2,1,55,7
2,2,0,7
2,2,5,6
2,2,10,6
2,2,15,6
2,2,20,5
2,2,25,5
2,2,30,5
2,2,35,4
2,2,40,4
2,2,45,4
2,2,50,3
2,2,55,3
2,3,0,3
2,3,5,2
2,3,10,2
2,3,15,2
2,3,20,2
2,3,25,1
2,3,30,1
2,3,35,1
2,3,40,1
2,3,45,0
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,0
2,4,15,0
2,4,20,0
2,4,25,0
2,4,30,0
2,4,35,0
2,4,40,0
2,4,45,0
2,4,50,0
2,4,55,0
2,5,0,1
2,5,5,2
2,5,10,3
2,5,15,5
2,5,20,6
2,5,25,7
2,5,30,9
2,5,35,10
2,5,40,11
2,5,45,13
2,5,50,14
2,5,55,15
2,6,0,17
2,6,5,19
2,6,10,22
2,6,15,24
2,6,20,27
2,6,25,29
2,6,30,32
2,6,35,34
2,6,40,37
2,6,45,39
2,6,50,42
2,6,55,44
2,7,0,47
2,7,5,48
2,7,10,50
2,7,15,52
2,7,20,54
2,7,25,55
2,7,30,57
2,7,35,59
2,7,40,61
2,7,45,62
2,7,50,64
2,7,55,66
2,8,0,68
2,8,5,69
2,8,10,71
2,8,15,72
2,8,20,74
2,8,25,75
2,8,30,77
2,8,35,79
2,8,40,80
2,8,45,82
2,8,50,83
2,8,55,85
2,9,0,87
2,9,5,87
2,9,10,87
2,9,15,87
2,9,20,88
