d,h,m,mem
0,0,0,33
0,0,5,31
0,0,10,30
0,0,15,29
0,0,20,27
0,0,25,26
0,0,30,25
0,0,35,23
0,0,40,22
0,0,45,21
0,0,50,19
0,0,55,18
0,1,0,17
0,1,5,16
0,1,10,15
0,1,15,14
0,1,20,13
0,1,25,12
0,1,30,12
0,1,35,11
0,1,40,10
0,1,45,9
0,1,50,8
0,1,55,7
0,2,0,7
0,2,5,6
0,2,10,6
0,2,15,5
0,2,20,5
0,2,25,4
0,2,30,4
0,2,35,3
0,2,40,3
0,2,45,2
0,2,50,2
0,2,55,1
0,3,0,1
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,2
0,4,45,2
0,4,50,2
0,4,55,2
0,5,0,3
0,5,5,3
0,5,10,4
0,5,15,5
0,5,20,6
0,5,25,7
0,5,30,8
0,5,35,8
0,5,40,9
0,5,45,10
0,5,50,11
0,5,55,12
0,6,0,13
0,6,5,13
0,6,10,14
0,6,15,14
0,6,20,15
0,6,25,15
0,6,30,16
0,6,35,16
0,6,40,17
0,6,45,17
0,6,50,18
0,6,55,18
0,7,0,19
0,7,5,19
0,7,10,19
0,7,15,19
0,7,20,20
0,7,25,20
0,7,30,20
0,7,35,20
0,7,40,21
0,7,45,21
0,7,50,21
0,7,55,21
0,8,0,22
0,8,5,22
0,8,10,22
0,8,15,22
0,8,20,22
0,8,25,22
0,8,30,23
0,8,35,23
0,8,40,23
0,8,45,23
0,8,50,23
0,8,55,23
0,9,0,24
0,9,5,24
0,9,10,24
0,9,15,24
0,9,20,24
0,9,25,24
0,9,30,25
0,9,35,25
0,9,40,25
0,9,45,25
0,9,50,25
0,9,55,25
0,10,0,26
0,10,5,26
0,10,10,26
0,10,15,26
0,10,20,26
0,10,25,26
0,10,30,26
0,10,35,26
0,10,40,26
0,10,45,26
0,10,50,26
0,10,55,26
0,11,0,27
0,11,5,27
0,11,10,27
0,11,15,27
0,11,20,27
0,11,25,27
0,11,30,27
0,11,35,27
0,11,40,27
0,11,45,27
0,11,50,27
0,11,55,27
0,12,0,28
0,12,5,28
0,12,10,28
0,12,15,29
0,12,20,29
0,12,25,29
0,12,30,30
0,12,35,30
0,12,40,30
0,12,45,31
0,12,50,31
0,12,55,31
0,13,0,32
0,13,5,32
0,13,10,33
0,13,15,34
0,13,20,35
0,13,25,36
0,13,30,37
0,13,35,37
0,13,40,38
0,13,45,39
0,13,50,40
0,13,55,41
0,14,0,42
0,14,5,42
0,14,10,43
0,14,15,44
0,14,20,45
0,14,25,46
0,14,30,47
0,14,35,48
0,14,40,49
0,14,45,50
0,14,50,51
0,14,55,52
0,15,0,53
0,15,5,53
0,15,10,54
0,15,15,54
0,15,20,55
0,15,25,55
0,15,30,56
0,15,35,57
0,15,40,57
0,15,45,58
0,15,50,58
0,15,55,59
0,16,0,60
0,16,5,61
0,16,10,62
0,16,15,64
0,16,20,65
0,16,25,66
0,16,30,68
0,16,35,69
0,16,40,70
0,16,45,72
0,16,50,73
0,16,55,74
0,17,0,76
0,17,5,76
0,17,10,77
0,17,15,78
0,17,20,79
0,17,25,79
0,17,30,80
0,17,35,81
0,17,40,82
0,17,45,82
0,17,50,83
0,17,55,84
0,18,0,85
0,18,5,84
0,18,10,84
0,18,15,83
0,18,20,83
0,18,25,82
0,18,30,82
0,18,35,82
0,18,40,81
0,18,45,81
0,18,50,80
0,18,55,80
0,19,0,80
0,19,5,79
0,19,10,79
0,19,15,79
0,19,20,79
0,19,25,79
0,19,30,79
0,19,35,79
0,19,40,79
0,19,45,79
0,19,50,79
0,19,55,79
0,20,0,79
0,20,5,78
0,20,10,78
0,20,15,78
0,20,20,78
0,20,25,77
0,20,30,77
0,20,35,77
0,20,40,77
0,20,45,76
0,20,50,76
0,20,55,76
0,21,0,76
0,21,5,75
0,21,10,74
0,21,15,74
0,21,20,73
0,21,25,73
0,21,30,72
0,21,35,71
0,21,40,71
0,21,45,70
0,21,50,70
0,21,55,69
0,22,0,69
0,22,5,68
0,22,10,67
0,22,15,66
0,22,20,65
0,22,25,64
0,22,30,63
0,22,35,62
0,22,40,61
0,22,45,60
0,22,50,59
0,22,55,58
0,23,0,57
0,23,5,55
0,23,10,54
0,23,15,52
0,23,20,51
0,23,25,49
0,23,30,48
0,23,35,47
0,23,40,45
0,23,45,44
0,23,50,42
0,23,55,41
1,0,0,40
1,0,5,38
1,0,10,37
1,0,15,36
1,0,20,34
1,0,25,33
1,0,30,32
1,0,35,30
1,0,40,29
1,0,45,28
1,0,50,26
1,0,55,25
1,1,0,24
1,1,5,23
1,1,10,22
1,1,15,21
1,1,20,20
1,1,25,19
1,1,30,18
1,1,35,17
1,1,40,16
1,1,45,15
1,1,50,14
1,1,55,13
1,2,0,12
1,2,5,11
1,2,10,10
1,2,15,9
1,2,20,9
1,2,25,8
1,2,30,7
1,2,35,6
1,2,40,6
1,2,45,5
1,2,50,4
1,2,55,3
1,3,0,3
1,3,5,2
1,3,10,2
1,3,15,2
1,3,20,2
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,0
1,5,15,1
1,5,20,1
1,5,25,2
1,5,30,2
1,5,35,2
1,5,40,3
1,5,45,3
1,5,50,4
1,5,55,4
1,6,0,5
1,6,5,5
1,6,10,5
1,6,15,6
1,6,20,6
1,6,25,6
1,6,30,7
1,6,35,7
1,6,40,7
1,6,45,8
1,6,50,8
1,6,55,8
1,7,0,9
1,7,5,9
1,7,10,9
1,7,15,9
1,7,20,9
1,7,25,9
1,7,30,9
1,7,35,9
1,7,40,9
1,7,45,9
1,7,50,9
1,7,55,9
1,8,0,10
1,8,5,10
1,8,10,10
1,8,15,10
1,8,20,10
1,8,25,10
1,8,30,11
1,8,35,11
1,8,40,11
1,8,45,11
1,8,50,11
1,8,55,11
1,9,0,12
1,9,5,11
1,9,10,11
1,9,15,11
1,9,20,11
1,9,25,11
1,9,30,11
1,9,35,11
1,9,40,11
1,9,45,11
1,9,50,11
1,9,55,11
1,10,0,11
1,10,5,11
1,10,10,11
1,10,15,11
1,10,20,11
1,10,25,11
1,10,30,11
1,10,35,11
