d,h,m,mem
0,0,0,11
0,0,5,10
0,0,10,10
0,0,15,9
0,0,20,9
0,0,25,8
0,0,30,8
0,0,35,7
0,0,40,7
0,0,45,6
0,0,50,6
0,0,55,5
0,1,0,5
0,1,5,4
0,1,10,4
0,1,15,4
0,1,20,3
0,1,25,3
0,1,30,3
0,1,35,2
0,1,40,2
0,1,45,2
0,1,50,1
0,1,55,1
0,2,0,1
0,2,5,0
0,2,10,0
0,2,15,0
0,2,20,0
0,2,25,0
0,2,30,0
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,1
0,5,10,3
0,5,15,4
0,5,20,6
0,5,25,7
0,5,30,9
0,5,35,10
0,5,40,12
0,5,45,13
0,5,50,15
0,5,55,16
0,6,0,18
0,6,5,20
0,6,10,23
0,6,15,25
0,6,20,28
0,6,25,30
0,6,30,33
0,6,35,36
0,6,40,38
0,6,45,41
0,6,50,43
0,6,55,46
0,7,0,49
0,7,5,50
0,7,10,51
0,7,15,52
0,7,20,53
0,7,25,54
0,7,30,55
0,7,35,56
0,7,40,57
0,7,45,58
0,7,50,59
0,7,55,60
0,8,0,62
0,8,5,62
0,8,10,62
0,8,15,63
0,8,20,63
0,8,25,64
0,8,30,64
0,8,35,64
0,8,40,65
0,8,45,65
0,8,50,66
0,8,55,66
0,9,0,67
0,9,5,67
0,9,10,67
0,9,15,67
0,9,20,67
0,9,25,67
0,9,30,67
0,9,35,67
0,9,40,67
0,9,45,67
0,9,50,67
0,9,55,67
0,10,0,67
0,10,5,67
0,10,10,67
0,10,15,67
0,10,20,68
0,10,25,68
0,10,30,68
0,10,35,68
0,10,40,69
0,10,45,69
0,10,50,69
0,10,55,69
0,11,0,70
0,11,5,70
0,11,10,70
0,11,15,70
0,11,20,70
0,11,25,70
0,11,30,70
0,11,35,70
0,11,40,70
0,11,45,70
0,11,50,70
0,11,55,70
0,12,0,70
0,12,5,70
0,12,10,70
0,12,15,70
0,12,20,70
0,12,25,70
0,12,30,70
0,12,35,70
0,12,40,70
0,12,45,70
0,12,50,70
0,12,55,70
0,13,0,71
0,13,5,71
0,13,10,72
0,13,15,73
0,13,20,74
0,13,25,74
0,13,30,75
0,13,35,76
0,13,40,77
0,13,45,77
0,13,50,78
0,13,55,79
0,14,0,80
0,14,5,79
0,14,10,79
0,14,15,78
0,14,20,78
0,14,25,77
0,14,30,77
0,14,35,76
0,14,40,76
0,14,45,75
0,14,50,75
0,14,55,74
0,15,0,74
0,15,5,72
0,15,10,70
0,15,15,68
0,15,20,66
0,15,25,64
0,15,30,63
0,15,35,61
0,15,40,59
0,15,45,57
0,15,50,55
0,15,55,53
0,16,0,52
0,16,5,51
0,16,10,50
0,16,15,49
0,16,20,48
0,16,25,47
0,16,30,47
0,16,35,46
0,16,40,45
0,16,45,44
0,16,50,43
0,16,55,42
0,17,0,42
0,17,5,41
0,17,10,41
0,17,15,41
0,17,20,41
0,17,25,41
0,17,30,41
0,17,35,40
0,17,40,40
0,17,45,40
0,17,50,40
0,17,55,40
0,18,0,40
0,18,5,39
0,18,10,39
0,18,15,39
0,18,20,39
0,18,25,38
0,18,30,38
0,18,35,38
0,18,40,38
0,18,45,37
0,18,50,37
0,18,55,37
0,19,0,37
0,19,5,37
0,19,10,37
0,19,15,37
0,19,20,37
0,19,25,37
0,19,30,37
0,19,35,37
0,19,40,37
0,19,45,37
0,19,50,37
0,19,55,37
0,20,0,38
0,20,5,38
0,20,10,38
0,20,15,38
0,20,20,38
0,20,25,38
0,20,30,38
0,20,35,38
0,20,40,38
0,20,45,38
0,20,50,38
0,20,55,38
0,21,0,38
0,21,5,37
0,21,10,37
0,21,15,36
0,21,20,36
0,21,25,35
0,21,30,35
0,21,35,34
0,21,40,34
0,21,45,33
0,21,50,33
0,21,55,32
0,22,0,32
0,22,5,31
0,22,10,30
0,22,15,29
0,22,20,28
0,22,25,27
0,22,30,27
0,22,35,26
0,22,40,25
0,22,45,24
0,22,50,23
0,22,55,22
0,23,0,22
0,23,5,22
0,23,10,23
0,23,15,24
0,23,20,25
0,23,25,26
0,23,30,27
0,23,35,27
0,23,40,28
0,23,45,29
0,23,50,30
0,23,55,31
1,0,0,32
1,0,5,30
1,0,10,29
1,0,15,28
1,0,20,26
1,0,25,25
1,0,30,24
1,0,35,22
1,0,40,21
1,0,45,20
1,0,50,18
1,0,55,17
1,1,0,16
1,1,5,15
1,1,10,14
1,1,15,13
1,1,20,13
1,1,25,12
1,1,30,11
1,1,35,10
1,1,40,10
1,1,45,9
1,1,50,8
1,1,55,7
1,2,0,7
1,2,5,6
1,2,10,6
1,2,15,6
1,2,20,5
1,2,25,5
1,2,30,5
1,2,35,4
1,2,40,4
1,2,45,4
1,2,50,3
1,2,55,3
1,3,0,3
1,3,5,3
1,3,10,3
1,3,15,3
1,3,20,3
1,3,25,3
1,3,30,3
1,3,35,3
1,3,40,3
1,3,45,3
1,3,50,3
1,3,55,3
1,4,0,4
1,4,5,4
1,4,10,5
1,4,15,5
1,4,20,6
1,4,25,6
1,4,30,7
1,4,35,8
1,4,40,8
1,4,45,9
1,4,50,9
1,4,55,10
1,5,0,11
1,5,5,12
1,5,10,13
1,5,15,14
1,5,20,15
1,5,25,16
1,5,30,18
1,5,35,19
1,5,40,20
1,5,45,21
1,5,50,22
1,5,55,23
1,6,0,25
1,6,5,26
1,6,10,28
1,6,15,29
1,6,20,31
1,6,25,32
1,6,30,34
1,6,35,36
1,6,40,37
1,6,45,39
1,6,50,40
1,6,55,42
1,7,0,44
1,7,5,45
1,7,10,47
1,7,15,49
1,7,20,50
1,7,25,52
1,7,30,54
1,7,35,55
1,7,40,57
1,7,45,59
1,7,50,60
1,7,55,62
1,8,0,64
1,8,5,65
1,8,10,66
1,8,15,67
1,8,20,69
1,8,25,70
1,8,30,71
1,8,35,72
1,8,40,74
1,8,45,75
1,8,50,76
1,8,55,77
1,9,0,79
1,9,5,79
1,9,10,80
1,9,15,81
1,9,20,82
1,9,25,83
1,9,30,84
1,9,35,85
1,9,40,86
1,9,45,87
1,9,50,88
1,9,55,89
1,10,0,90
1,10,5,90
1,10,10,90
1,10,15,91
1,10,20,91
1,10,25,92
1,10,30,92
1,10,35,92
1,10,40,93
1,10,45,93
1,10,50,94
1,10,55,94
1,11,0,95
1,11,5,95
1,11,10,95
1,11,15,95
1,11,20,95
1,11,25,95
1,11,30,96
1,11,35,96
1,11,40,96
1,11,45,96
1,11,50,96
1,11,55,96
1,12,0,97
1,12,5,97
1,12,10,97
1,12,15,97
1,12,20,97
1,12,25,97
1,12,30,98
1,12,35,98
1,12,40,98
1,12,45,98
1,12,50,98
1,12,55,98
1,13,0,99
1,13,5,98
1,13,10,98
1,13,15,98
1,13,20,98
1,13,25,97
1,13,30,97
1,13,35,97
1,13,40,97
1,13,45,96
1,13,50,96
1,13,55,96
1,14,0,96
1,14,5,95
1,14,10,94
1,14,15,93
1,14,20,92
1,14,25,91
1,14,30,91
1,14,35,90
1,14,40,89
1,14,45,88
1,14,50,87
1,14,55,86
1,15,0,86
1,15,5,85
1,15,10,84
1,15,15,83
1,15,20,82
1,15,25,81
1,15,30,81
1,15,35,80
1,15,40,79
1,15,45,78
1,15,50,77
1,15,55,76
1,16,0,76
1,16,5,75
1,16,10,75
1,16,15,74
1,16,20,74
1,16,25,73
1,16,30,73
1,16,35,73
1,16,40,72
1,16,45,72
1,16,50,71
1,16,55,71
1,17,0,71
1,17,5,71
1,17,10,71
1,17,15,71
1,17,20,72
1,17,25,72
1,17,30,72
1,17,35,72
1,17,40,73
1,17,45,73
1,17,50,73
1,17,55,73
1,18,0,74
1,18,5,74
1,18,10,74
1,18,15,74
1,18,20,75
1,18,25,75
1,18,30,75
1,18,35,75
1,18,40,76
1,18,45,76
1,18,50,76
1,18,55,76
1,19,0,77
1,19,5,77
1,19,10,78
1,19,15,78
1,19,20,79
1,19,25,79
1,19,30,80
1,19,35,81
1,19,40,81
1,19,45,82
1,19,50,82
1,19,55,83
1,20,0,84
1,20,5,84
1,20,10,84
1,20,15,84
1,20,20,84
1,20,25,84
1,20,30,84
1,20,35,84
1,20,40,84
1,20,45,84
1,20,50,84
1,20,55,84
1,21,0,85
