d,h,m,mem
0,0,0,38
0,0,5,36
0,0,10,34
0,0,15,33
0,0,20,31
0,0,25,30
0,0,30,28
0,0,35,26
0,0,40,25
0,0,45,23
0,0,50,22
0,0,55,20
0,1,0,19
0,1,5,18
0,1,10,17
0,1,15,16
0,1,20,15
0,1,25,14
0,1,30,13
0,1,35,12
0,1,40,11
0,1,45,10
0,1,50,9
0,1,55,8
0,2,0,8
0,2,5,7
0,2,10,7
0,2,15,6
0,2,20,6
0,2,25,5
0,2,30,5
0,2,35,5
0,2,40,4
0,2,45,4
0,2,50,3
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,4
0,5,20,5
0,5,25,5
0,5,30,6
0,5,35,7
0,5,40,8
0,5,45,8
0,5,50,9
0,5,55,10
0,6,0,11
0,6,5,11
0,6,10,12
0,6,15,12
0,6,20,13
0,6,25,13
0,6,30,14
0,6,35,14
0,6,40,15
0,6,45,15
0,6,50,16
0,6,55,16
0,7,0,17
0,7,5,17
0,7,10,17
0,7,15,17
0,7,20,18
0,7,25,18
0,7,30,18
0,7,35,18
0,7,40,19
0,7,45,19
0,7,50,19
0,7,55,19
0,8,0,20
0,8,5,20
0,8,10,20
0,8,15,20
0,8,20,20
0,8,25,20
0,8,30,21
0,8,35,21
0,8,40,21
0,8,45,21
0,8,50,21
0,8,55,21
0,9,0,22
0,9,5,22
0,9,10,22
0,9,15,22
0,9,20,23
0,9,25,23
0,9,30,23
0,9,35,23
0,9,40,24
0,9,45,24
0,9,50,24
0,9,55,24
0,10,0,25
0,10,5,25
0,10,10,25
0,10,15,25
0,10,20,25
0,10,25,25
0,10,30,26
0,10,35,26
0,10,40,26
0,10,45,26
0,10,50,26
0,10,55,26
0,11,0,27
0,11,5,27
0,11,10,27
0,11,15,27
0,11,20,27
0,11,25,27
0,11,30,28
0,11,35,28
0,11,40,28
0,11,45,28
0,11,50,28
0,11,55,28
0,12,0,29
0,12,5,29
0,12,10,30
0,12,15,30
0,12,20,31
0,12,25,31
0,12,30,32
0,12,35,33
0,12,40,33
0,12,45,34
0,12,50,34
0,12,55,35
0,13,0,36
0,13,5,36
0,13,10,37
0,13,15,38
0,13,20,39
0,13,25,40
0,13,30,41
0,13,35,41
0,13,40,42
0,13,45,43
0,13,50,44
0,13,55,45
0,14,0,46
0,14,5,46
0,14,10,47
0,14,15,48
0,14,20,49
0,14,25,50
0,14,30,51
