d,h,m,mem
0,0,0,20
0,0,5,19
0,0,10,18
0,0,15,17
0,0,20,16
0,0,25,15
0,0,30,14
0,0,35,13
0,0,40,12
0,0,45,11
0,0,50,10
0,0,55,9
0,1,0,8
0,1,5,7
0,1,10,7
0,1,15,6
0,1,20,6
0,1,25,5
0,1,30,5
0,1,35,5
0,1,40,4
0,1,45,4
0,1,50,3
0,1,55,3
0,2,0,3
0,2,5,2
0,2,10,2
0,2,15,2
0,2,20,2
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,4
0,5,20,5
0,5,25,6
0,5,30,7
0,5,35,7
0,5,40,8
0,5,45,9
0,5,50,10
0,5,55,11
0,6,0,12
0,6,5,12
0,6,10,13
0,6,15,13
0,6,20,14
0,6,25,14
0,6,30,15
0,6,35,15
0,6,40,16
0,6,45,16
0,6,50,17
0,6,55,17
0,7,0,18
0,7,5,18
0,7,10,18
0,7,15,18
0,7,20,18
0,7,25,18
0,7,30,19
0,7,35,19
0,7,40,19
0,7,45,19
0,7,50,19
0,7,55,19
0,8,0,20
0,8,5,20
0,8,10,20
0,8,15,20
0,8,20,20
0,8,25,20
0,8,30,20
0,8,35,20
0,8,40,20
0,8,45,20
0,8,50,20
0,8,55,20
0,9,0,21
0,9,5,20
0,9,10,20
0,9,15,20
0,9,20,20
0,9,25,20
0,9,30,20
0,9,35,20
0,9,40,20
0,9,45,20
0,9,50,20
0,9,55,20
0,10,0,20
0,10,5,20
0,10,10,20
0,10,15,20
0,10,20,20
0,10,25,20
0,10,30,21
0,10,35,21
0,10,40,21
0,10,45,21
0,10,50,21
0,10,55,21
0,11,0,22
0,11,5,22
0,11,10,22
0,11,15,23
0,11,20,23
0,11,25,24
0,11,30,24
0,11,35,24
0,11,40,25
0,11,45,25
0,11,50,26
0,11,55,26
0,12,0,27
0,12,5,27
0,12,10,27
0,12,15,27
0,12,20,28
0,12,25,28
0,12,30,28
0,12,35,28
0,12,40,29
