d,h,m,mem
0,0,0,43
0,0,5,41
0,0,10,39
0,0,15,38
0,0,20,36
0,0,25,34
0,0,30,33
0,0,35,31
0,0,40,29
0,0,45,28
0,0,50,26
0,0,55,24
0,1,0,23
0,1,5,21
0,1,10,20
0,1,15,19
0,1,20,18
0,1,25,17
0,1,30,16
0,1,35,15
0,1,40,14
0,1,45,13
0,1,50,12
0,1,55,11
0,2,0,10
0,2,5,9
0,2,10,8
0,2,15,8
0,2,20,7
0,2,25,7
0,2,30,6
0,2,35,5
0,2,40,5
0,2,45,4
0,2,50,4
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,1
0,4,30,2
0,4,35,2
0,4,40,2
0,4,45,3
0,4,50,3
0,4,55,3
0,5,0,4
0,5,5,4
0,5,10,5
0,5,15,6
0,5,20,7
0,5,25,8
0,5,30,9
0,5,35,10
0,5,40,11
0,5,45,12
0,5,50,13
0,5,55,14
0,6,0,15
0,6,5,16
0,6,10,17
0,6,15,18
0,6,20,19
0,6,25,20
0,6,30,21
0,6,35,22
0,6,40,23
0,6,45,24
0,6,50,25
0,6,55,26
0,7,0,27
0,7,5,27
0,7,10,28
0,7,15,29
0,7,20,30
0,7,25,31
0,7,30,32
0,7,35,32
0,7,40,33
0,7,45,34
0,7,50,35
0,7,55,36
0,8,0,37
0,8,5,37
0,8,10,37
0,8,15,38
0,8,20,38
0,8,25,38
0,8,30,39
0,8,35,39
0,8,40,39
0,8,45,40
0,8,50,40
0,8,55,40
0,9,0,41
0,9,5,41
0,9,10,41
0,9,15,41
0,9,20,42
0,9,25,42
0,9,30,42
0,9,35,42
0,9,40,43
0,9,45,43
0,9,50,43
0,9,55,43
0,10,0,44
0,10,5,44
0,10,10,44
0,10,15,44
0,10,20,44
0,10,25,44
0,10,30,44
0,10,35,44
0,10,40,44
0,10,45,44
0,10,50,44
0,10,55,44
0,11,0,45
0,11,5,45
0,11,10,45
0,11,15,45
0,11,20,45
0,11,25,45
0,11,30,46
0,11,35,46
0,11,40,46
0,11,45,46
0,11,50,46
0,11,55,46
0,12,0,47
0,12,5,46
0,12,10,46
0,12,15,46
0,12,20,46
0,12,25,46
0,12,30,46
0,12,35,46
0,12,40,46
0,12,45,46
0,12,50,46
0,12,55,46
0,13,0,46
0,13,5,46
0,13,10,46
0,13,15,46
0,13,20,46
0,13,25,46
0,13,30,46
0,13,35,46
0,13,40,46
0,13,45,46
0,13,50,46
0,13,55,46
0,14,0,47
0,14,5,47
0,14,10,48
0,14,15,48
0,14,20,49
0,14,25,49
0,14,30,50
0,14,35,50
0,14,40,51
0,14,45,51
0,14,50,52
0,14,55,52
0,15,0,53
0,15,5,53
0,15,10,53
0,15,15,53
0,15,20,54
0,15,25,54
0,15,30,54
0,15,35,54
0,15,40,55
0,15,45,55
0,15,50,55
0,15,55,55
0,16,0,56
0,16,5,56
0,16,10,57
0,16,15,58
0,16,20,59
0,16,25,60
0,16,30,61
0,16,35,61
0,16,40,62
0,16,45,63
0,16,50,64
0,16,55,65
0,17,0,66
0,17,5,66
0,17,10,66
0,17,15,66
0,17,20,66
0,17,25,66
0,17,30,67
0,17,35,67
0,17,40,67
0,17,45,67
0,17,50,67
0,17,55,67
0,18,0,68
0,18,5,69
0,18,10,70
0,18,15,72
0,18,20,73
0,18,25,75
0,18,30,76
0,18,35,77
0,18,40,79
0,18,45,80
0,18,50,82
0,18,55,83
0,19,0,85
0,19,5,85
0,19,10,86
0,19,15,87
0,19,20,87
0,19,25,88
0,19,30,89
0,19,35,89
0,19,40,90
0,19,45,91
0,19,50,91
0,19,55,92
0,20,0,93
0,20,5,93
0,20,10,93
0,20,15,93
0,20,20,93
0,20,25,93
0,20,30,93
0,20,35,93
0,20,40,93
0,20,45,93
0,20,50,93
0,20,55,93
0,21,0,93
0,21,5,92
0,21,10,91
0,21,15,91
0,21,20,90
0,21,25,90
0,21,30,89
0,21,35,88
0,21,40,88
0,21,45,87
0,21,50,87
0,21,55,86
0,22,0,86
0,22,5,84
0,22,10,83
0,22,15,82
0,22,20,81
0,22,25,80
0,22,30,79
0,22,35,77
0,22,40,76
0,22,45,75
0,22,50,74
0,22,55,73
0,23,0,72
0,23,5,70
0,23,10,68
0,23,15,66
0,23,20,64
0,23,25,62
0,23,30,61
0,23,35,59
0,23,40,57
0,23,45,55
0,23,50,53
0,23,55,51
1,0,0,50
1,0,5,48
1,0,10,46
1,0,15,44
1,0,20,43
1,0,25,41
1,0,30,39
1,0,35,37
1,0,40,36
1,0,45,34
1,0,50,32
1,0,55,30
1,1,0,29
1,1,5,27
1,1,10,26
1,1,15,25
1,1,20,23
1,1,25,22
1,1,30,21
1,1,35,19
1,1,40,18
1,1,45,17
1,1,50,15
1,1,55,14
1,2,0,13
1,2,5,12
1,2,10,11
1,2,15,10
1,2,20,9
1,2,25,8
1,2,30,8
1,2,35,7
1,2,40,6
1,2,45,5
1,2,50,4
1,2,55,3
1,3,0,3
1,3,5,2
1,3,10,2
1,3,15,2
1,3,20,2
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,1
1,4,35,1
1,4,40,1
1,4,45,1
1,4,50,1
1,4,55,1
1,5,0,2
1,5,5,2
1,5,10,3
1,5,15,4
1,5,20,4
1,5,25,5
1,5,30,6
1,5,35,6
1,5,40,7
1,5,45,8
1,5,50,8
1,5,55,9
1,6,0,10
1,6,5,10
1,6,10,11
1,6,15,12
1,6,20,13
1,6,25,14
1,6,30,15
1,6,35,15
1,6,40,16
1,6,45,17
1,6,50,18
1,6,55,19
1,7,0,20
1,7,5,21
1,7,10,22
1,7,15,23
1,7,20,24
1,7,25,25
1,7,30,26
1,7,35,27
1,7,40,28
1,7,45,29
1,7,50,30
1,7,55,31
1,8,0,32
1,8,5,32
1,8,10,33
1,8,15,34
1,8,20,35
1,8,25,35
1,8,30,36
1,8,35,37
1,8,40,38
1,8,45,38
1,8,50,39
1,8,55,40
1,9,0,41
1,9,5,41
1,9,10,41
1,9,15,42
1,9,20,42
1,9,25,43
1,9,30,43
1,9,35,43
1,9,40,44
1,9,45,44
1,9,50,45
1,9,55,45
1,10,0,46
1,10,5,46
1,10,10,46
1,10,15,47
1,10,20,47
1,10,25,47
1,10,30,48
1,10,35,48
1,10,40,48
1,10,45,49
1,10,50,49
1,10,55,49
1,11,0,50
1,11,5,51
1,11,10,52
1,11,15,53
1,11,20,54
1,11,25,55
1,11,30,56
1,11,35,57
1,11,40,58
1,11,45,59
1,11,50,60
1,11,55,61
1,12,0,62
1,12,5,61
1,12,10,61
1,12,15,61
1,12,20,61
1,12,25,61
1,12,30,61
1,12,35,61
1,12,40,61
1,12,45,61
1,12,50,61
1,12,55,61
1,13,0,61
1,13,5,61
1,13,10,61
1,13,15,61
1,13,20,61
1,13,25,61
1,13,30,62
1,13,35,62
1,13,40,62
1,13,45,62
1,13,50,62
1,13,55,62
1,14,0,63
1,14,5,63
1,14,10,63
1,14,15,64
1,14,20,64
1,14,25,64
1,14,30,65
1,14,35,65
1,14,40,65
1,14,45,66
1,14,50,66
1,14,55,66
1,15,0,67
1,15,5,67
1,15,10,67
1,15,15,68
1,15,20,68
1,15,25,69
1,15,30,69
1,15,35,69
1,15,40,70
1,15,45,70
1,15,50,71
1,15,55,71
1,16,0,72
1,16,5,72
1,16,10,72
1,16,15,72
1,16,20,72
1,16,25,72
1,16,30,73
1,16,35,73
1,16,40,73
1,16,45,73
1,16,50,73
1,16,55,73
1,17,0,74
1,17,5,74
1,17,10,74
1,17,15,74
1,17,20,74
1,17,25,74
1,17,30,74
1,17,35,74
1,17,40,74
1,17,45,74
1,17,50,74
1,17,55,74
1,18,0,74
1,18,5,74
1,18,10,74
1,18,15,75
1,18,20,75
1,18,25,76
1,18,30,76
1,18,35,76
1,18,40,77
1,18,45,77
1,18,50,78
1,18,55,78
1,19,0,79
1,19,5,79
1,19,10,79
1,19,15,80
1,19,20,80
1,19,25,81
1,19,30,81
1,19,35,81
1,19,40,82
1,19,45,82
1,19,50,83
1,19,55,83
1,20,0,84
1,20,5,83
1,20,10,83
1,20,15,83
1,20,20,83
1,20,25,83
1,20,30,83
1,20,35,83
1,20,40,83
1,20,45,83
1,20,50,83
1,20,55,83
1,21,0,83
1,21,5,82
1,21,10,82
1,21,15,81
1,21,20,81
1,21,25,80
1,21,30,80
1,21,35,79
1,21,40,79
1,21,45,78
1,21,50,78
1,21,55,77
1,22,0,77
1,22,5,75
1,22,10,74
1,22,15,73
1,22,20,72
1,22,25,71
1,22,30,70
1,22,35,69
1,22,40,68
1,22,45,67
1,22,50,66
1,22,55,65
1,23,0,64
1,23,5,62
1,23,10,60
1,23,15,59
1,23,20,57
1,23,25,56
1,23,30,54
1,23,35,52
1,23,40,51
1,23,45,49
1,23,50,48
1,23,55,46
2,0,0,45
2,0,5,43
2,0,10,41
2,0,15,40
2,0,20,38
2,0,25,37
2,0,30,35
2,0,35,33
2,0,40,32
2,0,45,30
2,0,50,29
2,0,55,27
2,1,0,26
2,1,5,24
2,1,10,23
2,1,15,22
2,1,20,21
2,1,25,20
2,1,30,19
2,1,35,17
2,1,40,16
2,1,45,15
2,1,50,14
2,1,55,13
2,2,0,12
2,2,5,11
2,2,10,10
2,2,15,9
2,2,20,9
2,2,25,8
2,2,30,7
2,2,35,6
2,2,40,6
2,2,45,5
2,2,50,4
2,2,55,3
2,3,0,3
2,3,5,2
2,3,10,2
2,3,15,2
2,3,20,2
2,3,25,1
2,3,30,1
2,3,35,1
2,3,40,1
2,3,45,0
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,0
2,4,15,0
2,4,20,0
2,4,25,0
2,4,30,1
2,4,35,1
2,4,40,1
2,4,45,1
2,4,50,1
2,4,55,1
2,5,0,2
2,5,5,2
2,5,10,3
2,5,15,4
2,5,20,5
2,5,25,6
2,5,30,7
2,5,35,7
2,5,40,8
2,5,45,9
2,5,50,10
2,5,55,11
2,6,0,12
2,6,5,13
2,6,10,14
2,6,15,15
2,6,20,16
2,6,25,17
2,6,30,18
2,6,35,19
2,6,40,20
2,6,45,21
2,6,50,22
2,6,55,23
2,7,0,24
2,7,5,24
2,7,10,25
2,7,15,26
2,7,20,27
2,7,25,27
2,7,30,28
2,7,35,29
2,7,40,30
2,7,45,30
2,7,50,31
2,7,55,32
2,8,0,33
2,8,5,33
2,8,10,33
2,8,15,33
2,8,20,34
2,8,25,34
2,8,30,34
2,8,35,34
2,8,40,35
2,8,45,35
2,8,50,35
2,8,55,35
2,9,0,36
2,9,5,36
2,9,10,36
2,9,15,36
2,9,20,37
2,9,25,37
2,9,30,37
2,9,35,37
2,9,40,38
2,9,45,38
2,9,50,38
2,9,55,38
2,10,0,39
2,10,5,39
2,10,10,39
2,10,15,39
2,10,20,39
2,10,25,39
2,10,30,39
2,10,35,39
2,10,40,39
2,10,45,39
2,10,50,39
2,10,55,39
2,11,0,39
2,11,5,39
2,11,10,39
2,11,15,39
2,11,20,39
2,11,25,39
2,11,30,39
2,11,35,39
2,11,40,39
2,11,45,39
2,11,50,39
2,11,55,39
2,12,0,39
2,12,5,39
2,12,10,39
2,12,15,39
2,12,20,40
2,12,25,40
2,12,30,40
2,12,35,40
2,12,40,41
2,12,45,41
2,12,50,41
2,12,55,41
2,13,0,42
2,13,5,42
2,13,10,42
2,13,15,42
2,13,20,42
2,13,25,42
2,13,30,43
2,13,35,43
2,13,40,43
2,13,45,43
2,13,50,43
2,13,55,43
2,14,0,44
2,14,5,44
2,14,10,45
2,14,15,45
2,14,20,46
2,14,25,46
2,14,30,47
2,14,35,47
2,14,40,48
2,14,45,48
2,14,50,49
2,14,55,49
2,15,0,50
2,15,5,50
2,15,10,50
2,15,15,50
2,15,20,50
2,15,25,50
2,15,30,50
2,15,35,50
2,15,40,50
2,15,45,50
2,15,50,50
2,15,55,50
2,16,0,51
2,16,5,51
2,16,10,51
2,16,15,52
2,16,20,52
2,16,25,52
2,16,30,53
2,16,35,53
2,16,40,53
2,16,45,54
2,16,50,54
2,16,55,54
2,17,0,55
2,17,5,55
2,17,10,56
2,17,15,57
2,17,20,58
2,17,25,58
2,17,30,59
2,17,35,60
2,17,40,61
2,17,45,61
2,17,50,62
2,17,55,63
2,18,0,64
2,18,5,64
2,18,10,65
2,18,15,65
2,18,20,66
2,18,25,66
2,18,30,67
2,18,35,67
2,18,40,68
2,18,45,68
2,18,50,69
2,18,55,69
2,19,0,70
2,19,5,71
2,19,10,72
2,19,15,73
2,19,20,75
2,19,25,76
2,19,30,77
2,19,35,78
2,19,40,80
2,19,45,81
2,19,50,82
2,19,55,83
2,20,0,85
2,20,5,85
2,20,10,85
2,20,15,85
2,20,20,86
2,20,25,86
2,20,30,86
2,20,35,86
2,20,40,87
2,20,45,87
2,20,50,87
2,20,55,87
2,21,0,88
2,21,5,87
2,21,10,87
2,21,15,86
2,21,20,86
2,21,25,85
2,21,30,85
2,21,35,84
2,21,40,84
2,21,45,83
2,21,50,83
2,21,55,82
2,22,0,82
2,22,5,80
2,22,10,78
2,22,15,77
2,22,20,75
2,22,25,74
2,22,30,72
2,22,35,70
2,22,40,69
2,22,45,67
2,22,50,66
2,22,55,64
2,23,0,63
2,23,5,61
2,23,10,59
2,23,15,58
2,23,20,56
2,23,25,54
2,23,30,53
2,23,35,51
2,23,40,49
2,23,45,48
2,23,50,46
2,23,55,44
3,0,0,43
3,0,5,41
3,0,10,39
3,0,15,38
3,0,20,36
3,0,25,35
3,0,30,33
3,0,35,31
3,0,40,30
3,0,45,28
3,0,50,27
3,0,55,25
3,1,0,24
3,1,5,23
3,1,10,23
3,1,15,23
3,1,20,22
3,1,25,22
3,1,30,22
3,1,35,21
3,1,40,21
3,1,45,21
3,1,50,20
3,1,55,20
3,2,0,20
3,2,5,18
3,2,10,17
3,2,15,16
3,2,20,14
3,2,25,13
3,2,30,12
3,2,35,10
3,2,40,9
3,2,45,8
3,2,50,6
3,2,55,5
3,3,0,4
3,3,5,3
