d,h,m,mem
0,0,0,17
0,0,5,16
0,0,10,15
0,0,15,14
0,0,20,13
0,0,25,12
0,0,30,12
0,0,35,11
0,0,40,10
0,0,45,9
0,0,50,8
0,0,55,7
0,1,0,7
0,1,5,6
0,1,10,6
0,1,15,6
0,1,20,5
0,1,25,5
0,1,30,5
0,1,35,4
0,1,40,4
0,1,45,4
0,1,50,3
0,1,55,3
0,2,0,3
0,2,5,2
0,2,10,2
0,2,15,2
0,2,20,2
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,2
0,4,45,2
0,4,50,2
0,4,55,2
0,5,0,3
0,5,5,3
0,5,10,4
0,5,15,5
0,5,20,5
0,5,25,6
0,5,30,7
0,5,35,7
0,5,40,8
0,5,45,9
0,5,50,9
0,5,55,10
0,6,0,11
0,6,5,12
0,6,10,13
0,6,15,14
0,6,20,16
0,6,25,17
0,6,30,18
0,6,35,19
0,6,40,21
0,6,45,22
0,6,50,23
0,6,55,24
0,7,0,26
0,7,5,27
0,7,10,29
0,7,15,30
0,7,20,32
0,7,25,33
0,7,30,35
0,7,35,36
0,7,40,38
0,7,45,39
0,7,50,41
0,7,55,42
0,8,0,44
0,8,5,45
0,8,10,46
0,8,15,47
0,8,20,48
0,8,25,49
0,8,30,50
0,8,35,51
0,8,40,52
0,8,45,53
0,8,50,54
0,8,55,55
0,9,0,56
0,9,5,56
0,9,10,57
0,9,15,58
0,9,20,58
0,9,25,59
0,9,30,60
0,9,35,60
0,9,40,61
0,9,45,62
0,9,50,62
0,9,55,63
0,10,0,64
0,10,5,64
0,10,10,64
0,10,15,64
0,10,20,64
0,10,25,64
0,10,30,64
0,10,35,64
0,10,40,64
0,10,45,64
0,10,50,64
0,10,55,64
0,11,0,64
0,11,5,64
0,11,10,64
0,11,15,64
0,11,20,64
0,11,25,64
0,11,30,64
0,11,35,64
0,11,40,64
0,11,45,64
0,11,50,64
0,11,55,64
0,12,0,64
0,12,5,64
0,12,10,64
0,12,15,64
0,12,20,64
0,12,25,64
0,12,30,64
0,12,35,64
0,12,40,64
0,12,45,64
0,12,50,64
0,12,55,64
0,13,0,64
0,13,5,63
0,13,10,63
0,13,15,63
0,13,20,63
0,13,25,62
0,13,30,62
0,13,35,62
0,13,40,62
0,13,45,61
0,13,50,61
0,13,55,61
0,14,0,61
0,14,5,61
0,14,10,61
0,14,15,61
0,14,20,61
0,14,25,61
0,14,30,61
0,14,35,61
0,14,40,61
0,14,45,61
0,14,50,61
0,14,55,61
0,15,0,61
0,15,5,61
0,15,10,61
0,15,15,61
0,15,20,61
0,15,25,61
0,15,30,62
0,15,35,62
0,15,40,62
0,15,45,62
0,15,50,62
0,15,55,62
0,16,0,63
0,16,5,63
0,16,10,63
0,16,15,64
0,16,20,64
0,16,25,64
0,16,30,65
0,16,35,65
0,16,40,65
0,16,45,66
0,16,50,66
0,16,55,66
0,17,0,67
0,17,5,67
0,17,10,68
0,17,15,68
0,17,20,69
0,17,25,69
0,17,30,70
0,17,35,71
0,17,40,71
0,17,45,72
0,17,50,72
0,17,55,73
0,18,0,74
0,18,5,74
0,18,10,74
0,18,15,75
0,18,20,75
0,18,25,76
0,18,30,76
0,18,35,76
0,18,40,77
0,18,45,77
0,18,50,78
0,18,55,78
0,19,0,79
0,19,5,79
0,19,10,79
0,19,15,79
0,19,20,79
0,19,25,79
0,19,30,79
0,19,35,79
0,19,40,79
0,19,45,79
0,19,50,79
0,19,55,79
0,20,0,79
0,20,5,78
0,20,10,77
0,20,15,76
0,20,20,76
0,20,25,75
0,20,30,74
0,20,35,73
0,20,40,73
0,20,45,72
0,20,50,71
0,20,55,70
0,21,0,70
0,21,5,68
0,21,10,66
0,21,15,65
0,21,20,63
0,21,25,61
0,21,30,60
0,21,35,58
0,21,40,56
0,21,45,55
0,21,50,53
0,21,55,51
0,22,0,50
0,22,5,48
0,22,10,46
0,22,15,45
0,22,20,43
0,22,25,42
0,22,30,40
0,22,35,38
0,22,40,37
0,22,45,35
0,22,50,34
0,22,55,32
0,23,0,31
0,23,5,31
0,23,10,32
0,23,15,33
0,23,20,33
0,23,25,34
0,23,30,35
0,23,35,35
0,23,40,36
0,23,45,37
0,23,50,37
0,23,55,38
1,0,0,39
1,0,5,37
1,0,10,35
1,0,15,34
1,0,20,32
1,0,25,31
1,0,30,29
1,0,35,27
1,0,40,26
1,0,45,24
1,0,50,23
1,0,55,21
1,1,0,20
1,1,5,19
1,1,10,18
1,1,15,17
1,1,20,16
1,1,25,15
1,1,30,14
1,1,35,13
1,1,40,12
1,1,45,11
1,1,50,10
1,1,55,9
1,2,0,9
1,2,5,8
1,2,10,8
1,2,15,7
1,2,20,7
1,2,25,6
1,2,30,6
1,2,35,5
1,2,40,5
1,2,45,4
1,2,50,4
1,2,55,3
1,3,0,3
1,3,5,2
1,3,10,2
1,3,15,2
1,3,20,2
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,1
1,4,15,2
1,4,20,3
1,4,25,3
1,4,30,4
1,4,35,5
1,4,40,6
1,4,45,6
1,4,50,7
1,4,55,8
1,5,0,9
1,5,5,10
1,5,10,12
1,5,15,14
1,5,20,15
1,5,25,17
1,5,30,19
1,5,35,20
1,5,40,22
1,5,45,24
1,5,50,25
1,5,55,27
1,6,0,29
1,6,5,30
1,6,10,32
1,6,15,34
1,6,20,35
1,6,25,37
1,6,30,39
1,6,35,40
1,6,40,42
1,6,45,44
1,6,50,45
1,6,55,47
1,7,0,49
1,7,5,49
1,7,10,50
1,7,15,50
1,7,20,51
1,7,25,51
1,7,30,52
1,7,35,52
1,7,40,53
1,7,45,53
1,7,50,54
1,7,55,54
1,8,0,55
1,8,5,55
1,8,10,55
1,8,15,55
1,8,20,55
1,8,25,55
1,8,30,55
1,8,35,55
1,8,40,55
1,8,45,55
1,8,50,55
1,8,55,55
1,9,0,55
1,9,5,55
1,9,10,55
1,9,15,55
1,9,20,55
1,9,25,55
1,9,30,55
1,9,35,55
1,9,40,55
1,9,45,55
1,9,50,55
1,9,55,55
1,10,0,56
1,10,5,56
1,10,10,56
1,10,15,57
1,10,20,57
1,10,25,58
1,10,30,58
1,10,35,58
1,10,40,59
1,10,45,59
1,10,50,60
1,10,55,60
1,11,0,61
1,11,5,61
1,11,10,61
1,11,15,61
1,11,20,61
1,11,25,61
1,11,30,61
1,11,35,61
1,11,40,61
1,11,45,61
1,11,50,61
1,11,55,61
1,12,0,61
1,12,5,60
1,12,10,60
1,12,15,60
1,12,20,60
1,12,25,60
1,12,30,60
1,12,35,60
1,12,40,60
1,12,45,60
1,12,50,60
1,12,55,60
1,13,0,60
1,13,5,60
1,13,10,61
1,13,15,62
1,13,20,63
1,13,25,64
1,13,30,65
1,13,35,65
1,13,40,66
1,13,45,67
1,13,50,68
1,13,55,69
1,14,0,70
1,14,5,70
1,14,10,70
1,14,15,70
1,14,20,70
1,14,25,70
1,14,30,71
1,14,35,71
1,14,40,71
1,14,45,71
1,14,50,71
1,14,55,71
1,15,0,72
1,15,5,71
1,15,10,71
1,15,15,71
1,15,20,71
1,15,25,71
1,15,30,71
1,15,35,70
1,15,40,70
1,15,45,70
1,15,50,70
1,15,55,70
1,16,0,70
1,16,5,69
1,16,10,69
1,16,15,69
1,16,20,69
1,16,25,69
1,16,30,69
1,16,35,69
1,16,40,69
1,16,45,69
1,16,50,69
1,16,55,69
1,17,0,69
1,17,5,69
1,17,10,69
1,17,15,69
1,17,20,70
1,17,25,70
1,17,30,70
1,17,35,70
1,17,40,71
1,17,45,71
1,17,50,71
1,17,55,71
1,18,0,72
1,18,5,72
1,18,10,72
1,18,15,73
1,18,20,73
