d,h,m,mem
0,0,0,57
0,0,5,55
0,0,10,53
0,0,15,51
0,0,20,49
0,0,25,47
0,0,30,46
0,0,35,44
0,0,40,42
0,0,45,40
0,0,50,38
0,0,55,36
0,1,0,35
0,1,5,33
0,1,10,31
0,1,15,30
0,1,20,28
0,1,25,26
0,1,30,25
0,1,35,23
0,1,40,21
0,1,45,20
0,1,50,18
0,1,55,16
0,2,0,15
0,2,5,14
0,2,10,13
0,2,15,12
0,2,20,11
0,2,25,10
0,2,30,9
0,2,35,8
0,2,40,7
0,2,45,6
0,2,50,5
0,2,55,4
0,3,0,4
0,3,5,3
0,3,10,3
0,3,15,3
0,3,20,2
0,3,25,2
0,3,30,2
0,3,35,1
0,3,40,1
0,3,45,1
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,2
0,5,20,2
0,5,25,3
0,5,30,4
0,5,35,4
0,5,40,5
0,5,45,6
0,5,50,6
0,5,55,7
0,6,0,8
0,6,5,9
0,6,10,10
0,6,15,11
0,6,20,13
0,6,25,14
0,6,30,15
0,6,35,16
0,6,40,18
0,6,45,19
0,6,50,20
0,6,55,21
0,7,0,23
0,7,5,24
0,7,10,26
0,7,15,27
0,7,20,29
0,7,25,30
0,7,30,32
0,7,35,34
0,7,40,35
0,7,45,37
0,7,50,38
0,7,55,40
0,8,0,42
0,8,5,42
0,8,10,43
0,8,15,44
0,8,20,45
0,8,25,46
0,8,30,47
0,8,35,47
0,8,40,48
0,8,45,49
0,8,50,50
0,8,55,51
0,9,0,52
0,9,5,52
0,9,10,53
0,9,15,54
0,9,20,55
0,9,25,55
0,9,30,56
0,9,35,57
0,9,40,58
0,9,45,58
0,9,50,59
0,9,55,60
0,10,0,61
0,10,5,61
0,10,10,61
0,10,15,61
0,10,20,62
0,10,25,62
0,10,30,62
0,10,35,62
0,10,40,63
0,10,45,63
0,10,50,63
0,10,55,63
0,11,0,64
0,11,5,64
0,11,10,64
0,11,15,64
0,11,20,65
0,11,25,65
0,11,30,65
0,11,35,65
0,11,40,66
0,11,45,66
0,11,50,66
0,11,55,66
0,12,0,67
0,12,5,67
0,12,10,67
0,12,15,67
0,12,20,68
0,12,25,68
0,12,30,68
0,12,35,68
0,12,40,69
0,12,45,69
0,12,50,69
0,12,55,69
0,13,0,70
0,13,5,70
0,13,10,70
0,13,15,70
0,13,20,70
0,13,25,70
0,13,30,70
0,13,35,70
0,13,40,70
0,13,45,70
0,13,50,70
0,13,55,70
0,14,0,71
0,14,5,70
0,14,10,70
0,14,15,70
0,14,20,70
0,14,25,69
0,14,30,69
0,14,35,69
0,14,40,69
0,14,45,68
0,14,50,68
0,14,55,68
0,15,0,68
0,15,5,68
0,15,10,68
0,15,15,68
0,15,20,69
0,15,25,69
0,15,30,69
0,15,35,69
0,15,40,70
0,15,45,70
0,15,50,70
0,15,55,70
0,16,0,71
0,16,5,71
0,16,10,72
0,16,15,73
0,16,20,74
0,16,25,75
0,16,30,76
0,16,35,77
0,16,40,78
