d,h,m,mem
0,0,0,10
0,0,5,9
0,0,10,9
0,0,15,8
0,0,20,8
0,0,25,7
0,0,30,7
0,0,35,7
0,0,40,6
0,0,45,6
0,0,50,5
0,0,55,5
0,1,0,5
0,1,5,4
0,1,10,4
0,1,15,4
0,1,20,3
0,1,25,3
0,1,30,3
0,1,35,2
0,1,40,2
0,1,45,2
0,1,50,1
0,1,55,1
0,2,0,1
0,2,5,0
0,2,10,0
0,2,15,0
0,2,20,0
0,2,25,0
0,2,30,0
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,2
0,3,35,2
0,3,40,2
0,3,45,3
0,3,50,3
0,3,55,3
0,4,0,4
0,4,5,4
0,4,10,5
0,4,15,6
0,4,20,7
0,4,25,7
0,4,30,8
0,4,35,9
0,4,40,10
0,4,45,10
0,4,50,11
0,4,55,12
0,5,0,13
0,5,5,14
0,5,10,15
0,5,15,16
0,5,20,17
0,5,25,18
0,5,30,20
0,5,35,21
0,5,40,22
0,5,45,23
0,5,50,24
0,5,55,25
0,6,0,27
0,6,5,28
0,6,10,30
0,6,15,32
0,6,20,33
0,6,25,35
0,6,30,37
0,6,35,38
0,6,40,40
0,6,45,42
0,6,50,43
0,6,55,45
0,7,0,47
0,7,5,48
0,7,10,50
0,7,15,51
0,7,20,53
0,7,25,54
0,7,30,56
0,7,35,58
0,7,40,59
0,7,45,61
0,7,50,62
0,7,55,64
0,8,0,66
0,8,5,67
0,8,10,68
0,8,15,69
0,8,20,70
0,8,25,71
0,8,30,73
0,8,35,74
0,8,40,75
0,8,45,76
0,8,50,77
0,8,55,78
0,9,0,80
0,9,5,80
0,9,10,81
0,9,15,82
0,9,20,82
0,9,25,83
0,9,30,84
0,9,35,84
0,9,40,85
0,9,45,86
0,9,50,86
0,9,55,87
0,10,0,88
0,10,5,88
0,10,10,88
0,10,15,88
0,10,20,88
0,10,25,88
0,10,30,89
0,10,35,89
0,10,40,89
0,10,45,89
0,10,50,89
0,10,55,89
0,11,0,90
0,11,5,89
0,11,10,89
0,11,15,89
0,11,20,89
0,11,25,88
0,11,30,88
0,11,35,88
0,11,40,88
0,11,45,87
0,11,50,87
0,11,55,87
0,12,0,87
0,12,5,86
0,12,10,86
0,12,15,86
0,12,20,86
0,12,25,86
0,12,30,86
0,12,35,85
0,12,40,85
0,12,45,85
0,12,50,85
0,12,55,85
0,13,0,85
0,13,5,85
0,13,10,85
0,13,15,85
0,13,20,85
0,13,25,85
0,13,30,85
0,13,35,85
0,13,40,85
0,13,45,85
0,13,50,85
0,13,55,85
0,14,0,86
0,14,5,84
0,14,10,82
0,14,15,80
0,14,20,78
0,14,25,76
0,14,30,74
0,14,35,72
0,14,40,70
0,14,45,68
0,14,50,66
