d,h,m,mem
0,0,0,18
0,0,5,17
0,0,10,16
0,0,15,16
0,0,20,15
0,0,25,14
0,0,30,14
0,0,35,13
0,0,40,12
0,0,45,12
0,0,50,11
0,0,55,10
0,1,0,10
0,1,5,9
0,1,10,9
0,1,15,9
0,1,20,9
0,1,25,9
0,1,30,9
0,1,35,9
0,1,40,9
0,1,45,9
0,1,50,9
0,1,55,9
0,2,0,9
0,2,5,8
0,2,10,7
0,2,15,7
0,2,20,6
0,2,25,6
0,2,30,5
0,2,35,4
0,2,40,4
0,2,45,3
0,2,50,3
0,2,55,2
0,3,0,2
0,3,5,1
0,3,10,1
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,1
0,5,20,2
0,5,25,2
0,5,30,3
0,5,35,3
0,5,40,4
0,5,45,4
0,5,50,5
0,5,55,5
0,6,0,6
0,6,5,7
0,6,10,8
0,6,15,9
0,6,20,11
0,6,25,12
0,6,30,13
0,6,35,14
0,6,40,16
0,6,45,17
0,6,50,18
0,6,55,19
0,7,0,21
0,7,5,22
0,7,10,23
0,7,15,24
0,7,20,26
0,7,25,27
0,7,30,28
0,7,35,29
0,7,40,31
0,7,45,32
0,7,50,33
0,7,55,34
0,8,0,36
0,8,5,37
0,8,10,38
0,8,15,39
0,8,20,41
0,8,25,42
0,8,30,43
0,8,35,44
0,8,40,46
0,8,45,47
0,8,50,48
0,8,55,49
0,9,0,51
0,9,5,51
0,9,10,52
0,9,15,53
0,9,20,53
0,9,25,54
0,9,30,55
0,9,35,55
0,9,40,56
0,9,45,57
0,9,50,57
0,9,55,58
0,10,0,59
0,10,5,59
0,10,10,59
0,10,15,59
0,10,20,59
0,10,25,59
0,10,30,60
0,10,35,60
0,10,40,60
0,10,45,60
0,10,50,60
0,10,55,60
0,11,0,61
0,11,5,60
0,11,10,60
0,11,15,60
0,11,20,60
0,11,25,60
0,11,30,60
0,11,35,60
0,11,40,60
0,11,45,60
0,11,50,60
0,11,55,60
0,12,0,60
0,12,5,59
0,12,10,59
0,12,15,59
0,12,20,59
0,12,25,58
0,12,30,58
0,12,35,58
0,12,40,58
0,12,45,57
0,12,50,57
0,12,55,57
0,13,0,57
0,13,5,56
0,13,10,56
0,13,15,56
0,13,20,56
0,13,25,55
0,13,30,55
0,13,35,55
0,13,40,55
0,13,45,54
0,13,50,54
0,13,55,54
0,14,0,54
0,14,5,54
0,14,10,54
0,14,15,54
0,14,20,54
0,14,25,54
0,14,30,54
0,14,35,54
0,14,40,54
0,14,45,54
0,14,50,54
0,14,55,54
0,15,0,55
0,15,5,55
0,15,10,55
0,15,15,56
0,15,20,56
0,15,25,57
0,15,30,57
0,15,35,57
0,15,40,58
0,15,45,58
0,15,50,59
0,15,55,59
0,16,0,60
0,16,5,60
0,16,10,61
0,16,15,62
0,16,20,62
0,16,25,63
0,16,30,64
0,16,35,64
0,16,40,65
0,16,45,66
0,16,50,66
0,16,55,67
0,17,0,68
0,17,5,69
0,17,10,70
0,17,15,71
0,17,20,72
0,17,25,73
0,17,30,74
0,17,35,75
0,17,40,76
0,17,45,77
0,17,50,78
0,17,55,79
0,18,0,80
0,18,5,80
0,18,10,81
0,18,15,82
0,18,20,83
0,18,25,83
0,18,30,84
0,18,35,85
0,18,40,86
0,18,45,86
0,18,50,87
0,18,55,88
0,19,0,89
0,19,5,88
0,19,10,88
0,19,15,88
0,19,20,88
0,19,25,88
0,19,30,88
0,19,35,87
0,19,40,87
0,19,45,87
0,19,50,87
0,19,55,87
