d,h,m,mem
0,0,0,20
0,0,5,18
0,0,10,17
0,0,15,16
0,0,20,15
0,0,25,14
0,0,30,13
0,0,35,11
0,0,40,10
0,0,45,9
0,0,50,8
0,0,55,7
0,1,0,6
0,1,5,5
0,1,10,5
0,1,15,5
0,1,20,4
0,1,25,4
0,1,30,4
0,1,35,3
0,1,40,3
0,1,45,3
0,1,50,2
0,1,55,2
0,2,0,2
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,1
0,4,15,1
0,4,20,2
0,4,25,2
0,4,30,3
0,4,35,4
0,4,40,4
0,4,45,5
0,4,50,5
0,4,55,6
0,5,0,7
0,5,5,8
0,5,10,9
0,5,15,10
0,5,20,11
0,5,25,12
0,5,30,14
0,5,35,15
0,5,40,16
0,5,45,17
0,5,50,18
0,5,55,19
0,6,0,21
0,6,5,23
0,6,10,25
0,6,15,27
0,6,20,29
0,6,25,31
0,6,30,33
0,6,35,35
0,6,40,37
0,6,45,39
0,6,50,41
0,6,55,43
0,7,0,46
0,7,5,48
0,7,10,50
0,7,15,52
0,7,20,54
0,7,25,56
0,7,30,59
0,7,35,61
0,7,40,63
0,7,45,65
0,7,50,67
0,7,55,69
0,8,0,72
0,8,5,72
0,8,10,73
0,8,15,74
0,8,20,75
0,8,25,76
0,8,30,77
0,8,35,78
0,8,40,79
0,8,45,80
0,8,50,81
0,8,55,82
0,9,0,83
0,9,5,83
0,9,10,84
0,9,15,84
0,9,20,85
0,9,25,85
0,9,30,86
0,9,35,87
0,9,40,87
0,9,45,88
0,9,50,88
0,9,55,89
0,10,0,90
0,10,5,90
0,10,10,90
0,10,15,90
0,10,20,90
0,10,25,90
0,10,30,90
0,10,35,90
0,10,40,90
0,10,45,90
0,10,50,90
0,10,55,90
0,11,0,90
0,11,5,90
0,11,10,90
0,11,15,91
0,11,20,91
0,11,25,91
0,11,30,92
0,11,35,92
0,11,40,92
0,11,45,93
0,11,50,93
0,11,55,93
0,12,0,94
0,12,5,93
0,12,10,93
0,12,15,93
0,12,20,93
0,12,25,93
0,12,30,93
0,12,35,92
0,12,40,92
0,12,45,92
0,12,50,92
0,12,55,92
0,13,0,92
0,13,5,91
0,13,10,91
0,13,15,91
0,13,20,90
0,13,25,90
0,13,30,90
0,13,35,89
0,13,40,89
0,13,45,89
0,13,50,88
0,13,55,88
0,14,0,88
0,14,5,87
0,14,10,87
0,14,15,87
0,14,20,87
0,14,25,86
0,14,30,86
0,14,35,86
0,14,40,86
0,14,45,85
0,14,50,85
0,14,55,85
0,15,0,85
0,15,5,84
0,15,10,84
0,15,15,84
0,15,20,83
0,15,25,83
0,15,30,83
0,15,35,82
0,15,40,82
0,15,45,82
0,15,50,81
0,15,55,81
0,16,0,81
0,16,5,80
0,16,10,80
0,16,15,80
0,16,20,80
0,16,25,79
0,16,30,79
0,16,35,79
0,16,40,79
0,16,45,78
0,16,50,78
0,16,55,78
0,17,0,78
0,17,5,78
0,17,10,78
0,17,15,78
0,17,20,78
0,17,25,78
0,17,30,78
0,17,35,78
0,17,40,78
0,17,45,78
0,17,50,78
0,17,55,78
0,18,0,78
0,18,5,79
0,18,10,80
0,18,15,81
0,18,20,82
0,18,25,83
0,18,30,85
0,18,35,86
0,18,40,87
0,18,45,88
0,18,50,89
0,18,55,90
0,19,0,92
0,19,5,92
0,19,10,93
0,19,15,94
0,19,20,94
0,19,25,95
0,19,30,96
0,19,35,96
0,19,40,97
0,19,45,98
0,19,50,98
0,19,55,99
0,20,0,100
0,20,5,99
0,20,10,99
0,20,15,99
0,20,20,98
0,20,25,98
0,20,30,98
0,20,35,97
0,20,40,97
0,20,45,97
0,20,50,96
0,20,55,96
0,21,0,96
0,21,5,94
0,21,10,93
0,21,15,92
0,21,20,91
0,21,25,90
0,21,30,89
0,21,35,88
0,21,40,87
0,21,45,86
0,21,50,85
0,21,55,84
0,22,0,83
0,22,5,81
0,22,10,79
0,22,15,77
0,22,20,75
0,22,25,73
0,22,30,71
0,22,35,69
0,22,40,67
0,22,45,65
