d,h,m,mem
0,0,0,45
0,0,5,43
0,0,10,41
0,0,15,39
0,0,20,37
0,0,25,35
0,0,30,33
0,0,35,31
0,0,40,29
0,0,45,27
0,0,50,25
0,0,55,23
0,1,0,21
0,1,5,20
0,1,10,19
0,1,15,18
0,1,20,17
0,1,25,16
0,1,30,15
0,1,35,14
0,1,40,13
0,1,45,12
0,1,50,11
0,1,55,10
0,2,0,9
0,2,5,8
0,2,10,7
0,2,15,7
0,2,20,6
0,2,25,6
0,2,30,5
0,2,35,4
0,2,40,4
0,2,45,3
0,2,50,3
0,2,55,2
0,3,0,2
0,3,5,1
0,3,10,1
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,1
0,4,15,2
0,4,20,2
0,4,25,3
0,4,30,4
0,4,35,4
0,4,40,5
0,4,45,6
0,4,50,6
0,4,55,7
0,5,0,8
0,5,5,9
0,5,10,11
0,5,15,13
0,5,20,14
0,5,25,16
0,5,30,18
0,5,35,19
0,5,40,21
0,5,45,23
0,5,50,24
0,5,55,26
0,6,0,28
0,6,5,29
0,6,10,31
0,6,15,33
0,6,20,34
0,6,25,36
0,6,30,38
0,6,35,39
0,6,40,41
0,6,45,43
0,6,50,44
0,6,55,46
0,7,0,48
0,7,5,48
0,7,10,49
0,7,15,50
0,7,20,50
0,7,25,51
0,7,30,52
0,7,35,52
0,7,40,53
0,7,45,54
0,7,50,54
0,7,55,55
0,8,0,56
0,8,5,56
0,8,10,56
0,8,15,56
0,8,20,56
0,8,25,56
0,8,30,56
0,8,35,56
0,8,40,56
0,8,45,56
0,8,50,56
0,8,55,56
0,9,0,56
0,9,5,56
0,9,10,56
0,9,15,56
0,9,20,56
0,9,25,56
0,9,30,57
0,9,35,57
0,9,40,57
0,9,45,57
0,9,50,57
0,9,55,57
0,10,0,58
0,10,5,58
0,10,10,58
0,10,15,58
0,10,20,59
0,10,25,59
0,10,30,59
0,10,35,59
0,10,40,60
0,10,45,60
0,10,50,60
0,10,55,60
0,11,0,61
0,11,5,61
0,11,10,61
0,11,15,61
0,11,20,62
0,11,25,62
0,11,30,62
0,11,35,62
0,11,40,63
0,11,45,63
0,11,50,63
0,11,55,63
0,12,0,64
0,12,5,64
0,12,10,65
0,12,15,65
0,12,20,66
0,12,25,66
0,12,30,67
0,12,35,68
0,12,40,68
0,12,45,69
0,12,50,69
0,12,55,70
0,13,0,71
0,13,5,71
0,13,10,71
0,13,15,71
0,13,20,72
0,13,25,72
0,13,30,72
0,13,35,72
0,13,40,73
0,13,45,73
0,13,50,73
0,13,55,73
0,14,0,74
0,14,5,74
0,14,10,74
0,14,15,74
0,14,20,74
0,14,25,74
0,14,30,75
0,14,35,75
0,14,40,75
0,14,45,75
0,14,50,75
0,14,55,75
0,15,0,76
0,15,5,76
0,15,10,76
0,15,15,76
0,15,20,76
0,15,25,76
0,15,30,76
0,15,35,76
0,15,40,76
0,15,45,76
0,15,50,76
0,15,55,76
0,16,0,76
0,16,5,76
0,16,10,76
0,16,15,76
0,16,20,76
0,16,25,76
0,16,30,77
0,16,35,77
0,16,40,77
0,16,45,77
0,16,50,77
0,16,55,77
0,17,0,78
