d,h,m,mem
0,0,0,12
0,0,5,11
0,0,10,10
0,0,15,10
0,0,20,9
0,0,25,8
0,0,30,8
0,0,35,7
0,0,40,6
0,0,45,6
0,0,50,5
0,0,55,4
0,1,0,4
0,1,5,3
0,1,10,3
0,1,15,3
0,1,20,3
0,1,25,2
0,1,30,2
0,1,35,2
0,1,40,2
0,1,45,1
0,1,50,1
0,1,55,1
0,2,0,1
0,2,5,0
0,2,10,0
0,2,15,0
0,2,20,0
0,2,25,0
0,2,30,0
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,2
0,3,45,2
0,3,50,2
0,3,55,2
0,4,0,3
0,4,5,3
0,4,10,4
0,4,15,5
0,4,20,6
0,4,25,6
0,4,30,7
0,4,35,8
0,4,40,9
0,4,45,9
0,4,50,10
0,4,55,11
0,5,0,12
0,5,5,13
0,5,10,14
0,5,15,16
0,5,20,17
0,5,25,18
0,5,30,20
0,5,35,21
0,5,40,22
0,5,45,24
0,5,50,25
0,5,55,26
0,6,0,28
0,6,5,29
0,6,10,31
0,6,15,33
0,6,20,35
0,6,25,36
0,6,30,38
0,6,35,40
0,6,40,42
0,6,45,43
0,6,50,45
0,6,55,47
0,7,0,49
0,7,5,50
0,7,10,52
0,7,15,54
0,7,20,56
0,7,25,58
0,7,30,60
0,7,35,61
0,7,40,63
0,7,45,65
0,7,50,67
0,7,55,69
0,8,0,71
0,8,5,72
0,8,10,73
0,8,15,74
0,8,20,76
0,8,25,77
0,8,30,78
0,8,35,79
0,8,40,81
0,8,45,82
0,8,50,83
0,8,55,84
0,9,0,86
0,9,5,86
0,9,10,87
0,9,15,88
0,9,20,89
0,9,25,89
0,9,30,90
0,9,35,91
0,9,40,92
0,9,45,92
0,9,50,93
0,9,55,94
0,10,0,95
0,10,5,95
0,10,10,95
0,10,15,95
0,10,20,96
0,10,25,96
0,10,30,96
0,10,35,96
