d,h,m,mem
0,0,0,48
0,0,5,46
0,0,10,44
0,0,15,42
0,0,20,40
0,0,25,38
0,0,30,37
0,0,35,35
0,0,40,33
0,0,45,31
0,0,50,29
0,0,55,27
0,1,0,26
0,1,5,25
0,1,10,24
0,1,15,23
0,1,20,22
0,1,25,21
0,1,30,21
0,1,35,20
0,1,40,19
0,1,45,18
0,1,50,17
0,1,55,16
0,2,0,16
0,2,5,15
0,2,10,14
0,2,15,13
0,2,20,12
0,2,25,11
0,2,30,10
0,2,35,9
0,2,40,8
0,2,45,7
0,2,50,6
0,2,55,5
0,3,0,4
0,3,5,3
0,3,10,3
0,3,15,3
0,3,20,3
0,3,25,2
0,3,30,2
0,3,35,2
0,3,40,2
0,3,45,1
0,3,50,1
0,3,55,1
0,4,0,1
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,2
0,5,20,3
0,5,25,4
0,5,30,5
0,5,35,5
0,5,40,6
0,5,45,7
0,5,50,8
0,5,55,9
0,6,0,10
0,6,5,11
0,6,10,13
0,6,15,15
0,6,20,17
0,6,25,18
0,6,30,20
0,6,35,22
0,6,40,24
0,6,45,25
0,6,50,27
0,6,55,29
0,7,0,31
0,7,5,32
0,7,10,34
0,7,15,36
0,7,20,38
0,7,25,39
0,7,30,41
0,7,35,43
0,7,40,45
0,7,45,46
0,7,50,48
0,7,55,50
0,8,0,52
0,8,5,54
0,8,10,56
0,8,15,58
0,8,20,60
0,8,25,62
0,8,30,64
0,8,35,66
0,8,40,68
0,8,45,70
0,8,50,72
0,8,55,74
0,9,0,76
0,9,5,76
0,9,10,77
0,9,15,77
0,9,20,78
0,9,25,78
0,9,30,79
0,9,35,80
0,9,40,80
0,9,45,81
0,9,50,81
0,9,55,82
0,10,0,83
0,10,5,83
0,10,10,83
0,10,15,83
0,10,20,83
0,10,25,83
0,10,30,83
0,10,35,83
0,10,40,83
0,10,45,83
0,10,50,83
0,10,55,83
0,11,0,83
0,11,5,83
0,11,10,84
0,11,15,84
0,11,20,85
0,11,25,85
0,11,30,86
0,11,35,87
0,11,40,87
0,11,45,88
0,11,50,88
0,11,55,89
0,12,0,90
0,12,5,89
0,12,10,89
0,12,15,89
0,12,20,89
0,12,25,89
0,12,30,89
0,12,35,89
0,12,40,89
0,12,45,89
0,12,50,89
0,12,55,89
0,13,0,89
0,13,5,88
0,13,10,87
0,13,15,86
0,13,20,85
0,13,25,84
0,13,30,84
0,13,35,83
0,13,40,82
0,13,45,81
0,13,50,80
0,13,55,79
0,14,0,79
0,14,5,79
0,14,10,79
0,14,15,79
0,14,20,79
0,14,25,79
0,14,30,79
0,14,35,79
0,14,40,79
0,14,45,79
0,14,50,79
0,14,55,79
0,15,0,79
0,15,5,79
0,15,10,79
0,15,15,79
0,15,20,79
0,15,25,79
0,15,30,79
0,15,35,79
0,15,40,79
0,15,45,79
0,15,50,79
0,15,55,79
0,16,0,80
0,16,5,80
0,16,10,81
0,16,15,81
0,16,20,82
0,16,25,82
0,16,30,83
0,16,35,84
0,16,40,84
0,16,45,85
0,16,50,85
0,16,55,86
0,17,0,87
0,17,5,87
0,17,10,88
0,17,15,89
0,17,20,90
0,17,25,90
0,17,30,91
0,17,35,92
0,17,40,93
0,17,45,93
0,17,50,94
0,17,55,95
0,18,0,96
0,18,5,96
0,18,10,96
0,18,15,96
0,18,20,97
0,18,25,97
0,18,30,97
0,18,35,97
0,18,40,98
0,18,45,98
0,18,50,98
0,18,55,98
0,19,0,99
0,19,5,99
0,19,10,99
