d,h,m,mem
0,0,0,41
0,0,5,39
0,0,10,37
0,0,15,36
0,0,20,34
0,0,25,32
0,0,30,31
0,0,35,29
0,0,40,27
0,0,45,26
0,0,50,24
0,0,55,22
0,1,0,21
0,1,5,20
0,1,10,19
0,1,15,18
0,1,20,17
0,1,25,16
0,1,30,15
0,1,35,14
0,1,40,13
0,1,45,12
0,1,50,11
0,1,55,10
0,2,0,10
0,2,5,9
0,2,10,8
0,2,15,8
0,2,20,7
0,2,25,6
0,2,30,6
0,2,35,5
0,2,40,4
0,2,45,4
0,2,50,3
0,2,55,2
0,3,0,2
0,3,5,1
0,3,10,1
0,3,15,1
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,4
0,5,20,5
0,5,25,6
0,5,30,7
0,5,35,8
0,5,40,9
0,5,45,10
0,5,50,11
0,5,55,12
0,6,0,13
0,6,5,13
0,6,10,14
0,6,15,15
0,6,20,15
0,6,25,16
0,6,30,17
0,6,35,17
0,6,40,18
0,6,45,19
0,6,50,19
0,6,55,20
0,7,0,21
0,7,5,21
0,7,10,21
0,7,15,22
0,7,20,22
0,7,25,22
0,7,30,23
0,7,35,23
0,7,40,23
0,7,45,24
0,7,50,24
0,7,55,24
0,8,0,25
0,8,5,25
0,8,10,25
0,8,15,25
0,8,20,25
0,8,25,25
0,8,30,25
0,8,35,25
0,8,40,25
0,8,45,25
0,8,50,25
0,8,55,25
0,9,0,26
0,9,5,26
0,9,10,26
0,9,15,26
0,9,20,26
0,9,25,26
0,9,30,26
0,9,35,26
0,9,40,26
0,9,45,26
0,9,50,26
0,9,55,26
0,10,0,27
0,10,5,27
0,10,10,27
0,10,15,27
0,10,20,27
0,10,25,27
0,10,30,27
0,10,35,27
0,10,40,27
0,10,45,27
0,10,50,27
0,10,55,27
0,11,0,27
0,11,5,26
0,11,10,26
0,11,15,26
0,11,20,26
0,11,25,26
0,11,30,26
0,11,35,26
0,11,40,26
0,11,45,26
0,11,50,26
0,11,55,26
0,12,0,26
0,12,5,26
0,12,10,27
0,12,15,27
0,12,20,28
0,12,25,28
0,12,30,29
0,12,35,29
0,12,40,30
0,12,45,30
0,12,50,31
0,12,55,31
0,13,0,32
0,13,5,32
0,13,10,33
0,13,15,33
0,13,20,34
0,13,25,34
0,13,30,35
0,13,35,35
0,13,40,36
0,13,45,36
0,13,50,37
0,13,55,37
0,14,0,38
0,14,5,38
0,14,10,38
0,14,15,39
0,14,20,39
0,14,25,40
0,14,30,40
0,14,35,40
0,14,40,41
0,14,45,41
0,14,50,42
0,14,55,42
0,15,0,43
0,15,5,43
0,15,10,43
