d,h,m,mem
0,0,0,44
0,0,5,42
0,0,10,41
0,0,15,40
0,0,20,38
0,0,25,37
0,0,30,36
0,0,35,34
0,0,40,33
0,0,45,32
0,0,50,30
0,0,55,29
0,1,0,28
0,1,5,27
0,1,10,26
0,1,15,25
0,1,20,25
0,1,25,24
0,1,30,23
0,1,35,22
0,1,40,22
0,1,45,21
0,1,50,20
0,1,55,19
0,2,0,19
0,2,5,17
0,2,10,16
0,2,15,15
0,2,20,14
0,2,25,13
0,2,30,12
0,2,35,10
0,2,40,9
0,2,45,8
0,2,50,7
0,2,55,6
0,3,0,5
0,3,5,4
0,3,10,4
0,3,15,3
0,3,20,3
0,3,25,2
0,3,30,2
0,3,35,2
0,3,40,1
0,3,45,1
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,1
0,4,15,1
0,4,20,2
0,4,25,2
0,4,30,3
0,4,35,4
0,4,40,4
0,4,45,5
0,4,50,5
0,4,55,6
0,5,0,7
0,5,5,7
0,5,10,8
0,5,15,9
0,5,20,10
0,5,25,11
0,5,30,12
0,5,35,13
0,5,40,14
0,5,45,15
0,5,50,16
0,5,55,17
0,6,0,18
0,6,5,19
0,6,10,21
0,6,15,23
0,6,20,25
0,6,25,26
0,6,30,28
0,6,35,30
0,6,40,32
0,6,45,33
0,6,50,35
0,6,55,37
0,7,0,39
0,7,5,41
0,7,10,43
0,7,15,45
0,7,20,47
0,7,25,49
0,7,30,51
0,7,35,53
0,7,40,55
0,7,45,57
0,7,50,59
0,7,55,61
0,8,0,64
0,8,5,64
0,8,10,65
0,8,15,65
0,8,20,66
0,8,25,66
0,8,30,67
0,8,35,68
0,8,40,68
0,8,45,69
0,8,50,69
0,8,55,70
0,9,0,71
0,9,5,71
0,9,10,72
0,9,15,72
0,9,20,73
0,9,25,73
0,9,30,74
0,9,35,74
0,9,40,75
0,9,45,75
0,9,50,76
0,9,55,76
0,10,0,77
0,10,5,77
0,10,10,77
0,10,15,77
0,10,20,77
0,10,25,77
0,10,30,77
0,10,35,77
0,10,40,77
0,10,45,77
0,10,50,77
0,10,55,77
0,11,0,77
0,11,5,76
0,11,10,76
0,11,15,76
0,11,20,76
0,11,25,76
0,11,30,76
0,11,35,76
0,11,40,76
0,11,45,76
0,11,50,76
0,11,55,76
0,12,0,76
0,12,5,76
0,12,10,76
0,12,15,76
0,12,20,76
0,12,25,76
0,12,30,76
0,12,35,76
0,12,40,76
0,12,45,76
0,12,50,76
0,12,55,76
0,13,0,76
0,13,5,75
0,13,10,75
0,13,15,74
0,13,20,74
0,13,25,73
0,13,30,73
0,13,35,72
0,13,40,72
0,13,45,71
0,13,50,71
0,13,55,70
0,14,0,70
0,14,5,69
0,14,10,69
0,14,15,68
0,14,20,68
0,14,25,67
0,14,30,67
0,14,35,66
0,14,40,66
0,14,45,65
0,14,50,65
0,14,55,64
0,15,0,64
0,15,5,64
0,15,10,64
0,15,15,64
0,15,20,64
0,15,25,64
0,15,30,64
0,15,35,64
0,15,40,64
0,15,45,64
0,15,50,64
0,15,55,64
0,16,0,65
0,16,5,65
0,16,10,66
0,16,15,66
0,16,20,67
0,16,25,67
0,16,30,68
0,16,35,69
0,16,40,69
0,16,45,70
0,16,50,70
0,16,55,71
0,17,0,72
0,17,5,73
0,17,10,75
0,17,15,77
0,17,20,79
0,17,25,80
0,17,30,82
0,17,35,84
0,17,40,86
0,17,45,87
0,17,50,89
0,17,55,91
0,18,0,93
0,18,5,93
0,18,10,93
0,18,15,93
0,18,20,93
0,18,25,93
0,18,30,93
0,18,35,93
0,18,40,93
0,18,45,93
0,18,50,93
0,18,55,93
0,19,0,94
0,19,5,93
0,19,10,92
0,19,15,91
0,19,20,90
0,19,25,89
0,19,30,89
0,19,35,88
0,19,40,87
0,19,45,86
0,19,50,85
0,19,55,84
0,20,0,84
0,20,5,83
0,20,10,83
0,20,15,83
0,20,20,83
0,20,25,83
0,20,30,83
0,20,35,83
0,20,40,83
0,20,45,83
0,20,50,83
0,20,55,83
0,21,0,83
0,21,5,83
0,21,10,83
0,21,15,83
0,21,20,83
0,21,25,83
0,21,30,83
0,21,35,83
0,21,40,83
0,21,45,83
0,21,50,83
0,21,55,83
0,22,0,83
0,22,5,81
0,22,10,80
0,22,15,78
0,22,20,77
0,22,25,75
0,22,30,74
0,22,35,73
0,22,40,71
0,22,45,70
0,22,50,68
0,22,55,67
0,23,0,66
0,23,5,63
0,23,10,61
0,23,15,59
0,23,20,57
0,23,25,55
0,23,30,53
0,23,35,51
0,23,40,49
0,23,45,47
0,23,50,45
0,23,55,43
1,0,0,41
1,0,5,39
1,0,10,37
1,0,15,36
1,0,20,34
1,0,25,32
1,0,30,31
1,0,35,29
1,0,40,27
1,0,45,26
1,0,50,24
1,0,55,22
1,1,0,21
1,1,5,20
1,1,10,20
1,1,15,19
1,1,20,19
1,1,25,18
1,1,30,18
1,1,35,17
1,1,40,17
1,1,45,16
1,1,50,16
1,1,55,15
1,2,0,15
1,2,5,14
1,2,10,13
1,2,15,12
1,2,20,11
1,2,25,10
1,2,30,10
1,2,35,9
1,2,40,8
1,2,45,7
1,2,50,6
1,2,55,5
1,3,0,5
1,3,5,4
1,3,10,4
1,3,15,3
1,3,20,3
1,3,25,2
1,3,30,2
1,3,35,2
1,3,40,1
1,3,45,1
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,1
1,5,5,1
1,5,10,2
1,5,15,2
1,5,20,3
1,5,25,3
1,5,30,4
1,5,35,5
1,5,40,5
1,5,45,6
1,5,50,6
1,5,55,7
1,6,0,8
1,6,5,9
1,6,10,10
1,6,15,11
1,6,20,13
1,6,25,14
1,6,30,15
1,6,35,16
1,6,40,18
1,6,45,19
1,6,50,20
1,6,55,21
1,7,0,23
1,7,5,25
1,7,10,27
1,7,15,29
1,7,20,31
1,7,25,33
1,7,30,35
1,7,35,37
1,7,40,39
1,7,45,41
1,7,50,43
1,7,55,45
1,8,0,48
1,8,5,49
1,8,10,50
1,8,15,51
1,8,20,52
1,8,25,53
1,8,30,54
1,8,35,55
1,8,40,56
1,8,45,57
1,8,50,58
1,8,55,59
1,9,0,60
1,9,5,61
1,9,10,62
1,9,15,64
1,9,20,65
1,9,25,67
1,9,30,68
1,9,35,69
1,9,40,71
1,9,45,72
1,9,50,74
1,9,55,75
1,10,0,77
1,10,5,77
1,10,10,77
1,10,15,78
1,10,20,78
1,10,25,79
1,10,30,79
1,10,35,79
1,10,40,80
1,10,45,80
1,10,50,81
1,10,55,81
1,11,0,82
1,11,5,82
1,11,10,83
1,11,15,84
1,11,20,85
1,11,25,86
1,11,30,87
1,11,35,87
1,11,40,88
1,11,45,89
1,11,50,90
1,11,55,91
1,12,0,92
1,12,5,91
1,12,10,91
1,12,15,91
1,12,20,91
1,12,25,91
1,12,30,91
1,12,35,91
1,12,40,91
1,12,45,91
1,12,50,91
1,12,55,91
1,13,0,91
1,13,5,90
1,13,10,89
1,13,15,88
1,13,20,87
1,13,25,86
1,13,30,85
1,13,35,84
1,13,40,83
1,13,45,82
1,13,50,81
1,13,55,80
1,14,0,79
1,14,5,78
1,14,10,78
1,14,15,78
1,14,20,78
1,14,25,78
1,14,30,78
1,14,35,77
1,14,40,77
1,14,45,77
1,14,50,77
1,14,55,77
1,15,0,77
1,15,5,76
1,15,10,76
1,15,15,75
1,15,20,75
1,15,25,74
1,15,30,74
1,15,35,74
1,15,40,73
1,15,45,73
1,15,50,72
1,15,55,72
1,16,0,72
1,16,5,72
1,16,10,72
1,16,15,72
1,16,20,72
1,16,25,72
1,16,30,73
1,16,35,73
1,16,40,73
1,16,45,73
1,16,50,73
1,16,55,73
1,17,0,74
1,17,5,74
1,17,10,75
1,17,15,76
1,17,20,77
1,17,25,77
1,17,30,78
1,17,35,79
1,17,40,80
1,17,45,80
1,17,50,81
1,17,55,82
1,18,0,83
1,18,5,83
1,18,10,84
1,18,15,85
1,18,20,85
1,18,25,86
1,18,30,87
1,18,35,87
1,18,40,88
1,18,45,89
1,18,50,89
1,18,55,90
1,19,0,91
1,19,5,91
1,19,10,92
1,19,15,93
1,19,20,93
1,19,25,94
1,19,30,95
1,19,35,95
1,19,40,96
1,19,45,97
1,19,50,97
1,19,55,98
1,20,0,99
1,20,5,99
1,20,10,99
1,20,15,99
1,20,20,99
1,20,25,99
1,20,30,99
1,20,35,99
1,20,40,99
1,20,45,99
1,20,50,99
1,20,55,99
1,21,0,100
1,21,5,99
1,21,10,98
1,21,15,98
1,21,20,97
1,21,25,96
1,21,30,96
1,21,35,95
1,21,40,94
1,21,45,94
1,21,50,93
1,21,55,92
1,22,0,92
1,22,5,90
1,22,10,89
1,22,15,88
1,22,20,87
1,22,25,85
1,22,30,84
1,22,35,83
1,22,40,82
1,22,45,80
1,22,50,79
1,22,55,78
1,23,0,77
1,23,5,75
1,23,10,73
1,23,15,71
1,23,20,69
1,23,25,67
1,23,30,65
1,23,35,63
1,23,40,61
1,23,45,59
1,23,50,57
1,23,55,55
2,0,0,53
2,0,5,51
2,0,10,49
2,0,15,47
2,0,20,45
2,0,25,43
2,0,30,41
2,0,35,39
2,0,40,37
2,0,45,35
2,0,50,33
2,0,55,31
2,1,0,29
2,1,5,27
2,1,10,26
2,1,15,24
2,1,20,23
2,1,25,21
2,1,30,20
2,1,35,19
2,1,40,17
2,1,45,16
2,1,50,14
2,1,55,13
2,2,0,12
2,2,5,11
2,2,10,10
2,2,15,10
2,2,20,9
2,2,25,8
2,2,30,8
2,2,35,7
2,2,40,6
2,2,45,6
2,2,50,5
2,2,55,4
2,3,0,4
2,3,5,4
2,3,10,4
2,3,15,4
2,3,20,4
2,3,25,4
2,3,30,4
2,3,35,4
2,3,40,4
2,3,45,4
2,3,50,4
2,3,55,4
2,4,0,4
2,4,5,4
2,4,10,5
2,4,15,5
2,4,20,6
2,4,25,6
2,4,30,7
2,4,35,8
2,4,40,8
2,4,45,9
2,4,50,9
2,4,55,10
2,5,0,11
2,5,5,11
2,5,10,12
2,5,15,13
2,5,20,14
2,5,25,15
2,5,30,16
2,5,35,16
2,5,40,17
2,5,45,18
2,5,50,19
2,5,55,20
2,6,0,21
2,6,5,22
2,6,10,23
2,6,15,24
2,6,20,25
2,6,25,26
2,6,30,28
2,6,35,29
2,6,40,30
2,6,45,31
2,6,50,32
2,6,55,33
2,7,0,35
2,7,5,36
2,7,10,37
2,7,15,38
2,7,20,39
2,7,25,40
2,7,30,42
2,7,35,43
2,7,40,44
2,7,45,45
2,7,50,46
2,7,55,47
2,8,0,49
2,8,5,49
2,8,10,50
2,8,15,51
2,8,20,52
2,8,25,53
2,8,30,54
2,8,35,54
2,8,40,55
2,8,45,56
2,8,50,57
2,8,55,58
2,9,0,59
2,9,5,59
2,9,10,60
2,9,15,60
2,9,20,61
2,9,25,61
2,9,30,62
2,9,35,63
2,9,40,63
2,9,45,64
2,9,50,64
2,9,55,65
2,10,0,66
2,10,5,66
2,10,10,66
2,10,15,66
2,10,20,67
2,10,25,67
2,10,30,67
2,10,35,67
2,10,40,68
2,10,45,68
2,10,50,68
2,10,55,68
2,11,0,69
2,11,5,69
2,11,10,69
2,11,15,69
2,11,20,69
2,11,25,69
2,11,30,69
2,11,35,69
