d,h,m,mem
0,0,0,44
0,0,5,42
0,0,10,40
0,0,15,39
0,0,20,37
0,0,25,35
0,0,30,34
0,0,35,32
0,0,40,30
0,0,45,29
0,0,50,27
0,0,55,25
0,1,0,24
0,1,5,23
0,1,10,23
0,1,15,23
0,1,20,22
0,1,25,22
0,1,30,22
0,1,35,21
0,1,40,21
0,1,45,21
0,1,50,20
0,1,55,20
0,2,0,20
0,2,5,18
0,2,10,17
0,2,15,16
0,2,20,14
0,2,25,13
0,2,30,12
0,2,35,10
0,2,40,9
0,2,45,8
0,2,50,6
0,2,55,5
0,3,0,4
0,3,5,3
0,3,10,3
0,3,15,3
0,3,20,2
0,3,25,2
0,3,30,2
0,3,35,1
0,3,40,1
0,3,45,1
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,1
0,5,5,1
0,5,10,2
0,5,15,3
0,5,20,3
0,5,25,4
0,5,30,5
0,5,35,5
0,5,40,6
0,5,45,7
0,5,50,7
0,5,55,8
0,6,0,9
0,6,5,9
0,6,10,10
0,6,15,11
0,6,20,12
0,6,25,13
0,6,30,14
0,6,35,15
0,6,40,16
0,6,45,17
0,6,50,18
0,6,55,19
0,7,0,20
0,7,5,20
0,7,10,21
0,7,15,22
0,7,20,23
0,7,25,24
0,7,30,25
0,7,35,26
0,7,40,27
0,7,45,28
0,7,50,29
0,7,55,30
0,8,0,31
0,8,5,31
0,8,10,32
0,8,15,32
0,8,20,33
0,8,25,33
0,8,30,34
0,8,35,34
0,8,40,35
0,8,45,35
0,8,50,36
0,8,55,36
0,9,0,37
0,9,5,37
0,9,10,37
0,9,15,38
0,9,20,38
0,9,25,38
0,9,30,39
0,9,35,39
0,9,40,39
0,9,45,40
0,9,50,40
0,9,55,40
0,10,0,41
0,10,5,41
0,10,10,41
0,10,15,41
0,10,20,41
0,10,25,41
0,10,30,41
0,10,35,41
0,10,40,41
0,10,45,41
0,10,50,41
0,10,55,41
0,11,0,42
0,11,5,41
0,11,10,41
0,11,15,41
0,11,20,41
0,11,25,41
0,11,30,41
0,11,35,41
0,11,40,41
0,11,45,41
0,11,50,41
0,11,55,41
0,12,0,41
0,12,5,41
0,12,10,41
0,12,15,42
0,12,20,42
0,12,25,42
0,12,30,43
0,12,35,43
0,12,40,43
0,12,45,44
0,12,50,44
0,12,55,44
0,13,0,45
0,13,5,45
0,13,10,45
0,13,15,45
0,13,20,46
0,13,25,46
0,13,30,46
0,13,35,46
0,13,40,47
0,13,45,47
0,13,50,47
0,13,55,47
0,14,0,48
0,14,5,48
0,14,10,48
0,14,15,48
0,14,20,48
0,14,25,48
0,14,30,48
0,14,35,48
0,14,40,48
0,14,45,48
0,14,50,48
0,14,55,48
0,15,0,48
0,15,5,48
0,15,10,48
0,15,15,49
0,15,20,49
0,15,25,50
0,15,30,50
0,15,35,50
0,15,40,51
0,15,45,51
0,15,50,52
0,15,55,52
0,16,0,53
0,16,5,53
0,16,10,53
0,16,15,54
0,16,20,54
0,16,25,55
0,16,30,55
0,16,35,55
0,16,40,56
0,16,45,56
0,16,50,57
0,16,55,57
0,17,0,58
0,17,5,58
0,17,10,59
0,17,15,60
0,17,20,61
0,17,25,61
0,17,30,62
0,17,35,63
0,17,40,64
0,17,45,64
0,17,50,65
0,17,55,66
0,18,0,67
0,18,5,67
0,18,10,67
0,18,15,68
0,18,20,68
0,18,25,68
0,18,30,69
0,18,35,69
0,18,40,69
0,18,45,70
0,18,50,70
0,18,55,70
0,19,0,71
0,19,5,72
0,19,10,73
0,19,15,74
0,19,20,75
0,19,25,76
0,19,30,77
0,19,35,78
0,19,40,79
0,19,45,80
0,19,50,81
0,19,55,82
0,20,0,83
0,20,5,83
0,20,10,84
0,20,15,84
0,20,20,85
0,20,25,85
0,20,30,86
0,20,35,86
0,20,40,87
0,20,45,87
0,20,50,88
0,20,55,88
0,21,0,89
0,21,5,88
0,21,10,88
0,21,15,88
0,21,20,88
0,21,25,87
0,21,30,87
0,21,35,87
0,21,40,87
0,21,45,86
0,21,50,86
0,21,55,86
0,22,0,86
0,22,5,85
0,22,10,84
0,22,15,83
0,22,20,82
0,22,25,81
0,22,30,80
0,22,35,79
0,22,40,78
0,22,45,77
0,22,50,76
0,22,55,75
0,23,0,74
0,23,5,72
0,23,10,70
0,23,15,68
0,23,20,66
0,23,25,64
0,23,30,63
0,23,35,61
0,23,40,59
0,23,45,57
0,23,50,55
0,23,55,53
1,0,0,52
1,0,5,50
1,0,10,48
1,0,15,46
1,0,20,44
1,0,25,42
1,0,30,40
1,0,35,38
1,0,40,36
1,0,45,34
1,0,50,32
1,0,55,30
1,1,0,29
1,1,5,27
1,1,10,26
1,1,15,25
1,1,20,23
1,1,25,22
1,1,30,21
1,1,35,19
1,1,40,18
1,1,45,17
1,1,50,15
1,1,55,14
1,2,0,13
1,2,5,12
1,2,10,11
1,2,15,10
1,2,20,9
1,2,25,8
1,2,30,8
1,2,35,7
1,2,40,6
1,2,45,5
1,2,50,4
1,2,55,3
1,3,0,3
1,3,5,2
1,3,10,2
1,3,15,2
1,3,20,2
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,1
1,4,35,1
1,4,40,1
1,4,45,1
1,4,50,1
1,4,55,1
1,5,0,2
1,5,5,2
1,5,10,3
1,5,15,3
1,5,20,4
1,5,25,4
1,5,30,5
1,5,35,6
1,5,40,6
1,5,45,7
1,5,50,7
1,5,55,8
1,6,0,9
1,6,5,9
1,6,10,10
1,6,15,11
1,6,20,11
1,6,25,12
1,6,30,13
1,6,35,13
1,6,40,14
1,6,45,15
1,6,50,15
1,6,55,16
1,7,0,17
1,7,5,17
1,7,10,18
1,7,15,18
1,7,20,19
1,7,25,19
1,7,30,20
1,7,35,20
1,7,40,21
1,7,45,21
1,7,50,22
1,7,55,22
1,8,0,23
1,8,5,23
1,8,10,23
1,8,15,23
1,8,20,24
1,8,25,24
1,8,30,24
1,8,35,24
1,8,40,25
1,8,45,25
1,8,50,25
1,8,55,25
1,9,0,26
1,9,5,26
1,9,10,26
1,9,15,26
1,9,20,27
1,9,25,27
1,9,30,27
1,9,35,27
1,9,40,28
1,9,45,28
1,9,50,28
1,9,55,28
1,10,0,29
1,10,5,29
1,10,10,29
1,10,15,29
1,10,20,29
1,10,25,29
1,10,30,29
1,10,35,29
1,10,40,29
1,10,45,29
1,10,50,29
1,10,55,29
1,11,0,29
1,11,5,29
1,11,10,29
1,11,15,29
1,11,20,29
1,11,25,29
1,11,30,29
1,11,35,29
1,11,40,29
1,11,45,29
1,11,50,29
1,11,55,29
1,12,0,29
1,12,5,28
1,12,10,28
1,12,15,28
1,12,20,28
1,12,25,28
1,12,30,28
1,12,35,28
1,12,40,28
1,12,45,28
1,12,50,28
1,12,55,28
1,13,0,28
1,13,5,28
1,13,10,28
1,13,15,28
1,13,20,28
1,13,25,28
1,13,30,28
1,13,35,28
1,13,40,28
1,13,45,28
1,13,50,28
1,13,55,28
1,14,0,29
1,14,5,29
1,14,10,29
1,14,15,29
1,14,20,30
1,14,25,30
1,14,30,30
1,14,35,30
1,14,40,31
1,14,45,31
1,14,50,31
1,14,55,31
1,15,0,32
1,15,5,32
1,15,10,32
1,15,15,32
1,15,20,32
1,15,25,32
1,15,30,32
1,15,35,32
1,15,40,32
1,15,45,32
1,15,50,32
1,15,55,32
1,16,0,33
1,16,5,33
1,16,10,33
1,16,15,33
1,16,20,34
1,16,25,34
1,16,30,34
1,16,35,34
1,16,40,35
1,16,45,35
1,16,50,35
1,16,55,35
1,17,0,36
1,17,5,36
1,17,10,37
1,17,15,38
1,17,20,38
1,17,25,39
1,17,30,40
1,17,35,40
1,17,40,41
1,17,45,42
1,17,50,42
1,17,55,43
1,18,0,44
1,18,5,45
1,18,10,46
1,18,15,48
1,18,20,49
1,18,25,50
1,18,30,52
1,18,35,53
1,18,40,54
1,18,45,56
1,18,50,57
1,18,55,58
1,19,0,60
1,19,5,60
1,19,10,61
1,19,15,62
1,19,20,63
1,19,25,64
1,19,30,65
1,19,35,65
1,19,40,66
1,19,45,67
1,19,50,68
1,19,55,69
1,20,0,70
1,20,5,70
1,20,10,70
1,20,15,70
1,20,20,70
1,20,25,70
1,20,30,70
1,20,35,70
1,20,40,70
1,20,45,70
1,20,50,70
1,20,55,70
1,21,0,71
1,21,5,70
1,21,10,69
1,21,15,69
1,21,20,68
1,21,25,68
1,21,30,67
1,21,35,66
1,21,40,66
1,21,45,65
1,21,50,65
1,21,55,64
1,22,0,64
1,22,5,62
1,22,10,60
1,22,15,59
1,22,20,57
1,22,25,55
1,22,30,54
1,22,35,52
1,22,40,50
1,22,45,49
1,22,50,47
1,22,55,45
1,23,0,44
1,23,5,43
1,23,10,43
1,23,15,43
1,23,20,43
1,23,25,42
1,23,30,42
1,23,35,42
1,23,40,42
1,23,45,41
1,23,50,41
1,23,55,41
2,0,0,41
2,0,5,39
2,0,10,37
2,0,15,36
2,0,20,34
2,0,25,33
2,0,30,31
2,0,35,29
2,0,40,28
2,0,45,26
2,0,50,25
2,0,55,23
2,1,0,22
2,1,5,20
2,1,10,19
2,1,15,18
2,1,20,17
2,1,25,16
2,1,30,15
2,1,35,14
2,1,40,13
2,1,45,12
2,1,50,11
2,1,55,10
2,2,0,9
2,2,5,8
2,2,10,8
2,2,15,7
2,2,20,7
2,2,25,6
2,2,30,6
2,2,35,5
2,2,40,5
2,2,45,4
2,2,50,4
2,2,55,3
2,3,0,3
2,3,5,2
2,3,10,2
2,3,15,2
2,3,20,2
2,3,25,1
2,3,30,1
2,3,35,1
2,3,40,1
2,3,45,0
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,0
2,4,15,0
2,4,20,0
2,4,25,0
2,4,30,1
2,4,35,1
2,4,40,1
2,4,45,1
2,4,50,1
2,4,55,1
2,5,0,2
2,5,5,2
2,5,10,3
2,5,15,3
2,5,20,4
2,5,25,4
2,5,30,5
2,5,35,6
2,5,40,6
2,5,45,7
2,5,50,7
2,5,55,8
2,6,0,9
2,6,5,9
2,6,10,10
2,6,15,11
2,6,20,12
2,6,25,12
2,6,30,13
2,6,35,14
2,6,40,15
2,6,45,15
2,6,50,16
2,6,55,17
2,7,0,18
2,7,5,18
2,7,10,18
2,7,15,19
2,7,20,19
2,7,25,20
2,7,30,20
2,7,35,20
2,7,40,21
2,7,45,21
2,7,50,22
2,7,55,22
2,8,0,23
2,8,5,23
2,8,10,23
2,8,15,24
2,8,20,24
2,8,25,25
2,8,30,25
2,8,35,25
2,8,40,26
2,8,45,26
2,8,50,27
2,8,55,27
2,9,0,28
2,9,5,28
2,9,10,28
2,9,15,28
2,9,20,29
2,9,25,29
2,9,30,29
2,9,35,29
2,9,40,30
2,9,45,30
2,9,50,30
2,9,55,30
2,10,0,31
2,10,5,31
2,10,10,31
2,10,15,31
2,10,20,31
2,10,25,31
2,10,30,32
2,10,35,32
2,10,40,32
2,10,45,32
2,10,50,32
2,10,55,32
2,11,0,33
2,11,5,33
2,11,10,34
2,11,15,34
2,11,20,35
2,11,25,35
2,11,30,36
2,11,35,37
