d,h,m,mem
0,0,0,17
0,0,5,16
0,0,10,15
0,0,15,14
0,0,20,13
0,0,25,12
0,0,30,11
0,0,35,10
0,0,40,9
0,0,45,8
0,0,50,7
0,0,55,6
0,1,0,6
0,1,5,5
0,1,10,5
0,1,15,5
0,1,20,4
0,1,25,4
0,1,30,4
0,1,35,3
0,1,40,3
0,1,45,3
0,1,50,2
0,1,55,2
0,2,0,2
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,2
0,3,45,2
0,3,50,2
0,3,55,2
0,4,0,3
0,4,5,3
0,4,10,4
0,4,15,5
0,4,20,5
0,4,25,6
0,4,30,7
0,4,35,7
0,4,40,8
0,4,45,9
0,4,50,9
0,4,55,10
0,5,0,11
0,5,5,12
0,5,10,13
0,5,15,14
0,5,20,15
0,5,25,16
0,5,30,17
0,5,35,18
0,5,40,19
0,5,45,20
0,5,50,21
0,5,55,22
0,6,0,24
0,6,5,25
0,6,10,27
0,6,15,28
0,6,20,30
0,6,25,31
0,6,30,33
0,6,35,35
0,6,40,36
0,6,45,38
0,6,50,39
0,6,55,41
0,7,0,43
0,7,5,44
0,7,10,46
0,7,15,47
0,7,20,49
0,7,25,50
0,7,30,52
0,7,35,53
0,7,40,55
0,7,45,56
0,7,50,58
0,7,55,59
0,8,0,61
0,8,5,62
0,8,10,63
0,8,15,64
0,8,20,65
0,8,25,66
0,8,30,68
0,8,35,69
0,8,40,70
0,8,45,71
0,8,50,72
0,8,55,73
0,9,0,75
0,9,5,75
0,9,10,76
0,9,15,77
0,9,20,78
0,9,25,79
0,9,30,80
0,9,35,80
0,9,40,81
0,9,45,82
0,9,50,83
0,9,55,84
0,10,0,85
0,10,5,85
0,10,10,85
0,10,15,86
0,10,20,86
0,10,25,87
0,10,30,87
0,10,35,87
0,10,40,88
0,10,45,88
0,10,50,89
0,10,55,89
0,11,0,90
0,11,5,90
0,11,10,90
0,11,15,90
0,11,20,90
0,11,25,90
0,11,30,91
0,11,35,91
0,11,40,91
0,11,45,91
0,11,50,91
0,11,55,91
0,12,0,92
0,12,5,92
0,12,10,92
0,12,15,92
0,12,20,92
0,12,25,92
0,12,30,93
0,12,35,93
0,12,40,93
0,12,45,93
0,12,50,93
0,12,55,93
0,13,0,94
0,13,5,94
0,13,10,94
0,13,15,94
0,13,20,94
0,13,25,94
0,13,30,94
0,13,35,94
0,13,40,94
0,13,45,94
0,13,50,94
0,13,55,94
0,14,0,94
0,14,5,94
0,14,10,94
0,14,15,94
0,14,20,94
0,14,25,94
0,14,30,95
0,14,35,95
0,14,40,95
0,14,45,95
0,14,50,95
0,14,55,95
0,15,0,96
0,15,5,95
0,15,10,95
0,15,15,94
0,15,20,94
0,15,25,93
0,15,30,93
0,15,35,92
0,15,40,92
0,15,45,91
0,15,50,91
0,15,55,90
0,16,0,90
0,16,5,89
0,16,10,88
0,16,15,87
0,16,20,87
0,16,25,86
0,16,30,85
0,16,35,84
0,16,40,84
0,16,45,83
0,16,50,82
0,16,55,81
0,17,0,81
0,17,5,81
0,17,10,81
0,17,15,81
0,17,20,82
0,17,25,82
0,17,30,82
0,17,35,82
0,17,40,83
0,17,45,83
0,17,50,83
0,17,55,83
0,18,0,84
0,18,5,84
0,18,10,85
0,18,15,86
0,18,20,87
0,18,25,88
0,18,30,89
0,18,35,90
0,18,40,91
0,18,45,92
0,18,50,93
0,18,55,94
0,19,0,95
0,19,5,95
0,19,10,95
0,19,15,96
0,19,20,96
0,19,25,97
0,19,30,97
0,19,35,97
0,19,40,98
0,19,45,98
0,19,50,99
0,19,55,99
0,20,0,100
0,20,5,99
0,20,10,99
0,20,15,98
0,20,20,98
0,20,25,97
0,20,30,97
0,20,35,97
0,20,40,96
0,20,45,96
0,20,50,95
0,20,55,95
0,21,0,95
0,21,5,93
0,21,10,92
0,21,15,91
0,21,20,90
0,21,25,88
0,21,30,87
0,21,35,86
0,21,40,85
0,21,45,83
0,21,50,82
0,21,55,81
0,22,0,80
0,22,5,78
0,22,10,76
0,22,15,74
0,22,20,72
0,22,25,70
0,22,30,68
0,22,35,66
0,22,40,64
0,22,45,62
0,22,50,60
0,22,55,58
0,23,0,57
0,23,5,54
0,23,10,52
0,23,15,50
0,23,20,48
0,23,25,46
0,23,30,44
0,23,35,42
0,23,40,40
0,23,45,38
0,23,50,36
0,23,55,34
1,0,0,32
1,0,5,30
1,0,10,29
1,0,15,27
1,0,20,26
1,0,25,24
1,0,30,23
1,0,35,21
1,0,40,20
1,0,45,18
1,0,50,17
1,0,55,15
1,1,0,14
1,1,5,13
1,1,10,12
1,1,15,11
1,1,20,10
1,1,25,9
1,1,30,8
1,1,35,7
1,1,40,6
1,1,45,5
1,1,50,4
1,1,55,3
1,2,0,3
1,2,5,2
1,2,10,2
1,2,15,2
1,2,20,2
1,2,25,1
1,2,30,1
1,2,35,1
1,2,40,1
1,2,45,0
1,2,50,0
1,2,55,0
1,3,0,0
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,2
1,3,45,2
1,3,50,2
1,3,55,2
1,4,0,3
1,4,5,4
1,4,10,5
1,4,15,6
1,4,20,8
1,4,25,9
1,4,30,10
1,4,35,11
1,4,40,13
1,4,45,14
1,4,50,15
1,4,55,16
1,5,0,18
1,5,5,20
1,5,10,22
1,5,15,24
1,5,20,26
1,5,25,28
1,5,30,30
1,5,35,32
1,5,40,34
1,5,45,36
1,5,50,38
1,5,55,40
1,6,0,43
1,6,5,44
1,6,10,46
1,6,15,47
1,6,20,49
1,6,25,50
1,6,30,52
1,6,35,54
1,6,40,55
1,6,45,57
1,6,50,58
1,6,55,60
1,7,0,62
1,7,5,62
1,7,10,62
1,7,15,63
1,7,20,63
1,7,25,63
1,7,30,64
1,7,35,64
1,7,40,64
1,7,45,65
1,7,50,65
1,7,55,65
1,8,0,66
1,8,5,66
1,8,10,66
1,8,15,66
1,8,20,66
1,8,25,66
1,8,30,66
1,8,35,66
1,8,40,66
1,8,45,66
1,8,50,66
1,8,55,66
1,9,0,66
1,9,5,66
1,9,10,66
1,9,15,66
1,9,20,66
1,9,25,66
1,9,30,67
1,9,35,67
1,9,40,67
1,9,45,67
1,9,50,67
1,9,55,67
1,10,0,68
1,10,5,68
1,10,10,68
1,10,15,68
1,10,20,68
1,10,25,68
1,10,30,68
1,10,35,68
1,10,40,68
1,10,45,68
1,10,50,68
1,10,55,68
1,11,0,69
1,11,5,69
1,11,10,69
1,11,15,70
1,11,20,70
1,11,25,71
1,11,30,71
1,11,35,71
1,11,40,72
1,11,45,72
1,11,50,73
1,11,55,73
1,12,0,74
1,12,5,74
1,12,10,74
1,12,15,74
1,12,20,74
1,12,25,74
1,12,30,75
1,12,35,75
1,12,40,75
1,12,45,75
1,12,50,75
1,12,55,75
1,13,0,76
1,13,5,76
1,13,10,76
1,13,15,77
1,13,20,77
1,13,25,77
1,13,30,78
1,13,35,78
1,13,40,78
1,13,45,79
1,13,50,79
1,13,55,79
1,14,0,80
1,14,5,80
1,14,10,80
1,14,15,80
1,14,20,80
1,14,25,80
1,14,30,80
1,14,35,80
1,14,40,80
1,14,45,80
1,14,50,80
1,14,55,80
1,15,0,80
1,15,5,80
1,15,10,80
1,15,15,81
1,15,20,81
1,15,25,81
1,15,30,82
1,15,35,82
1,15,40,82
1,15,45,83
1,15,50,83
1,15,55,83
1,16,0,84
1,16,5,84
1,16,10,84
1,16,15,84
1,16,20,84
1,16,25,84
1,16,30,84
1,16,35,84
1,16,40,84
1,16,45,84
1,16,50,84
1,16,55,84
1,17,0,85
1,17,5,85
1,17,10,85
1,17,15,85
1,17,20,85
1,17,25,85
1,17,30,85
1,17,35,85
1,17,40,85
1,17,45,85
1,17,50,85
1,17,55,85
1,18,0,85
1,18,5,85
1,18,10,85
1,18,15,86
1,18,20,86
