d,h,m,mem
0,0,0,16
0,0,5,15
0,0,10,14
0,0,15,13
0,0,20,13
0,0,25,12
0,0,30,11
0,0,35,10
0,0,40,10
0,0,45,9
0,0,50,8
0,0,55,7
0,1,0,7
0,1,5,6
0,1,10,6
0,1,15,6
0,1,20,5
0,1,25,5
0,1,30,5
0,1,35,4
0,1,40,4
0,1,45,4
0,1,50,3
0,1,55,3
0,2,0,3
0,2,5,2
0,2,10,2
0,2,15,2
0,2,20,2
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,3
0,5,20,4
0,5,25,4
0,5,30,5
0,5,35,5
0,5,40,6
0,5,45,6
0,5,50,7
0,5,55,7
0,6,0,8
0,6,5,8
0,6,10,8
0,6,15,8
0,6,20,8
0,6,25,8
0,6,30,9
0,6,35,9
0,6,40,9
0,6,45,9
0,6,50,9
0,6,55,9
0,7,0,10
0,7,5,10
0,7,10,10
0,7,15,10
0,7,20,10
0,7,25,10
0,7,30,10
0,7,35,10
0,7,40,10
0,7,45,10
0,7,50,10
0,7,55,10
0,8,0,11
0,8,5,11
0,8,10,11
0,8,15,11
0,8,20,11
0,8,25,11
0,8,30,11
0,8,35,11
0,8,40,11
0,8,45,11
0,8,50,11
0,8,55,11
0,9,0,12
0,9,5,12
0,9,10,12
0,9,15,12
0,9,20,12
0,9,25,12
0,9,30,12
0,9,35,12
0,9,40,12
0,9,45,12
0,9,50,12
0,9,55,12
0,10,0,13
0,10,5,13
0,10,10,13
0,10,15,13
0,10,20,13
0,10,25,13
0,10,30,13
0,10,35,13
0,10,40,13
0,10,45,13
0,10,50,13
0,10,55,13
0,11,0,14
0,11,5,14
0,11,10,14
0,11,15,14
0,11,20,15
0,11,25,15
0,11,30,15
0,11,35,15
0,11,40,16
0,11,45,16
0,11,50,16
0,11,55,16
0,12,0,17
0,12,5,17
0,12,10,17
0,12,15,18
0,12,20,18
0,12,25,19
0,12,30,19
0,12,35,19
0,12,40,20
0,12,45,20
0,12,50,21
0,12,55,21
0,13,0,22
0,13,5,22
0,13,10,23
0,13,15,23
0,13,20,24
0,13,25,24
0,13,30,25
0,13,35,26
0,13,40,26
0,13,45,27
0,13,50,27
0,13,55,28
0,14,0,29
0,14,5,29
0,14,10,29
0,14,15,30
0,14,20,30
0,14,25,30
0,14,30,31
0,14,35,31
0,14,40,31
0,14,45,32
0,14,50,32
0,14,55,32
0,15,0,33
0,15,5,33
0,15,10,33
0,15,15,33
0,15,20,33
0,15,25,33
0,15,30,33
0,15,35,33
0,15,40,33
0,15,45,33
0,15,50,33
0,15,55,33
0,16,0,34
0,16,5,34
0,16,10,34
0,16,15,34
0,16,20,35
0,16,25,35
0,16,30,35
0,16,35,35
0,16,40,36
0,16,45,36
0,16,50,36
0,16,55,36
0,17,0,37
0,17,5,37
0,17,10,37
0,17,15,37
0,17,20,38
0,17,25,38
0,17,30,38
0,17,35,38
0,17,40,39
0,17,45,39
0,17,50,39
0,17,55,39
0,18,0,40
0,18,5,40
0,18,10,40
0,18,15,40
0,18,20,40
0,18,25,40
0,18,30,41
0,18,35,41
0,18,40,41
0,18,45,41
0,18,50,41
0,18,55,41
0,19,0,42
0,19,5,41
0,19,10,41
0,19,15,41
0,19,20,41
0,19,25,41
0,19,30,41
0,19,35,41
0,19,40,41
0,19,45,41
0,19,50,41
0,19,55,41
0,20,0,41
0,20,5,40
0,20,10,40
0,20,15,39
0,20,20,39
0,20,25,38
0,20,30,38
0,20,35,38
0,20,40,37
0,20,45,37
0,20,50,36
0,20,55,36
0,21,0,36
0,21,5,35
0,21,10,34
0,21,15,34
0,21,20,33
0,21,25,33
0,21,30,32
0,21,35,31
0,21,40,31
0,21,45,30
0,21,50,30
0,21,55,29
0,22,0,29
0,22,5,28
0,22,10,27
0,22,15,27
0,22,20,26
0,22,25,26
0,22,30,25
0,22,35,24
0,22,40,24
0,22,45,23
0,22,50,23
0,22,55,22
0,23,0,22
0,23,5,21
0,23,10,20
0,23,15,20
0,23,20,19
0,23,25,19
0,23,30,18
0,23,35,17
0,23,40,17
0,23,45,16
0,23,50,16
0,23,55,15
1,0,0,15
1,0,5,14
1,0,10,14
1,0,15,13
1,0,20,13
1,0,25,12
1,0,30,12
1,0,35,12
1,0,40,11
1,0,45,11
1,0,50,10
1,0,55,10
1,1,0,10
1,1,5,9
1,1,10,9
1,1,15,9
1,1,20,8
1,1,25,8
1,1,30,8
1,1,35,7
1,1,40,7
1,1,45,7
1,1,50,6
1,1,55,6
1,2,0,6
1,2,5,5
1,2,10,5
1,2,15,5
1,2,20,4
1,2,25,4
1,2,30,4
1,2,35,3
1,2,40,3
1,2,45,3
1,2,50,2
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,1
1,4,20,1
1,4,25,1
1,4,30,2
1,4,35,2
1,4,40,2
1,4,45,3
1,4,50,3
1,4,55,3
1,5,0,4
1,5,5,4
1,5,10,5
1,5,15,6
1,5,20,6
1,5,25,7
1,5,30,8
1,5,35,8
1,5,40,9
1,5,45,10
1,5,50,10
1,5,55,11
1,6,0,12
1,6,5,12
1,6,10,12
1,6,15,13
1,6,20,13
1,6,25,14
1,6,30,14
1,6,35,14
1,6,40,15
1,6,45,15
1,6,50,16
1,6,55,16
1,7,0,17
1,7,5,17
1,7,10,17
1,7,15,17
1,7,20,18
1,7,25,18
1,7,30,18
1,7,35,18
1,7,40,19
1,7,45,19
1,7,50,19
1,7,55,19
1,8,0,20
1,8,5,20
1,8,10,20
1,8,15,20
1,8,20,20
1,8,25,20
1,8,30,21
1,8,35,21
1,8,40,21
1,8,45,21
1,8,50,21
1,8,55,21
1,9,0,22
1,9,5,22
1,9,10,22
1,9,15,22
1,9,20,22
1,9,25,22
1,9,30,22
1,9,35,22
1,9,40,22
1,9,45,22
1,9,50,22
1,9,55,22
1,10,0,22
1,10,5,22
1,10,10,22
1,10,15,22
1,10,20,22
1,10,25,22
1,10,30,22
1,10,35,22
1,10,40,22
1,10,45,22
1,10,50,22
1,10,55,22
1,11,0,23
1,11,5,23
1,11,10,23
1,11,15,23
1,11,20,23
1,11,25,23
1,11,30,24
1,11,35,24
1,11,40,24
1,11,45,24
1,11,50,24
1,11,55,24
1,12,0,25
1,12,5,25
1,12,10,25
1,12,15,26
1,12,20,26
1,12,25,26
1,12,30,27
1,12,35,27
1,12,40,27
1,12,45,28
1,12,50,28
1,12,55,28
1,13,0,29
1,13,5,29
1,13,10,30
1,13,15,30
1,13,20,31
1,13,25,31
1,13,30,32
1,13,35,32
1,13,40,33
1,13,45,33
1,13,50,34
1,13,55,34
1,14,0,35
1,14,5,35
1,14,10,36
1,14,15,36
1,14,20,37
1,14,25,37
1,14,30,38
1,14,35,39
1,14,40,39
1,14,45,40
1,14,50,40
1,14,55,41
1,15,0,42
1,15,5,42
1,15,10,43
1,15,15,43
1,15,20,44
1,15,25,44
1,15,30,45
1,15,35,46
1,15,40,46
1,15,45,47
1,15,50,47
1,15,55,48
1,16,0,49
1,16,5,49
1,16,10,49
1,16,15,49
1,16,20,49
1,16,25,49
1,16,30,50
1,16,35,50
1,16,40,50
1,16,45,50
1,16,50,50
1,16,55,50
1,17,0,51
1,17,5,52
1,17,10,54
1,17,15,56
1,17,20,58
1,17,25,60
1,17,30,62
1,17,35,63
1,17,40,65
1,17,45,67
1,17,50,69
1,17,55,71
1,18,0,73
1,18,5,73
1,18,10,74
1,18,15,74
1,18,20,75
1,18,25,75
1,18,30,76
1,18,35,76
1,18,40,77
1,18,45,77
1,18,50,78
1,18,55,78
1,19,0,79
1,19,5,78
1,19,10,77
1,19,15,76
1,19,20,75
1,19,25,74
1,19,30,73
1,19,35,72
1,19,40,71
1,19,45,70
1,19,50,69
1,19,55,68
1,20,0,68
1,20,5,68
1,20,10,68
1,20,15,68
1,20,20,68
1,20,25,68
1,20,30,68
1,20,35,68
1,20,40,68
1,20,45,68
1,20,50,68
1,20,55,68
1,21,0,69
1,21,5,68
1,21,10,68
1,21,15,68
1,21,20,68
1,21,25,68
1,21,30,68
1,21,35,68
1,21,40,68
1,21,45,68
1,21,50,68
1,21,55,68
1,22,0,68
1,22,5,66
1,22,10,65
1,22,15,64
1,22,20,62
1,22,25,61
1,22,30,60
1,22,35,58
1,22,40,57
1,22,45,56
1,22,50,54
1,22,55,53
1,23,0,52
1,23,5,51
