d,h,m,mem
0,0,0,72
0,0,5,68
0,0,10,65
0,0,15,62
0,0,20,58
0,0,25,55
0,0,30,52
0,0,35,48
0,0,40,45
0,0,45,42
0,0,50,38
0,0,55,35
0,1,0,32
0,1,5,30
0,1,10,29
0,1,15,27
0,1,20,26
0,1,25,24
0,1,30,23
0,1,35,21
0,1,40,20
0,1,45,18
0,1,50,17
0,1,55,15
0,2,0,14
0,2,5,13
0,2,10,13
0,2,15,13
0,2,20,12
0,2,25,12
0,2,30,12
0,2,35,11
0,2,40,11
0,2,45,11
0,2,50,10
0,2,55,10
0,3,0,10
0,3,5,9
0,3,10,9
0,3,15,8
0,3,20,8
0,3,25,7
0,3,30,7
0,3,35,7
0,3,40,6
0,3,45,6
0,3,50,5
0,3,55,5
0,4,0,5
0,4,5,4
0,4,10,4
0,4,15,3
0,4,20,3
0,4,25,2
0,4,30,2
0,4,35,2
0,4,40,1
0,4,45,1
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,1
0,5,20,2
0,5,25,2
0,5,30,3
0,5,35,3
0,5,40,4
0,5,45,4
0,5,50,5
0,5,55,5
0,6,0,6
0,6,5,7
0,6,10,9
0,6,15,10
0,6,20,12
0,6,25,13
0,6,30,15
0,6,35,17
0,6,40,18
0,6,45,20
0,6,50,21
0,6,55,23
0,7,0,25
0,7,5,26
0,7,10,28
0,7,15,30
0,7,20,32
0,7,25,33
0,7,30,35
0,7,35,37
0,7,40,39
0,7,45,40
0,7,50,42
0,7,55,44
0,8,0,46
0,8,5,47
0,8,10,48
0,8,15,49
0,8,20,51
0,8,25,52
0,8,30,53
0,8,35,54
0,8,40,56
0,8,45,57
0,8,50,58
0,8,55,59
0,9,0,61
0,9,5,61
0,9,10,62
0,9,15,63
0,9,20,63
0,9,25,64
0,9,30,65
0,9,35,65
0,9,40,66
0,9,45,67
0,9,50,67
0,9,55,68
0,10,0,69
0,10,5,69
0,10,10,69
0,10,15,70
0,10,20,70
0,10,25,70
0,10,30,71
0,10,35,71
0,10,40,71
0,10,45,72
0,10,50,72
0,10,55,72
0,11,0,73
0,11,5,73
0,11,10,73
0,11,15,73
0,11,20,73
0,11,25,73
0,11,30,73
0,11,35,73
0,11,40,73
0,11,45,73
0,11,50,73
0,11,55,73
0,12,0,73
0,12,5,73
0,12,10,73
0,12,15,73
0,12,20,73
0,12,25,73
0,12,30,74
0,12,35,74
0,12,40,74
0,12,45,74
0,12,50,74
0,12,55,74
0,13,0,75
0,13,5,75
0,13,10,75
0,13,15,75
0,13,20,75
0,13,25,75
0,13,30,76
0,13,35,76
0,13,40,76
0,13,45,76
0,13,50,76
0,13,55,76
0,14,0,77
0,14,5,77
0,14,10,77
0,14,15,78
0,14,20,78
0,14,25,79
0,14,30,79
0,14,35,79
0,14,40,80
0,14,45,80
0,14,50,81
0,14,55,81
0,15,0,82
0,15,5,82
0,15,10,82
0,15,15,83
0,15,20,83
0,15,25,84
0,15,30,84
0,15,35,84
0,15,40,85
0,15,45,85
0,15,50,86
0,15,55,86
0,16,0,87
0,16,5,87
0,16,10,87
0,16,15,87
0,16,20,88
0,16,25,88
0,16,30,88
0,16,35,88
0,16,40,89
0,16,45,89
0,16,50,89
0,16,55,89
0,17,0,90
0,17,5,90
0,17,10,90
0,17,15,90
0,17,20,90
0,17,25,90
0,17,30,90
0,17,35,90
0,17,40,90
0,17,45,90
0,17,50,90
0,17,55,90
0,18,0,90
0,18,5,90
0,18,10,90
0,18,15,90
0,18,20,90
0,18,25,90
0,18,30,90
0,18,35,90
0,18,40,90
0,18,45,90
0,18,50,90
0,18,55,90
0,19,0,90
0,19,5,90
0,19,10,90
0,19,15,90
0,19,20,90
0,19,25,90
0,19,30,90
0,19,35,90
0,19,40,90
0,19,45,90
0,19,50,90
0,19,55,90
0,20,0,90
0,20,5,89
0,20,10,89
0,20,15,89
0,20,20,88
0,20,25,88
0,20,30,88
0,20,35,87
0,20,40,87
0,20,45,87
0,20,50,86
0,20,55,86
0,21,0,86
0,21,5,85
0,21,10,84
0,21,15,83
0,21,20,82
0,21,25,81
0,21,30,81
0,21,35,80
0,21,40,79
0,21,45,78
0,21,50,77
0,21,55,76
0,22,0,76
0,22,5,74
0,22,10,73
0,22,15,72
0,22,20,71
0,22,25,70
0,22,30,69
0,22,35,67
0,22,40,66
0,22,45,65
0,22,50,64
0,22,55,63
0,23,0,62
0,23,5,60
0,23,10,58
0,23,15,57
0,23,20,55
0,23,25,53
0,23,30,52
0,23,35,50
0,23,40,48
0,23,45,47
0,23,50,45
0,23,55,43
1,0,0,42
1,0,5,40
1,0,10,38
1,0,15,37
1,0,20,35
1,0,25,34
1,0,30,32
1,0,35,30
1,0,40,29
1,0,45,27
1,0,50,26
1,0,55,24
1,1,0,23
1,1,5,21
1,1,10,20
1,1,15,19
1,1,20,18
1,1,25,17
1,1,30,16
1,1,35,14
1,1,40,13
1,1,45,12
1,1,50,11
1,1,55,10
1,2,0,9
1,2,5,8
1,2,10,7
1,2,15,7
1,2,20,6
1,2,25,6
1,2,30,5
1,2,35,4
1,2,40,4
1,2,45,3
1,2,50,3
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,1
1,4,25,1
1,4,30,1
1,4,35,1
1,4,40,2
1,4,45,2
1,4,50,2
1,4,55,2
1,5,0,3
1,5,5,3
1,5,10,4
1,5,15,5
1,5,20,5
1,5,25,6
1,5,30,7
1,5,35,7
1,5,40,8
1,5,45,9
1,5,50,9
1,5,55,10
1,6,0,11
1,6,5,12
1,6,10,13
1,6,15,14
1,6,20,15
1,6,25,16
1,6,30,17
1,6,35,18
1,6,40,19
1,6,45,20
1,6,50,21
1,6,55,22
1,7,0,23
1,7,5,23
1,7,10,24
1,7,15,24
1,7,20,25
1,7,25,25
1,7,30,26
1,7,35,27
1,7,40,27
1,7,45,28
1,7,50,28
1,7,55,29
1,8,0,30
1,8,5,30
1,8,10,31
1,8,15,31
1,8,20,32
1,8,25,32
1,8,30,33
1,8,35,33
1,8,40,34
1,8,45,34
1,8,50,35
1,8,55,35
1,9,0,36
1,9,5,36
1,9,10,36
1,9,15,36
1,9,20,36
1,9,25,36
1,9,30,36
1,9,35,36
1,9,40,36
1,9,45,36
1,9,50,36
1,9,55,36
1,10,0,37
1,10,5,37
1,10,10,37
1,10,15,37
1,10,20,37
1,10,25,37
1,10,30,37
1,10,35,37
1,10,40,37
1,10,45,37
1,10,50,37
1,10,55,37
1,11,0,37
1,11,5,37
1,11,10,37
1,11,15,37
1,11,20,37
1,11,25,37
1,11,30,37
1,11,35,37
1,11,40,37
1,11,45,37
1,11,50,37
1,11,55,37
1,12,0,37
1,12,5,36
1,12,10,36
1,12,15,36
1,12,20,36
1,12,25,36
1,12,30,36
1,12,35,36
1,12,40,36
1,12,45,36
1,12,50,36
1,12,55,36
1,13,0,36
1,13,5,36
1,13,10,36
1,13,15,36
1,13,20,36
1,13,25,36
1,13,30,36
1,13,35,36
1,13,40,36
1,13,45,36
1,13,50,36
1,13,55,36
1,14,0,37
1,14,5,37
1,14,10,37
1,14,15,37
1,14,20,37
1,14,25,37
1,14,30,37
1,14,35,37
1,14,40,37
1,14,45,37
1,14,50,37
1,14,55,37
1,15,0,38
1,15,5,37
1,15,10,37
1,15,15,37
1,15,20,37
1,15,25,37
1,15,30,37
1,15,35,37
1,15,40,37
1,15,45,37
1,15,50,37
1,15,55,37
1,16,0,37
1,16,5,38
1,16,10,39
1,16,15,40
1,16,20,42
1,16,25,43
1,16,30,44
1,16,35,45
1,16,40,47
1,16,45,48
1,16,50,49
1,16,55,50
1,17,0,52
1,17,5,53
1,17,10,55
1,17,15,57
1,17,20,59
1,17,25,61
1,17,30,63
1,17,35,65
1,17,40,67
1,17,45,69
1,17,50,71
1,17,55,73
1,18,0,75
1,18,5,74
1,18,10,73
1,18,15,72
1,18,20,71
1,18,25,70
1,18,30,69
1,18,35,68
1,18,40,67
1,18,45,66
1,18,50,65
1,18,55,64
1,19,0,64
1,19,5,66
1,19,10,68
1,19,15,70
1,19,20,72
1,19,25,74
1,19,30,76
1,19,35,78
1,19,40,80
1,19,45,82
1,19,50,84
1,19,55,86
1,20,0,89
1,20,5,86
1,20,10,84
1,20,15,81
1,20,20,79
1,20,25,76
1,20,30,74
1,20,35,72
1,20,40,69
1,20,45,67
1,20,50,64
1,20,55,62
1,21,0,60
1,21,5,57
1,21,10,54
1,21,15,52
1,21,20,49
1,21,25,46
1,21,30,44
1,21,35,41
1,21,40,38
1,21,45,36
1,21,50,33
1,21,55,30
1,22,0,28
1,22,5,26
1,22,10,25
1,22,15,24
1,22,20,23
1,22,25,22
1,22,30,21
1,22,35,20
1,22,40,19
1,22,45,18
1,22,50,17
1,22,55,16
1,23,0,15
1,23,5,16
1,23,10,18
1,23,15,20
1,23,20,22
1,23,25,24
1,23,30,26
1,23,35,27
1,23,40,29
1,23,45,31
1,23,50,33
1,23,55,35
2,0,0,37
2,0,5,35
2,0,10,34
2,0,15,33
2,0,20,31
2,0,25,30
2,0,30,29
2,0,35,27
2,0,40,26
2,0,45,25
2,0,50,23
2,0,55,22
2,1,0,21
2,1,5,19
2,1,10,18
2,1,15,17
2,1,20,16
2,1,25,14
2,1,30,13
2,1,35,12
2,1,40,11
