d,h,m,mem
0,0,0,59
0,0,5,57
0,0,10,56
0,0,15,54
0,0,20,53
0,0,25,51
0,0,30,50
0,0,35,48
0,0,40,47
0,0,45,45
0,0,50,44
0,0,55,42
0,1,0,41
0,1,5,39
0,1,10,37
0,1,15,36
0,1,20,34
0,1,25,32
0,1,30,31
0,1,35,29
0,1,40,27
0,1,45,26
0,1,50,24
0,1,55,22
0,2,0,21
0,2,5,20
0,2,10,19
0,2,15,18
0,2,20,17
0,2,25,16
0,2,30,15
0,2,35,14
0,2,40,13
0,2,45,12
0,2,50,11
0,2,55,10
0,3,0,10
0,3,5,9
0,3,10,8
0,3,15,7
0,3,20,6
0,3,25,5
0,3,30,5
0,3,35,4
0,3,40,3
0,3,45,2
0,3,50,1
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,1
0,5,5,2
0,5,10,4
0,5,15,6
0,5,20,8
0,5,25,9
0,5,30,11
0,5,35,13
0,5,40,15
0,5,45,16
0,5,50,18
0,5,55,20
0,6,0,22
0,6,5,23
0,6,10,25
0,6,15,26
0,6,20,28
0,6,25,29
0,6,30,31
0,6,35,33
0,6,40,34
0,6,45,36
0,6,50,37
0,6,55,39
0,7,0,41
0,7,5,42
0,7,10,44
0,7,15,45
0,7,20,47
0,7,25,48
0,7,30,50
0,7,35,52
0,7,40,53
0,7,45,55
0,7,50,56
0,7,55,58
0,8,0,60
0,8,5,61
0,8,10,62
0,8,15,63
0,8,20,64
0,8,25,65
0,8,30,67
0,8,35,68
0,8,40,69
0,8,45,70
0,8,50,71
0,8,55,72
0,9,0,74
0,9,5,74
0,9,10,74
0,9,15,74
0,9,20,75
0,9,25,75
0,9,30,75
0,9,35,75
0,9,40,76
0,9,45,76
0,9,50,76
0,9,55,76
0,10,0,77
0,10,5,77
0,10,10,77
0,10,15,77
0,10,20,77
0,10,25,77
0,10,30,78
0,10,35,78
0,10,40,78
0,10,45,78
0,10,50,78
0,10,55,78
0,11,0,79
0,11,5,79
0,11,10,79
0,11,15,79
0,11,20,80
0,11,25,80
0,11,30,80
0,11,35,80
0,11,40,81
0,11,45,81
0,11,50,81
0,11,55,81
0,12,0,82
0,12,5,82
0,12,10,82
0,12,15,83
0,12,20,83
0,12,25,84
0,12,30,84
0,12,35,84
0,12,40,85
0,12,45,85
0,12,50,86
0,12,55,86
0,13,0,87
0,13,5,86
0,13,10,86
0,13,15,86
0,13,20,86
0,13,25,86
0,13,30,86
0,13,35,86
0,13,40,86
0,13,45,86
0,13,50,86
0,13,55,86
0,14,0,86
0,14,5,86
0,14,10,86
0,14,15,86
0,14,20,87
0,14,25,87
0,14,30,87
0,14,35,87
0,14,40,88
0,14,45,88
0,14,50,88
0,14,55,88
0,15,0,89
0,15,5,89
0,15,10,89
0,15,15,89
0,15,20,89
0,15,25,89
0,15,30,89
0,15,35,89
0,15,40,89
0,15,45,89
0,15,50,89
0,15,55,89
0,16,0,89
0,16,5,88
0,16,10,87
0,16,15,87
0,16,20,86
0,16,25,85
0,16,30,85
0,16,35,84
0,16,40,83
0,16,45,83
0,16,50,82
0,16,55,81
0,17,0,81
0,17,5,81
0,17,10,82
0,17,15,83
0,17,20,84
0,17,25,85
0,17,30,86
0,17,35,87
0,17,40,88
0,17,45,89
0,17,50,90
0,17,55,91
0,18,0,92
0,18,5,92
0,18,10,92
0,18,15,93
0,18,20,93
0,18,25,94
0,18,30,94
0,18,35,94
0,18,40,95
0,18,45,95
0,18,50,96
0,18,55,96
0,19,0,97
0,19,5,96
0,19,10,96
0,19,15,96
0,19,20,96
0,19,25,96
0,19,30,96
0,19,35,96
0,19,40,96
0,19,45,96
0,19,50,96
0,19,55,96
0,20,0,96
0,20,5,95
0,20,10,95
0,20,15,94
0,20,20,94
0,20,25,93
0,20,30,93
0,20,35,93
0,20,40,92
0,20,45,92
0,20,50,91
0,20,55,91
0,21,0,91
0,21,5,90
0,21,10,89
0,21,15,88
0,21,20,87
0,21,25,86
0,21,30,85
0,21,35,84
0,21,40,83
0,21,45,82
0,21,50,81
0,21,55,80
0,22,0,80
0,22,5,78
0,22,10,77
0,22,15,76
0,22,20,74
0,22,25,73
0,22,30,72
0,22,35,70
0,22,40,69
0,22,45,68
0,22,50,66
0,22,55,65
0,23,0,64
0,23,5,62
0,23,10,60
0,23,15,58
0,23,20,56
0,23,25,54
0,23,30,53
0,23,35,51
0,23,40,49
0,23,45,47
0,23,50,45
0,23,55,43
1,0,0,42
1,0,5,40
1,0,10,38
1,0,15,36
1,0,20,35
1,0,25,33
1,0,30,31
1,0,35,29
1,0,40,28
1,0,45,26
1,0,50,24
1,0,55,22
1,1,0,21
1,1,5,19
1,1,10,18
1,1,15,17
1,1,20,16
1,1,25,15
1,1,30,14
1,1,35,12
1,1,40,11
1,1,45,10
1,1,50,9
1,1,55,8
1,2,0,7
1,2,5,6
1,2,10,5
1,2,15,5
1,2,20,4
1,2,25,4
1,2,30,3
1,2,35,2
1,2,40,2
1,2,45,1
1,2,50,1
1,2,55,0
1,3,0,0
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,0
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,1
1,4,15,1
1,4,20,2
1,4,25,2
1,4,30,3
1,4,35,3
1,4,40,4
1,4,45,4
1,4,50,5
1,4,55,5
1,5,0,6
1,5,5,7
1,5,10,8
1,5,15,9
1,5,20,10
1,5,25,11
1,5,30,13
1,5,35,14
1,5,40,15
1,5,45,16
1,5,50,17
1,5,55,18
1,6,0,20
1,6,5,21
1,6,10,23
1,6,15,24
1,6,20,26
1,6,25,27
1,6,30,29
1,6,35,30
1,6,40,32
1,6,45,33
1,6,50,35
1,6,55,36
1,7,0,38
1,7,5,39
1,7,10,40
1,7,15,41
1,7,20,42
1,7,25,43
1,7,30,45
1,7,35,46
1,7,40,47
1,7,45,48
1,7,50,49
1,7,55,50
1,8,0,52
1,8,5,52
1,8,10,53
1,8,15,54
1,8,20,55
1,8,25,55
1,8,30,56
1,8,35,57
1,8,40,58
1,8,45,58
1,8,50,59
1,8,55,60
1,9,0,61
1,9,5,61
1,9,10,61
1,9,15,61
1,9,20,62
1,9,25,62
1,9,30,62
1,9,35,62
1,9,40,63
1,9,45,63
1,9,50,63
1,9,55,63
1,10,0,64
1,10,5,64
1,10,10,64
1,10,15,64
1,10,20,64
1,10,25,64
1,10,30,64
1,10,35,64
1,10,40,64
1,10,45,64
1,10,50,64
1,10,55,64
1,11,0,64
1,11,5,63
1,11,10,63
1,11,15,63
1,11,20,63
1,11,25,63
1,11,30,63
1,11,35,63
1,11,40,63
1,11,45,63
1,11,50,63
1,11,55,63
1,12,0,63
1,12,5,63
1,12,10,63
1,12,15,63
1,12,20,63
1,12,25,63
1,12,30,64
1,12,35,64
1,12,40,64
1,12,45,64
1,12,50,64
1,12,55,64
1,13,0,65
1,13,5,65
1,13,10,65
1,13,15,65
1,13,20,65
1,13,25,65
1,13,30,66
1,13,35,66
1,13,40,66
1,13,45,66
1,13,50,66
1,13,55,66
1,14,0,67
1,14,5,67
1,14,10,67
1,14,15,67
1,14,20,67
1,14,25,67
1,14,30,67
1,14,35,67
1,14,40,67
1,14,45,67
1,14,50,67
1,14,55,67
1,15,0,67
1,15,5,66
1,15,10,66
1,15,15,66
1,15,20,66
1,15,25,66
1,15,30,66
1,15,35,66
1,15,40,66
1,15,45,66
1,15,50,66
1,15,55,66
1,16,0,66
1,16,5,66
1,16,10,66
1,16,15,66
1,16,20,66
1,16,25,66
1,16,30,66
1,16,35,66
1,16,40,66
1,16,45,66
1,16,50,66
1,16,55,66
1,17,0,66
1,17,5,66
1,17,10,67
1,17,15,68
1,17,20,69
1,17,25,69
1,17,30,70
1,17,35,71
1,17,40,72
1,17,45,72
1,17,50,73
1,17,55,74
1,18,0,75
1,18,5,75
1,18,10,75
1,18,15,75
1,18,20,75
1,18,25,75
1,18,30,76
1,18,35,76
1,18,40,76
1,18,45,76
1,18,50,76
1,18,55,76
1,19,0,77
1,19,5,76
1,19,10,76
1,19,15,76
1,19,20,76
1,19,25,76
1,19,30,76
1,19,35,76
1,19,40,76
1,19,45,76
1,19,50,76
1,19,55,76
1,20,0,76
1,20,5,74
1,20,10,73
1,20,15,72
1,20,20,71
1,20,25,70
1,20,30,69
1,20,35,67
1,20,40,66
1,20,45,65
1,20,50,64
1,20,55,63
1,21,0,62
1,21,5,60
1,21,10,58
1,21,15,57
1,21,20,55
1,21,25,54
1,21,30,52
1,21,35,50
1,21,40,49
1,21,45,47
1,21,50,46
1,21,55,44
1,22,0,43
1,22,5,41
1,22,10,39
1,22,15,38
1,22,20,36
1,22,25,35
1,22,30,33
1,22,35,31
1,22,40,30
1,22,45,28
1,22,50,27
1,22,55,25
1,23,0,24
1,23,5,23
1,23,10,22
1,23,15,22
1,23,20,21
1,23,25,21
1,23,30,20
1,23,35,19
1,23,40,19
1,23,45,18
1,23,50,18
1,23,55,17
2,0,0,17
2,0,5,16
2,0,10,15
2,0,15,14
2,0,20,13
2,0,25,12
2,0,30,12
2,0,35,11
2,0,40,10
2,0,45,9
2,0,50,8
2,0,55,7
2,1,0,7
2,1,5,6
2,1,10,6
2,1,15,6
2,1,20,6
2,1,25,6
2,1,30,6
2,1,35,6
2,1,40,6
2,1,45,6
2,1,50,6
2,1,55,6
2,2,0,6
2,2,5,5
2,2,10,5
2,2,15,5
2,2,20,4
2,2,25,4
2,2,30,4
2,2,35,3
2,2,40,3
2,2,45,3
2,2,50,2
2,2,55,2
2,3,0,2
2,3,5,2
2,3,10,2
2,3,15,2
2,3,20,2
2,3,25,2
2,3,30,3
2,3,35,3
2,3,40,3
2,3,45,3
2,3,50,3
2,3,55,3
2,4,0,4
2,4,5,4
2,4,10,5
2,4,15,6
2,4,20,7
2,4,25,7
2,4,30,8
2,4,35,9
2,4,40,10
2,4,45,10
2,4,50,11
2,4,55,12
2,5,0,13
2,5,5,14
2,5,10,15
2,5,15,17
2,5,20,18
2,5,25,20
2,5,30,21
2,5,35,22
2,5,40,24
2,5,45,25
2,5,50,27
2,5,55,28
2,6,0,30
2,6,5,32
2,6,10,34
2,6,15,36
2,6,20,38
2,6,25,40
2,6,30,42
2,6,35,44
2,6,40,46
2,6,45,48
2,6,50,50
2,6,55,52
2,7,0,54
2,7,5,55
2,7,10,57
2,7,15,59
2,7,20,61
2,7,25,63
2,7,30,65
2,7,35,67
2,7,40,69
2,7,45,71
2,7,50,73
2,7,55,75
2,8,0,77
2,8,5,78
2,8,10,79
2,8,15,80
2,8,20,81
2,8,25,82
2,8,30,83
2,8,35,84
2,8,40,85
2,8,45,86
2,8,50,87
2,8,55,88
2,9,0,90
2,9,5,90
2,9,10,90
2,9,15,90
2,9,20,91
2,9,25,91
2,9,30,91
2,9,35,91
2,9,40,92
2,9,45,92
2,9,50,92
2,9,55,92
2,10,0,93
2,10,5,92
2,10,10,91
2,10,15,91
2,10,20,90
2,10,25,90
2,10,30,89
2,10,35,88
2,10,40,88
2,10,45,87
2,10,50,87
2,10,55,86
2,11,0,86
2,11,5,85
2,11,10,84
2,11,15,83
2,11,20,82
2,11,25,81
2,11,30,80
2,11,35,79
2,11,40,78
2,11,45,77
2,11,50,76
2,11,55,75
2,12,0,75
2,12,5,75
2,12,10,76
2,12,15,77
2,12,20,78
2,12,25,78
2,12,30,79
2,12,35,80
2,12,40,81
2,12,45,81
2,12,50,82
2,12,55,83
2,13,0,84
2,13,5,84
2,13,10,84
2,13,15,84
2,13,20,84
2,13,25,84
2,13,30,85
2,13,35,85
2,13,40,85
2,13,45,85
2,13,50,85
2,13,55,85
2,14,0,86
2,14,5,85
2,14,10,85
2,14,15,84
2,14,20,84
2,14,25,83
2,14,30,83
2,14,35,82
2,14,40,82
2,14,45,81
2,14,50,81
2,14,55,80
2,15,0,80
2,15,5,79
2,15,10,79
2,15,15,79
2,15,20,79
2,15,25,79
2,15,30,79
2,15,35,79
2,15,40,79
2,15,45,79
2,15,50,79
2,15,55,79
2,16,0,79
2,16,5,78
2,16,10,78
2,16,15,78
2,16,20,78
2,16,25,78
2,16,30,78
2,16,35,77
2,16,40,77
2,16,45,77
2,16,50,77
2,16,55,77
2,17,0,77
2,17,5,77
2,17,10,77
2,17,15,78
2,17,20,78
2,17,25,78
2,17,30,79
2,17,35,79
2,17,40,79
2,17,45,80
2,17,50,80
2,17,55,80
2,18,0,81
2,18,5,81
2,18,10,82
2,18,15,82
2,18,20,83
2,18,25,83
2,18,30,84
2,18,35,85
2,18,40,85
2,18,45,86
2,18,50,86
2,18,55,87
2,19,0,88
2,19,5,88
2,19,10,88
2,19,15,88
2,19,20,88
2,19,25,88
2,19,30,89
2,19,35,89
2,19,40,89
2,19,45,89
2,19,50,89
