d,h,m,mem
0,0,0,23
0,0,5,21
0,0,10,20
0,0,15,19
0,0,20,18
0,0,25,17
0,0,30,16
0,0,35,14
0,0,40,13
0,0,45,12
0,0,50,11
0,0,55,10
0,1,0,9
0,1,5,8
0,1,10,8
0,1,15,7
0,1,20,7
0,1,25,6
0,1,30,6
0,1,35,5
0,1,40,5
0,1,45,4
0,1,50,4
0,1,55,3
0,2,0,3
0,2,5,2
0,2,10,2
0,2,15,2
0,2,20,2
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,3
0,5,10,4
0,5,15,5
0,5,20,7
0,5,25,8
0,5,30,9
0,5,35,10
0,5,40,12
0,5,45,13
0,5,50,14
0,5,55,15
0,6,0,17
0,6,5,19
0,6,10,21
0,6,15,23
0,6,20,26
0,6,25,28
0,6,30,30
0,6,35,32
0,6,40,35
0,6,45,37
0,6,50,39
0,6,55,41
0,7,0,44
0,7,5,45
0,7,10,46
0,7,15,48
0,7,20,49
0,7,25,50
0,7,30,52
0,7,35,53
0,7,40,54
0,7,45,56
0,7,50,57
0,7,55,58
0,8,0,60
0,8,5,60
0,8,10,60
0,8,15,61
0,8,20,61
0,8,25,61
0,8,30,62
0,8,35,62
0,8,40,62
0,8,45,63
0,8,50,63
0,8,55,63
0,9,0,64
0,9,5,64
0,9,10,64
0,9,15,64
0,9,20,64
0,9,25,64
0,9,30,65
0,9,35,65
0,9,40,65
0,9,45,65
0,9,50,65
0,9,55,65
0,10,0,66
0,10,5,65
0,10,10,65
0,10,15,65
0,10,20,65
0,10,25,65
0,10,30,65
0,10,35,64
0,10,40,64
0,10,45,64
0,10,50,64
0,10,55,64
0,11,0,64
0,11,5,64
0,11,10,64
0,11,15,64
0,11,20,64
0,11,25,64
0,11,30,65
0,11,35,65
0,11,40,65
0,11,45,65
0,11,50,65
0,11,55,65
0,12,0,66
0,12,5,67
0,12,10,68
0,12,15,69
0,12,20,71
0,12,25,72
0,12,30,73
0,12,35,74
0,12,40,76
0,12,45,77
0,12,50,78
0,12,55,79
0,13,0,81
0,13,5,81
0,13,10,81
0,13,15,81
0,13,20,81
0,13,25,81
0,13,30,82
0,13,35,82
0,13,40,82
0,13,45,82
0,13,50,82
0,13,55,82
0,14,0,83
0,14,5,81
0,14,10,80
0,14,15,78
0,14,20,77
0,14,25,75
0,14,30,74
0,14,35,72
0,14,40,71
0,14,45,69
0,14,50,68
0,14,55,66
0,15,0,65
0,15,5,64
0,15,10,64
0,15,15,64
0,15,20,64
0,15,25,64
0,15,30,64
0,15,35,63
0,15,40,63
0,15,45,63
0,15,50,63
0,15,55,63
0,16,0,63
0,16,5,63
0,16,10,63
0,16,15,63
0,16,20,63
0,16,25,63
0,16,30,63
0,16,35,63
0,16,40,63
0,16,45,63
0,16,50,63
0,16,55,63
0,17,0,63
0,17,5,62
0,17,10,62
0,17,15,62
0,17,20,62
0,17,25,62
0,17,30,62
0,17,35,61
0,17,40,61
0,17,45,61
0,17,50,61
0,17,55,61
0,18,0,61
0,18,5,61
0,18,10,62
0,18,15,62
0,18,20,63
0,18,25,63
0,18,30,64
0,18,35,65
0,18,40,65
0,18,45,66
0,18,50,66
0,18,55,67
0,19,0,68
0,19,5,68
0,19,10,68
0,19,15,68
0,19,20,69
0,19,25,69
0,19,30,69
0,19,35,69
0,19,40,70
0,19,45,70
0,19,50,70
0,19,55,70
0,20,0,71
0,20,5,71
0,20,10,71
0,20,15,71
0,20,20,71
0,20,25,71
0,20,30,71
0,20,35,71
0,20,40,71
0,20,45,71
0,20,50,71
0,20,55,71
0,21,0,71
0,21,5,70
0,21,10,70
0,21,15,70
0,21,20,70
0,21,25,69
0,21,30,69
0,21,35,69
0,21,40,69
0,21,45,68
0,21,50,68
0,21,55,68
0,22,0,68
0,22,5,66
0,22,10,65
0,22,15,64
0,22,20,62
0,22,25,61
0,22,30,60
0,22,35,58
0,22,40,57
0,22,45,56
0,22,50,54
0,22,55,53
0,23,0,52
0,23,5,51
0,23,10,51
0,23,15,50
0,23,20,50
0,23,25,49
0,23,30,49
0,23,35,48
0,23,40,48
0,23,45,47
0,23,50,47
0,23,55,46
1,0,0,46
1,0,5,43
1,0,10,41
1,0,15,39
1,0,20,37
1,0,25,35
1,0,30,33
1,0,35,31
1,0,40,29
1,0,45,27
1,0,50,25
1,0,55,23
1,1,0,21
1,1,5,20
1,1,10,19
1,1,15,18
1,1,20,17
1,1,25,16
1,1,30,15
1,1,35,14
1,1,40,13
1,1,45,12
1,1,50,11
1,1,55,10
1,2,0,9
1,2,5,8
1,2,10,7
1,2,15,6
1,2,20,6
1,2,25,5
1,2,30,4
1,2,35,3
1,2,40,3
1,2,45,2
1,2,50,1
1,2,55,0
1,3,0,0
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,0
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,1
1,5,10,2
