d,h,m,mem
0,0,0,16
0,0,5,15
0,0,10,14
0,0,15,13
0,0,20,13
0,0,25,12
0,0,30,11
0,0,35,10
0,0,40,10
0,0,45,9
0,0,50,8
0,0,55,7
0,1,0,7
0,1,5,6
0,1,10,6
0,1,15,6
0,1,20,5
0,1,25,5
0,1,30,5
0,1,35,4
0,1,40,4
0,1,45,4
0,1,50,3
0,1,55,3
0,2,0,3
0,2,5,2
0,2,10,2
0,2,15,2
0,2,20,2
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,3
0,5,20,4
0,5,25,4
0,5,30,5
0,5,35,5
0,5,40,6
0,5,45,6
0,5,50,7
0,5,55,7
0,6,0,8
0,6,5,8
0,6,10,8
0,6,15,8
0,6,20,9
0,6,25,9
0,6,30,9
0,6,35,9
0,6,40,10
0,6,45,10
0,6,50,10
0,6,55,10
0,7,0,11
0,7,5,11
0,7,10,11
0,7,15,11
0,7,20,11
0,7,25,11
0,7,30,11
0,7,35,11
0,7,40,11
0,7,45,11
0,7,50,11
0,7,55,11
0,8,0,11
0,8,5,11
0,8,10,11
0,8,15,11
0,8,20,11
0,8,25,11
0,8,30,11
0,8,35,11
0,8,40,11
0,8,45,11
0,8,50,11
0,8,55,11
0,9,0,12
0,9,5,12
0,9,10,12
0,9,15,12
0,9,20,12
0,9,25,12
0,9,30,12
0,9,35,12
0,9,40,12
0,9,45,12
0,9,50,12
0,9,55,12
0,10,0,13
0,10,5,13
0,10,10,13
0,10,15,13
0,10,20,13
0,10,25,13
0,10,30,13
0,10,35,13
0,10,40,13
0,10,45,13
0,10,50,13
0,10,55,13
0,11,0,14
0,11,5,14
0,11,10,14
0,11,15,14
0,11,20,15
0,11,25,15
0,11,30,15
0,11,35,15
0,11,40,16
0,11,45,16
0,11,50,16
0,11,55,16
0,12,0,17
0,12,5,17
0,12,10,17
0,12,15,18
0,12,20,18
0,12,25,19
0,12,30,19
0,12,35,19
0,12,40,20
0,12,45,20
0,12,50,21
0,12,55,21
0,13,0,22
0,13,5,22
0,13,10,23
0,13,15,23
0,13,20,24
0,13,25,24
0,13,30,25
0,13,35,26
0,13,40,26
0,13,45,27
0,13,50,27
0,13,55,28
0,14,0,29
0,14,5,29
0,14,10,29
0,14,15,30
0,14,20,30
0,14,25,31
0,14,30,31
0,14,35,31
0,14,40,32
0,14,45,32
0,14,50,33
0,14,55,33
0,15,0,34
0,15,5,34
0,15,10,34
0,15,15,34
0,15,20,34
0,15,25,34
0,15,30,34
0,15,35,34
0,15,40,34
0,15,45,34
0,15,50,34
0,15,55,34
0,16,0,34
0,16,5,34
0,16,10,34
0,16,15,34
0,16,20,35
0,16,25,35
0,16,30,35
0,16,35,35
0,16,40,36
0,16,45,36
0,16,50,36
0,16,55,36
0,17,0,37
0,17,5,37
0,17,10,37
0,17,15,38
0,17,20,38
0,17,25,38
0,17,30,39
0,17,35,39
0,17,40,39
0,17,45,40
0,17,50,40
0,17,55,40
0,18,0,41
0,18,5,41
0,18,10,41
0,18,15,41
0,18,20,42
0,18,25,42
0,18,30,42
0,18,35,42
0,18,40,43
0,18,45,43
0,18,50,43
0,18,55,43
0,19,0,44
0,19,5,45
0,19,10,47
0,19,15,49
0,19,20,51
0,19,25,52
0,19,30,54
0,19,35,56
0,19,40,58
0,19,45,59
0,19,50,61
0,19,55,63
0,20,0,65
0,20,5,66
0,20,10,67
0,20,15,69
0,20,20,70
0,20,25,71
0,20,30,73
0,20,35,74
0,20,40,75
0,20,45,77
0,20,50,78
0,20,55,79
0,21,0,81
0,21,5,78
0,21,10,75
0,21,15,73
0,21,20,70
0,21,25,68
0,21,30,65
0,21,35,62
0,21,40,60
0,21,45,57
0,21,50,55
0,21,55,52
0,22,0,50
0,22,5,48
0,22,10,47
0,22,15,45
0,22,20,44
0,22,25,42
0,22,30,41
0,22,35,40
0,22,40,38
0,22,45,37
0,22,50,35
0,22,55,34
0,23,0,33
0,23,5,33
0,23,10,34
0,23,15,35
0,23,20,36
0,23,25,37
0,23,30,38
0,23,35,39
0,23,40,40
0,23,45,41
0,23,50,42
0,23,55,43
1,0,0,44
1,0,5,42
1,0,10,40
1,0,15,39
1,0,20,37
1,0,25,36
1,0,30,34
1,0,35,32
1,0,40,31
1,0,45,29
1,0,50,28
1,0,55,26
1,1,0,25
1,1,5,24
1,1,10,23
1,1,15,22
1,1,20,21
1,1,25,20
1,1,30,19
1,1,35,18
1,1,40,17
1,1,45,16
1,1,50,15
1,1,55,14
1,2,0,13
1,2,5,12
1,2,10,11
1,2,15,11
1,2,20,10
1,2,25,9
1,2,30,9
1,2,35,8
1,2,40,7
1,2,45,7
1,2,50,6
1,2,55,5
1,3,0,5
1,3,5,4
1,3,10,4
1,3,15,3
1,3,20,3
1,3,25,2
1,3,30,2
1,3,35,2
1,3,40,1
1,3,45,1
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,1
1,5,15,2
1,5,20,3
1,5,25,4
1,5,30,5
1,5,35,6
1,5,40,7
1,5,45,8
1,5,50,9
1,5,55,10
1,6,0,11
1,6,5,12
1,6,10,13
1,6,15,15
1,6,20,16
1,6,25,17
1,6,30,19
1,6,35,20
1,6,40,21
1,6,45,23
1,6,50,24
1,6,55,25
1,7,0,27
1,7,5,28
1,7,10,29
1,7,15,30
1,7,20,31
1,7,25,32
1,7,30,34
1,7,35,35
1,7,40,36
1,7,45,37
1,7,50,38
1,7,55,39
1,8,0,41
1,8,5,41
1,8,10,42
1,8,15,42
1,8,20,43
1,8,25,43
1,8,30,44
1,8,35,44
1,8,40,45
1,8,45,45
1,8,50,46
1,8,55,46
1,9,0,47
1,9,5,47
1,9,10,47
1,9,15,47
1,9,20,48
1,9,25,48
1,9,30,48
1,9,35,48
1,9,40,49
1,9,45,49
1,9,50,49
1,9,55,49
1,10,0,50
1,10,5,50
1,10,10,50
1,10,15,50
1,10,20,51
1,10,25,51
1,10,30,51
1,10,35,51
1,10,40,52
1,10,45,52
1,10,50,52
1,10,55,52
1,11,0,53
1,11,5,53
1,11,10,53
1,11,15,53
1,11,20,53
1,11,25,53
1,11,30,54
1,11,35,54
1,11,40,54
1,11,45,54
1,11,50,54
1,11,55,54
1,12,0,55
1,12,5,55
1,12,10,55
1,12,15,55
1,12,20,55
1,12,25,55
1,12,30,56
1,12,35,56
1,12,40,56
1,12,45,56
1,12,50,56
1,12,55,56
1,13,0,57
1,13,5,57
1,13,10,57
1,13,15,58
1,13,20,58
1,13,25,58
1,13,30,59
1,13,35,59
1,13,40,59
1,13,45,60
1,13,50,60
1,13,55,60
1,14,0,61
1,14,5,61
1,14,10,61
1,14,15,61
1,14,20,61
1,14,25,61
1,14,30,61
1,14,35,61
1,14,40,61
1,14,45,61
1,14,50,61
1,14,55,61
1,15,0,62
1,15,5,61
1,15,10,61
1,15,15,61
1,15,20,61
1,15,25,61
1,15,30,61
1,15,35,61
1,15,40,61
1,15,45,61
1,15,50,61
1,15,55,61
1,16,0,61
1,16,5,61
1,16,10,61
1,16,15,62
1,16,20,62
1,16,25,63
1,16,30,63
1,16,35,63
1,16,40,64
1,16,45,64
1,16,50,65
1,16,55,65
1,17,0,66
1,17,5,66
1,17,10,67
1,17,15,68
1,17,20,69
1,17,25,69
1,17,30,70
1,17,35,71
1,17,40,72
1,17,45,72
1,17,50,73
1,17,55,74
1,18,0,75
1,18,5,75
1,18,10,76
1,18,15,76
1,18,20,77
1,18,25,77
1,18,30,78
1,18,35,79
1,18,40,79
1,18,45,80
1,18,50,80
1,18,55,81
1,19,0,82
1,19,5,82
1,19,10,82
1,19,15,83
1,19,20,83
1,19,25,84
1,19,30,84
1,19,35,84
1,19,40,85
1,19,45,85
1,19,50,86
1,19,55,86
1,20,0,87
1,20,5,86
1,20,10,86
1,20,15,86
1,20,20,86
1,20,25,86
1,20,30,86
1,20,35,86
1,20,40,86
1,20,45,86
1,20,50,86
1,20,55,86
1,21,0,86
1,21,5,85
1,21,10,84
1,21,15,84
1,21,20,83
1,21,25,82
1,21,30,82
1,21,35,81
1,21,40,80
1,21,45,80
1,21,50,79
1,21,55,78
1,22,0,78
1,22,5,76
1,22,10,75
1,22,15,74
1,22,20,73
1,22,25,72
1,22,30,71
1,22,35,69
1,22,40,68
1,22,45,67
1,22,50,66
1,22,55,65
1,23,0,64
1,23,5,62
