d,h,m,mem
0,0,0,13
0,0,5,12
0,0,10,11
0,0,15,11
0,0,20,10
0,0,25,9
0,0,30,9
0,0,35,8
0,0,40,7
0,0,45,7
0,0,50,6
0,0,55,5
0,1,0,5
0,1,5,4
0,1,10,4
0,1,15,4
0,1,20,3
0,1,25,3
0,1,30,3
0,1,35,2
0,1,40,2
0,1,45,2
0,1,50,1
0,1,55,1
0,2,0,1
0,2,5,0
0,2,10,0
0,2,15,0
0,2,20,0
0,2,25,0
0,2,30,0
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,2
0,3,45,2
0,3,50,2
0,3,55,2
0,4,0,3
0,4,5,3
0,4,10,4
0,4,15,5
0,4,20,6
0,4,25,7
0,4,30,8
0,4,35,8
0,4,40,9
0,4,45,10
0,4,50,11
0,4,55,12
0,5,0,13
0,5,5,14
0,5,10,15
0,5,15,17
0,5,20,18
0,5,25,19
0,5,30,21
0,5,35,22
0,5,40,23
0,5,45,25
0,5,50,26
0,5,55,27
0,6,0,29
0,6,5,30
0,6,10,32
0,6,15,34
0,6,20,36
0,6,25,38
0,6,30,40
0,6,35,41
0,6,40,43
0,6,45,45
0,6,50,47
0,6,55,49
0,7,0,51
0,7,5,52
0,7,10,54
0,7,15,56
0,7,20,58
0,7,25,60
0,7,30,62
0,7,35,63
0,7,40,65
0,7,45,67
0,7,50,69
0,7,55,71
0,8,0,73
0,8,5,74
0,8,10,75
0,8,15,76
0,8,20,78
0,8,25,79
0,8,30,80
0,8,35,81
0,8,40,83
0,8,45,84
0,8,50,85
0,8,55,86
0,9,0,88
0,9,5,88
0,9,10,89
0,9,15,90
0,9,20,90
0,9,25,91
0,9,30,92
0,9,35,92
0,9,40,93
0,9,45,94
0,9,50,94
0,9,55,95
0,10,0,96
0,10,5,96
0,10,10,96
0,10,15,96
0,10,20,96
0,10,25,96
0,10,30,96
0,10,35,96
0,10,40,96
0,10,45,96
0,10,50,96
0,10,55,96
0,11,0,96
0,11,5,95
0,11,10,95
0,11,15,94
0,11,20,94
0,11,25,93
