d,h,m,mem
0,0,0,24
0,0,5,23
0,0,10,22
0,0,15,21
0,0,20,21
0,0,25,20
0,0,30,19
0,0,35,18
0,0,40,18
0,0,45,17
0,0,50,16
0,0,55,15
0,1,0,15
0,1,5,14
0,1,10,14
0,1,15,13
0,1,20,13
0,1,25,12
0,1,30,12
0,1,35,11
0,1,40,11
0,1,45,10
0,1,50,10
0,1,55,9
0,2,0,9
0,2,5,8
0,2,10,7
0,2,15,7
0,2,20,6
0,2,25,5
0,2,30,5
0,2,35,4
0,2,40,3
0,2,45,3
0,2,50,2
0,2,55,1
0,3,0,1
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,1
0,4,35,1
0,4,40,1
0,4,45,1
0,4,50,1
0,4,55,1
0,5,0,2
0,5,5,2
0,5,10,3
0,5,15,4
0,5,20,4
0,5,25,5
0,5,30,6
0,5,35,6
0,5,40,7
0,5,45,8
0,5,50,8
0,5,55,9
0,6,0,10
0,6,5,11
0,6,10,12
0,6,15,13
0,6,20,15
0,6,25,16
0,6,30,17
0,6,35,18
0,6,40,20
0,6,45,21
0,6,50,22
0,6,55,23
0,7,0,25
0,7,5,26
0,7,10,27
0,7,15,29
0,7,20,30
0,7,25,31
0,7,30,33
0,7,35,34
0,7,40,35
0,7,45,37
0,7,50,38
0,7,55,39
0,8,0,41
0,8,5,42
0,8,10,43
0,8,15,44
0,8,20,45
0,8,25,46
0,8,30,47
0,8,35,48
0,8,40,49
0,8,45,50
0,8,50,51
0,8,55,52
0,9,0,53
0,9,5,53
0,9,10,54
0,9,15,55
0,9,20,56
0,9,25,56
0,9,30,57
0,9,35,58
0,9,40,59
0,9,45,59
0,9,50,60
0,9,55,61
0,10,0,62
0,10,5,62
0,10,10,62
0,10,15,63
0,10,20,63
0,10,25,63
0,10,30,64
0,10,35,64
0,10,40,64
0,10,45,65
0,10,50,65
0,10,55,65
0,11,0,66
0,11,5,66
0,11,10,66
0,11,15,66
0,11,20,66
0,11,25,66
0,11,30,66
0,11,35,66
0,11,40,66
0,11,45,66
0,11,50,66
