d,h,m,mem
0,0,0,45
0,0,5,43
0,0,10,42
0,0,15,40
0,0,20,39
0,0,25,37
0,0,30,36
0,0,35,34
0,0,40,33
0,0,45,31
0,0,50,30
0,0,55,28
0,1,0,27
0,1,5,25
0,1,10,24
0,1,15,23
0,1,20,22
0,1,25,21
0,1,30,20
0,1,35,19
0,1,40,18
0,1,45,17
0,1,50,16
0,1,55,15
0,2,0,14
0,2,5,13
0,2,10,12
0,2,15,12
0,2,20,11
0,2,25,11
0,2,30,10
0,2,35,9
0,2,40,9
0,2,45,8
0,2,50,8
0,2,55,7
0,3,0,7
0,3,5,6
0,3,10,6
0,3,15,5
0,3,20,5
0,3,25,4
0,3,30,4
0,3,35,4
0,3,40,3
0,3,45,3
0,3,50,2
0,3,55,2
0,4,0,2
0,4,5,1
0,4,10,1
0,4,15,1
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,1
0,5,20,2
0,5,25,2
0,5,30,3
0,5,35,3
0,5,40,4
0,5,45,4
0,5,50,5
0,5,55,5
0,6,0,6
0,6,5,7
0,6,10,8
0,6,15,9
0,6,20,10
0,6,25,11
0,6,30,12
0,6,35,13
0,6,40,14
0,6,45,15
0,6,50,16
0,6,55,17
0,7,0,19
0,7,5,20
0,7,10,21
0,7,15,22
0,7,20,24
0,7,25,25
0,7,30,26
0,7,35,27
0,7,40,29
0,7,45,30
0,7,50,31
0,7,55,32
0,8,0,34
0,8,5,35
0,8,10,36
0,8,15,37
0,8,20,38
0,8,25,39
0,8,30,40
0,8,35,41
0,8,40,42
0,8,45,43
0,8,50,44
0,8,55,45
0,9,0,46
0,9,5,46
0,9,10,47
0,9,15,47
0,9,20,48
0,9,25,48
0,9,30,49
0,9,35,50
0,9,40,50
0,9,45,51
0,9,50,51
0,9,55,52
0,10,0,53
0,10,5,53
0,10,10,53
0,10,15,53
0,10,20,53
0,10,25,53
0,10,30,54
0,10,35,54
0,10,40,54
0,10,45,54
0,10,50,54
0,10,55,54
0,11,0,55
0,11,5,55
0,11,10,55
0,11,15,55
0,11,20,56
0,11,25,56
0,11,30,56
0,11,35,56
0,11,40,57
0,11,45,57
0,11,50,57
0,11,55,57
0,12,0,58
0,12,5,57
0,12,10,57
0,12,15,57
0,12,20,57
0,12,25,57
0,12,30,57
0,12,35,57
0,12,40,57
0,12,45,57
0,12,50,57
0,12,55,57
0,13,0,57
0,13,5,56
0,13,10,56
0,13,15,56
0,13,20,56
0,13,25,56
0,13,30,56
0,13,35,56
0,13,40,56
0,13,45,56
0,13,50,56
0,13,55,56
0,14,0,56
0,14,5,55
0,14,10,55
0,14,15,55
0,14,20,55
0,14,25,55
0,14,30,55
0,14,35,54
0,14,40,54
0,14,45,54
0,14,50,54
0,14,55,54
0,15,0,54
0,15,5,54
0,15,10,54
0,15,15,54
0,15,20,54
0,15,25,54
0,15,30,54
0,15,35,54
0,15,40,54
0,15,45,54
0,15,50,54
0,15,55,54
0,16,0,55
0,16,5,55
0,16,10,55
0,16,15,55
0,16,20,56
0,16,25,56
0,16,30,56
0,16,35,56
0,16,40,57
0,16,45,57
0,16,50,57
0,16,55,57
0,17,0,58
