d,h,m,mem
0,0,0,46
0,0,5,44
0,0,10,42
0,0,15,41
0,0,20,39
0,0,25,38
0,0,30,36
0,0,35,34
0,0,40,33
0,0,45,31
0,0,50,30
0,0,55,28
0,1,0,27
0,1,5,25
0,1,10,24
0,1,15,23
0,1,20,21
0,1,25,20
0,1,30,19
0,1,35,17
0,1,40,16
0,1,45,15
0,1,50,13
0,1,55,12
0,2,0,11
0,2,5,10
0,2,10,9
0,2,15,9
0,2,20,8
0,2,25,7
0,2,30,7
0,2,35,6
0,2,40,5
0,2,45,5
0,2,50,4
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,1
0,4,15,2
0,4,20,2
0,4,25,3
0,4,30,4
0,4,35,4
0,4,40,5
0,4,45,6
0,4,50,6
0,4,55,7
0,5,0,8
0,5,5,9
0,5,10,11
0,5,15,12
0,5,20,14
0,5,25,15
0,5,30,17
0,5,35,18
0,5,40,20
0,5,45,21
0,5,50,23
0,5,55,24
0,6,0,26
0,6,5,27
0,6,10,28
0,6,15,29
0,6,20,30
0,6,25,31
0,6,30,32
0,6,35,33
0,6,40,34
0,6,45,35
0,6,50,36
0,6,55,37
0,7,0,39
0,7,5,39
0,7,10,40
0,7,15,41
0,7,20,42
0,7,25,43
0,7,30,44
0,7,35,45
0,7,40,46
0,7,45,47
0,7,50,48
0,7,55,49
0,8,0,50
0,8,5,50
0,8,10,51
0,8,15,51
0,8,20,52
0,8,25,52
0,8,30,53
0,8,35,54
0,8,40,54
0,8,45,55
0,8,50,55
0,8,55,56
0,9,0,57
0,9,5,57
0,9,10,57
0,9,15,57
0,9,20,57
0,9,25,57
0,9,30,57
0,9,35,57
0,9,40,57
0,9,45,57
0,9,50,57
0,9,55,57
0,10,0,57
0,10,5,56
0,10,10,56
0,10,15,56
0,10,20,56
0,10,25,56
0,10,30,56
0,10,35,56
0,10,40,56
0,10,45,56
0,10,50,56
0,10,55,56
0,11,0,56
0,11,5,56
0,11,10,56
0,11,15,56
0,11,20,56
0,11,25,56
0,11,30,56
0,11,35,56
0,11,40,56
0,11,45,56
0,11,50,56
0,11,55,56
0,12,0,57
0,12,5,57
0,12,10,57
0,12,15,57
0,12,20,57
0,12,25,57
0,12,30,58
0,12,35,58
0,12,40,58
0,12,45,58
0,12,50,58
0,12,55,58
0,13,0,59
0,13,5,58
0,13,10,58
0,13,15,58
0,13,20,58
0,13,25,58
0,13,30,58
0,13,35,58
0,13,40,58
0,13,45,58
0,13,50,58
0,13,55,58
0,14,0,58
0,14,5,57
0,14,10,57
0,14,15,57
0,14,20,57
0,14,25,57
0,14,30,57
0,14,35,57
0,14,40,57
0,14,45,57
0,14,50,57
0,14,55,57
0,15,0,57
0,15,5,57
0,15,10,57
0,15,15,57
0,15,20,57
0,15,25,57
0,15,30,57
0,15,35,57
0,15,40,57
0,15,45,57
0,15,50,57
0,15,55,57
0,16,0,58
0,16,5,58
0,16,10,58
0,16,15,59
0,16,20,59
0,16,25,59
0,16,30,60
0,16,35,60
0,16,40,60
0,16,45,61
0,16,50,61
0,16,55,61
0,17,0,62
0,17,5,62
0,17,10,62
0,17,15,63
0,17,20,63
0,17,25,63
0,17,30,64
0,17,35,64
0,17,40,64
0,17,45,65
0,17,50,65
0,17,55,65
0,18,0,66
0,18,5,66
0,18,10,66
0,18,15,67
0,18,20,67
0,18,25,67
0,18,30,68
0,18,35,68
0,18,40,68
0,18,45,69
0,18,50,69
0,18,55,69
0,19,0,70
0,19,5,70
0,19,10,70
0,19,15,70
0,19,20,70
0,19,25,70
0,19,30,70
0,19,35,70
0,19,40,70
0,19,45,70
0,19,50,70
0,19,55,70
0,20,0,70
0,20,5,70
0,20,10,70
0,20,15,70
0,20,20,70
0,20,25,70
0,20,30,70
0,20,35,70
0,20,40,70
0,20,45,70
0,20,50,70
0,20,55,70
0,21,0,71
0,21,5,70
0,21,10,70
0,21,15,70
0,21,20,70
0,21,25,70
0,21,30,70
0,21,35,69
0,21,40,69
0,21,45,69
0,21,50,69
0,21,55,69
0,22,0,69
0,22,5,68
0,22,10,67
0,22,15,66
0,22,20,65
0,22,25,64
0,22,30,63
0,22,35,62
0,22,40,61
0,22,45,60
0,22,50,59
0,22,55,58
0,23,0,58
0,23,5,58
0,23,10,58
0,23,15,58
0,23,20,58
0,23,25,58
0,23,30,58
0,23,35,58
0,23,40,58
0,23,45,58
0,23,50,58
0,23,55,58
1,0,0,58
1,0,5,56
1,0,10,55
1,0,15,54
1,0,20,52
1,0,25,51
1,0,30,50
1,0,35,48
1,0,40,47
1,0,45,46
1,0,50,44
1,0,55,43
1,1,0,42
1,1,5,40
1,1,10,38
1,1,15,37
1,1,20,35
1,1,25,33
1,1,30,32
1,1,35,30
1,1,40,28
1,1,45,27
1,1,50,25
1,1,55,23
1,2,0,22
1,2,5,20
1,2,10,19
1,2,15,18
1,2,20,17
1,2,25,16
1,2,30,15
1,2,35,14
1,2,40,13
1,2,45,12
1,2,50,11
1,2,55,10
1,3,0,9
1,3,5,8
1,3,10,7
1,3,15,6
1,3,20,6
1,3,25,5
1,3,30,4
1,3,35,3
1,3,40,3
1,3,45,2
1,3,50,1
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,1
1,4,25,1
1,4,30,1
1,4,35,1
1,4,40,2
1,4,45,2
1,4,50,2
1,4,55,2
1,5,0,3
1,5,5,4
1,5,10,5
1,5,15,6
1,5,20,7
1,5,25,8
1,5,30,9
1,5,35,10
1,5,40,11
1,5,45,12
1,5,50,13
1,5,55,14
1,6,0,16
1,6,5,18
1,6,10,20
1,6,15,22
1,6,20,24
1,6,25,26
1,6,30,28
1,6,35,30
1,6,40,32
1,6,45,34
1,6,50,36
1,6,55,38
1,7,0,40
1,7,5,41
1,7,10,43
1,7,15,44
1,7,20,46
1,7,25,47
1,7,30,49
1,7,35,50
1,7,40,52
1,7,45,53
1,7,50,55
1,7,55,56
1,8,0,58
1,8,5,58
1,8,10,59
1,8,15,60
1,8,20,61
1,8,25,61
1,8,30,62
1,8,35,63
1,8,40,64
1,8,45,64
1,8,50,65
1,8,55,66
1,9,0,67
1,9,5,67
1,9,10,68
1,9,15,68
1,9,20,69
1,9,25,69
1,9,30,70
1,9,35,70
1,9,40,71
1,9,45,71
1,9,50,72
1,9,55,72
1,10,0,73
1,10,5,73
1,10,10,73
1,10,15,73
1,10,20,73
1,10,25,73
1,10,30,74
1,10,35,74
1,10,40,74
1,10,45,74
1,10,50,74
1,10,55,74
1,11,0,75
1,11,5,75
1,11,10,75
1,11,15,75
1,11,20,76
1,11,25,76
1,11,30,76
1,11,35,76
1,11,40,77
1,11,45,77
1,11,50,77
1,11,55,77
1,12,0,78
1,12,5,78
1,12,10,78
1,12,15,78
1,12,20,78
1,12,25,78
1,12,30,78
1,12,35,78
1,12,40,78
1,12,45,78
1,12,50,78
1,12,55,78
1,13,0,79
1,13,5,79
1,13,10,79
1,13,15,79
1,13,20,79
1,13,25,79
1,13,30,79
1,13,35,79
1,13,40,79
1,13,45,79
1,13,50,79
1,13,55,79
1,14,0,80
1,14,5,80
1,14,10,81
1,14,15,82
1,14,20,82
1,14,25,83
1,14,30,84
1,14,35,84
1,14,40,85
1,14,45,86
1,14,50,86
1,14,55,87
1,15,0,88
1,15,5,88
1,15,10,88
1,15,15,88
1,15,20,88
1,15,25,88
1,15,30,88
1,15,35,88
1,15,40,88
1,15,45,88
1,15,50,88
1,15,55,88
1,16,0,89
1,16,5,89
1,16,10,89
1,16,15,90
1,16,20,90
1,16,25,91
1,16,30,91
1,16,35,91
1,16,40,92
1,16,45,92
1,16,50,93
1,16,55,93
1,17,0,94
1,17,5,94
1,17,10,94
1,17,15,94
1,17,20,95
1,17,25,95
1,17,30,95
1,17,35,95
1,17,40,96
1,17,45,96
1,17,50,96
1,17,55,96
1,18,0,97
1,18,5,97
1,18,10,97
1,18,15,97
1,18,20,97
1,18,25,97
1,18,30,97
1,18,35,97
1,18,40,97
1,18,45,97
1,18,50,97
1,18,55,97
1,19,0,98
1,19,5,97
1,19,10,97
1,19,15,97
1,19,20,97
1,19,25,97
1,19,30,97
1,19,35,96
1,19,40,96
1,19,45,96
1,19,50,96
1,19,55,96
1,20,0,96
1,20,5,95
1,20,10,94
1,20,15,94
1,20,20,93
1,20,25,93
1,20,30,92
1,20,35,91
1,20,40,91
1,20,45,90
1,20,50,90
1,20,55,89
1,21,0,89
1,21,5,88
1,21,10,87
1,21,15,86
1,21,20,85
1,21,25,84
1,21,30,83
1,21,35,82
1,21,40,81
1,21,45,80
1,21,50,79
1,21,55,78
1,22,0,77
1,22,5,75
1,22,10,74
1,22,15,73
1,22,20,71
1,22,25,70
1,22,30,69
1,22,35,67
1,22,40,66
1,22,45,65
1,22,50,63
1,22,55,62
1,23,0,61
1,23,5,59
1,23,10,57
1,23,15,55
1,23,20,54
1,23,25,52
1,23,30,50
1,23,35,48
1,23,40,47
1,23,45,45
1,23,50,43
1,23,55,41
2,0,0,40
2,0,5,38
2,0,10,36
2,0,15,35
2,0,20,33
2,0,25,31
2,0,30,30
2,0,35,28
2,0,40,26
2,0,45,25
2,0,50,23
2,0,55,21
2,1,0,20
2,1,5,18
2,1,10,17
2,1,15,16
2,1,20,15
2,1,25,14
2,1,30,13
2,1,35,12
2,1,40,11
2,1,45,10
2,1,50,9
2,1,55,8
2,2,0,7
2,2,5,6
2,2,10,5
2,2,15,5
2,2,20,4
2,2,25,4
2,2,30,3
2,2,35,2
2,2,40,2
2,2,45,1
2,2,50,1
2,2,55,0
2,3,0,0
2,3,5,0
2,3,10,0
2,3,15,0
2,3,20,0
2,3,25,0
2,3,30,0
2,3,35,0
2,3,40,0
2,3,45,0
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,1
2,4,15,1
2,4,20,2
2,4,25,2
2,4,30,3
2,4,35,3
2,4,40,4
2,4,45,4
2,4,50,5
2,4,55,5
2,5,0,6
2,5,5,7
2,5,10,8
2,5,15,10
2,5,20,11
2,5,25,13
2,5,30,14
2,5,35,15
2,5,40,17
2,5,45,18
2,5,50,20
2,5,55,21
2,6,0,23
2,6,5,24
2,6,10,26
2,6,15,28
2,6,20,30
2,6,25,32
