d,h,m,mem
0,0,0,13
0,0,5,12
0,0,10,11
0,0,15,11
0,0,20,10
0,0,25,10
0,0,30,9
0,0,35,8
0,0,40,8
0,0,45,7
0,0,50,7
0,0,55,6
0,1,0,6
0,1,5,5
0,1,10,5
0,1,15,5
0,1,20,5
0,1,25,4
0,1,30,4
0,1,35,4
0,1,40,4
0,1,45,3
0,1,50,3
0,1,55,3
0,2,0,3
0,2,5,2
0,2,10,2
0,2,15,2
0,2,20,2
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,1
0,5,5,1
0,5,10,1
0,5,15,2
0,5,20,2
0,5,25,3
0,5,30,3
0,5,35,3
0,5,40,4
0,5,45,4
0,5,50,5
0,5,55,5
0,6,0,6
0,6,5,6
0,6,10,6
0,6,15,7
0,6,20,7
0,6,25,7
0,6,30,8
0,6,35,8
0,6,40,8
0,6,45,9
0,6,50,9
0,6,55,9
0,7,0,10
0,7,5,10
0,7,10,10
0,7,15,10
0,7,20,10
0,7,25,10
0,7,30,11
0,7,35,11
0,7,40,11
0,7,45,11
0,7,50,11
0,7,55,11
0,8,0,12
0,8,5,12
0,8,10,12
0,8,15,12
0,8,20,12
0,8,25,12
0,8,30,12
0,8,35,12
0,8,40,12
0,8,45,12
0,8,50,12
0,8,55,12
0,9,0,12
0,9,5,12
0,9,10,12
0,9,15,12
0,9,20,12
0,9,25,12
0,9,30,12
0,9,35,12
0,9,40,12
0,9,45,12
0,9,50,12
0,9,55,12
0,10,0,12
0,10,5,12
0,10,10,12
0,10,15,12
0,10,20,12
0,10,25,12
0,10,30,12
0,10,35,12
0,10,40,12
0,10,45,12
0,10,50,12
0,10,55,12
0,11,0,13
0,11,5,13
0,11,10,13
0,11,15,13
0,11,20,13
0,11,25,13
