d,h,m,mem
0,0,0,42
0,0,5,40
0,0,10,38
0,0,15,36
0,0,20,34
0,0,25,32
0,0,30,30
0,0,35,28
0,0,40,26
0,0,45,24
0,0,50,22
0,0,55,20
0,1,0,19
0,1,5,18
0,1,10,17
0,1,15,16
0,1,20,15
0,1,25,14
0,1,30,13
0,1,35,12
0,1,40,11
0,1,45,10
0,1,50,9
0,1,55,8
0,2,0,8
0,2,5,7
0,2,10,6
0,2,15,6
0,2,20,5
0,2,25,4
0,2,30,4
0,2,35,3
0,2,40,2
0,2,45,2
0,2,50,1
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,1
0,5,10,2
0,5,15,3
0,5,20,4
0,5,25,5
0,5,30,7
0,5,35,8
0,5,40,9
0,5,45,10
0,5,50,11
0,5,55,12
0,6,0,14
0,6,5,15
0,6,10,16
0,6,15,18
0,6,20,19
0,6,25,20
0,6,30,22
0,6,35,23
0,6,40,24
0,6,45,26
0,6,50,27
0,6,55,28
0,7,0,30
0,7,5,31
0,7,10,33
0,7,15,35
0,7,20,36
0,7,25,38
0,7,30,40
0,7,35,41
0,7,40,43
0,7,45,45
0,7,50,46
0,7,55,48
0,8,0,50
0,8,5,51
0,8,10,52
0,8,15,54
0,8,20,55
0,8,25,56
0,8,30,58
0,8,35,59
0,8,40,60
0,8,45,62
0,8,50,63
0,8,55,64
0,9,0,66
0,9,5,66
0,9,10,67
0,9,15,68
0,9,20,68
0,9,25,69
0,9,30,70
0,9,35,70
0,9,40,71
0,9,45,72
0,9,50,72
0,9,55,73
0,10,0,74
0,10,5,74
0,10,10,74
0,10,15,74
0,10,20,74
0,10,25,74
0,10,30,74
0,10,35,74
0,10,40,74
0,10,45,74
0,10,50,74
0,10,55,74
0,11,0,74
0,11,5,73
0,11,10,73
0,11,15,72
0,11,20,72
0,11,25,71
0,11,30,71
0,11,35,71
0,11,40,70
0,11,45,70
0,11,50,69
0,11,55,69
0,12,0,69
0,12,5,69
0,12,10,69
0,12,15,69
0,12,20,70
0,12,25,70
0,12,30,70
0,12,35,70
0,12,40,71
0,12,45,71
0,12,50,71
0,12,55,71
0,13,0,72
0,13,5,71
0,13,10,71
0,13,15,71
0,13,20,70
0,13,25,70
0,13,30,70
0,13,35,69
0,13,40,69
0,13,45,69
0,13,50,68
0,13,55,68
0,14,0,68
0,14,5,67
0,14,10,67
0,14,15,66
0,14,20,66
0,14,25,65
0,14,30,65
0,14,35,64
0,14,40,64
0,14,45,63
0,14,50,63
0,14,55,62
0,15,0,62
0,15,5,62
0,15,10,62
0,15,15,62
0,15,20,62
0,15,25,62
0,15,30,63
0,15,35,63
0,15,40,63
0,15,45,63
0,15,50,63
0,15,55,63
0,16,0,64
0,16,5,64
0,16,10,65
0,16,15,65
0,16,20,66
0,16,25,66
0,16,30,67
0,16,35,67
0,16,40,68
0,16,45,68
0,16,50,69
0,16,55,69
0,17,0,70
0,17,5,70
0,17,10,71
0,17,15,71
0,17,20,72
0,17,25,72
0,17,30,73
0,17,35,73
0,17,40,74
0,17,45,74
0,17,50,75
0,17,55,75
0,18,0,76
0,18,5,76
0,18,10,77
0,18,15,77
0,18,20,78
0,18,25,78
0,18,30,79
0,18,35,79
0,18,40,80
0,18,45,80
0,18,50,81
0,18,55,81
0,19,0,82
0,19,5,82
0,19,10,83
0,19,15,84
0,19,20,84
0,19,25,85
0,19,30,86
0,19,35,86
0,19,40,87
0,19,45,88
0,19,50,88
0,19,55,89
0,20,0,90
0,20,5,90
0,20,10,90
0,20,15,90
0,20,20,90
0,20,25,90
0,20,30,90
0,20,35,90
0,20,40,90
0,20,45,90
0,20,50,90
0,20,55,90
0,21,0,91
0,21,5,90
0,21,10,90
0,21,15,89
0,21,20,89
0,21,25,88
0,21,30,88
0,21,35,87
0,21,40,87
0,21,45,86
0,21,50,86
0,21,55,85
0,22,0,85
0,22,5,83
0,22,10,82
0,22,15,81
0,22,20,80
0,22,25,79
0,22,30,78
0,22,35,77
0,22,40,76
0,22,45,75
0,22,50,74
0,22,55,73
0,23,0,72
0,23,5,70
0,23,10,68
0,23,15,66
0,23,20,65
0,23,25,63
0,23,30,61
0,23,35,59
0,23,40,58
0,23,45,56
0,23,50,54
0,23,55,52
1,0,0,51
1,0,5,49
1,0,10,47
1,0,15,45
1,0,20,43
1,0,25,41
1,0,30,40
1,0,35,38
1,0,40,36
1,0,45,34
1,0,50,32
1,0,55,30
1,1,0,29
1,1,5,27
1,1,10,26
1,1,15,25
1,1,20,23
1,1,25,22
1,1,30,21
1,1,35,19
1,1,40,18
1,1,45,17
1,1,50,15
1,1,55,14
1,2,0,13
1,2,5,12
1,2,10,11
1,2,15,10
1,2,20,9
1,2,25,8
1,2,30,8
1,2,35,7
1,2,40,6
1,2,45,5
1,2,50,4
1,2,55,3
1,3,0,3
1,3,5,2
1,3,10,2
1,3,15,2
1,3,20,2
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,1
1,4,25,1
1,4,30,1
1,4,35,1
1,4,40,2
1,4,45,2
1,4,50,2
1,4,55,2
1,5,0,3
1,5,5,4
1,5,10,5
1,5,15,6
1,5,20,7
1,5,25,8
1,5,30,10
1,5,35,11
1,5,40,12
1,5,45,13
1,5,50,14
1,5,55,15
1,6,0,17
1,6,5,19
1,6,10,21
1,6,15,23
1,6,20,25
1,6,25,27
1,6,30,29
1,6,35,31
1,6,40,33
1,6,45,35
1,6,50,37
1,6,55,39
1,7,0,41
1,7,5,41
1,7,10,42
1,7,15,42
1,7,20,43
1,7,25,43
1,7,30,44
1,7,35,44
1,7,40,45
1,7,45,45
1,7,50,46
1,7,55,46
1,8,0,47
1,8,5,46
1,8,10,46
1,8,15,46
1,8,20,46
1,8,25,46
1,8,30,46
1,8,35,45
1,8,40,45
1,8,45,45
1,8,50,45
1,8,55,45
1,9,0,45
1,9,5,44
1,9,10,44
1,9,15,44
1,9,20,44
1,9,25,44
1,9,30,44
1,9,35,44
1,9,40,44
1,9,45,44
1,9,50,44
1,9,55,44
1,10,0,44
1,10,5,44
1,10,10,44
1,10,15,44
1,10,20,44
1,10,25,44
1,10,30,44
1,10,35,44
1,10,40,44
1,10,45,44
1,10,50,44
1,10,55,44
1,11,0,45
1,11,5,46
1,11,10,48
1,11,15,49
1,11,20,51
1,11,25,52
1,11,30,54
1,11,35,55
1,11,40,57
1,11,45,58
1,11,50,60
1,11,55,61
1,12,0,63
1,12,5,63
1,12,10,64
1,12,15,64
1,12,20,65
1,12,25,65
1,12,30,66
1,12,35,66
1,12,40,67
1,12,45,67
1,12,50,68
1,12,55,68
1,13,0,69
1,13,5,68
1,13,10,68
1,13,15,67
1,13,20,67
1,13,25,66
1,13,30,66
1,13,35,66
1,13,40,65
1,13,45,65
1,13,50,64
1,13,55,64
1,14,0,64
1,14,5,63
1,14,10,62
1,14,15,61
1,14,20,61
1,14,25,60
1,14,30,59
1,14,35,58
1,14,40,58
1,14,45,57
1,14,50,56
1,14,55,55
1,15,0,55
1,15,5,54
