d,h,m,mem
0,0,0,44
0,0,5,42
0,0,10,41
0,0,15,40
0,0,20,39
0,0,25,38
0,0,30,37
0,0,35,35
0,0,40,34
0,0,45,33
0,0,50,32
0,0,55,31
0,1,0,30
0,1,5,28
0,1,10,27
0,1,15,26
0,1,20,25
0,1,25,24
0,1,30,23
0,1,35,21
0,1,40,20
0,1,45,19
0,1,50,18
0,1,55,17
0,2,0,16
0,2,5,15
0,2,10,14
0,2,15,13
0,2,20,12
0,2,25,11
0,2,30,11
0,2,35,10
0,2,40,9
0,2,45,8
0,2,50,7
0,2,55,6
0,3,0,6
0,3,5,5
0,3,10,5
0,3,15,4
0,3,20,4
0,3,25,3
0,3,30,3
0,3,35,3
0,3,40,2
0,3,45,2
0,3,50,1
0,3,55,1
0,4,0,1
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,1
0,5,20,2
0,5,25,2
0,5,30,3
0,5,35,3
0,5,40,4
0,5,45,4
0,5,50,5
0,5,55,5
0,6,0,6
0,6,5,6
0,6,10,7
0,6,15,8
0,6,20,9
0,6,25,9
0,6,30,10
0,6,35,11
0,6,40,12
0,6,45,12
0,6,50,13
0,6,55,14
0,7,0,15
0,7,5,15
0,7,10,16
0,7,15,17
0,7,20,18
0,7,25,19
0,7,30,20
0,7,35,21
0,7,40,22
0,7,45,23
0,7,50,24
0,7,55,25
0,8,0,26
0,8,5,26
0,8,10,27
0,8,15,28
0,8,20,29
0,8,25,30
0,8,30,31
0,8,35,32
0,8,40,33
0,8,45,34
0,8,50,35
0,8,55,36
0,9,0,37
0,9,5,37
0,9,10,38
0,9,15,38
0,9,20,39
0,9,25,39
0,9,30,40
0,9,35,40
0,9,40,41
0,9,45,41
0,9,50,42
0,9,55,42
0,10,0,43
0,10,5,43
0,10,10,43
0,10,15,43
0,10,20,43
0,10,25,43
0,10,30,44
0,10,35,44
0,10,40,44
0,10,45,44
0,10,50,44
0,10,55,44
0,11,0,45
0,11,5,45
0,11,10,45
0,11,15,45
0,11,20,46
0,11,25,46
0,11,30,46
0,11,35,46
0,11,40,47
0,11,45,47
0,11,50,47
0,11,55,47
0,12,0,48
0,12,5,48
0,12,10,48
0,12,15,49
0,12,20,49
0,12,25,49
0,12,30,50
0,12,35,50
0,12,40,50
0,12,45,51
0,12,50,51
0,12,55,51
0,13,0,52
0,13,5,51
0,13,10,51
0,13,15,51
0,13,20,51
0,13,25,51
0,13,30,51
0,13,35,51
0,13,40,51
0,13,45,51
0,13,50,51
0,13,55,51
0,14,0,51
0,14,5,50
0,14,10,50
0,14,15,50
0,14,20,50
0,14,25,49
0,14,30,49
0,14,35,49
0,14,40,49
0,14,45,48
0,14,50,48
0,14,55,48
0,15,0,48
0,15,5,48
0,15,10,48
0,15,15,48
0,15,20,48
0,15,25,48
0,15,30,48
0,15,35,48
0,15,40,48
0,15,45,48
0,15,50,48
0,15,55,48
0,16,0,49
0,16,5,49
0,16,10,50
0,16,15,50
0,16,20,51
0,16,25,51
0,16,30,52
0,16,35,52
0,16,40,53
0,16,45,53
0,16,50,54
0,16,55,54
0,17,0,55
0,17,5,55
0,17,10,56
0,17,15,57
0,17,20,57
0,17,25,58
0,17,30,59
0,17,35,59
0,17,40,60
0,17,45,61
0,17,50,61
0,17,55,62
0,18,0,63
0,18,5,63
0,18,10,63
0,18,15,64
0,18,20,64
0,18,25,65
0,18,30,65
0,18,35,65
0,18,40,66
0,18,45,66
0,18,50,67
0,18,55,67
0,19,0,68
0,19,5,68
0,19,10,68
0,19,15,69
0,19,20,69
0,19,25,69
0,19,30,70
0,19,35,70
0,19,40,70
0,19,45,71
0,19,50,71
0,19,55,71
0,20,0,72
0,20,5,71
0,20,10,71
0,20,15,71
0,20,20,71
0,20,25,71
0,20,30,71
0,20,35,71
0,20,40,71
0,20,45,71
0,20,50,71
0,20,55,71
0,21,0,71
0,21,5,70
0,21,10,70
0,21,15,69
0,21,20,69
0,21,25,68
0,21,30,68
0,21,35,68
0,21,40,67
0,21,45,67
0,21,50,66
0,21,55,66
0,22,0,66
0,22,5,65
0,22,10,64
0,22,15,63
0,22,20,62
0,22,25,61
0,22,30,60
0,22,35,59
0,22,40,58
0,22,45,57
0,22,50,56
0,22,55,55
0,23,0,55
0,23,5,53
0,23,10,52
0,23,15,50
0,23,20,49
0,23,25,47
0,23,30,46
0,23,35,45
0,23,40,43
0,23,45,42
0,23,50,40
0,23,55,39
1,0,0,38
1,0,5,36
1,0,10,35
1,0,15,33
1,0,20,32
1,0,25,30
1,0,30,29
1,0,35,28
1,0,40,26
1,0,45,25
1,0,50,23
1,0,55,22
1,1,0,21
1,1,5,20
1,1,10,19
1,1,15,18
1,1,20,17
1,1,25,16
1,1,30,15
1,1,35,14
1,1,40,13
1,1,45,12
1,1,50,11
1,1,55,10
1,2,0,9
1,2,5,8
1,2,10,7
1,2,15,7
1,2,20,6
1,2,25,6
1,2,30,5
1,2,35,4
1,2,40,4
1,2,45,3
1,2,50,3
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,1
1,4,35,1
1,4,40,1
1,4,45,1
1,4,50,1
1,4,55,1
1,5,0,2
1,5,5,2
1,5,10,3
1,5,15,4
1,5,20,5
1,5,25,5
1,5,30,6
1,5,35,7
1,5,40,8
1,5,45,8
1,5,50,9
1,5,55,10
1,6,0,11
1,6,5,11
1,6,10,11
1,6,15,12
1,6,20,12
1,6,25,13
1,6,30,13
1,6,35,13
1,6,40,14
1,6,45,14
1,6,50,15
1,6,55,15
1,7,0,16
1,7,5,16
1,7,10,16
1,7,15,16
1,7,20,16
1,7,25,16
1,7,30,17
1,7,35,17
1,7,40,17
1,7,45,17
1,7,50,17
1,7,55,17
1,8,0,18
1,8,5,18
1,8,10,18
1,8,15,18
1,8,20,18
1,8,25,18
1,8,30,18
1,8,35,18
1,8,40,18
1,8,45,18
1,8,50,18
1,8,55,18
1,9,0,19
1,9,5,19
1,9,10,19
1,9,15,19
1,9,20,19
1,9,25,19
1,9,30,19
1,9,35,19
1,9,40,19
1,9,45,19
1,9,50,19
1,9,55,19
1,10,0,20
1,10,5,20
1,10,10,20
1,10,15,20
1,10,20,20
1,10,25,20
1,10,30,20
1,10,35,20
1,10,40,20
1,10,45,20
1,10,50,20
1,10,55,20
1,11,0,21
1,11,5,21
1,11,10,21
1,11,15,21
1,11,20,21
1,11,25,21
1,11,30,22
1,11,35,22
1,11,40,22
1,11,45,22
1,11,50,22
1,11,55,22
1,12,0,23
1,12,5,23
1,12,10,24
1,12,15,24
1,12,20,25
1,12,25,25
1,12,30,26
1,12,35,26
1,12,40,27
1,12,45,27
1,12,50,28
1,12,55,28
1,13,0,29
1,13,5,29
1,13,10,30
1,13,15,30
1,13,20,31
1,13,25,31
1,13,30,32
1,13,35,32
1,13,40,33
1,13,45,33
1,13,50,34
1,13,55,34
1,14,0,35
1,14,5,35
1,14,10,35
1,14,15,36
1,14,20,36
1,14,25,37
1,14,30,37
1,14,35,37
1,14,40,38
1,14,45,38
1,14,50,39
1,14,55,39
1,15,0,40
1,15,5,40
1,15,10,40
1,15,15,40
1,15,20,41
1,15,25,41
1,15,30,41
1,15,35,41
1,15,40,42
1,15,45,42
1,15,50,42
1,15,55,42
1,16,0,43
1,16,5,43
1,16,10,43
1,16,15,43
1,16,20,44
1,16,25,44
1,16,30,44
1,16,35,44
1,16,40,45
1,16,45,45
1,16,50,45
1,16,55,45
1,17,0,46
1,17,5,46
1,17,10,46
1,17,15,47
1,17,20,47
1,17,25,48
1,17,30,48
1,17,35,48
1,17,40,49
1,17,45,49
1,17,50,50
1,17,55,50
1,18,0,51
1,18,5,51
1,18,10,52
1,18,15,53
1,18,20,54
1,18,25,54
1,18,30,55
1,18,35,56
1,18,40,57
1,18,45,57
1,18,50,58
1,18,55,59
1,19,0,60
1,19,5,60
1,19,10,61
1,19,15,62
1,19,20,63
1,19,25,63
1,19,30,64
1,19,35,65
1,19,40,66
1,19,45,66
1,19,50,67
1,19,55,68
1,20,0,69
1,20,5,69
1,20,10,69
1,20,15,69
1,20,20,69
1,20,25,69
1,20,30,69
1,20,35,69
1,20,40,69
1,20,45,69
1,20,50,69
1,20,55,69
1,21,0,70
1,21,5,69
1,21,10,69
1,21,15,69
1,21,20,68
1,21,25,68
1,21,30,68
1,21,35,67
1,21,40,67
1,21,45,67
1,21,50,66
1,21,55,66
1,22,0,66
1,22,5,65
1,22,10,64
1,22,15,63
1,22,20,62
1,22,25,61
1,22,30,60
1,22,35,59
1,22,40,58
1,22,45,57
1,22,50,56
1,22,55,55
1,23,0,54
1,23,5,52
1,23,10,51
1,23,15,50
1,23,20,49
1,23,25,48
1,23,30,47
1,23,35,46
1,23,40,45
1,23,45,44
1,23,50,43
1,23,55,42
2,0,0,41
2,0,5,39
2,0,10,38
2,0,15,37
2,0,20,36
2,0,25,35
2,0,30,34
2,0,35,33
2,0,40,32
2,0,45,31
2,0,50,30
2,0,55,29
2,1,0,28
2,1,5,26
2,1,10,25
2,1,15,24
2,1,20,23
2,1,25,22
2,1,30,21
2,1,35,20
2,1,40,19
2,1,45,18
2,1,50,17
2,1,55,16
2,2,0,15
2,2,5,14
2,2,10,13
2,2,15,12
2,2,20,12
2,2,25,11
2,2,30,10
2,2,35,9
2,2,40,9
2,2,45,8
2,2,50,7
2,2,55,6
2,3,0,6
2,3,5,5
2,3,10,5
2,3,15,4
2,3,20,4
2,3,25,3
2,3,30,3
2,3,35,3
2,3,40,2
2,3,45,2
2,3,50,1
2,3,55,1
2,4,0,1
2,4,5,0
2,4,10,0
2,4,15,0
2,4,20,0
2,4,25,0
2,4,30,0
2,4,35,0
2,4,40,0
2,4,45,0
2,4,50,0
2,4,55,0
2,5,0,0
2,5,5,0
2,5,10,1
2,5,15,1
2,5,20,2
2,5,25,2
2,5,30,3
2,5,35,3
2,5,40,4
2,5,45,4
2,5,50,5
2,5,55,5
2,6,0,6
2,6,5,6
2,6,10,7
2,6,15,8
2,6,20,8
2,6,25,9
2,6,30,10
2,6,35,10
2,6,40,11
2,6,45,12
2,6,50,12
2,6,55,13
2,7,0,14
2,7,5,14
2,7,10,15
2,7,15,16
2,7,20,17
2,7,25,18
2,7,30,19
2,7,35,19
2,7,40,20
2,7,45,21
2,7,50,22
2,7,55,23
2,8,0,24
2,8,5,24
2,8,10,25
2,8,15,26
2,8,20,27
2,8,25,28
2,8,30,29
2,8,35,30
2,8,40,31
2,8,45,32
2,8,50,33
2,8,55,34
2,9,0,35
2,9,5,35
2,9,10,35
2,9,15,36
2,9,20,36
2,9,25,37
2,9,30,37
2,9,35,37
2,9,40,38
2,9,45,38
2,9,50,39
2,9,55,39
2,10,0,40
2,10,5,40
2,10,10,40
2,10,15,40
2,10,20,40
2,10,25,40
2,10,30,41
2,10,35,41
2,10,40,41
2,10,45,41
2,10,50,41
2,10,55,41
2,11,0,42
2,11,5,42
2,11,10,42
2,11,15,42
2,11,20,43
2,11,25,43
2,11,30,43
2,11,35,43
