d,h,m,mem
0,0,0,20
0,0,5,19
0,0,10,18
0,0,15,18
0,0,20,17
0,0,25,17
0,0,30,16
0,0,35,15
0,0,40,15
0,0,45,14
0,0,50,14
0,0,55,13
0,1,0,13
0,1,5,12
0,1,10,12
0,1,15,11
0,1,20,11
0,1,25,10
0,1,30,10
0,1,35,10
0,1,40,9
0,1,45,9
0,1,50,8
0,1,55,8
0,2,0,8
0,2,5,7
0,2,10,6
0,2,15,6
0,2,20,5
0,2,25,4
0,2,30,4
0,2,35,3
0,2,40,2
0,2,45,2
0,2,50,1
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,1
0,5,5,1
0,5,10,2
0,5,15,2
0,5,20,3
0,5,25,3
0,5,30,4
0,5,35,5
0,5,40,5
0,5,45,6
0,5,50,6
0,5,55,7
0,6,0,8
0,6,5,9
0,6,10,10
0,6,15,11
0,6,20,12
0,6,25,13
0,6,30,14
0,6,35,15
0,6,40,16
0,6,45,17
0,6,50,18
0,6,55,19
0,7,0,21
0,7,5,22
0,7,10,23
0,7,15,24
0,7,20,25
0,7,25,26
0,7,30,28
0,7,35,29
0,7,40,30
0,7,45,31
0,7,50,32
0,7,55,33
0,8,0,35
0,8,5,35
0,8,10,36
0,8,15,37
0,8,20,38
0,8,25,39
0,8,30,40
0,8,35,41
0,8,40,42
0,8,45,43
0,8,50,44
0,8,55,45
0,9,0,46
0,9,5,46
0,9,10,47
0,9,15,48
0,9,20,48
0,9,25,49
0,9,30,50
0,9,35,50
0,9,40,51
0,9,45,52
0,9,50,52
0,9,55,53
0,10,0,54
0,10,5,54
0,10,10,54
0,10,15,54
0,10,20,55
0,10,25,55
0,10,30,55
0,10,35,55
0,10,40,56
0,10,45,56
0,10,50,56
0,10,55,56
0,11,0,57
0,11,5,57
0,11,10,57
0,11,15,57
0,11,20,57
0,11,25,57
0,11,30,57
0,11,35,57
0,11,40,57
0,11,45,57
0,11,50,57
0,11,55,57
0,12,0,58
0,12,5,57
0,12,10,57
0,12,15,57
0,12,20,57
0,12,25,57
0,12,30,57
0,12,35,57
0,12,40,57
