d,h,m,mem
0,0,0,35
0,0,5,33
0,0,10,32
0,0,15,31
0,0,20,30
0,0,25,29
0,0,30,28
0,0,35,26
0,0,40,25
0,0,45,24
0,0,50,23
0,0,55,22
0,1,0,21
0,1,5,20
0,1,10,19
0,1,15,18
0,1,20,17
0,1,25,16
0,1,30,15
0,1,35,14
0,1,40,13
0,1,45,12
0,1,50,11
0,1,55,10
0,2,0,10
0,2,5,9
0,2,10,8
0,2,15,8
0,2,20,7
0,2,25,7
0,2,30,6
0,2,35,5
0,2,40,5
0,2,45,4
0,2,50,4
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,1
0,5,20,2
0,5,25,2
0,5,30,3
0,5,35,4
0,5,40,4
0,5,45,5
0,5,50,5
0,5,55,6
0,6,0,7
0,6,5,7
0,6,10,8
0,6,15,9
0,6,20,10
0,6,25,11
0,6,30,12
0,6,35,12
0,6,40,13
0,6,45,14
0,6,50,15
0,6,55,16
0,7,0,17
0,7,5,17
0,7,10,18
0,7,15,19
0,7,20,20
0,7,25,21
0,7,30,22
0,7,35,23
0,7,40,24
0,7,45,25
0,7,50,26
0,7,55,27
0,8,0,28
0,8,5,28
0,8,10,29
0,8,15,30
0,8,20,31
0,8,25,31
0,8,30,32
0,8,35,33
0,8,40,34
0,8,45,34
0,8,50,35
0,8,55,36
0,9,0,37
0,9,5,37
0,9,10,37
0,9,15,38
0,9,20,38
0,9,25,39
0,9,30,39
0,9,35,39
0,9,40,40
0,9,45,40
0,9,50,41
0,9,55,41
0,10,0,42
0,10,5,42
0,10,10,42
0,10,15,42
0,10,20,42
0,10,25,42
0,10,30,43
0,10,35,43
0,10,40,43
0,10,45,43
0,10,50,43
0,10,55,43
0,11,0,44
0,11,5,44
0,11,10,44
0,11,15,45
0,11,20,45
0,11,25,45
0,11,30,46
0,11,35,46
0,11,40,46
0,11,45,47
0,11,50,47
0,11,55,47
0,12,0,48
0,12,5,48
0,12,10,48
0,12,15,48
0,12,20,48
0,12,25,48
0,12,30,48
0,12,35,48
0,12,40,48
0,12,45,48
0,12,50,48
0,12,55,48
0,13,0,48
0,13,5,48
0,13,10,48
0,13,15,48
0,13,20,48
0,13,25,48
0,13,30,48
0,13,35,48
0,13,40,48
0,13,45,48
0,13,50,48
0,13,55,48
0,14,0,48
0,14,5,48
0,14,10,48
0,14,15,48
0,14,20,48
0,14,25,48
0,14,30,48
0,14,35,48
0,14,40,48
0,14,45,48
0,14,50,48
0,14,55,48
0,15,0,48
0,15,5,48
0,15,10,48
0,15,15,48
0,15,20,48
0,15,25,48
0,15,30,48
0,15,35,48
0,15,40,48
0,15,45,48
0,15,50,48
0,15,55,48
0,16,0,49
0,16,5,49
0,16,10,49
0,16,15,49
0,16,20,49
0,16,25,49
0,16,30,50
0,16,35,50
0,16,40,50
0,16,45,50
0,16,50,50
0,16,55,50
0,17,0,51
0,17,5,51
0,17,10,52
0,17,15,53
0,17,20,53
0,17,25,54
0,17,30,55
0,17,35,55
