d,h,m,mem
0,0,0,14
0,0,5,14
0,0,10,14
0,0,15,14
0,0,20,14
0,0,25,14
0,0,30,14
0,0,35,14
0,0,40,14
0,0,45,14
0,0,50,14
0,0,55,14
0,1,0,14
0,1,5,14
0,1,10,15
0,1,15,16
0,1,20,17
0,1,25,18
0,1,30,19
0,1,35,20
0,1,40,21
0,1,45,22
0,1,50,23
0,1,55,24
0,2,0,25
0,2,5,23
0,2,10,21
0,2,15,20
0,2,20,18
0,2,25,16
0,2,30,15
0,2,35,13
0,2,40,11
0,2,45,10
0,2,50,8
0,2,55,6
0,3,0,5
0,3,5,4
0,3,10,4
0,3,15,3
0,3,20,3
0,3,25,2
0,3,30,2
0,3,35,2
0,3,40,1
0,3,45,1
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,1
0,4,15,1
0,4,20,2
0,4,25,2
0,4,30,3
0,4,35,4
0,4,40,4
0,4,45,5
0,4,50,5
0,4,55,6
0,5,0,7
0,5,5,8
0,5,10,9
0,5,15,11
0,5,20,12
0,5,25,13
0,5,30,15
0,5,35,16
0,5,40,17
0,5,45,19
0,5,50,20
0,5,55,21
0,6,0,23
0,6,5,24
0,6,10,26
0,6,15,28
0,6,20,30
0,6,25,31
0,6,30,33
0,6,35,35
0,6,40,37
0,6,45,38
0,6,50,40
0,6,55,42
0,7,0,44
0,7,5,45
0,7,10,47
0,7,15,48
0,7,20,50
0,7,25,51
0,7,30,53
0,7,35,54
0,7,40,56
0,7,45,57
0,7,50,59
0,7,55,60
0,8,0,62
0,8,5,62
0,8,10,63
0,8,15,64
0,8,20,64
0,8,25,65
0,8,30,66
0,8,35,66
0,8,40,67
0,8,45,68
0,8,50,68
0,8,55,69
0,9,0,70
0,9,5,70
0,9,10,70
0,9,15,70
0,9,20,71
0,9,25,71
0,9,30,71
0,9,35,71
0,9,40,72
0,9,45,72
0,9,50,72
0,9,55,72
0,10,0,73
0,10,5,73
0,10,10,73
0,10,15,73
0,10,20,74
0,10,25,74
0,10,30,74
0,10,35,74
0,10,40,75
0,10,45,75
0,10,50,75
0,10,55,75
0,11,0,76
0,11,5,76
0,11,10,76
0,11,15,76
0,11,20,77
0,11,25,77
0,11,30,77
0,11,35,77
0,11,40,78
0,11,45,78
0,11,50,78
0,11,55,78
0,12,0,79
0,12,5,79
0,12,10,79
0,12,15,79
0,12,20,79
0,12,25,79
0,12,30,79
0,12,35,79
0,12,40,79
0,12,45,79
0,12,50,79
0,12,55,79
0,13,0,80
0,13,5,79
0,13,10,79
0,13,15,79
0,13,20,79
0,13,25,79
0,13,30,79
0,13,35,78
0,13,40,78
0,13,45,78
0,13,50,78
0,13,55,78
0,14,0,78
0,14,5,77
0,14,10,77
0,14,15,76
0,14,20,76
0,14,25,75
0,14,30,75
0,14,35,75
0,14,40,74
0,14,45,74
0,14,50,73
0,14,55,73
0,15,0,73
0,15,5,72
0,15,10,72
0,15,15,72
0,15,20,72
0,15,25,72
0,15,30,72
0,15,35,71
0,15,40,71
0,15,45,71
0,15,50,71
0,15,55,71
0,16,0,71
0,16,5,70
0,16,10,70
0,16,15,70
0,16,20,70
0,16,25,69
0,16,30,69
0,16,35,69
0,16,40,69
0,16,45,68
0,16,50,68
0,16,55,68
0,17,0,68
0,17,5,68
0,17,10,68
0,17,15,69
0,17,20,69
0,17,25,70
0,17,30,70
0,17,35,70
0,17,40,71
0,17,45,71
0,17,50,72
0,17,55,72
0,18,0,73
0,18,5,73
0,18,10,74
0,18,15,75
0,18,20,76
0,18,25,76
0,18,30,77
0,18,35,78
0,18,40,79
0,18,45,79
0,18,50,80
0,18,55,81
0,19,0,82
0,19,5,82
0,19,10,82
0,19,15,82
0,19,20,82
0,19,25,82
0,19,30,83
0,19,35,83
0,19,40,83
0,19,45,83
0,19,50,83
0,19,55,83
0,20,0,84
0,20,5,83
0,20,10,83
0,20,15,82
0,20,20,82
0,20,25,81
0,20,30,81
0,20,35,81
0,20,40,80
0,20,45,80
0,20,50,79
0,20,55,79
0,21,0,79
0,21,5,77
0,21,10,75
0,21,15,74
0,21,20,72
0,21,25,70
0,21,30,69
0,21,35,67
0,21,40,65
0,21,45,64
0,21,50,62
0,21,55,60
0,22,0,59
0,22,5,57
0,22,10,55
0,22,15,53
0,22,20,52
0,22,25,50
0,22,30,48
0,22,35,46
0,22,40,45
0,22,45,43
0,22,50,41
0,22,55,39
0,23,0,38
0,23,5,39
0,23,10,41
0,23,15,43
0,23,20,45
0,23,25,46
0,23,30,48
0,23,35,50
0,23,40,52
0,23,45,53
0,23,50,55
0,23,55,57
1,0,0,59
1,0,5,57
1,0,10,55
1,0,15,53
1,0,20,52
1,0,25,50
1,0,30,48
1,0,35,46
1,0,40,45
1,0,45,43
1,0,50,41
1,0,55,39
1,1,0,38
1,1,5,36
1,1,10,34
1,1,15,32
1,1,20,30
1,1,25,28
1,1,30,27
1,1,35,25
1,1,40,23
1,1,45,21
1,1,50,19
1,1,55,17
1,2,0,16
1,2,5,14
1,2,10,13
1,2,15,12
1,2,20,11
1,2,25,10
1,2,30,9
1,2,35,8
1,2,40,7
1,2,45,6
1,2,50,5
1,2,55,4
1,3,0,3
1,3,5,2
1,3,10,2
1,3,15,2
1,3,20,2
1,3,25,1
1,3,30,1
1,3,35,1
1,3,40,1
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,1
1,4,15,1
1,4,20,2
1,4,25,2
1,4,30,3
1,4,35,4
1,4,40,4
1,4,45,5
1,4,50,5
1,4,55,6
1,5,0,7
1,5,5,8
1,5,10,9
1,5,15,11
1,5,20,12
1,5,25,13
1,5,30,15
1,5,35,16
1,5,40,17
1,5,45,19
1,5,50,20
1,5,55,21
1,6,0,23
1,6,5,24
1,6,10,26
1,6,15,27
1,6,20,29
1,6,25,30
1,6,30,32
1,6,35,34
1,6,40,35
1,6,45,37
1,6,50,38
1,6,55,40
1,7,0,42
1,7,5,43
1,7,10,44
1,7,15,45
1,7,20,46
1,7,25,47
1,7,30,49
1,7,35,50
1,7,40,51
1,7,45,52
1,7,50,53
1,7,55,54
1,8,0,56
1,8,5,56
1,8,10,57
1,8,15,58
1,8,20,59
1,8,25,59
1,8,30,60
1,8,35,61
1,8,40,62
1,8,45,62
1,8,50,63
1,8,55,64
1,9,0,65
1,9,5,65
1,9,10,65
1,9,15,66
1,9,20,66
1,9,25,66
1,9,30,67
1,9,35,67
1,9,40,67
1,9,45,68
1,9,50,68
1,9,55,68
1,10,0,69
1,10,5,68
1,10,10,68
1,10,15,68
1,10,20,68
1,10,25,68
1,10,30,68
1,10,35,68
1,10,40,68
1,10,45,68
1,10,50,68
1,10,55,68
1,11,0,68
1,11,5,67
1,11,10,67
1,11,15,67
1,11,20,67
1,11,25,67
1,11,30,67
1,11,35,67
1,11,40,67
1,11,45,67
1,11,50,67
1,11,55,67
1,12,0,67
1,12,5,67
1,12,10,67
1,12,15,67
1,12,20,67
1,12,25,67
1,12,30,67
1,12,35,67
1,12,40,67
1,12,45,67
1,12,50,67
1,12,55,67
1,13,0,68
1,13,5,68
1,13,10,68
1,13,15,68
1,13,20,68
1,13,25,68
1,13,30,69
1,13,35,69
1,13,40,69
1,13,45,69
1,13,50,69
1,13,55,69
1,14,0,70
1,14,5,70
1,14,10,70
1,14,15,71
1,14,20,71
1,14,25,72
1,14,30,72
1,14,35,72
1,14,40,73
1,14,45,73
1,14,50,74
1,14,55,74
1,15,0,75
1,15,5,75
1,15,10,75
1,15,15,75
1,15,20,75
1,15,25,75
1,15,30,75
1,15,35,75
1,15,40,75
1,15,45,75
1,15,50,75
1,15,55,75
1,16,0,75
1,16,5,75
1,16,10,75
1,16,15,75
1,16,20,75
1,16,25,75
1,16,30,75
1,16,35,75
1,16,40,75
1,16,45,75
1,16,50,75
1,16,55,75
1,17,0,76
1,17,5,76
1,17,10,77
1,17,15,77
1,17,20,78
1,17,25,78
1,17,30,79
1,17,35,80
1,17,40,80
1,17,45,81
1,17,50,81
1,17,55,82
1,18,0,83
1,18,5,83
1,18,10,83
1,18,15,83
1,18,20,83
1,18,25,83
1,18,30,84
1,18,35,84
1,18,40,84
1,18,45,84
1,18,50,84
1,18,55,84
1,19,0,85
1,19,5,85
1,19,10,85
1,19,15,85
1,19,20,85
1,19,25,85
1,19,30,85
1,19,35,85
1,19,40,85
1,19,45,85
1,19,50,85
1,19,55,85
1,20,0,86
1,20,5,85
1,20,10,85
1,20,15,85
1,20,20,84
1,20,25,84
1,20,30,84
1,20,35,83
1,20,40,83
1,20,45,83
1,20,50,82
1,20,55,82
1,21,0,82
1,21,5,81
1,21,10,80
1,21,15,80
1,21,20,79
1,21,25,78
1,21,30,78
1,21,35,77
1,21,40,76
1,21,45,76
1,21,50,75
1,21,55,74
1,22,0,74
1,22,5,73
1,22,10,72
1,22,15,71
1,22,20,70
1,22,25,69
1,22,30,68
1,22,35,67
1,22,40,66
1,22,45,65
1,22,50,64
1,22,55,63
1,23,0,63
1,23,5,61
1,23,10,60
1,23,15,59
1,23,20,58
1,23,25,57
1,23,30,56
1,23,35,54
1,23,40,53
1,23,45,52
1,23,50,51
1,23,55,50
2,0,0,49
2,0,5,47
2,0,10,46
2,0,15,44
2,0,20,43
2,0,25,41
2,0,30,40
2,0,35,39
2,0,40,37
2,0,45,36
2,0,50,34
2,0,55,33
2,1,0,32
2,1,5,30
2,1,10,29
2,1,15,28
2,1,20,26
2,1,25,25
2,1,30,24
2,1,35,22
2,1,40,21
2,1,45,20
2,1,50,18
2,1,55,17
2,2,0,16
2,2,5,15
2,2,10,14
2,2,15,13
2,2,20,12
2,2,25,11
2,2,30,10
2,2,35,9
2,2,40,8
2,2,45,7
2,2,50,6
2,2,55,5
2,3,0,5
2,3,5,4
2,3,10,4
2,3,15,3
2,3,20,3
2,3,25,2
2,3,30,2
2,3,35,2
2,3,40,1
2,3,45,1
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,0
2,4,15,0
2,4,20,0
2,4,25,0
2,4,30,0
2,4,35,0
2,4,40,0
2,4,45,0
2,4,50,0
2,4,55,0
2,5,0,0
2,5,5,0
2,5,10,1
2,5,15,1
2,5,20,2
2,5,25,2
2,5,30,3
2,5,35,3
2,5,40,4
2,5,45,4
2,5,50,5
2,5,55,5
2,6,0,6
2,6,5,7
2,6,10,9
2,6,15,10
2,6,20,12
2,6,25,13
2,6,30,15
2,6,35,17
2,6,40,18
2,6,45,20
2,6,50,21
2,6,55,23
2,7,0,25
2,7,5,26
2,7,10,28
2,7,15,30
2,7,20,32
2,7,25,33
2,7,30,35
2,7,35,37
2,7,40,39
2,7,45,40
2,7,50,42
2,7,55,44
2,8,0,46
2,8,5,47
2,8,10,48
2,8,15,49
2,8,20,51
2,8,25,52
2,8,30,53
2,8,35,54
2,8,40,56
2,8,45,57
2,8,50,58
2,8,55,59
2,9,0,61
2,9,5,61
2,9,10,62
2,9,15,63
2,9,20,63
2,9,25,64
2,9,30,65
2,9,35,65
2,9,40,66
2,9,45,67
2,9,50,67
2,9,55,68
2,10,0,69
2,10,5,69
2,10,10,69
2,10,15,70
2,10,20,70
2,10,25,70
2,10,30,71
2,10,35,71
2,10,40,71
2,10,45,72
2,10,50,72
2,10,55,72
2,11,0,73
2,11,5,73
2,11,10,73
2,11,15,73
2,11,20,73
2,11,25,73
2,11,30,73
2,11,35,73
2,11,40,73
2,11,45,73
2,11,50,73
2,11,55,73
2,12,0,73
2,12,5,73
2,12,10,73
2,12,15,73
2,12,20,73
2,12,25,73
2,12,30,74
2,12,35,74
2,12,40,74
2,12,45,74
2,12,50,74
2,12,55,74
2,13,0,75
2,13,5,75
2,13,10,75
2,13,15,75
2,13,20,75
2,13,25,75
2,13,30,76
2,13,35,76
2,13,40,76
2,13,45,76
2,13,50,76
2,13,55,76
2,14,0,77
2,14,5,77
2,14,10,77
2,14,15,78
2,14,20,78
2,14,25,79
2,14,30,79
2,14,35,79
2,14,40,80
2,14,45,80
2,14,50,81
2,14,55,81
2,15,0,82
2,15,5,82
2,15,10,82
2,15,15,83
2,15,20,83
2,15,25,84
2,15,30,84
2,15,35,84
2,15,40,85
2,15,45,85
2,15,50,86
2,15,55,86
2,16,0,87
2,16,5,87
2,16,10,87
2,16,15,87
2,16,20,88
2,16,25,88
2,16,30,88
2,16,35,88
2,16,40,89
2,16,45,89
2,16,50,89
2,16,55,89
2,17,0,90
2,17,5,90
2,17,10,90
2,17,15,90
2,17,20,90
2,17,25,90
2,17,30,90
2,17,35,90
2,17,40,90
2,17,45,90
2,17,50,90
2,17,55,90
2,18,0,90
2,18,5,90
2,18,10,90
2,18,15,90
2,18,20,90
2,18,25,90
2,18,30,90
2,18,35,90
2,18,40,90
2,18,45,90
2,18,50,90
2,18,55,90
2,19,0,90
2,19,5,90
2,19,10,90
2,19,15,90
2,19,20,90
2,19,25,90
2,19,30,90
2,19,35,90
2,19,40,90
2,19,45,90
2,19,50,90
2,19,55,90
2,20,0,90
2,20,5,89
2,20,10,89
2,20,15,89
2,20,20,88
2,20,25,88
2,20,30,88
2,20,35,87
2,20,40,87
2,20,45,87
2,20,50,86
2,20,55,86
2,21,0,86
2,21,5,85
2,21,10,84
2,21,15,83
2,21,20,82
2,21,25,81
2,21,30,81
2,21,35,80
2,21,40,79
2,21,45,78
2,21,50,77
2,21,55,76
2,22,0,76
2,22,5,74
2,22,10,73
2,22,15,72
2,22,20,71
2,22,25,69
2,22,30,68
2,22,35,67
2,22,40,66
2,22,45,64
2,22,50,63
2,22,55,62
2,23,0,61
2,23,5,59
2,23,10,57
2,23,15,55
2,23,20,54
2,23,25,52
2,23,30,50
2,23,35,48
2,23,40,47
2,23,45,45
2,23,50,43
2,23,55,41
3,0,0,40
3,0,5,38
3,0,10,36
3,0,15,35
3,0,20,33
3,0,25,32
3,0,30,30
3,0,35,28
3,0,40,27
3,0,45,25
3,0,50,24
3,0,55,22
3,1,0,21
3,1,5,19
3,1,10,18
3,1,15,17
3,1,20,16
3,1,25,15
3,1,30,14
3,1,35,13
3,1,40,12
3,1,45,11
3,1,50,10
3,1,55,9
3,2,0,8
3,2,5,7
3,2,10,7
3,2,15,6
3,2,20,6
3,2,25,5
3,2,30,5
3,2,35,5
3,2,40,4
3,2,45,4
3,2,50,3
3,2,55,3
3,3,0,3
3,3,5,3
3,3,10,3
3,3,15,3
3,3,20,3
3,3,25,3
3,3,30,4
3,3,35,4
3,3,40,4
3,3,45,4
3,3,50,4
3,3,55,4
3,4,0,5
3,4,5,5
3,4,10,6
3,4,15,7
3,4,20,8
3,4,25,8
3,4,30,9
3,4,35,10
3,4,40,11
3,4,45,11
3,4,50,12
3,4,55,13
3,5,0,14
3,5,5,15
3,5,10,16
3,5,15,17
3,5,20,18
3,5,25,19
3,5,30,21
3,5,35,22
3,5,40,23
3,5,45,24
3,5,50,25
3,5,55,26
3,6,0,28
3,6,5,29
3,6,10,31
3,6,15,32
3,6,20,34
3,6,25,35
3,6,30,37
3,6,35,38
3,6,40,40
3,6,45,41
3,6,50,43
3,6,55,44
3,7,0,46
3,7,5,47
3,7,10,49
3,7,15,50
3,7,20,52
3,7,25,53
3,7,30,55
3,7,35,57
3,7,40,58
3,7,45,60
3,7,50,61
3,7,55,63
3,8,0,65
3,8,5,66
3,8,10,67
3,8,15,68
3,8,20,69
3,8,25,70
3,8,30,72
3,8,35,73
3,8,40,74
3,8,45,75
3,8,50,76
3,8,55,77
3,9,0,79
3,9,5,79
3,9,10,80
3,9,15,81
3,9,20,82
3,9,25,83
3,9,30,84
3,9,35,84
3,9,40,85
3,9,45,86
3,9,50,87
3,9,55,88
3,10,0,89
3,10,5,89
3,10,10,90
3,10,15,90
3,10,20,91
3,10,25,91
3,10,30,92
3,10,35,92
3,10,40,93
3,10,45,93
3,10,50,94
3,10,55,94
3,11,0,95
3,11,5,95
3,11,10,95
3,11,15,95
3,11,20,95
3,11,25,95
3,11,30,96
3,11,35,96
3,11,40,96
3,11,45,96
3,11,50,96
3,11,55,96
3,12,0,97
3,12,5,96
3,12,10,96
3,12,15,95
3,12,20,95
3,12,25,94
3,12,30,94
3,12,35,94
3,12,40,93
3,12,45,93
3,12,50,92
3,12,55,92
3,13,0,92
3,13,5,92
3,13,10,92
3,13,15,92
3,13,20,93
3,13,25,93
3,13,30,93
3,13,35,93
3,13,40,94
3,13,45,94
3,13,50,94
3,13,55,94
3,14,0,95
3,14,5,94
3,14,10,94
3,14,15,94
3,14,20,94
3,14,25,94
3,14,30,94
3,14,35,94
3,14,40,94
3,14,45,94
3,14,50,94
3,14,55,94
3,15,0,94
3,15,5,94
3,15,10,94
3,15,15,94
3,15,20,94
3,15,25,94
3,15,30,94
3,15,35,94
3,15,40,94
3,15,45,94
3,15,50,94
3,15,55,94
3,16,0,94
3,16,5,93
3,16,10,93
3,16,15,93
3,16,20,93
3,16,25,93
3,16,30,93
3,16,35,93
3,16,40,93
3,16,45,93
3,16,50,93
3,16,55,93
3,17,0,93
3,17,5,93
3,17,10,94
3,17,15,94
3,17,20,95
3,17,25,95
3,17,30,96
3,17,35,96
3,17,40,97
3,17,45,97
3,17,50,98
3,17,55,98
3,18,0,99
3,18,5,99
3,18,10,99
3,18,15,99
3,18,20,99
3,18,25,99
3,18,30,99
3,18,35,99
3,18,40,99
3,18,45,99
3,18,50,99
3,18,55,99
3,19,0,100
3,19,5,99
3,19,10,98
3,19,15,98
3,19,20,97
3,19,25,97
3,19,30,96
3,19,35,95
3,19,40,95
3,19,45,94
3,19,50,94
3,19,55,93
3,20,0,93
3,20,5,91
3,20,10,90
3,20,15,89
3,20,20,88
3,20,25,87
3,20,30,86
