d,h,m,mem
0,0,0,8
0,0,5,7
0,0,10,7
0,0,15,6
0,0,20,6
0,0,25,5
0,0,30,5
0,0,35,4
0,0,40,4
0,0,45,3
0,0,50,3
0,0,55,2
0,1,0,2
0,1,5,1
0,1,10,1
0,1,15,1
0,1,20,1
0,1,25,1
0,1,30,1
0,1,35,1
0,1,40,1
0,1,45,1
0,1,50,1
0,1,55,1
0,2,0,1
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,1
0,2,50,1
0,2,55,1
0,3,0,1
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,2
0,4,30,2
0,4,35,2
0,4,40,3
0,4,45,3
0,4,50,4
0,4,55,4
0,5,0,5
0,5,5,6
0,5,10,7
0,5,15,8
0,5,20,10
0,5,25,11
0,5,30,12
0,5,35,13
0,5,40,15
0,5,45,16
0,5,50,17
0,5,55,18
0,6,0,20
0,6,5,21
0,6,10,23
0,6,15,25
0,6,20,27
0,6,25,28
0,6,30,30
0,6,35,32
0,6,40,34
0,6,45,35
0,6,50,37
0,6,55,39
0,7,0,41
0,7,5,42
0,7,10,44
0,7,15,45
0,7,20,47
0,7,25,48
0,7,30,50
0,7,35,51
0,7,40,53
0,7,45,54
0,7,50,56
0,7,55,57
0,8,0,59
0,8,5,59
0,8,10,60
0,8,15,61
0,8,20,62
0,8,25,63
0,8,30,64
0,8,35,65
0,8,40,66
0,8,45,67
0,8,50,68
0,8,55,69
0,9,0,70
0,9,5,70
0,9,10,70
0,9,15,70
0,9,20,70
0,9,25,70
0,9,30,70
0,9,35,70
0,9,40,70
0,9,45,70
0,9,50,70
0,9,55,70
0,10,0,71
0,10,5,71
0,10,10,71
0,10,15,72
0,10,20,72
0,10,25,73
0,10,30,73
0,10,35,73
0,10,40,74
0,10,45,74
0,10,50,75
0,10,55,75
0,11,0,76
0,11,5,76
0,11,10,76
0,11,15,76
0,11,20,76
0,11,25,76
0,11,30,76
0,11,35,76
0,11,40,76
0,11,45,76
0,11,50,76
0,11,55,76
0,12,0,77
0,12,5,76
0,12,10,76
0,12,15,76
