d,h,m,mem
0,0,0,39
0,0,5,37
0,0,10,36
0,0,15,34
0,0,20,33
0,0,25,31
0,0,30,30
0,0,35,28
0,0,40,27
0,0,45,25
0,0,50,24
0,0,55,22
0,1,0,21
0,1,5,19
0,1,10,18
0,1,15,17
0,1,20,16
0,1,25,15
0,1,30,14
0,1,35,12
0,1,40,11
0,1,45,10
0,1,50,9
0,1,55,8
0,2,0,7
0,2,5,6
0,2,10,5
0,2,15,5
0,2,20,4
0,2,25,4
0,2,30,3
0,2,35,2
0,2,40,2
0,2,45,1
0,2,50,1
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,2
0,3,45,2
0,3,50,2
0,3,55,2
0,4,0,3
0,4,5,4
0,4,10,5
0,4,15,6
0,4,20,7
0,4,25,8
0,4,30,9
0,4,35,10
0,4,40,11
0,4,45,12
0,4,50,13
0,4,55,14
0,5,0,15
0,5,5,16
0,5,10,18
0,5,15,20
0,5,20,22
0,5,25,24
0,5,30,26
0,5,35,28
0,5,40,30
0,5,45,32
0,5,50,34
0,5,55,36
0,6,0,38
0,6,5,39
0,6,10,40
0,6,15,42
0,6,20,43
0,6,25,44
0,6,30,46
0,6,35,47
0,6,40,48
0,6,45,50
0,6,50,51
0,6,55,52
0,7,0,54
0,7,5,54
0,7,10,54
0,7,15,55
0,7,20,55
0,7,25,55
0,7,30,56
0,7,35,56
0,7,40,56
0,7,45,57
0,7,50,57
0,7,55,57
0,8,0,58
0,8,5,58
0,8,10,58
0,8,15,58
0,8,20,58
0,8,25,58
0,8,30,58
0,8,35,58
0,8,40,58
0,8,45,58
0,8,50,58
0,8,55,58
0,9,0,58
0,9,5,58
0,9,10,58
0,9,15,58
0,9,20,58
0,9,25,58
0,9,30,59
0,9,35,59
0,9,40,59
0,9,45,59
0,9,50,59
0,9,55,59
0,10,0,60
0,10,5,60
0,10,10,60
0,10,15,60
0,10,20,60
0,10,25,60
0,10,30,60
0,10,35,60
0,10,40,60
0,10,45,60
0,10,50,60
0,10,55,60
0,11,0,60
0,11,5,60
0,11,10,60
0,11,15,61
0,11,20,61
0,11,25,62
0,11,30,62
0,11,35,62
0,11,40,63
0,11,45,63
0,11,50,64
0,11,55,64
0,12,0,65
0,12,5,65
0,12,10,65
0,12,15,65
0,12,20,65
0,12,25,65
0,12,30,66
0,12,35,66
0,12,40,66
0,12,45,66
0,12,50,66
0,12,55,66
0,13,0,67
0,13,5,67
0,13,10,67
0,13,15,68
0,13,20,68
0,13,25,68
0,13,30,69
0,13,35,69
0,13,40,69
0,13,45,70
0,13,50,70
0,13,55,70
0,14,0,71
0,14,5,71
0,14,10,71
0,14,15,71
0,14,20,71
0,14,25,71
0,14,30,71
0,14,35,71
0,14,40,71
0,14,45,71
0,14,50,71
0,14,55,71
0,15,0,71
0,15,5,71
0,15,10,71
0,15,15,71
0,15,20,72
0,15,25,72
0,15,30,72
0,15,35,72
0,15,40,73
0,15,45,73
0,15,50,73
0,15,55,73
0,16,0,74
0,16,5,74
0,16,10,74
0,16,15,74
0,16,20,74
0,16,25,74
0,16,30,74
0,16,35,74
0,16,40,74
0,16,45,74
0,16,50,74
0,16,55,74
0,17,0,75
0,17,5,75
0,17,10,75
0,17,15,75
0,17,20,75
0,17,25,75
0,17,30,75
0,17,35,75
0,17,40,75
0,17,45,75
0,17,50,75
0,17,55,75
0,18,0,75
0,18,5,75
0,18,10,75
0,18,15,75
0,18,20,76
0,18,25,76
0,18,30,76
0,18,35,76
0,18,40,77
0,18,45,77
0,18,50,77
0,18,55,77
0,19,0,78
0,19,5,78
0,19,10,78
0,19,15,79
0,19,20,79
0,19,25,79
0,19,30,80
0,19,35,80
0,19,40,80
0,19,45,81
0,19,50,81
0,19,55,81
0,20,0,82
0,20,5,81
0,20,10,81
0,20,15,81
0,20,20,81
0,20,25,81
0,20,30,81
0,20,35,81
0,20,40,81
0,20,45,81
0,20,50,81
0,20,55,81
0,21,0,81
0,21,5,80
0,21,10,80
0,21,15,79
0,21,20,79
0,21,25,78
0,21,30,78
0,21,35,78
0,21,40,77
0,21,45,77
0,21,50,76
0,21,55,76
0,22,0,76
0,22,5,75
0,22,10,74
0,22,15,73
0,22,20,72
0,22,25,71
0,22,30,71
0,22,35,70
0,22,40,69
0,22,45,68
0,22,50,67
0,22,55,66
0,23,0,66
0,23,5,64
0,23,10,63
0,23,15,62
0,23,20,61
0,23,25,60
0,23,30,59
0,23,35,57
0,23,40,56
0,23,45,55
0,23,50,54
0,23,55,53
1,0,0,52
1,0,5,50
1,0,10,48
1,0,15,47
1,0,20,45
1,0,25,44
1,0,30,42
1,0,35,40
1,0,40,39
1,0,45,37
1,0,50,36
1,0,55,34
1,1,0,33
1,1,5,31
1,1,10,30
1,1,15,29
1,1,20,27
1,1,25,26
1,1,30,25
1,1,35,23
1,1,40,22
1,1,45,21
1,1,50,19
1,1,55,18
1,2,0,17
1,2,5,16
1,2,10,15
1,2,15,14
1,2,20,14
1,2,25,13
1,2,30,12
1,2,35,11
1,2,40,11
1,2,45,10
1,2,50,9
1,2,55,8
1,3,0,8
1,3,5,7
1,3,10,7
1,3,15,7
1,3,20,7
1,3,25,7
1,3,30,7
1,3,35,7
1,3,40,7
1,3,45,7
1,3,50,7
1,3,55,7
1,4,0,7
1,4,5,7
1,4,10,8
1,4,15,8
1,4,20,9
1,4,25,9
1,4,30,10
1,4,35,11
1,4,40,11
1,4,45,12
1,4,50,12
1,4,55,13
1,5,0,14
1,5,5,15
1,5,10,16
1,5,15,17
1,5,20,18
1,5,25,19
1,5,30,21
1,5,35,22
1,5,40,23
1,5,45,24
1,5,50,25
1,5,55,26
1,6,0,28
1,6,5,29
1,6,10,30
1,6,15,31
1,6,20,33
1,6,25,34
1,6,30,35
1,6,35,36
1,6,40,38
1,6,45,39
1,6,50,40
1,6,55,41
1,7,0,43
1,7,5,43
1,7,10,44
1,7,15,45
1,7,20,46
1,7,25,47
1,7,30,48
1,7,35,49
1,7,40,50
1,7,45,51
1,7,50,52
1,7,55,53
1,8,0,54
1,8,5,54
1,8,10,55
1,8,15,56
1,8,20,56
1,8,25,57
1,8,30,58
1,8,35,58
1,8,40,59
1,8,45,60
1,8,50,60
1,8,55,61
1,9,0,62
1,9,5,62
1,9,10,62
1,9,15,63
1,9,20,63
1,9,25,64
1,9,30,64
1,9,35,64
1,9,40,65
1,9,45,65
1,9,50,66
1,9,55,66
1,10,0,67
1,10,5,67
1,10,10,67
1,10,15,67
1,10,20,67
1,10,25,67
1,10,30,67
1,10,35,67
1,10,40,67
1,10,45,67
1,10,50,67
1,10,55,67
1,11,0,68
1,11,5,68
1,11,10,68
1,11,15,68
1,11,20,68
1,11,25,68
1,11,30,68
1,11,35,68
1,11,40,68
1,11,45,68
