d,h,m,mem
0,0,0,17
0,0,5,16
0,0,10,15
0,0,15,14
0,0,20,13
0,0,25,12
0,0,30,11
0,0,35,10
0,0,40,9
0,0,45,8
0,0,50,7
0,0,55,6
0,1,0,6
0,1,5,5
0,1,10,5
0,1,15,5
0,1,20,4
0,1,25,4
0,1,30,4
0,1,35,3
0,1,40,3
0,1,45,3
0,1,50,2
0,1,55,2
0,2,0,2
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,1
0,4,20,1
0,4,25,1
0,4,30,2
0,4,35,2
0,4,40,2
0,4,45,3
0,4,50,3
0,4,55,3
0,5,0,4
0,5,5,5
0,5,10,6
0,5,15,8
0,5,20,9
0,5,25,10
0,5,30,12
0,5,35,13
0,5,40,14
0,5,45,16
0,5,50,17
0,5,55,18
0,6,0,20
0,6,5,21
0,6,10,23
0,6,15,25
0,6,20,27
0,6,25,28
0,6,30,30
0,6,35,32
0,6,40,34
0,6,45,35
0,6,50,37
0,6,55,39
0,7,0,41
0,7,5,43
0,7,10,45
0,7,15,47
0,7,20,49
0,7,25,51
0,7,30,53
0,7,35,55
0,7,40,57
0,7,45,59
0,7,50,61
0,7,55,63
0,8,0,66
0,8,5,67
0,8,10,68
0,8,15,69
0,8,20,70
0,8,25,71
0,8,30,72
0,8,35,73
0,8,40,74
0,8,45,75
0,8,50,76
0,8,55,77
0,9,0,79
0,9,5,79
0,9,10,79
0,9,15,80
0,9,20,80
0,9,25,81
0,9,30,81
0,9,35,81
0,9,40,82
0,9,45,82
0,9,50,83
0,9,55,83
0,10,0,84
0,10,5,84
0,10,10,84
0,10,15,84
0,10,20,84
0,10,25,84
0,10,30,85
0,10,35,85
0,10,40,85
0,10,45,85
0,10,50,85
0,10,55,85
0,11,0,86
0,11,5,85
0,11,10,85
0,11,15,85
0,11,20,85
0,11,25,85
0,11,30,85
0,11,35,85
0,11,40,85
0,11,45,85
0,11,50,85
0,11,55,85
0,12,0,85
0,12,5,85
0,12,10,85
0,12,15,85
0,12,20,85
0,12,25,85
0,12,30,85
0,12,35,85
0,12,40,85
0,12,45,85
0,12,50,85
0,12,55,85
0,13,0,86
0,13,5,86
0,13,10,86
0,13,15,86
0,13,20,86
0,13,25,86
0,13,30,86
0,13,35,86
0,13,40,86
0,13,45,86
0,13,50,86
0,13,55,86
0,14,0,87
0,14,5,87
0,14,10,87
0,14,15,87
0,14,20,87
0,14,25,87
0,14,30,87
0,14,35,87
0,14,40,87
0,14,45,87
0,14,50,87
0,14,55,87
0,15,0,87
0,15,5,86
0,15,10,86
0,15,15,86
0,15,20,86
0,15,25,85
0,15,30,85
0,15,35,85
0,15,40,85
0,15,45,84
0,15,50,84
0,15,55,84
0,16,0,84
0,16,5,83
0,16,10,83
0,16,15,83
0,16,20,83
0,16,25,83
0,16,30,83
0,16,35,83
0,16,40,83
0,16,45,83
0,16,50,83
0,16,55,83
0,17,0,83
0,17,5,83
0,17,10,84
0,17,15,84
0,17,20,85
0,17,25,85
0,17,30,86
0,17,35,87
0,17,40,87
0,17,45,88
0,17,50,88
0,17,55,89
0,18,0,90
0,18,5,90
0,18,10,91
0,18,15,92
0,18,20,93
0,18,25,94
0,18,30,95
0,18,35,95
0,18,40,96
0,18,45,97
0,18,50,98
0,18,55,99
0,19,0,100
0,19,5,99
0,19,10,99
0,19,15,99
0,19,20,99
0,19,25,99
0,19,30,99
0,19,35,99
0,19,40,99
0,19,45,99
0,19,50,99
0,19,55,99
0,20,0,99
0,20,5,98
0,20,10,97
0,20,15,96
0,20,20,95
0,20,25,94
0,20,30,93
0,20,35,92
0,20,40,91
0,20,45,90
0,20,50,89
0,20,55,88
0,21,0,88
0,21,5,85
0,21,10,83
0,21,15,81
0,21,20,79
0,21,25,77
0,21,30,75
0,21,35,72
0,21,40,70
0,21,45,68
0,21,50,66
0,21,55,64
0,22,0,62
0,22,5,59
0,22,10,57
0,22,15,55
0,22,20,53
0,22,25,50
0,22,30,48
0,22,35,46
0,22,40,44
0,22,45,41
0,22,50,39
0,22,55,37
0,23,0,35
0,23,5,32
0,23,10,30
0,23,15,28
0,23,20,26
0,23,25,24
0,23,30,22
0,23,35,20
0,23,40,18
0,23,45,16
0,23,50,14
0,23,55,12
1,0,0,10
1,0,5,9
1,0,10,9
1,0,15,8
1,0,20,8
1,0,25,7
1,0,30,7
1,0,35,7
1,0,40,6
1,0,45,6
1,0,50,5
1,0,55,5
1,1,0,5
1,1,5,4
1,1,10,4
1,1,15,4
1,1,20,4
1,1,25,4
1,1,30,4
1,1,35,3
1,1,40,3
1,1,45,3
1,1,50,3
1,1,55,3
1,2,0,3
1,2,5,2
1,2,10,2
1,2,15,2
1,2,20,2
1,2,25,2
1,2,30,2
1,2,35,1
1,2,40,1
1,2,45,1
1,2,50,1
1,2,55,1
1,3,0,1
1,3,5,0
1,3,10,0
1,3,15,0
1,3,20,0
1,3,25,0
1,3,30,0
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,0
1,5,15,0
1,5,20,1
1,5,25,1
1,5,30,1
1,5,35,1
1,5,40,2
1,5,45,2
1,5,50,2
1,5,55,2
1,6,0,3
1,6,5,3
1,6,10,4
1,6,15,4
1,6,20,5
1,6,25,5
1,6,30,6
1,6,35,6
1,6,40,7
1,6,45,7
1,6,50,8
1,6,55,8
1,7,0,9
1,7,5,9
1,7,10,9
1,7,15,10
1,7,20,10
1,7,25,11
1,7,30,11
1,7,35,11
1,7,40,12
1,7,45,12
1,7,50,13
1,7,55,13
1,8,0,14
1,8,5,14
1,8,10,15
1,8,15,15
1,8,20,16
1,8,25,16
1,8,30,17
1,8,35,18
1,8,40,18
1,8,45,19
1,8,50,19
1,8,55,20
1,9,0,21
1,9,5,21
1,9,10,21
1,9,15,22
1,9,20,22
1,9,25,22
1,9,30,23
1,9,35,23
1,9,40,23
1,9,45,24
1,9,50,24
1,9,55,24
1,10,0,25
1,10,5,25
1,10,10,25
1,10,15,25
1,10,20,26
1,10,25,26
1,10,30,26
1,10,35,26
1,10,40,27
1,10,45,27
1,10,50,27
1,10,55,27
1,11,0,28
1,11,5,28
1,11,10,28
1,11,15,28
1,11,20,28
1,11,25,28
1,11,30,29
1,11,35,29
1,11,40,29
1,11,45,29
1,11,50,29
1,11,55,29
1,12,0,30
1,12,5,30
1,12,10,30
1,12,15,30
1,12,20,30
1,12,25,30
1,12,30,31
1,12,35,31
1,12,40,31
1,12,45,31
1,12,50,31
1,12,55,31
1,13,0,32
1,13,5,32
1,13,10,32
1,13,15,32
1,13,20,33
1,13,25,33
1,13,30,33
1,13,35,33
1,13,40,34
1,13,45,34
1,13,50,34
1,13,55,34
1,14,0,35
1,14,5,35
1,14,10,35
1,14,15,35
1,14,20,36
1,14,25,36
1,14,30,36
1,14,35,36
1,14,40,37
1,14,45,37
1,14,50,37
1,14,55,37
1,15,0,38
1,15,5,38
1,15,10,38
1,15,15,38
1,15,20,39
1,15,25,39
1,15,30,39
1,15,35,39
1,15,40,40
1,15,45,40
1,15,50,40
1,15,55,40
1,16,0,41
1,16,5,41
1,16,10,41
1,16,15,41
1,16,20,41
1,16,25,41
1,16,30,42
1,16,35,42
1,16,40,42
1,16,45,42
1,16,50,42
1,16,55,42
1,17,0,43
1,17,5,43
1,17,10,43
1,17,15,43
1,17,20,43
1,17,25,43
1,17,30,43
1,17,35,43
1,17,40,43
1,17,45,43
1,17,50,43
1,17,55,43
1,18,0,44
1,18,5,43
1,18,10,43
1,18,15,43
1,18,20,43
