d,h,m,mem
0,0,0,10
0,0,5,9
0,0,10,8
0,0,15,8
0,0,20,7
0,0,25,6
0,0,30,6
0,0,35,5
0,0,40,4
0,0,45,4
0,0,50,3
0,0,55,2
0,1,0,2
0,1,5,1
0,1,10,1
0,1,15,1
0,1,20,1
0,1,25,1
0,1,30,1
0,1,35,1
0,1,40,1
0,1,45,1
0,1,50,1
0,1,55,1
0,2,0,1
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,1
0,2,40,1
0,2,45,1
0,2,50,1
0,2,55,1
0,3,0,1
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,0
0,3,25,0
0,3,30,0
0,3,35,0
0,3,40,0
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,1
0,4,15,1
0,4,20,2
0,4,25,2
0,4,30,3
0,4,35,4
0,4,40,4
0,4,45,5
0,4,50,5
0,4,55,6
0,5,0,7
0,5,5,8
0,5,10,10
0,5,15,11
0,5,20,13
0,5,25,14
0,5,30,16
0,5,35,17
0,5,40,19
0,5,45,20
0,5,50,22
0,5,55,23
0,6,0,25
0,6,5,27
0,6,10,29
0,6,15,31
0,6,20,33
0,6,25,35
0,6,30,38
0,6,35,40
0,6,40,42
0,6,45,44
0,6,50,46
0,6,55,48
0,7,0,51
0,7,5,52
0,7,10,54
0,7,15,56
0,7,20,58
0,7,25,60
0,7,30,62
0,7,35,63
0,7,40,65
0,7,45,67
0,7,50,69
0,7,55,71
0,8,0,73
0,8,5,74
0,8,10,75
0,8,15,76
0,8,20,77
0,8,25,78
0,8,30,79
0,8,35,80
0,8,40,81
0,8,45,82
0,8,50,83
0,8,55,84
0,9,0,86
0,9,5,86
0,9,10,86
0,9,15,86
0,9,20,86
0,9,25,86
0,9,30,86
0,9,35,86
0,9,40,86
0,9,45,86
0,9,50,86
0,9,55,86
0,10,0,87
0,10,5,87
0,10,10,88
0,10,15,88
0,10,20,89
0,10,25,89
0,10,30,90
0,10,35,90
0,10,40,91
0,10,45,91
0,10,50,92
0,10,55,92
0,11,0,93
0,11,5,93
0,11,10,93
0,11,15,93
0,11,20,93
0,11,25,93
0,11,30,93
0,11,35,93
0,11,40,93
0,11,45,93
0,11,50,93
0,11,55,93
0,12,0,94
0,12,5,93
0,12,10,93
0,12,15,93
0,12,20,92
0,12,25,92
0,12,30,92
0,12,35,91
0,12,40,91
0,12,45,91
0,12,50,90
0,12,55,90
0,13,0,90
0,13,5,90
0,13,10,90
0,13,15,90
0,13,20,91
0,13,25,91
0,13,30,91
0,13,35,91
0,13,40,92
0,13,45,92
0,13,50,92
0,13,55,92
0,14,0,93
0,14,5,92
0,14,10,92
0,14,15,92
0,14,20,92
0,14,25,92
0,14,30,92
0,14,35,92
0,14,40,92
0,14,45,92
0,14,50,92
