d,h,m,mem
0,0,0,13
0,0,5,12
0,0,10,11
0,0,15,11
0,0,20,10
0,0,25,10
0,0,30,9
0,0,35,8
0,0,40,8
0,0,45,7
0,0,50,7
0,0,55,6
0,1,0,6
0,1,5,5
0,1,10,5
0,1,15,5
0,1,20,4
0,1,25,4
0,1,30,4
0,1,35,3
0,1,40,3
0,1,45,3
0,1,50,2
0,1,55,2
0,2,0,2
0,2,5,1
0,2,10,1
0,2,15,1
0,2,20,1
0,2,25,1
0,2,30,1
0,2,35,0
0,2,40,0
0,2,45,0
0,2,50,0
0,2,55,0
0,3,0,0
0,3,5,0
0,3,10,0
0,3,15,0
0,3,20,1
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,2
0,3,45,2
0,3,50,2
0,3,55,2
0,4,0,3
0,4,5,3
0,4,10,4
0,4,15,5
0,4,20,6
0,4,25,7
0,4,30,8
0,4,35,8
0,4,40,9
0,4,45,10
0,4,50,11
0,4,55,12
0,5,0,13
0,5,5,14
0,5,10,15
0,5,15,16
0,5,20,18
0,5,25,19
0,5,30,20
0,5,35,21
0,5,40,23
0,5,45,24
0,5,50,25
0,5,55,26
0,6,0,28
0,6,5,29
0,6,10,31
0,6,15,33
0,6,20,35
0,6,25,37
0,6,30,39
0,6,35,40
0,6,40,42
0,6,45,44
0,6,50,46
0,6,55,48
0,7,0,50
0,7,5,51
0,7,10,53
0,7,15,55
0,7,20,57
0,7,25,58
0,7,30,60
0,7,35,62
0,7,40,64
0,7,45,65
0,7,50,67
0,7,55,69
0,8,0,71
0,8,5,72
0,8,10,73
0,8,15,74
0,8,20,76
0,8,25,77
0,8,30,78
0,8,35,79
0,8,40,81
0,8,45,82
0,8,50,83
0,8,55,84
0,9,0,86
0,9,5,86
0,9,10,87
0,9,15,88
0,9,20,89
0,9,25,90
0,9,30,91
0,9,35,91
0,9,40,92
0,9,45,93
0,9,50,94
0,9,55,95
0,10,0,96
0,10,5,96
0,10,10,96
0,10,15,96
0,10,20,97
0,10,25,97
0,10,30,97
0,10,35,97
0,10,40,98
0,10,45,98
0,10,50,98
0,10,55,98
0,11,0,99
0,11,5,98
0,11,10,98
0,11,15,98
0,11,20,98
0,11,25,98
