d,h,m,mem
0,0,0,26
0,0,5,24
0,0,10,23
0,0,15,22
0,0,20,21
0,0,25,20
0,0,30,19
0,0,35,18
0,0,40,17
0,0,45,16
0,0,50,15
0,0,55,14
0,1,0,13
0,1,5,12
0,1,10,11
0,1,15,11
0,1,20,10
0,1,25,10
0,1,30,9
0,1,35,8
0,1,40,8
0,1,45,7
0,1,50,7
0,1,55,6
0,2,0,6
0,2,5,5
0,2,10,5
0,2,15,5
0,2,20,5
0,2,25,4
0,2,30,4
0,2,35,4
0,2,40,4
0,2,45,3
0,2,50,3
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,2
0,4,45,2
0,4,50,2
0,4,55,2
0,5,0,3
0,5,5,3
0,5,10,4
0,5,15,5
0,5,20,6
0,5,25,7
0,5,30,8
0,5,35,8
0,5,40,9
0,5,45,10
0,5,50,11
0,5,55,12
0,6,0,13
0,6,5,13
0,6,10,13
0,6,15,14
0,6,20,14
0,6,25,14
0,6,30,15
0,6,35,15
0,6,40,15
0,6,45,16
0,6,50,16
0,6,55,16
0,7,0,17
0,7,5,17
0,7,10,17
0,7,15,17
0,7,20,17
0,7,25,17
0,7,30,18
0,7,35,18
0,7,40,18
0,7,45,18
0,7,50,18
0,7,55,18
0,8,0,19
0,8,5,19
0,8,10,19
0,8,15,19
0,8,20,19
0,8,25,19
0,8,30,19
0,8,35,19
0,8,40,19
0,8,45,19
0,8,50,19
0,8,55,19
0,9,0,19
0,9,5,18
0,9,10,18
0,9,15,18
0,9,20,18
0,9,25,18
0,9,30,18
0,9,35,18
0,9,40,18
0,9,45,18
0,9,50,18
0,9,55,18
0,10,0,18
0,10,5,18
0,10,10,18
0,10,15,18
0,10,20,18
0,10,25,18
0,10,30,18
0,10,35,18
0,10,40,18
0,10,45,18
0,10,50,18
0,10,55,18
0,11,0,19
0,11,5,19
0,11,10,19
0,11,15,20
0,11,20,20
0,11,25,20
0,11,30,21
0,11,35,21
0,11,40,21
0,11,45,22
0,11,50,22
0,11,55,22
0,12,0,23
0,12,5,23
0,12,10,23
0,12,15,23
0,12,20,23
0,12,25,23
0,12,30,24
0,12,35,24
0,12,40,24
0,12,45,24
0,12,50,24
0,12,55,24
0,13,0,25
0,13,5,25
0,13,10,26
0,13,15,26
0,13,20,27
0,13,25,27
0,13,30,28
0,13,35,29
0,13,40,29
0,13,45,30
0,13,50,30
0,13,55,31
0,14,0,32
0,14,5,32
0,14,10,33
0,14,15,34
0,14,20,34
0,14,25,35
0,14,30,36
0,14,35,36
0,14,40,37
0,14,45,38
0,14,50,38
0,14,55,39
0,15,0,40
0,15,5,40
0,15,10,41
0,15,15,41
0,15,20,42
0,15,25,42
0,15,30,43
0,15,35,44
0,15,40,44
0,15,45,45
0,15,50,45
0,15,55,46
0,16,0,47
0,16,5,47
0,16,10,48
0,16,15,49
0,16,20,50
0,16,25,50
0,16,30,51
0,16,35,52
0,16,40,53
0,16,45,53
0,16,50,54
0,16,55,55
0,17,0,56
0,17,5,56
0,17,10,57
0,17,15,58
0,17,20,59
0,17,25,60
0,17,30,61
0,17,35,62
0,17,40,63
0,17,45,64
0,17,50,65
0,17,55,66
0,18,0,67
0,18,5,67
0,18,10,67
0,18,15,68
0,18,20,68
0,18,25,69
0,18,30,69
0,18,35,69
0,18,40,70
0,18,45,70
0,18,50,71
0,18,55,71
0,19,0,72
0,19,5,72
0,19,10,72
0,19,15,72
0,19,20,72
0,19,25,72
0,19,30,72
0,19,35,72
0,19,40,72
0,19,45,72
0,19,50,72
0,19,55,72
0,20,0,72
0,20,5,71
0,20,10,71
0,20,15,71
0,20,20,71
0,20,25,71
0,20,30,71
0,20,35,71
0,20,40,71
0,20,45,71
0,20,50,71
0,20,55,71
0,21,0,71
0,21,5,70
0,21,10,70
0,21,15,69
0,21,20,69
0,21,25,68
0,21,30,68
0,21,35,67
0,21,40,67
0,21,45,66
0,21,50,66
0,21,55,65
0,22,0,65
0,22,5,63
0,22,10,61
0,22,15,60
0,22,20,58
0,22,25,57
0,22,30,55
0,22,35,53
0,22,40,52
0,22,45,50
0,22,50,49
0,22,55,47
0,23,0,46
0,23,5,45
0,23,10,44
0,23,15,44
0,23,20,43
0,23,25,43
0,23,30,42
0,23,35,41
0,23,40,41
0,23,45,40
0,23,50,40
